ID,BedrijfstakBranchesSBI2008,NuttigeToepassingEnEindverwerking,Perioden,TotaalBedrijfsafvalstoffen_1,TotaalNietChemischAfval_2,Metaalafval_3,Glasafval_4,PapierKartonafval_5,KunststofRubberafval_6,Houtafval_7,TextielLederafval_8,DierlijkPlantaardigAfval_9,GemengdAfval_10,Slib_11,MineralenSteenachtigAfval_12,OverigNietChemischAfval_13,ChemischAfval_14,TotaalBedrijfsafvalstoffen_15,TotaalNuttigeToepassing_16,InzetAlsBrandstof_17,OverigNuttigeToepassing_18,TotaalEindverwerking_19,Verbranden_20,StortenLozen_21,ScheidenAchteraf_22
206,307500,T001618,2019JJ00,723.0,538.0,11.0,0.0,1.0,5.0,12.0,6.0,64.0,251.0,33.0,152.0,4.0,185.0,723.0,,,,723.0,163.0,355.0,206.0
207,307610,T001523,1994JJ00,10263.0,10154.0,27.0,45.0,77.0,12.0,6.0,1.0,7612.0,361.0,528.0,1483.0,0.0,109.0,10263.0,9760.0,,9760.0,502.0,53.0,436.0,14.0
208,307610,T001523,1996JJ00,9847.0,9772.0,41.0,25.0,99.0,13.0,5.0,1.0,7432.0,353.0,504.0,1299.0,0.0,75.0,9847.0,9299.0,,9299.0,548.0,94.0,441.0,13.0
209,307610,T001523,1998JJ00,9871.0,9795.0,20.0,30.0,73.0,18.0,17.0,1.0,7331.0,362.0,609.0,1334.0,0.0,76.0,9871.0,9210.0,,9210.0,660.0,203.0,444.0,14.0
210,307610,T001523,2000JJ00,10278.0,10161.0,20.0,22.0,80.0,17.0,8.0,1.0,7662.0,279.0,619.0,1452.0,0.0,117.0,10278.0,9582.0,,9582.0,696.0,256.0,293.0,147.0
211,307610,T001523,2001JJ00,10132.0,10117.0,20.0,22.0,87.0,16.0,7.0,1.0,7645.0,283.0,485.0,1551.0,0.0,15.0,10132.0,9360.0,,9360.0,772.0,359.0,315.0,98.0
212,307610,T001523,2002JJ00,9705.0,9519.0,23.0,22.0,78.0,13.0,11.0,0.0,7187.0,267.0,675.0,1243.0,0.0,186.0,9705.0,8460.0,,8460.0,1245.0,878.0,251.0,116.0
213,307610,T001523,2003JJ00,9125.0,8970.0,23.0,21.0,75.0,13.0,11.0,0.0,6950.0,263.0,594.0,1020.0,0.0,155.0,9125.0,7942.0,,7942.0,1173.0,780.0,291.0,102.0
214,307610,T001523,2004JJ00,8440.0,8311.0,13.0,22.0,82.0,15.0,16.0,0.0,6419.0,303.0,488.0,948.0,4.0,127.0,8440.0,8008.0,491.0,7516.0,432.0,209.0,135.0,87.0
215,307610,T001523,2005JJ00,8070.0,7945.0,14.0,24.0,82.0,15.0,16.0,0.0,6274.0,283.0,470.0,763.0,4.0,125.0,8070.0,7654.0,373.0,7283.0,416.0,188.0,139.0,87.0
216,307610,T001523,2006JJ00,8078.0,8011.0,24.0,21.0,87.0,19.0,9.0,0.0,6442.0,233.0,474.0,700.0,0.0,65.0,8078.0,7711.0,399.0,7313.0,367.0,174.0,147.0,43.0
217,307610,T001523,2007JJ00,8205.0,8125.0,25.0,21.0,90.0,19.0,10.0,0.0,6500.0,240.0,512.0,708.0,0.0,79.0,8205.0,7839.0,373.0,7465.0,366.0,179.0,142.0,45.0
218,307610,T001523,2008JJ00,8144.0,8046.0,26.0,20.0,117.0,21.0,16.0,0.0,6336.0,233.0,593.0,681.0,2.0,98.0,8144.0,7738.0,455.0,7283.0,406.0,261.0,124.0,20.0
219,307610,T001523,2009JJ00,8157.0,8113.0,25.0,19.0,115.0,21.0,16.0,0.0,6353.0,225.0,623.0,716.0,2.0,43.0,8157.0,7737.0,468.0,7268.0,420.0,278.0,122.0,20.0
220,307610,T001523,2010JJ00,8217.0,8069.0,21.0,21.0,93.0,22.0,10.0,0.0,6282.0,330.0,582.0,708.0,0.0,147.0,8217.0,7801.0,510.0,7292.0,416.0,170.0,146.0,98.0
221,307610,T001523,2011JJ00,8130.0,8012.0,22.0,21.0,96.0,22.0,14.0,0.0,6254.0,251.0,661.0,673.0,0.0,117.0,8130.0,7763.0,564.0,7199.0,368.0,127.0,140.0,100.0
222,307610,T001523,2012JJ00,8242.0,8177.0,26.0,20.0,89.0,21.0,27.0,0.0,6318.0,296.0,618.0,760.0,1.0,65.0,8242.0,8037.0,602.0,7435.0,205.0,43.0,119.0,43.0
223,307610,T001523,2013JJ00,8394.0,8325.0,27.0,21.0,93.0,22.0,28.0,0.0,6467.0,334.0,642.0,690.0,1.0,70.0,8394.0,8237.0,667.0,7570.0,157.0,45.0,67.0,45.0
224,307610,T001523,2014JJ00,8208.0,8101.0,30.0,24.0,85.0,24.0,7.0,0.0,6366.0,283.0,628.0,654.0,0.0,106.0,8208.0,8050.0,755.0,7295.0,158.0,41.0,71.0,46.0
