ID,ProductgroepenEnOverigePosten,Perioden,WaardeInWerkelijkePrijzen_1,WaardePrijsniveau2005_2,VolumemutatieTOVVoorafgaandJaar_3,Prijsindexcijfers_4,WaardeInWerkelijkePrijzen_5,WaardePrijsniveau2005_6,VolumemutatieTOVVoorafgaandJaar_7,Prijsindexcijfers_8,WaardeInWerkelijkePrijzen_9,WaardePrijsniveau2005_10,VolumemutatieTOVVoorafgaandJaar_11,Prijsindexcijfers_12,WaardeInWerkelijkePrijzen_13,WaardePrijsniveau2005_14,VolumemutatieTOVVoorafgaandJaar_15,Prijsindexcijfers_16,WaardeInWerkelijkePrijzen_17,WaardePrijsniveau2005_18,VolumemutatieTOVVoorafgaandJaar_19,Prijsindexcijfers_20,WaardeInWerkelijkePrijzen_21,WaardePrijsniveau2005_22,VolumemutatieTOVVoorafgaandJaar_23,Prijsindexcijfers_24,WaardeInWerkelijkePrijzen_25,WaardePrijsniveau2005_26,VolumemutatieTOVVoorafgaandJaar_27,Prijsindexcijfers_28,WaardeInWerkelijkePrijzen_29,WaardeInWerkelijkePrijzen_30,WaardePrijsniveau2005_31,VolumemutatieTOVVoorafgaandJaar_32,Prijsindexcijfers_33
1420,5900000,2008JJ00,,,,,,,,,,,,,43666.0,41111.0,0.8,106.2,9787.0,8934.0,2.5,109.6,23518.0,22454.0,1.4,104.7,10361.0,9721.0,-2.1,106.6,0.0,,,,
1421,5900000,2009JJ00,,,,,,,,,,,,,42861.0,40082.0,-2.5,106.9,10014.0,9125.0,2.1,109.7,22759.0,21663.0,-3.5,105.1,10088.0,9275.0,-4.6,108.8,0.0,,,,
1422,5900000,2010JJ00,,,,,,,,,,,,,42527.0,39424.0,-1.6,107.9,9876.0,8917.0,-2.3,110.8,23155.0,21882.0,1.0,105.8,9496.0,8628.0,-7.0,110.1,0.0,,,,
1423,5900000,2011JJ00,,,,,,,,,,,,,42614.0,38804.0,-1.6,109.8,9921.0,8820.0,-1.1,112.5,23431.0,21491.0,-1.8,109.0,9262.0,8493.0,-1.6,109.1,0.0,,,,
1424,5900000,2012JJ00,,,,,,,,,,,,,42739.0,37638.0,-3.0,113.6,10144.0,8734.0,-1.0,116.1,23629.0,20809.0,-3.2,113.5,8966.0,8089.0,-4.8,110.8,0.0,,,,
1425,5700000,1988JJ00,39520.0,50658.0,,78.0,39448.0,50575.0,,78.0,72.0,86.0,,83.8,,,,,,,,,,,,,,,,,0.0,,,,
1426,5700000,1989JJ00,42612.0,53484.0,5.6,79.7,42525.0,53383.0,5.6,79.7,87.0,104.0,20.8,83.8,,,,,,,,,,,,,,,,,0.0,,,,
1427,5700000,1990JJ00,46294.0,56924.0,6.4,81.3,46195.0,56811.0,6.4,81.3,99.0,115.0,10.3,86.4,,,,,,,,,,,,,,,,,0.0,,,,
1428,5700000,1991JJ00,49484.0,58977.0,3.6,83.9,49367.0,58842.0,3.6,83.9,117.0,135.0,18.2,86.4,,,,,,,,,,,,,,,,,0.0,,,,
1429,5700000,1992JJ00,51500.0,59815.0,1.4,86.1,51365.0,59663.0,1.4,86.1,135.0,153.0,12.8,88.4,,,,,,,,,,,,,,,,,0.0,,,,
1430,5700000,1993JJ00,52590.0,60038.0,0.4,87.6,52445.0,59874.0,0.4,87.6,145.0,164.0,7.4,88.4,,,,,,,,,,,,,,,,,0.0,,,,
1431,5700000,1994JJ00,55073.0,62658.0,4.4,87.9,54913.0,62475.0,4.3,87.9,160.0,183.0,11.7,87.3,,,,,,,,,,,,,,,,,0.0,,,,
1432,5700000,1995JJ00,57879.0,66121.0,5.5,87.5,57702.0,65918.0,5.5,87.5,177.0,203.0,10.6,87.3,,,,,,,,,,,,,,,,,0.0,,,,
1433,5700000,1996JJ00,61316.0,69336.0,4.9,88.4,61132.0,69125.0,4.9,88.4,184.0,211.0,4.0,87.3,,,,,,,,,,,,,,,,,0.0,,,,
1434,5700000,1997JJ00,67143.0,74709.0,7.8,89.9,66949.0,74487.0,7.8,89.9,194.0,222.0,5.4,87.3,,,,,,,,,,,,,,,,,0.0,,,,
1435,5700000,1998JJ00,72513.0,79780.0,6.8,90.9,72301.0,79543.0,6.8,90.9,212.0,237.0,6.7,89.4,,,,,,,,,,,,,,,,,0.0,,,,
1436,5700000,1999JJ00,79151.0,85320.0,6.9,92.8,78928.0,85070.0,6.9,92.8,223.0,249.0,5.2,89.4,,,,,,,,,,,,,,,,,0.0,,,,
1437,5700000,2000JJ00,85985.0,90485.0,6.1,95.0,85747.0,90219.0,6.1,95.0,238.0,266.0,6.7,89.4,,,,,,,,,,,,,,,,,0.0,,,,
1438,5700000,2001JJ00,90566.0,91475.0,1.1,99.0,90316.0,91207.0,1.1,99.0,250.0,268.0,0.8,93.1,,,,,,,,,,,,,,,,,0.0,,,,
1439,5700000,2002JJ00,94965.0,91626.0,0.2,103.6,94711.0,91360.0,0.2,103.7,254.0,265.0,-1.2,95.8,,,,,,,,,,,,,,,,,0.0,,,,
