ID,Zorgfuncties,Zorgaanbieders,Perioden,UitgavenGezondheidsEnWelzijnszorg_1
447,T001104,A019131,2020JJ00,9433
448,T001104,A019131,2021JJ00,10065
449,T001104,A019131,2022JJ00,10310
450,T001104,A019132,1998JJ00,3284
451,T001104,A019132,1999JJ00,3600
452,T001104,A019132,2000JJ00,3844
453,T001104,A019132,2001JJ00,4211
454,T001104,A019132,2002JJ00,4559
455,T001104,A019132,2003JJ00,4878
456,T001104,A019132,2004JJ00,4997
457,T001104,A019132,2005JJ00,5198
458,T001104,A019132,2006JJ00,5261
459,T001104,A019132,2007JJ00,5689
460,T001104,A019132,2008JJ00,5583
461,T001104,A019132,2009JJ00,5633
462,T001104,A019132,2010JJ00,5769
463,T001104,A019132,2011JJ00,5838
464,T001104,A019132,2012JJ00,5266
465,T001104,A019132,2013JJ00,5030
466,T001104,A019132,2014JJ00,5029
467,T001104,A019132,2015JJ00,5098
468,T001104,A019132,2016JJ00,5222
469,T001104,A019132,2017JJ00,5379
470,T001104,A019132,2018JJ00,5359
471,T001104,A019132,2019JJ00,5645
472,T001104,A019132,2020JJ00,5774
473,T001104,A019132,2021JJ00,5702
474,T001104,A019132,2022JJ00,6077
475,T001104,A019133,1998JJ00,2212
476,T001104,A019133,1999JJ00,2327
477,T001104,A019133,2000JJ00,2399
478,T001104,A019133,2001JJ00,2583
479,T001104,A019133,2002JJ00,2793
480,T001104,A019133,2003JJ00,2992
481,T001104,A019133,2004JJ00,3137
482,T001104,A019133,2005JJ00,3097
483,T001104,A019133,2006JJ00,3146
484,T001104,A019133,2007JJ00,3178
485,T001104,A019133,2008JJ00,3495
486,T001104,A019133,2009JJ00,3310
487,T001104,A019133,2010JJ00,3412
488,T001104,A019133,2011JJ00,3632
489,T001104,A019133,2012JJ00,3727
490,T001104,A019133,2013JJ00,3528
491,T001104,A019133,2014JJ00,3530
492,T001104,A019133,2015JJ00,3483
493,T001104,A019133,2016JJ00,3353
494,T001104,A019133,2017JJ00,3329
495,T001104,A019133,2018JJ00,3429
496,T001104,A019133,2019JJ00,3575
497,T001104,A019133,2020JJ00,3659
498,T001104,A019133,2021JJ00,4363
499,T001104,A019133,2022JJ00,4233
500,T001104,A019134,1998JJ00,1189
501,T001104,A019134,1999JJ00,1320
502,T001104,A019134,2000JJ00,1474
503,T001104,A019134,2001JJ00,1633
504,T001104,A019134,2002JJ00,1972
505,T001104,A019134,2003JJ00,2066
506,T001104,A019134,2004JJ00,2038
507,T001104,A019134,2005JJ00,2002
508,T001104,A019134,2006JJ00,1858
509,T001104,A019134,2007JJ00,1990
510,T001104,A019134,2008JJ00,2139
511,T001104,A019134,2009JJ00,2103
512,T001104,A019134,2010JJ00,2166
513,T001104,A019134,2011JJ00,2148
514,T001104,A019134,2012JJ00,2136
515,T001104,A019134,2013JJ00,2061
516,T001104,A019134,2014JJ00,2074
517,T001104,A019134,2015JJ00,2036
518,T001104,A019134,2016JJ00,2098
519,T001104,A019134,2017JJ00,2159
520,T001104,A019134,2018JJ00,2180
521,T001104,A019134,2019JJ00,2375
522,T001104,A019134,2020JJ00,3460
523,T001104,A019134,2021JJ00,6837
524,T001104,A019134,2022JJ00,4533
525,T001104,A019135,1998JJ00,2063
526,T001104,A019135,1999JJ00,2197
527,T001104,A019135,2000JJ00,2301
528,T001104,A019135,2001JJ00,2492
529,T001104,A019135,2002JJ00,2713
530,T001104,A019135,2003JJ00,2808
531,T001104,A019135,2004JJ00,2860
532,T001104,A019135,2005JJ00,3286
533,T001104,A019135,2006JJ00,3543
534,T001104,A019135,2007JJ00,3718
535,T001104,A019135,2008JJ00,3607
536,T001104,A019135,2009JJ00,3699
537,T001104,A019135,2010JJ00,3714
538,T001104,A019135,2011JJ00,3893
539,T001104,A019135,2012JJ00,3792
540,T001104,A019135,2013JJ00,3863
541,T001104,A019135,2014JJ00,3979
542,T001104,A019135,2015JJ00,3964
543,T001104,A019135,2016JJ00,3937
544,T001104,A019135,2017JJ00,3930
545,T001104,A019135,2018JJ00,4043
546,T001104,A019135,2019JJ00,4280
547,T001104,A019135,2020JJ00,4742
548,T001104,A019135,2021JJ00,4890
549,T001104,A019135,2022JJ00,5033
550,T001104,A019136,1998JJ00,309
551,T001104,A019136,1999JJ00,323
552,T001104,A019136,2000JJ00,336
553,T001104,A019136,2001JJ00,346
554,T001104,A019136,2002JJ00,370
555,T001104,A019136,2003JJ00,373
556,T001104,A019136,2004JJ00,410
557,T001104,A019136,2005JJ00,381
558,T001104,A019136,2006JJ00,361
559,T001104,A019136,2007JJ00,579
560,T001104,A019136,2008JJ00,603
561,T001104,A019136,2009JJ00,607
562,T001104,A019136,2010JJ00,593
563,T001104,A019136,2011JJ00,650
564,T001104,A019136,2012JJ00,624
565,T001104,A019136,2013JJ00,642
566,T001104,A019136,2014JJ00,658
567,T001104,A019136,2015JJ00,708
568,T001104,A019136,2016JJ00,742
569,T001104,A019136,2017JJ00,751
570,T001104,A019136,2018JJ00,796
571,T001104,A019136,2019JJ00,837
572,T001104,A019136,2020JJ00,1256
573,T001104,A019136,2021JJ00,1302
574,T001104,A019136,2022JJ00,1221
575,T001104,A019137,1998JJ00,573
576,T001104,A019137,1999JJ00,595
577,T001104,A019137,2000JJ00,624
578,T001104,A019137,2001JJ00,678
579,T001104,A019137,2002JJ00,667
580,T001104,A019137,2003JJ00,696
581,T001104,A019137,2004JJ00,704
582,T001104,A019137,2005JJ00,933
583,T001104,A019137,2006JJ00,1775
584,T001104,A019137,2007JJ00,1685
585,T001104,A019137,2008JJ00,1584
586,T001104,A019137,2009JJ00,1516
587,T001104,A019137,2010JJ00,1493
588,T001104,A019137,2011JJ00,1552
589,T001104,A019137,2012JJ00,1555
590,T001104,A019137,2013JJ00,1602
591,T001104,A019137,2014JJ00,1700
592,T001104,A019137,2015JJ00,1691
593,T001104,A019137,2016JJ00,1613
594,T001104,A019137,2017JJ00,1604
