ID,Perioden,Boter_1,Margarine_2,Halvarine_3,SpijsvettenVoorIndustrieelGebruik_4,SpijsvettenVoorHuishoudelijkGebruik_5,VolleMelk_6,HalfvolleMelk_7,MagereMelk_8,Karnemelk_9,Chocolademelk_10,Yoghurt_11,PapEnVla_12,Kwark_13,Koffiemelk_14,Room_15,Kaas_16,TotaalVlees_17,RundEnKalfsvlees_18,Varkensvlees_19,GeslachtPluimvee_20,OverigVlees_21,Vis_22,Kippeneieren_23,TarwebloemEnMeel_24,TarwebloemEnMeelBestemdVoorBrood_25,Brood_26,BiskwieBanketEnSnijkoek_27,HartigeVersnaperingen_28,TotaalKruidenierswaren_29,Consumptierijst_30,OverigeKruidenierswaren_31,Suiker_32,Aardappelen_33,GroenteVers_34,TotaalVersFruit_35,TotaalVerseZuidvruchten_36,Bananen_37,Citroenen_38,Pompelmoezen_39,SinaasappelenEnMandarijnen_40,OverigeVerseZuidvruchten_41,OverigVersFruit_42,Chocolade_43,Suikerwerk_44,KoffieGebrand_45,Thee_46,Frisdranken_47,Mineraalwater_48,Vruchtensappen_49,Gedistilleerd_50,Bier_51,Wijn_52,Sigaren_53,Sigaretten_54,ShagEnPijptabak_55
97,1996JJ00,3.4,7.8,3.1,16.8,4.4,11.6,44.3,1.1,8.8,,18.4,13.4,2.0,6.3,2.2,14.5,88.6,20.4,44.5,21.4,2.3,,175.0,69.0,43.0,59.0,17.5,6.4,4.9,3.8,1.1,,84.0,,,,,,,,,,4.6,6.5,7.9,0.6,80.0,14.7,0.0,1.8,85.0,17.1,27.0,993.0,0.9
98,1997JJ00,3.5,7.5,3.0,21.0,4.5,11.0,44.3,1.3,9.4,,20.7,12.9,2.0,6.2,2.0,14.6,87.1,20.2,43.0,21.8,2.1,,176.0,65.0,43.0,59.0,17.6,6.5,5.2,4.1,1.1,,85.0,,,,,,,,,,4.7,6.5,7.6,0.7,85.9,15.9,0.0,1.7,86.0,17.5,28.0,1063.0,0.9
99,1998JJ00,3.3,7.2,3.1,21.0,4.6,10.2,43.4,1.6,8.8,4.3,21.0,12.7,2.3,6.0,2.4,14.3,87.6,19.7,44.0,21.8,2.1,,178.0,67.0,43.0,59.0,17.7,6.7,5.7,5.0,0.7,,79.0,,,,,,,,,,4.8,6.4,7.7,0.7,85.2,15.3,0.0,1.7,84.0,18.4,32.0,1062.0,0.9
100,1999JJ00,3.5,6.8,3.1,21.4,4.5,10.0,42.7,1.5,8.9,4.2,20.1,12.3,2.8,6.2,2.2,14.5,86.7,19.6,43.6,21.4,2.1,,180.0,69.0,44.0,60.0,13.5,6.5,7.3,6.9,0.4,,78.0,,,,,,,,,,4.8,6.5,7.4,0.7,88.2,17.3,25.7,1.7,84.0,18.6,32.0,1046.0,0.9
101,2000JJ00,3.3,6.6,3.0,22.7,4.5,8.8,42.8,1.4,8.4,4.2,20.1,12.1,2.8,6.2,2.2,15.8,86.2,19.2,43.3,21.6,2.1,,180.0,66.0,44.0,60.0,13.6,6.6,7.4,7.0,0.4,,77.0,,,,,,,,,,4.9,6.5,7.3,0.8,97.1,16.9,25.8,1.7,83.0,18.8,32.0,1047.0,0.9
102,2001JJ00,3.3,6.4,2.9,23.3,4.4,7.7,41.5,1.4,7.9,4.0,20.0,10.5,3.0,6.1,2.2,16.0,85.6,18.9,42.4,22.1,2.2,,181.0,68.0,44.0,60.0,13.4,6.5,4.8,4.5,0.3,,89.0,,,,,,,,,,4.8,6.4,7.1,0.8,96.2,17.5,25.1,1.7,81.0,18.9,35.0,1016.0,0.8
103,2002JJ00,3.3,6.2,3.0,23.0,4.3,7.3,41.3,1.5,6.8,4.1,21.1,10.5,3.0,5.8,1.9,16.3,86.3,19.2,42.5,22.5,2.1,,184.0,,,60.0,13.4,6.5,,,,,89.0,,,,,,,,,,4.6,6.4,7.0,0.8,94.1,17.4,24.1,1.7,80.0,19.0,35.0,1044.0,0.8
104,2003JJ00,3.3,5.6,3.1,22.6,4.6,6.4,41.2,1.3,6.8,3.9,21.2,10.7,3.3,6.0,1.7,16.5,85.5,19.1,42.4,21.5,2.5,,177.0,,,62.0,13.9,7.0,,,,,,,,,,,,,,,4.5,6.4,6.8,0.8,95.3,18.5,24.5,1.5,80.0,19.6,28.0,1050.0,0.8
105,2004JJ00,3.2,5.4,3.1,23.9,4.9,5.4,44.5,1.3,6.4,4.3,20.8,10.4,3.3,4.9,1.8,16.7,86.0,19.5,42.3,21.9,2.3,,181.0,,,61.0,13.9,7.9,,,,,,,,,,,,,,,4.6,6.4,7.1,0.8,94.0,18.8,24.4,1.4,79.0,20.6,28.0,912.0,0.7
106,2005JJ00,3.3,5.3,3.1,24.3,4.9,4.8,44.7,1.3,6.2,4.2,19.5,10.6,3.3,4.5,1.9,17.1,85.6,19.1,41.9,22.2,2.4,,183.0,,,62.0,13.6,7.5,,,,,,,,,,,,,,,4.7,6.4,6.8,0.8,94.3,19.0,26.3,1.3,78.0,21.3,28.0,830.0,0.7
107,2006JJ00,3.3,5.2,3.2,23.5,4.9,,,,,,,,3.4,4.0,2.0,17.7,84.9,19.0,41.5,21.9,2.5,,182.0,,,57.0,13.8,7.6,,,,,,,,,,,,,,,4.8,6.4,6.7,0.8,99.0,21.3,28.5,1.3,77.0,21.5,30.0,864.0,0.7
108,2007JJ00,3.4,5.2,3.2,23.0,4.8,,,,,,,,3.5,4.0,2.0,18.0,85.1,19.3,41.0,22.5,2.3,,182.0,,,59.0,14.4,7.6,,,,,,,,,,,,,,,4.9,6.4,6.9,0.8,96.7,21.9,27.5,1.3,,21.6,,927.0,0.7
109,2008JJ00,3.3,5.0,3.3,23.3,4.7,,,,,,,,,,,,84.9,19.2,40.7,22.6,2.4,,182.0,,,59.0,14.5,7.8,,,,,,,,,,,,,,,4.9,6.4,7.0,0.8,98.9,21.5,27.7,1.3,,21.6,,906.0,0.7
110,2009JJ00,3.4,4.9,3.2,22.9,4.7,,,,,,,,,,,,86.6,19.2,41.8,23.0,2.6,,184.0,,,58.0,,,,,,,,,,,,,,,,,,,,,102.7,21.6,27.9,1.3,,21.7,,810.0,0.6
