ID,Logiesvormen,Toeristengebieden,Perioden,AlleLanden_1,Nederland_2,Buitenland_3,AlleLanden_4,Nederland_5,Buitenland_6
167,TOT,TR11  ,2000JJ00,1359.6,1183.2,176.4,4802.3,4285.4,516.9
168,TOT,TR11  ,2001JJ00,1316.9,1159.5,157.4,4646.1,4188.8,457.3
169,TOT,TR11  ,2002JJ00,1356.1,1194.2,161.9,4823.3,4371.4,451.8
170,TOT,TR11  ,2003JJ00,1429.0,1231.7,197.3,4942.0,4445.3,496.7
171,TOT,TR11  ,2004JJ00,1529.1,1275.0,254.1,5259.0,4668.5,590.6
172,TOT,TR11  ,2005JJ00,1523.6,1314.4,209.2,5022.7,4565.9,456.8
173,TOT,TR11  ,2006JJ00,1434.5,1215.4,219.2,4693.3,4246.5,446.8
174,TOT,TR11  ,2007JJ00,1479.7,1271.8,207.9,4834.6,4365.0,469.6
175,TOT,TR11  ,2008JJ00,1466.5,1237.9,228.6,5048.4,4474.6,573.7
176,TOT,TR11  ,2009JJ00,1445.1,1284.1,160.9,5317.7,4891.7,426.0
177,TOT,TR11  ,2010JJ00,1438.5,1254.8,183.7,4929.0,4413.1,515.9
178,TOT,TR11  ,2011JJ00,1427.5,1243.1,184.4,5110.7,4556.8,553.9
179,TOT,TR11  ,2012JJ00,1428.4,1213.9,214.5,4636.2,4098.9,537.4
180,TOT,TR12  ,1998JJ00,1204.4,1081.8,122.6,5741.3,5205.0,536.3
181,TOT,TR12  ,1999JJ00,1383.7,1237.3,146.4,6236.7,5681.8,555.0
182,TOT,TR12  ,2000JJ00,1528.1,1328.0,200.2,6550.8,5755.9,794.9
183,TOT,TR12  ,2001JJ00,1447.5,1277.9,169.6,6125.1,5483.8,641.3
184,TOT,TR12  ,2002JJ00,1515.3,1353.0,162.3,6555.1,5958.2,597.0
185,TOT,TR12  ,2003JJ00,1450.0,1311.6,138.4,6030.3,5536.0,494.3
186,TOT,TR12  ,2004JJ00,1406.2,1248.4,157.7,5708.8,5118.1,590.8
187,TOT,TR12  ,2005JJ00,1342.0,1211.0,131.1,5594.7,5176.5,418.2
188,TOT,TR12  ,2006JJ00,1662.3,1467.4,194.9,6618.8,5968.3,650.5
189,TOT,TR12  ,2007JJ00,1657.4,1504.7,152.8,6411.4,5872.7,538.7
190,TOT,TR12  ,2008JJ00,1678.2,1541.7,136.5,6363.0,5885.8,477.2
191,TOT,TR12  ,2009JJ00,1707.6,1545.2,162.4,6488.1,5895.7,592.3
192,TOT,TR12  ,2010JJ00,1598.5,1452.2,146.3,6405.7,5845.3,560.4
193,TOT,TR12  ,2011JJ00,1610.5,1471.2,139.4,6009.1,5527.5,481.6
194,TOT,TR12  ,2012JJ00,1720.3,1556.9,163.4,6371.0,5770.8,600.2
195,TOT,TR13  ,1998JJ00,1911.7,1388.6,523.1,6223.9,4874.3,1349.6
196,TOT,TR13  ,1999JJ00,2119.1,1574.1,545.0,6865.9,5494.8,1371.1
197,TOT,TR13  ,2000JJ00,1970.3,1448.5,521.8,6922.8,5471.1,1451.8
198,TOT,TR13  ,2001JJ00,2077.1,1557.4,519.7,7185.9,5768.5,1417.4
199,TOT,TR13  ,2002JJ00,2006.2,1501.0,505.2,7027.1,5628.4,1398.7
200,TOT,TR13  ,2003JJ00,1927.1,1463.4,463.7,6791.9,5544.3,1247.6
201,TOT,TR13  ,2004JJ00,2205.8,1663.7,542.1,7726.5,6382.9,1343.6
202,TOT,TR13  ,2005JJ00,2157.5,1604.9,552.6,7065.0,5648.2,1416.8
203,TOT,TR13  ,2006JJ00,2276.4,1635.8,640.6,7094.9,5563.7,1531.2
204,TOT,TR13  ,2007JJ00,2564.8,1901.5,663.3,7784.5,6114.1,1670.4
205,TOT,TR13  ,2008JJ00,2443.1,1847.2,595.9,7316.6,5815.5,1501.1
206,TOT,TR13  ,2009JJ00,2372.6,1811.3,561.2,6961.6,5624.7,1336.9
207,TOT,TR13  ,2010JJ00,2493.9,1810.8,683.2,7367.3,5728.9,1638.4
208,TOT,TR13  ,2011JJ00,2626.6,1942.1,684.5,7850.0,6122.0,1728.0
209,TOT,TR13  ,2012JJ00,2669.9,1940.9,729.0,7634.1,5861.4,1772.7
210,TOT,TR14  ,1998JJ00,1761.6,1338.0,423.6,7025.8,5451.1,1574.8
211,TOT,TR14  ,1999JJ00,1968.7,1460.1,508.6,8055.8,6196.9,1858.9
212,TOT,TR14  ,2000JJ00,1996.7,1438.2,558.5,8050.0,6075.4,1974.6
213,TOT,TR14  ,2001JJ00,1995.8,1489.5,506.3,7987.6,6214.2,1773.4
214,TOT,TR14  ,2002JJ00,1939.5,1471.3,468.2,7719.1,6034.1,1685.0
215,TOT,TR14  ,2003JJ00,1814.9,1365.2,449.7,7089.3,5594.1,1495.2
216,TOT,TR14  ,2004JJ00,1873.7,1436.2,437.4,7377.7,5925.6,1452.1
217,TOT,TR14  ,2005JJ00,1947.9,1489.5,458.4,7459.1,5866.7,1592.4
218,TOT,TR14  ,2006JJ00,2037.8,1545.0,492.7,7429.6,5814.5,1615.1
219,TOT,TR14  ,2007JJ00,2173.1,1641.5,531.5,7649.9,5819.8,1830.1
220,TOT,TR14  ,2008JJ00,2197.0,1706.3,490.7,8070.1,6367.7,1702.4
221,TOT,TR14  ,2009JJ00,2124.1,1657.6,466.5,7378.9,5800.0,1578.9
222,TOT,TR14  ,2010JJ00,2045.6,1580.4,465.2,7061.4,5426.9,1634.5
223,TOT,TR14  ,2011JJ00,2155.0,1662.5,492.5,7081.0,5455.1,1625.9
224,TOT,TR14  ,2012JJ00,2299.7,1720.0,579.6,7512.8,5678.1,1834.7
225,TOT,TR15  ,1998JJ00,1518.3,1245.5,272.8,4459.7,3873.4,586.4
