ID,Bedrijfsgroepen,WarmtekrachtkoppelingWKK,TypenInstallatie,Perioden,InzetTotaal_1,InzetVanAardgas_2,InzetVanStookolie_3,InzetVanSteenkool_4,InzetVanOverigeBrandstoffen_5,InzetTotaal_6,InzetVanAardgas_7,InzetVanStookolie_8,InzetVanSteenkool_9,InzetVanOverigeBrandstoffen_10,ProductieTotaal_11,ProductieVanElektriciteit_12,ProductieVanWarmte_13,ProductieTotaal_14,ProductieVanElektriciteit_15,ProductieVanWarmte_16,ElektrischVermogen_17,ThermischVermogen_18,Installaties_19
66,E007022,E007102,E007111,2010JJ00,379635.0,2080164.0,3872.0,7462030.0,128442.0,379635.0,65837.0,165.0,185191.0,128442.0,161308.0,37342723.0,26874.0,161308.0,134434.0,26874.0,8858.0,10893046.0,62.0
67,E007022,E007102,E007111,2011JJ00,333809.0,936897.0,3782.0,7023962.0,131097.0,333809.0,29653.0,161.0,172898.0,131097.0,141048.0,32112536.0,25443.0,141048.0,115605.0,25443.0,8962.0,11993046.0,62.0
68,E007022,E007102,E007111,2012JJ00,362221.0,757464.0,6252.0,8244660.0,134530.0,362221.0,23974.0,267.0,203450.0,134530.0,154657.0,35303506.0,27565.0,154657.0,127093.0,27565.0,8361.0,11823046.0,60.0
69,E007022,E007102,E007111,2013JJ00,369562.0,637596.0,21942.0,8712851.0,130769.0,369562.0,20180.0,937.0,217676.0,130769.0,152483.0,34586036.0,27973.0,152483.0,124510.0,27973.0,8406.0,10543246.0,60.0
70,E007022,E007102,E007111,2014JJ00,395247.0,550493.0,78192.0,10194188.0,119380.0,395247.0,17423.0,3339.0,255106.0,119380.0,167092.0,38089823.0,29968.0,167092.0,137123.0,29968.0,10061.0,10543246.0,61.0
71,E007022,E007102,E007111,2015JJ00,473372.0,412211.0,17885.0,13476002.0,122925.0,473372.0,13046.0,769.0,336632.0,122925.0,206412.0,48343160.0,32377.0,206412.0,174035.0,32377.0,8388.0,9064029.0,58.0
72,E007022,E007102,E007111,2016JJ00,438058.0,319529.0,11931.0,12084748.0,122770.0,438058.0,10113.0,513.0,304662.0,122770.0,193639.0,45392780.0,30225.0,193639.0,163414.0,30225.0,8390.0,9546309.0,60.0
73,E007022,E007102,E007111,2017JJ00,392980.0,322746.0,9997.0,10239549.0,125839.0,392980.0,10215.0,430.0,256496.0,125839.0,178197.0,39943492.0,34400.0,178197.0,143797.0,34400.0,7358.0,9763749.0,67.0
74,E007022,E007102,E007111,2018JJ00,354206.0,322580.0,10405.0,8741438.0,122084.0,354206.0,10210.0,447.0,221465.0,122084.0,160133.0,36390219.0,29129.0,160133.0,131005.0,29129.0,7470.0,10703367.0,72.0
75,E007022,E007102,E007111,2019JJ00,291391.0,305039.0,18240.0,5876467.0,134325.0,291391.0,9654.0,781.0,146631.0,134325.0,130909.0,27398878.0,32273.0,130909.0,98636.0,32273.0,6853.0,11569167.0,81.0
