ID,DutchEconomy,Periods,TotalCO2_1,CO2ExclBiomass_2,CO2Biomass_3,N2O_4,CH4_5,GreenhouseGasEquivalents_6,NOx_7,SO2_8,NH3_9,AcidificationEquivalents_10,CFK12Equivalents_11,CO_12,NMVOC_13,PM10_14
199,301000 ,2014JJ00,9823.0,9056,766.9,19.4,510.9,29489,63.2,0.9,117.5,8.3,0.0,25.5,84.3,7.8
200,301000 ,2015JJ00,10220.0,9392,827.7,20.0,529.1,30589,63.3,0.3,118.8,8.4,0.0,25.5,96.5,7.5
201,301000 ,2016JJ00,10104.0,9284,819.3,19.5,542.2,30667,60.6,0.2,119.6,8.4,0.0,24.4,100.1,7.4
202,301000 ,2017JJ00,10313.0,9421,891.1,20.0,541.3,30995,60.6,0.2,122.1,8.5,0.0,24.3,99.2,7.1
203,301000 ,2018JJ00,10843.0,9820,1022.9,19.8,520.3,30786,60.2,0.3,120.4,8.4,0.0,24.2,95.6,6.9
204,301000 ,2019JJ00,10793.0,9693,1100.1,19.2,523.5,30664,56.9,0.2,114.3,8.0,0.0,24.0,93.4,6.6
205,301000 ,2020JJ00,10624.0,9442,1181.8,19.2,520.3,30404,56.5,0.3,113.7,7.9,0.0,25.7,92.7,6.5
206,301000 ,2021JJ00,10878.0,9599,1279.1,18.6,515.7,30289,54.8,0.2,112.0,7.8,0.0,23.6,92.1,6.3
207,301000 ,2022JJ00,8570.0,7361,1208.6,18.1,505.7,27582,51.1,0.2,109.8,7.6,0.0,21.4,91.2,6.1
208,301000 ,2023JJ00,8576.0,7788,787.0,18.4,505.0,27639,49.8,0.2,105.5,7.3,0.0,20.4,90.0,5.9
209,301000 ,2024JJ00,8710.0,7971,738.2,18.0,495.8,27417,50.0,0.2,103.3,7.2,0.0,20.1,88.4,5.7
210,300002 ,1990JJ00,97116.0,94678,2438.1,25.0,105.8,113794,208.5,169.3,4.8,10.1,3608.7,344.3,178.8,36.8
211,300002 ,1991JJ00,99710.0,97162,2548.2,24.9,106.2,116296,189.2,137.4,5.1,8.7,2985.1,305.1,165.8,33.9
212,300002 ,1992JJ00,100971.0,98475,2495.8,25.2,106.3,118637,189.7,131.4,5.3,8.5,2361.5,296.5,155.3,31.1
213,300002 ,1993JJ00,98134.0,95411,2723.3,26.9,106.6,116983,178.9,122.7,5.0,8.0,1737.9,287.4,144.8,28.2
214,300002 ,1994JJ00,101812.0,99192,2619.2,26.4,107.2,122317,164.2,110.3,5.3,7.3,1114.3,277.7,134.1,25.3
215,300002 ,1995JJ00,101140.0,98294,2845.8,25.3,107.4,119014,159.6,109.4,5.2,7.2,490.7,277.8,125.3,23.3
216,300002 ,1996JJ00,103327.0,99884,3443.8,25.4,102.6,124730,155.6,104.9,4.8,6.9,371.3,265.2,116.6,19.7
217,300002 ,1997JJ00,104133.0,100212,3920.9,25.2,78.3,125603,144.1,95.1,4.0,6.3,279.4,241.1,102.1,17.3
218,300002 ,1998JJ00,106064.0,101914,4151.0,25.2,79.1,128319,131.5,85.5,3.9,5.8,185.2,236.3,100.3,15.8
219,300002 ,1999JJ00,102073.0,97656,4417.4,24.1,72.0,117988,130.1,75.8,3.6,5.4,161.5,227.2,96.4,15.9
220,300002 ,2000JJ00,103677.0,98900,4776.8,24.6,69.0,116537,119.7,62.8,4.0,4.8,152.9,225.0,94.5,14.2
221,300002 ,2001JJ00,107123.0,102052,5071.1,22.6,68.7,117547,118.1,66.6,4.1,4.9,141.5,221.1,77.6,13.2
222,300002 ,2002JJ00,108394.0,102722,5672.1,21.8,68.3,119100,116.5,60.3,3.7,4.6,121.8,209.7,73.0,13.3
223,300002 ,2003JJ00,109860.0,104577,5282.7,21.9,67.4,118924,116.5,56.4,3.9,4.5,97.8,203.4,66.7,12.5
224,300002 ,2004JJ00,112117.0,106095,6022.5,23.9,66.1,121278,110.2,59.2,4.6,4.5,92.4,223.0,63.1,11.7
225,300002 ,2005JJ00,110572.0,103253,7319.0,24.1,68.7,119721,108.5,57.9,3.9,4.4,86.9,209.7,65.8,10.8
226,300002 ,2006JJ00,105426.0,98096,7330.2,23.9,63.4,114478,102.6,58.4,3.4,4.3,81.3,214.2,61.3,10.6
227,300002 ,2007JJ00,108212.0,101512,6700.3,19.6,65.9,116257,93.0,55.4,3.2,3.9,75.5,202.8,61.0,10.1
228,300002 ,2008JJ00,108401.0,100521,7879.9,7.4,66.8,113155,87.4,47.5,3.3,3.6,69.6,205.5,59.0,9.3
229,300002 ,2009JJ00,105794.0,96753,9041.6,7.6,61.3,110419,76.6,34.9,3.1,2.9,63.7,153.8,52.7,8.4
230,300002 ,2010JJ00,111635.0,101972,9662.8,6.7,65.2,116382,78.3,32.2,2.9,2.9,57.8,176.7,60.3,8.3
231,300002 ,2011JJ00,106992.0,97192,9799.9,6.7,65.2,111474,74.5,32.6,3.1,2.8,52.1,164.2,59.8,8.0
232,300002 ,2012JJ00,103341.0,93225,10116.0,6.7,62.6,107659,71.1,32.9,2.9,2.7,46.4,157.5,56.5,7.5
233,300002 ,2013JJ00,102114.0,92991,9123.0,6.7,58.6,106431,69.0,28.6,2.6,2.5,43.5,143.2,56.1,7.5
234,300002 ,2014JJ00,104783.0,96180,8603.2,7.0,57.6,108833,65.2,28.3,2.4,2.4,41.1,141.3,52.0,7.5
235,300002 ,2015JJ00,109194.0,100578,8615.8,7.1,56.9,113388,64.9,29.4,2.4,2.5,39.0,146.8,49.3,7.6
236,300002 ,2016JJ00,109525.0,100674,8850.5,6.5,55.6,113487,60.3,27.3,2.8,2.3,37.1,142.1,43.5,7.6
237,300002 ,2017JJ00,106918.0,98054,8864.0,6.7,52.5,110786,56.9,25.7,2.7,2.2,35.3,134.6,45.2,7.8
238,300002 ,2018JJ00,102783.0,93834,8948.2,6.2,50.7,106456,56.2,23.7,2.8,2.1,33.8,136.3,42.4,7.6
239,300002 ,2019JJ00,100535.0,90052,10482.9,6.2,50.1,104173,54.2,21.4,2.4,2.0,32.5,137.9,40.7,7.4
240,300002 ,2020JJ00,93986.0,80321,13664.6,5.8,50.7,97314,49.6,18.4,2.7,1.8,31.4,129.6,38.8,7.0
241,300002 ,2021JJ00,96368.0,80556,15811.7,5.2,47.6,99464,49.1,19.6,2.7,1.8,30.4,120.8,37.5,7.2
242,300002 ,2022JJ00,89828.0,75189,14638.9,3.8,44.0,92352,46.2,18.4,2.3,1.7,29.6,121.4,36.8,6.9
243,300002 ,2023JJ00,77774.0,65626,12148.7,3.1,43.9,80017,40.9,16.3,2.2,1.5,28.9,105.9,33.7,6.3
244,300002 ,2024JJ00,78248.0,66533,11714.4,3.2,42.8,80440,41.0,14.5,2.2,1.5,28.3,105.0,33.5,6.2
245,305700 ,1990JJ00,2353.0,2353,0.0,0.0,81.6,4639,7.3,1.7,0.2,0.2,0.0,0.6,15.9,0.0
246,305700 ,1991JJ00,2340.0,2340,0.0,0.0,81.6,4624,7.1,1.4,0.1,0.2,0.0,0.7,15.5,0.0
247,305700 ,1992JJ00,2390.0,2390,0.0,0.0,81.2,4664,7.6,1.5,0.1,0.2,0.0,0.7,15.1,0.0
248,305700 ,1993JJ00,2152.0,2152,0.0,0.0,81.0,4421,6.6,1.7,0.1,0.2,0.0,0.8,14.6,0.0
249,305700 ,1994JJ00,1940.0,1940,0.0,0.0,81.0,4208,5.3,1.6,0.1,0.2,0.0,0.9,14.2,0.0
250,305700 ,1995JJ00,2053.0,2053,0.0,0.0,81.1,4324,6.7,1.1,0.1,0.2,0.0,1.6,13.9,0.0
251,305700 ,1996JJ00,2139.0,2139,0.0,0.0,75.5,4253,6.8,2.2,0.1,0.2,0.0,1.6,15.4,1.4
252,305700 ,1997JJ00,2308.0,2308,0.0,0.0,51.1,3741,6.8,3.1,0.1,0.2,0.0,1.9,11.7,1.8
253,305700 ,1998JJ00,2342.0,2342,0.0,0.0,51.6,3788,7.1,3.6,0.0,0.3,0.0,1.3,12.2,1.1
254,305700 ,1999JJ00,2194.0,2194,0.1,0.0,44.6,3442,6.9,0.4,0.0,0.2,0.0,1.0,11.7,2.2
255,305700 ,2000JJ00,2197.0,2197,0.1,0.0,41.6,3362,6.4,0.7,0.0,0.2,0.0,0.9,11.2,0.1
256,305700 ,2001JJ00,2258.0,2258,0.1,0.0,41.1,3410,6.7,0.5,0.0,0.2,0.3,1.0,10.2,0.1
257,305700 ,2002JJ00,2403.0,2403,0.1,0.0,39.5,3510,6.6,0.8,0.0,0.2,0.0,0.7,9.3,0.1
258,305700 ,2003JJ00,2354.0,2354,0.1,0.0,39.0,3449,6.0,0.4,0.0,0.1,0.0,0.4,7.6,0.3
259,305700 ,2004JJ00,2413.0,2413,0.1,0.0,37.2,3456,5.0,0.4,0.0,0.1,0.0,0.9,6.1,0.1
260,305700 ,2005JJ00,2467.0,2467,0.1,0.0,39.8,3582,5.2,0.3,0.0,0.1,0.0,0.8,6.6,0.0
261,305700 ,2006JJ00,2376.0,2376,0.1,0.0,36.2,3390,5.2,0.4,0.0,0.1,0.0,0.8,6.4,0.1
262,305700 ,2007JJ00,2214.0,2213,0.3,0.0,38.8,3309,5.2,0.3,0.0,0.1,0.0,1.4,7.8,0.1
263,305700 ,2008JJ00,2213.0,2213,0.3,0.0,40.3,3350,5.0,0.3,0.0,0.1,0.0,1.0,7.7,0.1
264,305700 ,2009JJ00,2166.0,2166,0.3,0.0,34.6,3143,3.2,0.3,0.0,0.1,0.0,0.8,6.9,0.0
265,305700 ,2010JJ00,2362.0,2362,0.2,0.0,37.7,3426,4.9,0.3,0.0,0.1,0.0,0.6,7.0,0.0
266,305700 ,2011JJ00,2297.0,2297,0.3,0.0,37.9,3365,5.1,0.4,0.0,0.1,0.0,0.7,9.0,0.0
267,305700 ,2012JJ00,2391.0,2391,0.3,0.0,36.0,3406,5.5,0.3,0.0,0.1,0.0,0.6,7.6,0.0
268,305700 ,2013JJ00,2435.0,2435,0.4,0.0,33.1,3370,5.7,0.4,0.0,0.1,0.0,0.3,7.0,0.0
269,305700 ,2014JJ00,2364.0,2364,0.6,0.0,32.2,3274,6.2,0.3,0.0,0.1,0.0,0.4,6.4,0.0
270,305700 ,2015JJ00,2074.0,2074,0.4,0.0,30.8,2945,6.0,0.3,0.0,0.1,0.0,0.5,6.6,0.0
271,305700 ,2016JJ00,1883.0,1883,0.4,0.0,28.9,2701,4.5,0.2,0.0,0.1,0.0,0.6,5.7,0.0
272,305700 ,2017JJ00,1922.0,1921,0.6,0.0,25.5,2646,4.1,0.2,0.0,0.1,0.0,0.6,5.1,0.0
273,305700 ,2018JJ00,1840.0,1839,0.9,0.0,20.9,2434,3.8,0.1,0.0,0.1,0.0,0.8,3.3,0.0
274,305700 ,2019JJ00,1689.0,1688,1.1,0.1,22.1,2331,2.9,0.1,0.0,0.1,0.0,0.6,2.9,0.0
275,305700 ,2020JJ00,1639.0,1638,1.1,0.1,20.9,2239,2.7,0.1,0.0,0.1,0.0,0.5,2.9,0.0
276,305700 ,2021JJ00,1548.0,1547,1.4,0.1,18.5,2080,2.1,0.1,0.0,0.0,0.0,0.6,2.3,0.0
277,305700 ,2022JJ00,1322.0,1321,1.5,0.1,16.4,1796,2.2,0.0,0.0,0.0,0.0,0.6,2.0,0.0
278,305700 ,2023JJ00,1158.0,1157,1.5,0.0,16.7,1637,1.5,0.0,0.0,0.0,0.0,0.4,2.2,0.0
279,305700 ,2024JJ00,1145.0,1143,1.8,0.0,15.6,1593,1.5,0.0,0.0,0.0,0.0,0.4,2.1,0.0
280,307500 ,1990JJ00,52111.0,51929,181.6,23.9,15.4,65964,113.2,118.8,4.6,6.4,3419.5,325.5,160.4,34.3
281,307500 ,1991JJ00,54161.0,53970,191.2,23.9,15.4,67921,101.8,98.0,4.8,5.6,2810.2,290.2,148.0,31.6
282,307500 ,1992JJ00,54913.0,54709,204.0,24.1,15.5,69744,99.1,96.9,4.9,5.5,2201.0,281.3,137.9,29.1
283,307500 ,1993JJ00,50692.0,50484,207.8,25.7,15.3,66671,92.1,96.6,4.4,5.3,1591.7,271.8,127.7,26.6
284,307500 ,1994JJ00,50878.0,50659,219.2,25.2,15.4,68473,88.5,91.4,4.6,5.0,982.5,261.9,117.4,24.1
285,307500 ,1995JJ00,47568.0,47334,234.1,23.9,15.2,62505,86.7,91.2,4.1,5.0,373.3,260.4,108.9,22.4
286,307500 ,1996JJ00,48374.0,48136,238.6,23.9,15.4,66963,84.7,83.7,3.7,4.7,283.6,242.8,97.9,17.5
287,307500 ,1997JJ00,48054.0,47824,230.0,23.8,15.4,67389,77.5,79.7,3.4,4.4,194.0,215.9,87.4,14.9
288,307500 ,1998JJ00,47865.0,47640,225.2,23.8,15.4,67963,66.4,71.1,3.1,3.8,102.6,216.2,85.9,13.9
289,307500 ,1999JJ00,46716.0,46482,233.6,22.7,15.8,60700,60.8,63.5,2.8,3.5,52.0,202.3,80.4,13.1
290,307500 ,2000JJ00,46665.0,46437,227.8,23.2,15.8,57674,58.1,47.0,2.7,2.9,41.9,202.5,80.8,13.5
291,307500 ,2001JJ00,46301.0,46076,224.6,21.2,15.6,54868,59.0,50.5,2.8,3.0,34.3,200.2,66.1,12.4
292,307500 ,2002JJ00,45742.0,45514,228.1,20.4,16.9,54641,57.7,45.7,2.5,2.8,19.2,188.2,62.5,12.5
293,307500 ,2003JJ00,46818.0,46583,235.0,20.6,17.0,54108,56.7,41.9,2.7,2.7,0.1,181.1,57.7,11.6
294,307500 ,2004JJ00,46831.0,46565,266.5,22.5,17.0,54249,57.2,48.0,3.3,2.9,0.1,206.0,55.3,11.0
295,307500 ,2005JJ00,46688.0,46419,269.1,22.6,16.8,54003,56.1,47.6,2.5,2.9,0.0,193.1,57.8,10.1
296,307500 ,2006JJ00,45808.0,45513,295.2,22.5,15.6,53159,54.6,48.1,2.2,2.8,0.0,199.4,53.1,9.9
297,307500 ,2007JJ00,46584.0,46272,312.6,18.2,15.8,52850,52.6,46.2,2.0,2.7,0.0,191.7,52.2,9.5
298,307500 ,2008JJ00,46172.0,45730,441.5,6.0,15.3,49114,51.3,40.7,2.0,2.5,0.0,193.7,50.3,8.8
299,307500 ,2009JJ00,42209.0,41729,480.9,6.2,15.3,45168,44.2,28.2,1.9,2.0,0.0,140.8,44.7,7.9
300,307500 ,2010JJ00,45172.0,44716,456.0,5.3,15.9,48169,44.8,25.1,1.8,1.9,0.0,162.4,51.9,7.8
301,307500 ,2011JJ00,44470.0,44048,421.4,5.3,16.1,47210,44.3,25.4,2.0,1.9,0.0,151.4,49.6,7.7
302,307500 ,2012JJ00,43462.0,43022,440.6,5.3,15.9,46099,41.6,24.4,1.7,1.8,0.0,143.0,46.9,7.2
303,307500 ,2013JJ00,42809.0,42363,446.5,5.3,15.3,45548,38.7,18.8,1.5,1.5,0.0,129.5,46.7,7.1
304,307500 ,2014JJ00,42498.0,41994,504.0,5.6,15.5,44996,37.3,19.3,1.4,1.5,0.0,128.8,43.4,7.0
305,307500 ,2015JJ00,42944.0,42378,566.4,5.6,15.6,45566,36.1,20.4,1.4,1.5,0.0,134.5,41.4,7.0
306,307500 ,2016JJ00,44238.0,43667,571.0,4.9,15.8,46661,35.8,20.2,1.7,1.5,0.0,129.9,36.6,7.2
307,307500 ,2017JJ00,45399.0,44822,577.3,5.2,16.0,47837,34.1,20.5,1.6,1.5,0.0,122.7,38.9,7.4
308,307500 ,2018JJ00,45286.0,44634,652.4,4.7,17.3,47633,34.4,19.4,1.7,1.4,0.0,123.8,38.0,7.3
309,307500 ,2019JJ00,44828.0,44145,683.0,4.7,16.3,47126,33.9,18.4,1.4,1.4,0.0,126.4,36.6,7.1
310,307500 ,2020JJ00,44270.0,43537,732.8,4.3,17.3,46276,31.2,16.5,1.6,1.3,0.0,117.5,34.8,6.8
311,307500 ,2021JJ00,45029.0,44215,813.6,3.6,16.9,46845,30.9,16.9,1.5,1.3,0.0,108.8,34.1,7.0
312,307500 ,2022JJ00,41784.0,40976,808.3,2.3,16.5,43142,29.1,15.9,1.3,1.2,0.0,110.1,33.8,6.6
313,307500 ,2023JJ00,39036.0,38277,759.2,1.7,16.5,40154,26.9,14.4,1.2,1.1,0.0,96.0,30.6,6.1
314,307500 ,2024JJ00,40483.0,39694,789.9,1.9,16.7,41596,27.4,12.5,1.2,1.1,0.0,95.3,30.4,5.9
315,307610 ,1990JJ00,4654.0,4611,42.8,0.0,0.7,4676,12.3,2.0,0.2,0.3,286.7,19.6,11.7,5.0
316,307610 ,1991JJ00,4664.0,4613,51.6,0.0,0.7,4687,9.2,1.2,0.3,0.3,253.0,13.8,11.0,4.4
317,307610 ,1992JJ00,4956.0,4899,57.3,0.0,0.8,4981,10.4,1.4,0.3,0.3,219.3,14.6,10.9,3.9
318,307610 ,1993JJ00,5106.0,5047,59.4,0.0,0.8,5133,10.4,1.6,0.3,0.3,185.6,15.3,10.7,3.3
319,307610 ,1994JJ00,5019.0,4951,68.9,0.0,0.8,5046,9.6,1.0,0.4,0.3,151.8,15.9,10.5,2.8
320,307610 ,1995JJ00,4681.0,4601,79.6,0.0,0.8,4726,9.4,0.9,0.3,0.2,118.1,18.6,9.9,2.8
321,307610 ,1996JJ00,4955.0,4874,81.6,0.0,0.9,5010,9.2,0.7,0.3,0.2,89.1,17.6,8.5,2.4
322,307610 ,1997JJ00,4792.0,4723,69.5,0.0,0.9,4849,7.2,0.3,0.2,0.2,60.1,14.0,8.0,2.2
323,307610 ,1998JJ00,4869.0,4805,64.2,0.0,0.9,4928,7.2,0.5,0.3,0.2,31.0,14.1,8.8,2.1
324,307610 ,1999JJ00,5159.0,5088,71.2,0.0,1.0,5207,7.6,0.5,0.3,0.2,2.0,14.7,8.2,2.2
325,307610 ,2000JJ00,4977.0,4912,65.6,0.0,1.0,5137,7.6,0.7,0.2,0.2,1.7,15.2,10.1,2.2
326,307610 ,2001JJ00,4790.0,4726,63.5,0.0,1.0,4986,7.3,1.2,0.4,0.2,1.1,15.4,9.6,1.9
327,307610 ,2002JJ00,4916.0,4853,63.2,0.0,1.0,5146,7.2,0.9,0.4,0.2,0.5,15.5,8.7,1.8
328,307610 ,2003JJ00,4745.0,4680,65.2,0.0,1.0,5011,6.3,0.6,0.5,0.2,0.1,12.8,8.7,1.8
329,307610 ,2004JJ00,4648.0,4590,58.1,0.0,0.9,4947,6.9,0.6,0.5,0.2,0.0,14.1,8.6,1.8
330,307610 ,2005JJ00,4537.0,4488,49.4,0.0,0.9,4869,7.1,0.5,0.4,0.2,0.0,14.4,9.1,1.8
331,307610 ,2006JJ00,4330.0,4278,52.5,0.0,0.9,4693,6.7,0.9,0.4,0.2,0.0,13.6,8.6,1.6
332,307610 ,2007JJ00,4361.0,4308,52.9,0.0,0.9,4758,6.8,1.1,0.3,0.2,0.0,10.2,8.9,1.7
333,307610 ,2008JJ00,4193.0,4132,60.8,0.0,0.8,4627,6.5,0.9,0.4,0.2,0.0,11.2,8.8,1.6
334,307610 ,2009JJ00,3815.0,3742,72.5,0.0,0.8,4277,5.9,0.7,0.4,0.2,0.0,11.8,8.8,1.5
335,307610 ,2010JJ00,3965.0,3884,81.3,0.0,0.8,4442,5.7,0.7,0.6,0.2,0.0,11.2,8.8,1.5
336,307610 ,2011JJ00,4174.0,4108,66.6,0.0,0.8,4662,5.4,0.5,0.6,0.2,0.0,11.2,8.9,1.5
337,307610 ,2012JJ00,4000.0,3940,60.0,0.0,0.7,4500,5.1,0.6,0.5,0.2,0.0,10.9,5.9,1.5
338,307610 ,2013JJ00,3890.0,3811,79.2,0.0,0.6,4482,4.8,0.5,0.5,0.1,0.0,11.6,7.4,1.4
339,307610 ,2014JJ00,4108.0,4015,92.4,0.0,0.7,4599,4.8,0.6,0.4,0.1,0.0,12.0,7.2,1.6
340,307610 ,2015JJ00,4009.0,3908,101.8,0.0,0.8,4552,4.2,0.6,0.5,0.1,0.0,11.4,7.0,1.6
341,307610 ,2016JJ00,4069.0,3969,99.9,0.0,0.9,4507,4.0,0.6,0.5,0.1,0.0,11.1,5.6,1.6
342,307610 ,2017JJ00,4196.0,4098,98.1,0.0,0.8,4685,3.7,0.7,0.4,0.1,0.0,11.4,6.6,1.6
343,307610 ,2018JJ00,4221.0,4083,138.1,0.0,0.8,4511,3.5,0.6,0.4,0.1,0.0,11.6,6.7,1.7
344,307610 ,2019JJ00,4301.0,4146,155.0,0.0,0.8,4578,3.6,0.6,0.5,0.1,0.0,11.0,6.8,1.6
345,307610 ,2020JJ00,4210.0,4042,168.3,0.0,0.8,4480,3.1,0.6,0.7,0.1,0.0,10.6,6.3,1.6
346,307610 ,2021JJ00,4353.0,4177,176.4,0.0,0.8,4481,3.0,0.5,0.6,0.1,0.0,9.5,6.1,1.6
347,307610 ,2022JJ00,4141.0,3962,178.3,0.0,0.8,4268,2.8,0.4,0.5,0.1,0.0,8.6,6.2,1.5
348,307610 ,2023JJ00,3924.0,3742,181.6,0.0,0.9,4054,2.6,0.3,0.4,0.1,0.0,8.1,6.1,1.5
349,307610 ,2024JJ00,3758.0,3583,175.1,0.0,0.9,3887,2.5,0.3,0.4,0.1,0.0,7.9,6.3,1.4
350,312505 ,1990JJ00,314.0,314,0.0,0.0,0.0,315,1.0,0.8,0.0,0.0,0.0,1.7,2.7,0.3
351,312505 ,1991JJ00,323.0,323,0.0,0.0,0.0,324,0.8,0.4,0.0,0.0,0.0,1.0,2.3,0.3
352,312505 ,1992JJ00,334.0,333,0.1,0.0,0.0,335,0.6,0.2,0.0,0.0,0.0,1.1,1.9,0.2
353,312505 ,1993JJ00,346.0,346,0.1,0.0,0.0,348,0.6,0.1,0.0,0.0,0.0,1.1,1.5,0.2
354,312505 ,1994JJ00,338.0,337,0.1,0.0,0.0,339,0.6,0.0,0.0,0.0,0.0,1.1,1.2,0.2
355,312505 ,1995JJ00,427.0,427,0.1,0.0,0.0,429,0.7,0.0,0.0,0.0,0.0,1.5,0.9,0.1
356,312505 ,1996JJ00,381.0,381,0.1,0.0,0.0,382,0.7,0.0,0.0,0.0,0.0,1.3,0.9,0.0
357,312505 ,1997JJ00,427.0,427,0.1,0.0,0.0,429,0.7,0.0,0.0,0.0,0.0,1.2,0.7,0.0
358,312505 ,1998JJ00,446.0,446,0.1,0.0,0.0,448,0.6,0.0,0.0,0.0,0.0,1.4,0.7,0.0
359,312505 ,1999JJ00,369.0,369,0.1,0.0,0.0,371,0.5,0.0,0.0,0.0,0.0,1.9,0.8,0.0
360,312505 ,2000JJ00,413.0,413,0.1,0.0,0.0,415,0.6,0.0,0.0,0.0,0.0,2.2,0.8,0.1
361,312505 ,2001JJ00,345.0,345,0.1,0.0,0.0,346,0.5,0.0,0.0,0.0,0.0,2.1,0.8,0.1
362,312505 ,2002JJ00,340.0,340,0.1,0.0,0.0,341,0.5,0.0,0.0,0.0,0.0,2.1,0.8,0.1
363,312505 ,2003JJ00,340.0,340,0.1,0.0,0.0,342,0.5,0.0,0.0,0.0,0.0,2.1,0.7,0.1
364,312505 ,2004JJ00,296.0,296,0.1,0.0,0.0,297,0.5,0.0,0.0,0.0,0.0,1.8,0.7,0.1
365,312505 ,2005JJ00,258.0,257,0.1,0.0,0.0,259,0.4,0.1,0.0,0.0,0.0,1.7,0.7,0.1
366,312505 ,2006JJ00,227.0,227,0.1,0.0,0.0,228,0.4,0.0,0.0,0.0,0.0,1.4,0.7,0.1
367,312505 ,2007JJ00,221.0,221,0.5,0.0,0.0,222,0.4,0.0,0.0,0.0,0.0,0.8,0.6,0.1
368,312505 ,2008JJ00,219.0,218,0.5,0.0,0.0,220,0.4,0.0,0.0,0.0,0.0,0.8,0.6,0.1
369,312505 ,2009JJ00,208.0,207,0.6,0.0,0.0,209,0.4,0.0,0.0,0.0,0.0,0.8,0.5,0.1
370,312505 ,2010JJ00,231.0,231,0.3,0.0,0.0,233,0.4,0.0,0.0,0.0,0.0,1.1,0.5,0.1
371,312505 ,2011JJ00,204.0,203,0.5,0.0,0.0,205,0.3,0.0,0.0,0.0,0.0,1.2,0.6,0.1
372,312505 ,2012JJ00,208.0,208,0.5,0.0,0.0,209,0.3,0.0,0.0,0.0,0.0,0.8,0.6,0.1
373,312505 ,2013JJ00,193.0,192,0.6,0.0,0.0,194,0.3,0.0,0.0,0.0,0.0,0.5,0.5,0.1
374,312505 ,2014JJ00,159.0,159,0.7,0.0,0.0,160,0.3,0.0,0.0,0.0,0.0,0.5,0.5,0.1
375,312505 ,2015JJ00,182.0,181,0.7,0.0,0.0,183,0.2,0.0,0.0,0.0,0.0,0.5,0.5,0.1
376,312505 ,2016JJ00,180.0,179,0.6,0.0,0.0,181,0.2,0.0,0.0,0.0,0.0,0.5,0.5,0.1
377,312505 ,2017JJ00,167.0,166,0.7,0.0,0.0,168,0.2,0.0,0.0,0.0,0.0,0.5,0.5,0.1
378,312505 ,2018JJ00,162.0,161,1.0,0.0,0.0,163,0.2,0.0,0.0,0.0,0.0,0.5,0.5,0.1
379,312505 ,2019JJ00,183.0,182,1.2,0.0,0.0,184,0.2,0.0,0.0,0.0,0.0,0.5,0.5,0.1
380,312505 ,2020JJ00,152.0,150,1.4,0.0,0.0,153,0.1,0.0,0.0,0.0,0.0,0.5,0.4,0.1
381,312505 ,2021JJ00,165.0,163,1.7,0.0,0.0,166,0.1,0.0,0.0,0.0,0.0,0.4,0.5,0.1
382,312505 ,2022JJ00,145.0,144,1.5,0.0,0.0,146,0.1,0.0,0.0,0.0,0.0,0.4,0.4,0.1
383,312505 ,2023JJ00,147.0,145,1.8,0.0,0.0,148,0.1,0.0,0.0,0.0,0.0,0.4,0.4,0.1
384,312505 ,2024JJ00,113.0,112,1.8,0.0,0.0,114,0.1,0.0,0.0,0.0,0.0,0.4,0.4,0.1
385,315810 ,1990JJ00,1957.0,1865,91.8,0.0,0.2,1966,4.7,0.3,0.1,0.1,50.2,7.3,22.6,1.0
386,315810 ,1991JJ00,2047.0,1955,91.8,0.0,0.2,2056,4.5,0.3,0.1,0.1,40.2,4.6,21.4,1.0
387,315810 ,1992JJ00,1995.0,1901,93.9,0.0,0.2,2004,4.1,0.2,0.1,0.1,30.1,5.1,20.6,1.0
388,315810 ,1993JJ00,1960.0,1865,95.3,0.0,0.2,1969,4.2,0.3,0.1,0.1,20.1,5.4,19.7,0.9
389,315810 ,1994JJ00,1958.0,1861,97.0,0.0,0.3,1968,3.9,0.2,0.1,0.1,10.0,5.7,18.8,0.9
390,315810 ,1995JJ00,1655.0,1554,100.6,0.0,0.2,1663,4.0,0.1,0.1,0.1,0.0,7.0,18.5,0.9
391,315810 ,1996JJ00,1762.0,1659,102.9,0.0,0.2,1771,3.4,0.1,0.0,0.1,0.0,5.9,16.0,0.1
392,315810 ,1997JJ00,1787.0,1681,105.4,0.0,0.2,1796,3.4,0.1,0.1,0.1,0.0,4.2,15.7,0.1
393,315810 ,1998JJ00,1765.0,1659,105.9,0.0,0.2,1774,3.2,0.1,0.1,0.1,0.0,4.8,18.3,0.1
394,315810 ,1999JJ00,1810.0,1703,106.9,0.0,0.2,1819,2.6,0.1,0.0,0.1,0.0,4.8,15.9,0.1
395,315810 ,2000JJ00,1872.0,1766,106.7,0.0,0.2,1882,3.7,0.1,0.1,0.1,0.0,5.5,14.7,0.9
396,315810 ,2001JJ00,1742.0,1635,107.4,0.0,0.2,1751,3.4,0.1,0.1,0.1,0.0,5.6,11.2,0.9
397,315810 ,2002JJ00,1796.0,1683,112.4,0.0,0.2,1805,3.5,0.2,0.0,0.1,0.1,6.1,10.8,0.8
398,315810 ,2003JJ00,1717.0,1598,118.7,0.0,0.2,1725,3.5,0.1,0.0,0.1,0.0,5.1,8.2,0.8
399,315810 ,2004JJ00,1740.0,1590,149.8,0.0,0.2,1748,3.5,0.1,0.1,0.1,0.0,6.4,7.2,0.8
