ID,Aanbieders,Perioden,ZorguitgavenInclusiefWelzijn_1,UitgavenVoorGezondheidszorgIntDef_2,UitgavenOgvVerplichteVerzekeringen_3
266,2650,1998JJ00,396,260,88
267,2650,1999JJ00,504,341,94
268,2650,2000JJ00,521,338,98
269,2650,2001JJ00,678,448,125
270,2650,2002JJ00,902,605,130
271,2650,2003JJ00,781,496,144
272,2650,2004JJ00,852,550,167
273,2650,2005JJ00,936,627,195
274,2650,2006JJ00,904,650,315
275,2650,2007JJ00,1042,772,367
276,2650,2008JJ00,1239,985,483
277,2650,2009JJ00,1383,1124,592
278,2650,2010JJ00,1602,1242,718
279,2650,2011JJ00,1702,1387,808
280,2650,2012JJ00,1715,1419,855
281,2650,2013JJ00,1753,1455,891
282,2650,2014JJ00,1896,1552,986
283,2650,2015JJ00,2025,1670,1012
284,2650,2016JJ00,2053,1673,1024
285,2660,1998JJ00,1063,1060,357
286,2660,1999JJ00,1134,1132,379
287,2660,2000JJ00,1212,1210,400
288,2660,2001JJ00,1326,1324,440
289,2660,2002JJ00,1453,1451,491
290,2660,2003JJ00,1594,1592,557
291,2660,2004JJ00,1659,1656,554
292,2660,2005JJ00,1745,1742,576
293,2660,2006JJ00,1858,1854,846
294,2660,2007JJ00,1962,1958,875
295,2660,2008JJ00,2065,2062,913
296,2660,2009JJ00,2146,2144,965
297,2660,2010JJ00,2207,2204,1020
298,2660,2011JJ00,2270,2268,1076
299,2660,2012JJ00,2277,2275,1062
300,2660,2013JJ00,2258,2255,1044
301,2660,2014JJ00,2269,2266,1049
302,2660,2015JJ00,2299,2295,1046
303,2660,2016JJ00,2292,2288,1051
304,3300,1998JJ00,4228,64,0
305,3300,1999JJ00,4858,72,0
306,3300,2000JJ00,5419,76,0
307,3300,2001JJ00,6069,85,5
308,3300,2002JJ00,6357,95,10
309,3300,2003JJ00,6724,105,20
310,3300,2004JJ00,6696,120,30
311,3300,2005JJ00,6900,134,50
312,3300,2006JJ00,7182,193,255
313,3300,2007JJ00,7707,221,288
314,3300,2008JJ00,8345,286,326
315,3300,2009JJ00,9420,334,367
316,3300,2010JJ00,9812,376,410
317,3300,2011JJ00,9901,385,426
318,3300,2012JJ00,9842,480,545
319,3300,2013JJ00,9402,493,500
320,3300,2014JJ00,9289,497,504
321,3300,2015JJ00,9355,495,205
322,3300,2016JJ00,9664,516,219
323,3310,1998JJ00,1176,0,0
324,3310,1999JJ00,1348,0,0
325,3310,2000JJ00,1621,0,0
326,3310,2001JJ00,1829,0,0
327,3310,2002JJ00,2066,0,0
328,3310,2003JJ00,2332,0,0
329,3310,2004JJ00,2661,0,0
330,3310,2005JJ00,2826,0,0
331,3310,2006JJ00,3122,0,0
332,3310,2007JJ00,3384,0,0
333,3310,2008JJ00,3863,0,0
334,3310,2009JJ00,4279,0,0
335,3310,2010JJ00,4452,0,0
336,3310,2011JJ00,4690,0,0
337,3310,2012JJ00,4618,0,0
338,3310,2013JJ00,4212,0,0
339,3310,2014JJ00,4027,0,0
340,3310,2015JJ00,3969,0,0
341,3310,2016JJ00,4081,0,0
342,3320,1998JJ00,824,0,0
343,3320,1999JJ00,949,0,0
344,3320,2000JJ00,1063,0,0
345,3320,2001JJ00,1203,0,0
346,3320,2002JJ00,1159,0,0
347,3320,2003JJ00,1178,0,0
348,3320,2004JJ00,1170,0,0
349,3320,2005JJ00,1180,0,0
350,3320,2006JJ00,1244,20,24
351,3320,2007JJ00,1368,25,30
352,3320,2008JJ00,1432,35,45
353,3320,2009JJ00,1807,39,49
354,3320,2010JJ00,1922,44,55
355,3320,2011JJ00,1905,53,68
356,3320,2012JJ00,2009,90,124
357,3320,2013JJ00,2010,93,127
358,3320,2014JJ00,2009,87,121
359,3320,2015JJ00,1808,78,43
360,3320,2016JJ00,1685,73,40
361,3400,1998JJ00,2228,64,0
362,3400,1999JJ00,2561,72,0
363,3400,2000JJ00,2735,76,0
364,3400,2001JJ00,3038,85,5
365,3400,2002JJ00,3132,95,10
366,3400,2003JJ00,3214,105,20
367,3400,2004JJ00,2866,120,30
368,3400,2005JJ00,2894,134,50
369,3400,2006JJ00,2816,173,231
370,3400,2007JJ00,2955,196,258
371,3400,2008JJ00,3049,251,281
372,3400,2009JJ00,3334,295,318
373,3400,2010JJ00,3439,332,355
374,3400,2011JJ00,3306,332,358
375,3400,2012JJ00,3215,390,421
376,3400,2013JJ00,3180,400,373
377,3400,2014JJ00,3253,411,383
378,3400,2015JJ00,3577,417,162
379,3400,2016JJ00,3897,443,180
380,4000,1998JJ00,1762,1590,573
381,4000,1999JJ00,1873,1688,595
382,4000,2000JJ00,1963,1770,624
383,4000,2001JJ00,2128,1923,678
384,4000,2002JJ00,2275,2032,667
385,4000,2003JJ00,2348,2095,696
386,4000,2004JJ00,2424,2187,704
387,4000,2005JJ00,2799,2536,756
388,4000,2006JJ00,3044,2773,1531
389,4000,2007JJ00,3197,2914,1403
390,4000,2008JJ00,3102,2828,1290
391,4000,2009JJ00,3131,2825,1200
392,4000,2010JJ00,3129,2813,1211
393,4000,2011JJ00,3286,2957,1323
394,4000,2012JJ00,3226,2921,1341
395,4000,2013JJ00,3292,2985,1387
396,4000,2014JJ00,3403,3104,1471
397,4000,2015JJ00,3318,3019,1462
398,4000,2016JJ00,3261,2962,1402
