ID,Kenmerken,Marges,Perioden,ScoreGeluk_1,Ongelukkig_2,NietGelukkigNietOngelukkig_3,Gelukkig_4,ScoreTevredenheidMetHetLeven_5,Ontevreden_6,NietTevredenNietOntevreden_7,Tevreden_8,ScoreTevredenheidMetLichGezondheid_9,Ontevreden_10,NietTevredenNietOntevreden_11,Tevreden_12,ScoreTevredenheidPsychischeGezondheid_13,Ontevreden_14,NietTevredenNietOntevreden_15,Tevreden_16,ScoreTevredenheidMetGewicht_17,Ontevreden_18,NietTevredenNietOntevreden_19,Tevreden_20
138,A027866,MBG0095,2019JJ00,7.9,2.0,6.4,93.7,7.9,1.7,8.8,91.8,7.7,3.1,13.4,86.2,8.1,3.1,9.4,89.9,7.2,9.7,22.0,71.9
139,A027866,MBG0095,2020JJ00,7.9,2.2,8.0,92.1,7.8,2.1,9.5,90.9,7.7,3.2,13.4,86.1,8.0,3.5,10.4,88.7,7.2,10.4,22.8,70.5
140,A027866,MBG0095,2021JJ00,7.8,2.9,8.3,91.3,7.7,2.6,11.3,88.8,7.7,3.4,13.7,85.8,7.8,4.9,12.2,85.9,7.3,10.8,19.4,73.6
141,A027866,MBG0095,2022JJ00,7.8,1.9,9.2,91.2,7.7,2.1,11.6,88.6,7.9,1.6,10.0,90.6,7.9,3.3,12.7,86.6,7.1,10.7,23.4,69.5
142,A027866,MBG0095,2023JJ00,,,,,,,,,,,,,,,,,,,,
143,A027866,MBG0095,2024JJ00,,,,,,,,,,,,,,,,,,,,
144,A027867,MW00000,2013JJ00,7.5,2.7,12.8,84.4,7.4,4.0,16.8,79.2,6.1,16.1,37.0,46.8,7.4,6.5,15.7,77.8,6.6,15.3,26.1,58.6
145,A027867,MW00000,2014JJ00,7.5,3.0,13.0,84.0,7.3,4.2,16.0,79.8,6.2,15.2,37.8,47.0,7.4,6.8,15.9,77.2,6.6,14.4,28.3,57.3
146,A027867,MW00000,2015JJ00,7.5,3.1,12.8,84.1,7.4,4.2,15.5,80.3,6.1,16.6,36.2,47.1,7.4,7.8,17.0,75.3,6.6,15.4,25.8,58.8
147,A027867,MW00000,2016JJ00,7.5,2.7,12.0,85.3,7.4,3.7,14.6,81.7,6.2,16.1,35.2,48.7,7.5,6.0,15.0,79.1,6.6,15.3,26.9,57.8
148,A027867,MW00000,2017JJ00,7.6,2.5,12.3,85.1,7.5,4.0,13.4,82.6,6.1,17.4,34.0,48.6,7.4,7.1,15.6,77.4,6.5,16.3,27.8,55.9
149,A027867,MW00000,2018JJ00,7.4,3.6,13.0,83.4,7.4,3.0,15.8,81.2,6.1,15.9,35.6,48.6,7.2,8.8,16.4,74.8,6.6,14.8,26.4,58.9
150,A027867,MW00000,2019JJ00,7.5,3.2,10.3,86.5,7.5,2.9,11.4,85.6,6.2,15.4,36.9,47.6,7.4,7.2,16.1,76.8,6.6,15.5,26.0,58.4
151,A027867,MW00000,2020JJ00,7.4,3.4,14.4,82.2,7.4,3.1,17.1,79.8,6.2,14.8,37.4,47.9,7.2,8.3,18.3,73.4,6.6,14.7,27.1,58.2
152,A027867,MW00000,2021JJ00,7.4,3.7,14.1,82.2,7.4,3.8,15.9,80.3,6.1,16.3,37.7,46.1,7.2,8.6,18.8,72.6,6.5,15.5,27.2,57.3
153,A027867,MW00000,2022JJ00,7.4,3.6,14.2,82.2,7.3,3.8,16.2,79.9,6.4,11.8,36.0,52.1,7.2,8.3,19.2,72.4,6.5,18.1,24.3,57.6
154,A027867,MW00000,2023JJ00,,,,,,,,,,,,,,,,,,,,
155,A027867,MW00000,2024JJ00,,,,,,,,,,,,,,,,,,,,
156,A027867,MOG0095,2013JJ00,7.4,2.0,11.2,82.5,7.3,3.1,15.0,77.1,6.1,14.5,34.8,44.5,7.3,5.3,14.0,75.8,6.5,13.7,24.1,56.2
157,A027867,MOG0095,2014JJ00,7.4,2.3,11.5,82.2,7.3,3.3,14.3,77.8,6.1,13.6,35.7,44.7,7.3,5.7,14.3,75.2,6.5,12.9,26.3,55.0
158,A027867,MOG0095,2015JJ00,7.4,2.4,11.4,82.3,7.3,3.3,13.9,78.4,6.1,15.0,34.1,44.9,7.3,6.6,15.3,73.3,6.5,13.9,23.8,56.5
159,A027867,MOG0095,2016JJ00,7.5,2.0,10.6,83.6,7.4,2.9,13.0,79.9,6.1,14.5,33.1,46.5,7.4,4.9,13.4,77.2,6.5,13.7,25.0,55.5
160,A027867,MOG0095,2017JJ00,7.5,1.9,10.9,83.4,7.4,3.2,11.9,80.8,6.0,15.7,32.0,46.4,7.3,6.0,14.0,75.4,6.4,14.7,25.8,53.6
161,A027867,MOG0095,2018JJ00,7.3,2.8,11.5,81.5,7.3,2.3,14.1,79.2,6.1,14.3,33.4,46.3,7.1,7.5,14.8,72.7,6.5,13.2,24.4,56.6
162,A027867,MOG0095,2019JJ00,7.5,2.4,8.9,84.8,7.4,2.2,10.0,83.8,6.1,13.8,34.8,45.4,7.3,6.0,14.4,74.7,6.5,13.9,24.1,56.1
163,A027867,MOG0095,2020JJ00,7.4,2.6,12.8,80.2,7.3,2.3,15.3,77.8,6.1,13.2,35.2,45.6,7.2,7.1,16.5,71.3,6.5,13.1,25.1,55.8
164,A027867,MOG0095,2021JJ00,7.3,2.8,12.4,80.1,7.3,2.9,14.2,78.1,6.0,14.5,35.3,43.6,7.1,7.2,17.0,70.3,6.4,13.8,25.1,54.8
165,A027867,MOG0095,2022JJ00,7.3,2.9,12.7,80.5,7.3,3.1,14.7,78.1,6.3,10.5,34.0,50.0,7.1,7.2,17.6,70.5,6.4,16.5,22.5,55.5
166,A027867,MOG0095,2023JJ00,,,,,,,,,,,,,,,,,,,,
167,A027867,MOG0095,2024JJ00,,,,,,,,,,,,,,,,,,,,
168,A027867,MBG0095,2013JJ00,7.6,3.7,14.6,86.2,7.4,5.2,18.7,81.1,6.2,18.0,39.3,49.2,7.5,7.8,17.5,79.8,6.7,17.1,28.3,60.9
169,A027867,MBG0095,2014JJ00,7.5,4.0,14.7,85.6,7.4,5.3,17.8,81.6,6.2,16.9,40.1,49.3,7.5,8.1,17.7,79.1,6.7,16.1,30.4,59.5
170,A027867,MBG0095,2015JJ00,7.6,4.1,14.5,85.7,7.5,5.3,17.3,82.1,6.2,18.4,38.4,49.4,7.4,9.1,18.7,77.2,6.7,17.1,27.8,61.0
171,A027867,MBG0095,2016JJ00,7.6,3.5,13.6,86.9,7.5,4.7,16.3,83.5,6.2,17.9,37.3,51.0,7.6,7.2,16.7,80.9,6.7,17.0,29.0,60.0
172,A027867,MBG0095,2017JJ00,7.6,3.4,13.9,86.7,7.5,5.0,15.0,84.3,6.2,19.1,36.2,50.8,7.5,8.4,17.3,79.2,6.6,18.1,29.8,58.2
173,A027867,MBG0095,2018JJ00,7.5,4.6,14.7,85.1,7.4,4.0,17.6,83.0,6.2,17.6,37.7,50.8,7.3,10.2,18.2,76.8,6.7,16.5,28.4,61.1
174,A027867,MBG0095,2019JJ00,7.6,4.3,11.8,88.1,7.6,4.0,13.0,87.2,6.2,17.2,39.2,49.9,7.4,8.5,17.8,78.7,6.6,17.3,28.1,60.7
175,A027867,MBG0095,2020JJ00,7.5,4.4,16.3,84.0,7.5,4.1,19.0,81.7,6.2,16.5,39.6,50.2,7.3,9.8,20.2,75.4,6.7,16.5,29.2,60.4
176,A027867,MBG0095,2021JJ00,7.5,4.9,16.0,84.1,7.5,5.1,17.9,82.2,6.2,18.2,40.1,48.5,7.3,10.2,20.9,74.8,6.6,17.5,29.5,59.7
177,A027867,MBG0095,2022JJ00,7.5,4.5,15.8,83.8,7.4,4.8,17.9,81.6,6.4,13.3,38.1,54.2,7.2,9.7,21.0,74.3,6.6,19.8,26.2,59.7
178,A027867,MBG0095,2023JJ00,,,,,,,,,,,,,,,,,,,,
179,A027867,MBG0095,2024JJ00,,,,,,,,,,,,,,,,,,,,
180,A027868,MW00000,2013JJ00,7.0,10.5,22.7,66.8,6.7,14.2,21.9,63.9,4.4,49.6,30.8,19.6,6.7,19.9,18.4,61.7,6.3,20.5,23.0,56.5
181,A027868,MW00000,2014JJ00,6.9,9.3,25.5,65.2,6.6,13.7,26.8,59.5,4.4,51.4,27.4,21.2,6.5,18.8,19.9,61.3,6.4,19.4,24.4,56.2
182,A027868,MW00000,2015JJ00,6.7,11.0,25.0,64.0,6.4,17.5,23.9,58.6,4.2,54.9,27.6,17.5,6.6,19.7,18.9,61.5,6.4,19.7,23.3,57.0
183,A027868,MW00000,2016JJ00,6.8,11.4,21.7,67.0,6.7,10.7,29.3,59.9,4.5,51.1,29.4,19.5,6.6,19.8,19.8,60.3,6.3,18.8,24.2,57.0
184,A027868,MW00000,2017JJ00,6.7,13.2,22.8,64.0,6.5,16.4,23.2,60.4,4.4,52.1,29.1,18.8,6.5,18.3,22.6,59.1,6.3,18.9,28.8,52.3
185,A027868,MW00000,2018JJ00,7.0,8.4,20.5,71.0,6.8,9.6,23.5,66.9,4.6,46.7,33.7,19.5,6.7,15.9,22.8,61.3,6.4,20.4,23.4,56.2
186,A027868,MW00000,2019JJ00,6.8,9.0,24.7,66.2,6.8,8.7,26.1,65.2,4.6,46.3,31.1,22.6,6.6,19.1,21.2,59.7,6.5,16.1,25.2,58.7
187,A027868,MW00000,2020JJ00,6.9,8.5,24.4,67.1,6.7,11.0,28.5,60.5,4.7,45.2,31.3,23.5,6.6,17.6,20.5,61.9,6.4,17.6,26.3,56.0
188,A027868,MW00000,2021JJ00,6.9,9.7,21.4,68.9,6.7,12.2,26.4,61.4,4.6,47.6,31.6,20.8,6.6,19.4,18.5,62.2,6.5,16.2,26.3,57.5
189,A027868,MW00000,2022JJ00,6.7,11.8,23.5,64.7,6.6,12.7,27.5,59.9,4.7,46.7,32.7,20.6,6.5,19.6,20.2,60.3,6.4,20.3,24.4,55.3
190,A027868,MW00000,2023JJ00,,,,,,,,,,,,,,,,,,,,
191,A027868,MW00000,2024JJ00,,,,,,,,,,,,,,,,,,,,
192,A027868,MOG0095,2013JJ00,6.8,7.9,19.0,62.3,6.5,11.3,18.3,59.4,4.2,45.0,26.7,16.2,6.4,16.5,15.1,57.1,6.1,17.0,19.3,51.8
193,A027868,MOG0095,2014JJ00,6.7,7.0,21.8,60.8,6.4,10.9,23.0,55.0,4.2,47.0,23.6,17.8,6.3,15.5,16.6,56.9,6.2,15.9,20.7,51.7
194,A027868,MOG0095,2015JJ00,6.6,8.5,21.5,59.9,6.2,14.5,20.5,54.4,4.0,50.7,24.1,14.5,6.4,16.5,15.8,57.3,6.2,16.5,19.9,52.7
195,A027868,MOG0095,2016JJ00,6.7,8.8,18.1,62.6,6.5,8.2,25.4,55.4,4.3,46.6,25.5,16.1,6.3,16.3,16.5,55.8,6.1,15.5,20.5,52.4
196,A027868,MOG0095,2017JJ00,6.5,10.5,19.4,59.8,6.3,13.4,19.9,56.2,4.3,47.9,25.5,15.7,6.3,15.1,19.2,54.8,6.1,15.7,25.0,47.9
197,A027868,MOG0095,2018JJ00,6.8,6.3,17.2,66.9,6.6,7.2,20.0,62.7,4.4,42.6,29.9,16.3,6.5,13.0,19.4,57.1,6.1,17.0,20.0,51.8
198,A027868,MOG0095,2019JJ00,6.7,6.7,21.1,61.9,6.6,6.5,22.3,60.8,4.4,42.0,27.2,19.1,6.3,15.8,17.8,55.3,6.3,13.0,21.5,54.2
199,A027868,MOG0095,2020JJ00,6.8,6.4,20.6,62.8,6.5,8.6,24.5,56.0,4.5,40.9,27.4,20.0,6.4,14.5,17.1,57.6,6.2,14.4,22.5,51.5
200,A027868,MOG0095,2021JJ00,6.7,7.2,17.6,64.2,6.5,9.2,22.4,56.6,4.4,42.9,27.5,17.1,6.4,15.8,15.0,57.4,6.3,12.9,22.2,52.5
201,A027868,MOG0095,2022JJ00,6.6,9.2,20.1,60.5,6.4,10.0,23.8,55.7,4.5,42.7,28.9,17.4,6.3,16.4,17.0,56.1,6.2,17.0,20.9,51.0
202,A027868,MOG0095,2023JJ00,,,,,,,,,,,,,,,,,,,,
203,A027868,MOG0095,2024JJ00,,,,,,,,,,,,,,,,,,,,
204,A027868,MBG0095,2013JJ00,7.1,13.7,26.8,71.1,6.9,17.7,25.9,68.2,4.6,54.1,35.2,23.5,6.9,23.9,22.2,66.0,6.6,24.7,27.0,61.1
205,A027868,MBG0095,2014JJ00,7.0,12.4,29.6,69.3,6.8,17.2,30.9,63.8,4.6,55.8,31.5,25.1,6.8,22.6,23.7,65.6,6.7,23.3,28.5,60.7
206,A027868,MBG0095,2015JJ00,6.9,14.0,28.8,68.0,6.6,21.0,27.6,62.7,4.4,59.0,31.5,20.9,6.8,23.3,22.4,65.5,6.6,23.4,27.1,61.1
207,A027868,MBG0095,2016JJ00,7.0,14.6,25.7,71.1,6.8,13.9,33.6,64.3,4.7,55.6,33.7,23.3,6.8,23.9,23.7,64.7,6.5,22.7,28.3,61.5
208,A027868,MBG0095,2017JJ00,6.9,16.6,26.6,68.0,6.7,19.9,27.0,64.5,4.6,56.2,33.0,22.4,6.7,21.9,26.4,63.2,6.5,22.6,32.9,56.6
209,A027868,MBG0095,2018JJ00,7.1,11.3,24.3,74.8,6.9,12.6,27.4,70.9,4.8,51.0,37.8,23.1,6.9,19.3,26.6,65.4,6.6,24.2,27.3,60.5
210,A027868,MBG0095,2019JJ00,7.0,12.2,28.8,70.3,6.9,11.6,30.2,69.3,4.8,50.7,35.3,26.5,6.8,22.9,25.0,64.0,6.7,19.7,29.3,63.1
211,A027868,MBG0095,2020JJ00,7.1,11.2,28.5,71.2,6.8,14.0,32.8,64.8,4.9,49.5,35.5,27.5,6.8,21.3,24.2,66.1,6.6,21.4,30.5,60.5
212,A027868,MBG0095,2021JJ00,7.1,13.0,25.8,73.3,6.9,16.0,30.8,66.0,4.8,52.3,36.0,25.1,6.9,23.4,22.6,66.7,6.7,20.3,30.9,62.3
213,A027868,MBG0095,2022JJ00,6.9,14.9,27.3,68.7,6.8,15.9,31.4,64.0,4.9,50.9,36.6,24.2,6.7,23.1,23.7,64.3,6.6,24.0,28.2,59.6
214,A027868,MBG0095,2023JJ00,,,,,,,,,,,,,,,,,,,,
215,A027868,MBG0095,2024JJ00,,,,,,,,,,,,,,,,,,,,
216,A027869,MW00000,2013JJ00,,,,,,,,,,,,,,,,,,,,
217,A027869,MW00000,2014JJ00,7.4,3.6,15.2,81.3,7.2,8.6,14.3,77.1,6.7,18.2,16.2,65.6,7.3,9.1,19.5,71.5,6.8,19.1,17.1,63.8
218,A027869,MW00000,2015JJ00,7.4,4.1,17.7,78.2,7.2,6.7,15.9,77.3,6.7,18.6,14.3,67.1,7.2,11.7,16.3,72.0,6.3,27.3,19.3,53.4
219,A027869,MW00000,2016JJ00,7.6,5.8,16.1,78.1,7.3,8.4,14.5,77.1,7.0,16.9,13.8,69.4,7.4,10.4,15.1,74.4,7.0,17.1,20.5,62.5
220,A027869,MW00000,2017JJ00,,,,,,,,,,,,,,,,,,,,
221,A027869,MW00000,2018JJ00,,,,,,,,,,,,,,,,,,,,
222,A027869,MW00000,2019JJ00,,,,,,,,,,,,,,,,,,,,
223,A027869,MW00000,2020JJ00,,,,,,,,,,,,,,,,,,,,
224,A027869,MW00000,2021JJ00,,,,,,,,,,,,,,,,,,,,
225,A027869,MW00000,2022JJ00,7.4,4.7,13.5,81.8,7.1,9.1,17.1,73.8,7.2,11.6,18.5,69.8,7.1,12.1,18.2,69.7,7.1,11.4,23.7,64.8
226,A027869,MW00000,2023JJ00,,,,,,,,,,,,,,,,,,,,
227,A027869,MW00000,2024JJ00,7.3,3.7,14.8,81.5,7.2,3.7,20.8,75.5,6.7,18.5,15.6,66.0,7.0,10.6,21.4,68.0,6.9,12.1,27.7,60.2
228,A027869,MOG0095,2013JJ00,,,,,,,,,,,,,,,,,,,,
229,A027869,MOG0095,2014JJ00,7.1,1.3,9.5,72.7,6.9,4.5,8.7,67.9,6.3,11.7,10.6,56.1,7.0,4.9,13.0,62.2,6.3,12.5,10.9,54.1
230,A027869,MOG0095,2015JJ00,7.1,1.6,11.8,69.7,6.9,3.3,10.2,68.6,6.3,12.6,9.1,58.1,6.8,7.0,10.5,63.2,5.8,20.0,13.3,44.4
231,A027869,MOG0095,2016JJ00,7.2,2.4,10.1,68.7,6.9,4.0,9.0,67.6,6.5,10.5,8.2,59.3,7.0,5.6,9.3,64.8,6.5,10.7,13.4,52.3
232,A027869,MOG0095,2017JJ00,,,,,,,,,,,,,,,,,,,,
233,A027869,MOG0095,2018JJ00,,,,,,,,,,,,,,,,,,,,
234,A027869,MOG0095,2019JJ00,,,,,,,,,,,,,,,,,,,,
235,A027869,MOG0095,2020JJ00,,,,,,,,,,,,,,,,,,,,
236,A027869,MOG0095,2021JJ00,,,,,,,,,,,,,,,,,,,,
237,A027869,MOG0095,2022JJ00,7.2,2.1,8.6,74.1,6.7,5.1,11.4,65.4,6.8,7.2,12.7,61.3,6.7,7.4,12.3,61.0,6.7,6.9,17.0,56.0
238,A027869,MOG0095,2023JJ00,,,,,,,,,,,,,,,,,,,,
239,A027869,MOG0095,2024JJ00,7.1,1.4,9.3,73.0,6.9,1.5,14.2,66.7,6.3,12.4,10.0,56.9,6.7,6.0,14.8,58.8,6.5,7.3,20.1,50.9
240,A027869,MBG0095,2013JJ00,,,,,,,,,,,,,,,,,,,,
241,A027869,MBG0095,2014JJ00,7.7,9.4,23.2,87.6,7.5,15.9,22.6,84.2,7.2,27.1,24.0,74.0,7.6,16.2,28.1,79.2,7.3,28.0,25.8,72.5
242,A027869,MBG0095,2015JJ00,7.6,9.8,25.8,84.8,7.5,13.1,24.0,84.2,7.0,26.5,22.0,75.0,7.5,19.0,24.2,79.5,6.8,36.1,27.2,62.2
243,A027869,MBG0095,2016JJ00,7.9,13.2,24.7,85.3,7.7,16.7,22.6,84.4,7.4,26.1,22.2,77.8,7.8,18.5,23.7,82.2,7.5,26.0,29.9,71.6
244,A027869,MBG0095,2017JJ00,,,,,,,,,,,,,,,,,,,,
245,A027869,MBG0095,2018JJ00,,,,,,,,,,,,,,,,,,,,
246,A027869,MBG0095,2019JJ00,,,,,,,,,,,,,,,,,,,,
247,A027869,MBG0095,2020JJ00,,,,,,,,,,,,,,,,,,,,
248,A027869,MBG0095,2021JJ00,,,,,,,,,,,,,,,,,,,,
249,A027869,MBG0095,2022JJ00,7.7,10.1,20.6,87.6,7.4,15.7,24.8,80.9,7.5,18.3,26.3,77.2,7.5,19.2,26.0,77.2,7.5,18.3,32.2,72.8
250,A027869,MBG0095,2023JJ00,,,,,,,,,,,,,,,,,,,,
251,A027869,MBG0095,2024JJ00,7.6,9.7,22.8,87.8,7.5,8.8,29.4,82.6,7.1,26.6,23.3,74.0,7.3,18.0,30.0,76.0,7.3,19.4,36.8,68.8
252,A027870,MW00000,2013JJ00,7.7,2.0,9.3,88.7,7.6,2.9,12.1,85.0,7.5,5.8,14.8,79.4,7.9,3.6,9.5,86.9,7.8,3.4,12.1,84.5
253,A027870,MW00000,2014JJ00,7.7,2.4,8.4,89.2,7.6,3.1,11.2,85.7,7.4,7.0,14.5,78.4,7.9,3.6,9.9,86.5,7.8,3.7,13.0,83.2
254,A027870,MW00000,2015JJ00,7.7,2.6,9.4,88.0,7.6,3.4,11.7,85.0,7.4,7.5,15.1,77.4,7.9,4.2,10.9,84.9,7.8,3.9,11.4,84.7
255,A027870,MW00000,2016JJ00,7.8,2.1,8.4,89.6,7.7,2.5,10.5,87.0,7.3,6.9,15.5,77.6,7.9,3.7,10.0,86.3,7.8,3.8,12.4,83.8
256,A027870,MW00000,2017JJ00,7.8,2.5,8.5,89.0,7.6,3.1,10.2,86.7,7.3,7.1,14.7,78.2,7.8,4.4,11.1,84.5,7.8,3.8,12.8,83.4
257,A027870,MW00000,2018JJ00,7.7,2.5,8.3,89.2,7.7,2.4,10.4,87.2,7.3,7.0,15.7,77.3,7.7,5.1,12.1,82.9,7.8,3.3,12.6,84.1
258,A027870,MW00000,2019JJ00,7.7,2.5,7.9,89.6,7.7,2.3,8.9,88.8,7.3,7.0,15.4,77.6,7.8,4.6,11.1,84.3,7.8,3.2,11.6,85.2
259,A027870,MW00000,2020JJ00,7.7,2.7,9.0,88.4,7.6,2.8,11.0,86.2,7.3,6.6,15.9,77.5,7.7,4.9,12.1,83.0,7.8,3.3,12.6,84.1
260,A027870,MW00000,2021JJ00,7.7,2.6,9.9,87.5,7.6,2.9,12.8,84.3,7.4,6.3,15.9,77.8,7.6,5.8,13.0,81.2,7.9,3.1,10.7,86.1
261,A027870,MW00000,2022JJ00,7.6,2.3,10.1,87.6,7.5,2.6,13.3,84.1,7.5,5.3,14.6,80.1,7.6,5.2,14.2,80.6,7.8,4.1,12.9,83.1
262,A027870,MW00000,2023JJ00,7.6,2.2,10.8,87.1,7.6,2.8,12.1,85.1,7.5,5.6,14.2,80.2,7.6,5.1,13.0,81.9,7.8,3.0,13.6,83.3
263,A027870,MW00000,2024JJ00,7.7,2.1,9.8,88.1,7.6,2.5,11.6,85.9,7.5,5.5,13.8,80.7,7.7,4.5,13.0,82.6,7.7,4.3,12.7,83.0
264,A027870,MOG0095,2013JJ00,7.7,1.5,8.3,87.5,7.5,2.3,11.0,83.7,7.4,5.0,13.6,78.0,7.9,3.0,8.5,85.7,7.8,2.8,11.0,83.2
265,A027870,MOG0095,2014JJ00,7.7,1.9,7.4,88.0,7.5,2.5,10.1,84.4,7.3,6.2,13.3,77.0,7.8,3.0,8.9,85.2,7.7,3.1,11.9,81.9
266,A027870,MOG0095,2015JJ00,7.7,2.1,8.4,86.8,7.5,2.8,10.6,83.7,7.3,6.6,13.9,76.0,7.8,3.5,9.9,83.6,7.8,3.3,10.4,83.4
267,A027870,MOG0095,2016JJ00,7.8,1.6,7.4,88.4,7.6,2.0,9.5,85.7,7.3,6.0,14.3,76.1,7.8,3.1,9.0,85.0,7.7,3.2,11.3,82.4
268,A027870,MOG0095,2017JJ00,7.7,1.9,7.5,87.8,7.6,2.6,9.1,85.4,7.3,6.3,13.5,76.8,7.7,3.7,10.0,83.1,7.7,3.2,11.7,82.0
269,A027870,MOG0095,2018JJ00,7.7,2.0,7.3,88.0,7.6,1.9,9.4,85.9,7.3,6.1,14.5,75.8,7.7,4.3,11.0,81.5,7.8,2.7,11.5,82.8
270,A027870,MOG0095,2019JJ00,7.7,2.0,6.9,88.4,7.6,1.8,7.9,87.5,7.3,6.1,14.2,76.1,7.7,3.9,10.0,82.9,7.8,2.6,10.5,83.9
271,A027870,MOG0095,2020JJ00,7.6,2.1,7.9,87.1,7.6,2.2,9.9,84.8,7.3,5.7,14.7,76.0,7.6,4.1,10.9,81.6,7.8,2.6,11.4,82.7
272,A027870,MOG0095,2021JJ00,7.6,2.0,8.7,86.1,7.5,2.3,11.6,82.7,7.3,5.5,14.6,76.1,7.5,4.9,11.7,79.6,7.8,2.5,9.6,84.7
273,A027870,MOG0095,2022JJ00,7.6,1.8,9.1,86.4,7.5,2.1,12.1,82.8,7.5,4.6,13.4,78.7,7.5,4.4,13.1,79.2,7.7,3.4,11.7,81.7
274,A027870,MOG0095,2023JJ00,7.6,1.7,9.7,85.8,7.5,2.3,11.0,83.7,7.4,4.8,13.1,78.8,7.5,4.4,11.8,80.5,7.8,2.5,12.5,81.9
275,A027870,MOG0095,2024JJ00,7.7,1.6,8.8,86.8,7.6,2.0,10.5,84.6,7.5,4.8,12.6,79.2,7.6,3.8,11.8,81.1,7.7,3.6,11.6,81.6
276,A027870,MBG0095,2013JJ00,7.8,2.6,10.5,89.8,7.6,3.6,13.3,86.2,7.5,6.6,16.1,80.8,8.0,4.4,10.6,88.1,7.9,4.1,13.3,85.7
277,A027870,MBG0095,2014JJ00,7.8,3.0,9.4,90.3,7.6,3.8,12.4,86.9,7.5,8.0,15.8,79.8,7.9,4.4,11.0,87.7,7.9,4.5,14.2,84.5
278,A027870,MBG0095,2015JJ00,7.8,3.2,10.4,89.1,7.6,4.1,12.8,86.2,7.4,8.5,16.3,78.8,7.9,5.0,12.0,86.1,7.9,4.6,12.6,85.9
279,A027870,MBG0095,2016JJ00,7.8,2.7,9.4,90.6,7.7,3.1,11.7,88.1,7.4,7.8,16.8,79.0,7.9,4.5,11.1,87.4,7.8,4.6,13.6,85.0
280,A027870,MBG0095,2017JJ00,7.8,3.1,9.6,90.1,7.7,3.9,11.3,87.9,7.4,8.1,15.9,79.6,7.8,5.2,12.3,85.8,7.8,4.5,14.1,84.6
281,A027870,MBG0095,2018JJ00,7.8,3.1,9.4,90.3,7.7,3.0,11.6,88.3,7.4,7.9,17.0,78.7,7.8,5.9,13.2,84.2,7.9,4.0,13.8,85.3
282,A027870,MBG0095,2019JJ00,7.8,3.2,9.0,90.7,7.7,3.0,10.0,89.9,7.4,8.0,16.7,79.1,7.8,5.5,12.3,85.6,7.9,3.9,12.8,86.5
283,A027870,MBG0095,2020JJ00,7.7,3.4,10.1,89.5,7.7,3.5,12.3,87.5,7.4,7.5,17.3,79.0,7.7,5.8,13.4,84.4,7.9,4.0,13.9,85.4
284,A027870,MBG0095,2021JJ00,7.7,3.3,11.1,88.8,7.6,3.7,14.2,85.7,7.4,7.4,17.4,79.3,7.6,6.8,14.4,82.7,7.9,3.9,12.0,87.4
285,A027870,MBG0095,2022JJ00,7.7,2.9,11.3,88.7,7.6,3.3,14.5,85.4,7.6,6.2,15.8,81.4,7.6,6.0,15.5,82.0,7.8,4.8,14.1,84.3
286,A027870,MBG0095,2023JJ00,7.7,2.8,11.9,88.2,7.6,3.5,13.3,86.3,7.6,6.4,15.5,81.5,7.7,6.0,14.2,83.2,7.9,3.7,14.9,84.6
287,A027870,MBG0095,2024JJ00,7.7,2.7,11.0,89.2,7.7,3.2,12.8,87.1,7.6,6.4,15.1,82.0,7.7,5.3,14.2,83.9,7.8,5.1,14.0,84.3
288,A027871,MW00000,2013JJ00,7.7,2.3,9.3,88.4,7.6,3.0,12.5,84.5,6.9,10.4,21.8,67.8,7.8,4.3,9.8,85.9,6.4,13.6,33.1,53.3
289,A027871,MW00000,2014JJ00,7.8,1.6,9.0,89.4,7.6,2.4,11.1,86.5,7.0,9.0,21.6,69.4,7.8,4.1,9.3,86.6,6.4,13.3,33.5,53.2
290,A027871,MW00000,2015JJ00,7.7,2.1,8.8,89.1,7.6,3.6,11.3,85.0,6.8,11.6,21.1,67.3,7.8,5.1,9.9,85.0,6.4,13.6,33.1,53.3
291,A027871,MW00000,2016JJ00,7.7,2.9,8.6,88.6,7.6,2.8,11.7,85.5,6.8,10.3,23.5,66.2,7.8,4.2,10.6,85.3,6.3,14.0,34.3,51.7
292,A027871,MW00000,2017JJ00,7.7,2.7,9.4,87.9,7.7,3.2,10.7,86.1,6.8,11.3,22.4,66.4,7.8,4.4,11.4,84.2,6.3,15.1,32.7,52.3
293,A027871,MW00000,2018JJ00,7.7,2.8,9.7,87.5,7.6,2.0,12.1,85.9,6.9,9.9,23.1,67.0,7.7,4.7,12.2,83.1,6.4,14.4,32.2,53.4
294,A027871,MW00000,2019JJ00,7.7,2.4,7.8,89.8,7.7,1.6,10.3,88.2,6.9,8.9,22.3,68.8,7.8,4.4,10.9,84.6,6.4,12.8,33.9,53.3
295,A027871,MW00000,2020JJ00,7.7,2.4,9.7,88.0,7.6,2.2,12.2,85.7,6.9,9.4,22.3,68.4,7.7,4.9,12.5,82.6,6.4,12.2,34.2,53.6
296,A027871,MW00000,2021JJ00,7.6,3.0,10.2,86.8,7.6,3.3,11.5,85.2,6.8,9.9,22.3,67.7,7.6,6.3,12.7,81.0,6.4,13.5,31.4,55.0
297,A027871,MW00000,2022JJ00,7.6,2.9,11.0,86.1,7.5,2.9,12.3,84.7,7.1,7.9,19.5,72.6,7.6,5.1,13.5,81.4,6.4,14.6,32.3,53.1
