ID,RegioS,Perioden,Mestproductie_1,StikstofuitscheidingN_2,TotaalStikstofverliezenN_3,AmmoniakemissieN_4,OverigeGasvormigeStikstofverliezenN_5,SpuiwaterLuchtwassersN_6,StikstofInOpgeslagenMestEnWeidemest_7,FosfaatuitscheidingP2O5_8,StikstofInDierlijkeMestPerHectare_9,FosfaatInDierlijkeMestPerHectare_10,AangevoerdeMest_11,StikstofInAangevoerdeMestN_12,FosfaatInAangevoerdeMestP2O5_13,AfgevoerdeMest_14,StikstofInAfgevoerdeMestN_15,FosfaatInAfgevoerdeMestP2O5_16,GebruikteMest_17,StikstofInGebruikteMestN_18,FosfaatInGebruikteMestP2O5_19,StikstofInGebruikteMestPerHectare_20,FosfaatInGebruikteMestPerHectare_21,TotaalBemestbareCultuurgrond_22,Grasland_23,Snijmais_24,OverigBouwland_25,PlaatsingsruimteStikstofN_26,PlaatsingsruimteFosfaatP2O5_27,RestPlaatsingsruimteStikstofN_28,RestPlaatsingsruimteFosfaatP2O5_29,BenuttingsgraadStikstof_30,BenuttingsgraadFosfaat_31
312,PV25  ,2006JJ00,12323,81660,12300,10660,1500,150,69360,30540,287,126,1601,9170,4550,3349,25230,14100,10575,53290,20990,221,87,241684,162771,42047,36867,55300.0,24610,2000.0,3630,96.0,85
313,PV25  ,2007JJ00,12226,83130,12570,10770,1550,250,70570,30420,291,126,1740,10660,5300,3744,32030,17440,10222,49200,18280,203,75,242184,162834,42783,36567,55590.0,23840,6390.0,5560,88.0,77
314,PV25  ,2008JJ00,12536,85470,12910,11110,1550,260,72560,31610,300,131,1757,9860,4850,3675,31540,17300,10618,50880,19160,210,79,241998,160306,45782,35910,55460.0,22970,4590.0,3810,92.0,83
315,PV25  ,2009JJ00,12718,83240,12740,10950,1540,250,70500,31030,292,128,1661,9350,4680,3904,31800,17540,10475,48050,18180,199,75,241824,161304,45125,35395,55580.0,22970,7530.0,4800,86.0,79
316,PV25  ,2010JJ00,12592,84560,12570,10600,1530,450,71990,31760,303,134,1816,9680,4820,3926,30940,16780,10481,50730,19790,214,83,237394,160389,42497,34508,54620.0,20760,3890.0,970,93.0,95
317,PV25  ,2011JJ00,12363,82230,12570,10230,1510,830,69660,30110,298,129,1971,11080,5350,3971,31580,16750,10363,49170,18710,210,80,233762,158260,42416,33086,53850.0,20210,4680.0,1490,91.0,93
318,PV25  ,2012JJ00,12142,77720,11830,9560,1410,860,65880,27960,285,121,2113,12210,5630,3976,32050,16510,10278,46050,17080,199,74,231517,157597,42226,31694,53400.0,18760,7350.0,1680,86.0,91
319,PV25  ,2013JJ00,12486,79600,11610,9070,1420,1130,67990,28790,293,124,2106,11860,5580,3977,31030,15880,10615,48820,18500,211,80,231761,156281,42131,33349,53280.0,18110,4460.0,-380,92.0,102
320,PV25  ,2014JJ00,12644,82400,11990,9370,1480,1140,70410,29940,305,129,2159,11020,5040,4080,30450,15650,10723,50980,19330,220,84,231215,158217,41753,31245,50350.0,18350,-620.0,-980,101.0,105
321,PV25  ,2015JJ00,12836,83060,12010,9360,1480,1170,71050,30540,304,131,2316,11450,5030,4642,33340,17070,10510,49150,18510,211,79,233352,162089,41025,30238,52170.0,17960,3020.0,-550,94.0,103
322,PV25  ,2016JJ00,13059,83960,12160,9440,1510,1220,71800,29990,320,134,2200,10580,4330,4647,31810,16210,10612,50570,18110,225,81,224312,156034,38189,30090,50770.0,17700,200.0,-410,100.0,102
323,PV25  ,2017JJ00,13039,85470,12260,9480,1530,1250,73210,29040,327,130,2265,11980,4640,4659,33780,16390,10644,51420,17290,230,77,223650,154775,38218,30657,50680.0,17770,-730.0,480,101.0,97
324,PV25  ,2018JJ00,12554,85040,12390,9370,1570,1450,72640,28500,320,126,2312,11870,4530,4591,32880,15990,10274,51630,17030,228,75,226789,156421,38144,32225,50230.0,17680,-1400.0,650,103.0,96
325,PV25  ,2019JJ00,12473,82360,11800,8840,1500,1450,70560,26880,312,119,2306,11750,4330,4516,33920,15970,10263,48390,15240,214,67,226248,156113,35478,34657,51240.0,17530,2850.0,2290,94.0,87
326,PV25  ,2020JJ00,12283,81010,11540,8600,1490,1460,69470,25430,309,113,2374,12300,4330,4572,33870,15590,10085,47900,14180,213,63,225051,154864,36031,34155,49080.0,17710,1180.0,3540,98.0,80
327,PV25  ,2021JJ00,12242,79300,11320,8370,1420,1530,67980,25360,303,113,2405,11980,4230,4558,33700,15180,10090,46270,14410,206,64,224681,155302,34772,34607,49040.0,17730,2760.0,3330,94.0,81
328,PV25  ,2022JJ00,12260,79020,11250,8210,1410,1620,67770,25780,303,115,2394,12080,4430,4563,33510,15160,10090,46340,15050,207,67,223855,152889,34129,36836,48400.0,17620,2060.0,2570,96.0,85
329,PV25  ,2023JJ00,12415,78930,10890,7990,1400,1490,68050,25560,304,114,2290,11510,4070,4446,32270,14710,10258,47290,14920,212,67,223586,151630,32899,39057,45120.0,17250,-2170.0,2330,105.0,87
330,PV26  ,1994JJ00,3859,31020,3530,3010,520,0,27490,9420,390,133,461,3400,1680,476,3790,1850,3844,27090,9250,384,131,70551,61979,4602,3969,,13580,,4330,,68
331,PV26  ,1995JJ00,3872,31030,3470,2950,520,0,27560,9190,389,130,474,3450,1600,495,3870,1770,3851,27140,9020,383,127,70834,62133,4819,3882,,10280,,1260,,88
332,PV26  ,1996JJ00,3799,30170,3330,2840,490,0,26840,8250,381,117,472,3380,1490,483,3780,1650,3788,26440,8090,375,115,70446,61422,4999,4026,,9280,,1190,,87
333,PV26  ,1997JJ00,3708,30320,3440,2930,510,0,26880,8490,381,120,460,3250,1440,499,3800,1690,3670,26330,8240,373,117,70633,61478,5274,3881,,9310,,1070,,89
334,PV26  ,1998JJ00,3710,28960,3280,2790,500,0,25680,8740,361,123,355,1900,1050,439,2570,1540,3626,25000,8250,352,116,71083,61557,5441,4086,40180.0,8390,15180.0,140,62.0,98
335,PV26  ,1999JJ00,3570,26470,2970,2520,450,0,23500,8590,335,122,379,2190,1220,462,2950,1810,3486,22750,8000,324,114,70175,60485,5669,4021,39560.0,8280,16810.0,270,58.0,97
336,PV26  ,2000JJ00,3599,24960,2680,2250,430,0,22280,8070,320,116,249,1370,770,377,2420,1530,3471,21240,7310,305,105,69644,59961,5540,4144,37210.0,7860,15970.0,550,57.0,93
337,PV26  ,2001JJ00,3578,24770,2570,2140,420,0,22200,7980,322,116,291,1570,910,403,2460,1540,3466,21310,7340,309,107,68928,59219,5609,4101,34030.0,7490,12720.0,140,63.0,98
338,PV26  ,2002JJ00,3517,23520,2500,2090,410,0,21010,7590,296,107,268,1360,810,388,2400,1610,3397,19980,6780,282,96,70961,60430,6257,4274,33540.0,7470,13560.0,690,60.0,91
339,PV26  ,2003JJ00,3444,22540,2380,1970,400,0,20160,7310,287,104,220,1170,660,396,2200,1380,3268,19120,6590,273,94,70127,59886,6459,3782,30940.0,6540,11810.0,-40,62.0,101
340,PV26  ,2004JJ00,3464,21600,2370,1990,380,0,19220,7090,276,102,192,1050,590,372,2310,1460,3284,17960,6210,258,89,69594,59123,6473,3997,30500.0,6850,12540.0,640,59.0,91
341,PV26  ,2005JJ00,3445,21850,2450,2040,390,20,19400,7280,279,105,189,1280,650,365,2820,1550,3269,17860,6380,257,92,69548,59187,6528,3833,28900.0,6560,11050.0,180,62.0,97
342,PV26  ,2006JJ00,3385,21450,2450,2050,380,20,19000,7250,272,104,232,1290,620,456,3360,1780,3161,16930,6090,242,87,69953,59196,6795,3962,16950.0,7430,20.0,1340,100.0,82
343,PV26  ,2007JJ00,3381,21780,2500,2070,390,30,19280,7250,276,104,245,1480,690,493,4120,2180,3134,16640,5770,238,83,69802,59008,6901,3892,16940.0,7110,300.0,1340,98.0,81
344,PV26  ,2008JJ00,3444,22150,2600,2170,390,40,19550,7530,279,107,279,1540,730,519,4100,2170,3203,16980,6090,242,87,70076,58735,7535,3806,16990.0,6840,0.0,740,100.0,89
345,PV26  ,2009JJ00,3496,21780,2580,2140,400,40,19200,7440,275,107,259,1440,670,548,4520,2420,3207,16120,5680,231,81,69770,58636,7459,3675,16960.0,6810,840.0,1130,95.0,83
346,PV26  ,2010JJ00,3463,22300,2600,2130,400,60,19700,7790,296,117,263,1320,620,537,4250,2270,3189,16770,6130,252,92,66512,56139,6904,3469,16150.0,5970,-620.0,-170,104.0,103
347,PV26  ,2011JJ00,3379,21210,2530,2030,390,110,18680,7220,286,111,282,1480,650,555,4290,2220,3105,15870,5650,243,87,65283,55276,6642,3365,15870.0,5870,0.0,220,100.0,96
348,PV26  ,2012JJ00,3319,20500,2430,1940,370,120,18070,6960,279,107,316,1640,690,582,4450,2250,3053,15260,5400,235,83,64834,54706,6303,3825,15740.0,5420,480.0,30,97.0,99
349,PV26  ,2013JJ00,3405,21170,2450,1910,380,150,18730,7120,291,111,306,1560,660,588,4710,2390,3123,15570,5390,242,84,64365,54333,6351,3681,15610.0,5320,40.0,-80,100.0,101
350,PV26  ,2014JJ00,3443,22290,2600,2050,400,150,19690,7640,308,119,323,1550,640,625,4780,2410,3140,16460,5870,257,92,63948,54484,5959,3505,15090.0,5370,-1370.0,-510,109.0,109
351,PV26  ,2015JJ00,3512,21700,2500,1960,390,140,19210,7650,298,119,338,1550,610,759,5220,2610,3091,15540,5650,241,88,64490,55510,5608,3372,15410.0,5270,-130.0,-380,101.0,107
352,PV26  ,2016JJ00,3562,21690,2500,1960,400,140,19190,7170,307,115,307,1400,510,809,5200,2540,3060,15390,5140,246,82,62558,53831,5504,3222,15280.0,5200,-110.0,60,101.0,99
353,PV26  ,2017JJ00,3514,21990,2570,2010,410,150,19420,6910,314,112,316,1610,550,756,5290,2470,3074,15740,4990,254,81,61939,53305,5462,3172,15310.0,5250,-430.0,260,103.0,95
354,PV26  ,2018JJ00,3518,22760,2750,2110,430,220,20010,7000,319,112,341,1680,550,727,5060,2270,3132,16640,5280,265,84,62663,53674,5681,3309,15150.0,5180,-1480.0,-90,110.0,102
355,PV26  ,2019JJ00,3759,23340,2660,2040,440,180,20680,6910,295,98,428,2250,780,757,5450,2500,3429,17480,5190,249,74,70209,60273,6092,3844,17040.0,5800,-440.0,620,103.0,89
356,PV26  ,2020JJ00,3777,23330,2660,2030,440,180,20680,6630,295,95,443,2330,780,807,5890,2640,3413,17120,4780,244,68,70130,59895,6440,3796,16830.0,6080,-290.0,1300,102.0,79
357,PV26  ,2021JJ00,3765,22740,2580,1970,430,180,20160,6790,284,96,419,2090,640,782,5510,2350,3403,16740,5080,236,72,70883,60778,6150,3954,16950.0,6130,210.0,1060,99.0,83
358,PV26  ,2022JJ00,3784,22190,2500,1890,420,190,19700,6860,279,97,406,2010,650,802,5720,2460,3387,15980,5050,227,72,70530,60140,6282,4109,16870.0,6110,890.0,1060,95.0,83
359,PV26  ,2023JJ00,3953,22870,2560,1930,430,200,20320,6920,286,98,404,1980,610,855,5610,2380,3502,16680,5150,235,73,71001,60516,6013,4472,15540.0,5990,-1140.0,830,107.0,86
360,PV27  ,1994JJ00,3388,27400,2090,1680,410,0,25310,7430,185,54,446,3830,1800,146,1270,610,3688,27870,8620,204,63,136653,76109,2168,58376,,22840,,14220,,38
361,PV27  ,1995JJ00,3353,27040,2060,1660,400,0,24980,7230,184,53,499,4440,2000,154,1270,550,3698,28150,8680,207,64,135960,75352,2496,58113,,17970,,9290,,48
362,PV27  ,1996JJ00,3317,26780,1990,1610,380,0,24790,6450,181,47,398,3880,1710,133,1170,500,3582,27500,7660,201,56,136611,75188,2704,58719,,16910,,9250,,45
363,PV27  ,1997JJ00,3170,26210,1960,1580,380,0,24250,6530,177,48,368,3510,1570,93,870,380,3446,26880,7720,196,56,137179,75058,3273,58848,,16970,,9250,,45
364,PV27  ,1998JJ00,3152,24930,1870,1500,370,0,23060,6770,167,49,306,2420,1630,100,530,310,3358,24950,8100,181,59,137870,75369,3269,59233,66190.0,15610,41240.0,7510,38.0,52
365,PV27  ,1999JJ00,3089,23140,1750,1400,350,0,21390,6950,156,51,445,3530,2380,107,720,420,3428,24200,8910,176,65,137462,74496,3740,59225,65580.0,15550,41380.0,6640,37.0,57
366,PV27  ,2000JJ00,3067,21780,1590,1260,330,0,20190,6530,149,48,419,3350,2260,70,570,360,3417,22960,8430,169,62,135637,73763,3693,58181,61140.0,14670,38170.0,6240,38.0,57
367,PV27  ,2001JJ00,3101,21990,1620,1280,340,0,20380,6640,151,49,455,3350,2210,114,720,420,3443,23010,8430,170,62,134985,73722,3810,57453,57080.0,14240,34080.0,5800,40.0,59
368,PV27  ,2002JJ00,3036,20880,1630,1310,330,0,19250,6310,141,46,447,2910,1900,123,750,440,3360,21410,7770,157,57,136559,73284,3992,59284,55840.0,13850,34430.0,6080,38.0,56
369,PV27  ,2003JJ00,2973,20370,1610,1290,320,0,18760,6300,139,47,392,2820,1890,126,770,430,3239,20810,7770,154,57,135295,72794,3974,58527,52310.0,12710,31510.0,4940,40.0,61
370,PV27  ,2004JJ00,3037,18750,1540,1230,300,0,17210,5910,127,44,373,2700,1720,101,680,390,3309,19240,7250,142,54,135145,73672,4249,57224,51840.0,12900,32610.0,5650,37.0,56
371,PV27  ,2005JJ00,3027,18930,1580,1270,310,0,17350,6030,129,45,394,3510,1830,107,880,400,3315,19970,7450,148,55,134979,73495,4553,56930,48700.0,12280,28730.0,4830,41.0,61
372,PV27  ,2006JJ00,3023,18610,1570,1260,300,0,17040,5950,127,44,575,3590,1840,276,1840,810,3322,18790,6980,140,52,133903,73961,4716,55225,28780.0,13230,9980.0,6250,65.0,53
373,PV27  ,2007JJ00,3017,18810,1640,1320,310,0,17170,5980,131,46,671,4700,2340,334,2190,1010,3354,19680,7310,150,56,131243,72077,4947,54219,28140.0,12600,8470.0,5290,70.0,58
374,PV27  ,2008JJ00,3062,18940,1670,1350,310,0,17270,6110,129,46,739,4750,2330,346,1990,880,3455,20030,7560,149,56,134109,73506,5336,55268,28820.0,12500,8800.0,4950,69.0,60
375,PV27  ,2009JJ00,3091,18180,1590,1270,320,0,16590,5780,123,43,740,4860,2440,346,2190,930,3485,19270,7290,143,54,134849,74422,5688,54739,29040.0,12580,9770.0,5290,66.0,58
376,PV27  ,2010JJ00,3090,18540,1620,1300,320,0,16910,6050,130,47,632,3840,1890,353,2030,890,3370,18720,7060,144,54,129823,71494,5087,53243,27910.0,11060,9190.0,4000,67.0,64
377,PV27  ,2011JJ00,3059,17700,1580,1260,310,10,16110,5660,126,44,663,4220,1950,370,2090,870,3352,18240,6730,143,53,127394,69688,4954,52752,27360.0,10590,9110.0,3860,67.0,64
378,PV27  ,2012JJ00,3073,17220,1510,1190,310,10,15710,5530,124,44,683,4430,2000,396,2170,880,3360,17970,6650,142,53,126291,70261,5135,50895,27220.0,9650,9250.0,3010,66.0,69
379,PV27  ,2013JJ00,3133,18030,1610,1270,320,20,16420,5710,129,45,653,4090,1810,411,2250,910,3376,18260,6600,144,52,127080,69994,4648,52438,27350.0,9270,9090.0,2660,67.0,71
380,PV27  ,2014JJ00,3183,18820,1730,1380,340,20,17090,6050,134,47,802,4820,2080,516,2820,1130,3469,19090,6990,150,55,127454,70901,4738,51815,27900.0,9460,8810.0,2460,68.0,74
381,PV27  ,2015JJ00,3367,19080,1760,1390,350,10,17330,6440,135,50,880,4580,1960,577,2940,1170,3670,18970,7230,148,56,128384,71473,4688,52222,28290.0,9330,9320.0,2100,67.0,77
382,PV27  ,2016JJ00,3467,19450,1830,1460,360,10,17620,6010,142,48,941,4650,1880,596,3020,1130,3813,19240,6760,155,54,124461,68458,4310,51693,27660.0,9230,8420.0,2460,70.0,73
383,PV27  ,2017JJ00,3429,19840,1910,1520,370,10,17940,5810,145,47,930,5190,2080,546,3050,1110,3813,20080,6770,162,55,123573,67147,4245,52181,27400.0,9370,7320.0,2600,73.0,72
384,PV27  ,2018JJ00,3423,20040,1900,1500,380,20,18140,5560,145,44,931,5330,2060,537,3050,1060,3817,20410,6560,163,52,125504,69177,4355,51971,27290.0,9240,6880.0,2680,75.0,71
385,PV27  ,2019JJ00,3423,19660,1850,1460,370,20,17810,5390,141,43,911,5280,2060,528,3000,1050,3806,20080,6400,159,51,126491,70023,4300,52168,27040.0,9150,6960.0,2750,74.0,70
386,PV27  ,2020JJ00,3433,19790,1890,1490,380,20,17900,5220,142,41,993,5760,2190,590,3350,1140,3836,20320,6270,161,50,126437,69408,4730,52299,26880.0,9580,6570.0,3320,76.0,65
387,PV27  ,2021JJ00,3411,19060,1820,1430,370,20,17240,5320,137,42,983,5590,2110,564,3150,1100,3830,19690,6330,157,50,125560,69233,4311,52017,26590.0,9540,6900.0,3210,74.0,66
388,PV27  ,2022JJ00,3395,18460,1740,1360,350,20,16730,5390,134,43,1058,6090,2370,621,3480,1230,3832,19340,6530,155,52,124975,68461,4288,52226,26440.0,9430,7100.0,2910,73.0,69
389,PV27  ,2023JJ00,3475,18540,1720,1350,350,20,16820,5270,135,42,1071,5590,2040,678,3530,1200,3867,18870,6100,151,49,124604,67673,4356,52575,23770.0,9060,4900.0,2960,79.0,67
390,PV28  ,1994JJ00,4311,34310,3190,2630,560,0,31120,9800,218,69,954,8570,4140,313,2510,1150,4952,37190,12790,260,89,143037,81682,2560,58795,,24070,,11280,,53
391,PV28  ,1995JJ00,4277,33950,3150,2610,550,0,30800,9540,217,67,1093,9570,4410,315,2540,1110,5055,37830,12840,266,90,141963,81350,2661,57952,,18870,,6030,,68
392,PV28  ,1996JJ00,4199,33060,3030,2510,520,0,30030,8510,209,59,966,9130,4110,300,2440,1040,4865,36720,11580,256,81,143563,82631,2922,58009,,17860,,6280,,65
393,PV28  ,1997JJ00,4079,33110,3080,2550,530,0,30030,8740,213,62,778,7030,3250,288,2290,1000,4569,34770,10990,247,78,140794,80041,3230,57523,,17490,,6500,,63
394,PV28  ,1998JJ00,4066,31590,2930,2410,520,0,28660,9050,201,64,621,4450,2740,272,1690,970,4415,31420,10820,221,76,142241,81172,3230,57839,70970.0,16150,39550.0,5330,44.0,67
395,PV28  ,1999JJ00,3957,29390,2760,2280,490,0,26630,9150,188,64,864,6500,3780,296,2010,1160,4525,31110,11760,219,83,141968,80544,3750,57673,70260.0,16110,39140.0,4350,44.0,73
396,PV28  ,2000JJ00,3985,27560,2460,2000,460,0,25090,8530,180,61,800,5570,3320,233,1610,910,4552,29050,10930,208,78,139596,79621,3469,56507,65170.0,15150,36120.0,4220,45.0,72
397,PV28  ,2001JJ00,4011,27830,2450,1990,460,0,25380,8640,182,62,878,5420,3230,260,1590,910,4630,29210,10960,210,79,139253,79608,4142,55503,60860.0,14720,31650.0,3760,48.0,74
398,PV28  ,2002JJ00,3786,25570,2380,1940,440,0,23190,7930,170,58,701,4270,2660,251,1570,920,4236,25890,9670,190,71,136037,77365,3927,54745,57690.0,13850,31790.0,4180,45.0,70
399,PV28  ,2003JJ00,3696,24750,2310,1880,430,0,22450,7840,166,58,553,3510,2160,254,1520,900,3995,24440,9100,180,67,135461,78298,4084,53079,54540.0,12710,30110.0,3610,45.0,72
400,PV28  ,2004JJ00,3761,23200,2190,1790,400,0,21010,7380,155,54,592,3940,2420,255,1520,890,4098,23430,8920,173,66,135688,78244,4229,53214,54030.0,12990,30610.0,4080,43.0,69
401,PV28  ,2005JJ00,3740,23290,2190,1780,400,10,21100,7470,154,55,628,5600,2970,252,1830,900,4116,24870,9540,182,70,136615,79350,4451,52814,51890.0,12490,27020.0,2940,48.0,76
402,PV28  ,2006JJ00,3686,22590,2120,1720,390,10,20470,7270,151,54,794,4710,2440,396,2580,1230,4085,22590,8490,167,63,135473,79014,4756,51703,29370.0,13490,6780.0,5000,77.0,63
403,PV28  ,2007JJ00,3676,23080,2240,1820,410,20,20840,7380,154,54,853,5550,2790,422,3020,1430,4107,23360,8740,172,65,135542,79128,5034,51381,29410.0,13100,6050.0,4360,79.0,67
404,PV28  ,2008JJ00,3705,22790,2200,1790,400,20,20590,7400,151,54,877,5320,2740,440,2830,1330,4142,23080,8800,170,65,136157,79971,5570,50616,29650.0,12770,6570.0,3980,78.0,69
405,PV28  ,2009JJ00,3775,22230,2150,1730,400,20,20080,7180,149,53,850,5080,2680,420,2690,1260,4205,22470,8600,167,64,134619,79860,5593,49166,29380.0,12640,6920.0,4040,76.0,68
406,PV28  ,2010JJ00,3732,22300,2120,1690,400,30,20180,7380,157,57,774,4430,2290,446,2580,1190,4059,22030,8480,171,66,128863,75481,5151,48231,28030.0,11100,6000.0,2620,79.0,76
407,PV28  ,2011JJ00,3696,21510,2090,1650,390,50,19410,6940,154,55,805,4920,2360,467,2800,1270,4034,21530,8030,170,64,126330,74215,5004,47111,27500.0,10680,5970.0,2650,78.0,75
408,PV28  ,2012JJ00,3627,20670,1980,1550,380,50,18690,6670,151,54,849,5170,2250,503,2980,1290,3974,20880,7640,169,62,123531,72772,4843,45916,26900.0,9630,6020.0,1990,78.0,79
409,PV28  ,2013JJ00,3722,21430,2050,1590,390,70,19380,6830,157,55,818,4880,2130,509,2920,1250,4031,21340,7700,173,62,123564,72928,4696,45940,26880.0,9260,5550.0,1550,79.0,83
410,PV28  ,2014JJ00,3775,22320,2170,1690,410,70,20150,7200,165,59,914,5300,2310,589,3210,1370,4100,22240,8140,182,67,122342,72908,4838,44596,26440.0,9380,4200.0,1240,84.0,87
411,PV28  ,2015JJ00,3893,22130,2180,1690,410,80,19950,7500,163,61,1030,5480,2370,712,3550,1510,4211,21870,8360,178,68,122604,73230,4967,44407,26840.0,9220,4970.0,860,81.0,91
412,PV28  ,2016JJ00,3959,22210,2240,1730,420,90,19970,6940,168,58,1075,5440,2200,754,3710,1510,4280,21710,7630,183,64,118689,69885,4887,43917,26410.0,9040,4700.0,1400,82.0,84
413,PV28  ,2017JJ00,3910,22550,2300,1790,430,90,20250,6630,172,56,1094,6110,2370,716,3820,1490,4287,22540,7510,192,64,117479,68448,4959,44071,26470.0,9160,3940.0,1660,85.0,82
414,PV28  ,2018JJ00,3893,22830,2310,1770,440,90,20520,6440,169,53,1098,6080,2270,684,3720,1390,4307,22880,7320,189,60,121190,72344,5252,43594,26570.0,9120,3690.0,1800,86.0,80
415,PV28  ,2019JJ00,3485,20080,2010,1530,390,90,18080,5580,161,50,1052,6000,2280,612,3280,1220,3924,20800,6640,186,59,111982,64672,4516,42794,24160.0,8350,3360.0,1710,86.0,80
416,PV28  ,2020JJ00,3523,20340,2060,1570,390,90,18290,5470,163,49,1099,6270,2340,639,3520,1270,3982,21030,6540,188,58,112085,64716,4933,42436,24160.0,8880,3120.0,2340,87.0,74
417,PV28  ,2021JJ00,3513,19590,1960,1490,380,90,17620,5530,157,49,1121,6190,2310,651,3410,1230,3983,20400,6600,182,59,112117,64938,4753,42426,24150.0,8930,3740.0,2330,84.0,74
418,PV28  ,2022JJ00,3527,19290,1930,1460,370,110,17350,5720,155,51,1179,6590,2560,648,3330,1240,4059,20620,7040,184,63,112238,64754,4784,42700,24080.0,8940,3460.0,1900,86.0,79
419,PV28  ,2023JJ00,3601,19270,1870,1430,370,70,17400,5560,156,50,1163,6130,2290,740,3670,1330,4024,19860,6520,178,58,111736,63766,4462,43508,22320.0,8600,2460.0,2080,89.0,76
420,PV29  ,1994JJ00,872,7690,810,680,120,0,6880,2440,55,19,925,10920,5540,109,1310,660,1687,16490,7320,131,58,125799,13681,3265,108853,,16830,,9510,,43
421,PV29  ,1995JJ00,871,7650,790,670,120,0,6860,2340,55,19,972,11450,5520,108,1230,580,1735,17080,7270,137,58,125053,14087,3191,107775,,14320,,7040,,51
422,PV29  ,1996JJ00,883,7740,780,670,120,0,6960,2210,56,18,832,11650,5510,99,1100,500,1617,17510,7210,140,58,124635,14398,3382,106855,,14070,,6860,,51
423,PV29  ,1997JJ00,884,7940,860,740,120,0,7080,2340,57,19,669,9340,4590,96,1000,460,1457,15420,6470,124,52,123988,14600,3623,105765,,14000,,7530,,46
424,PV29  ,1998JJ00,903,8180,1010,880,130,0,7170,2600,58,21,642,7200,4680,184,1530,890,1361,12840,6400,104,52,122995,14531,3216,105249,45160.0,13130,32320.0,6740,28.0,49
425,PV29  ,1999JJ00,946,8020,1000,860,130,0,7030,2690,57,22,938,9480,5960,195,1630,950,1689,14880,7710,120,62,123803,15006,3990,104807,45050.0,13220,30170.0,5520,33.0,58
426,PV29  ,2000JJ00,928,7490,860,750,120,0,6620,2550,53,20,869,8150,5120,156,1300,750,1641,13480,6920,108,55,124790,16819,3379,104593,41740.0,12730,28260.0,5810,32.0,54
427,PV29  ,2001JJ00,944,7530,840,720,120,0,6690,2520,54,20,962,7820,5280,176,1440,860,1730,13070,6940,105,56,124067,17340,3608,103119,40340.0,12580,27270.0,5640,32.0,55
428,PV29  ,2002JJ00,926,7230,830,720,120,0,6400,2430,51,19,722,6190,4350,145,1150,720,1503,11440,6050,91,48,126275,18562,3875,103837,39700.0,12220,28260.0,6170,29.0,50
429,PV29  ,2003JJ00,882,7000,820,710,110,0,6180,2420,51,20,659,5950,4250,121,1040,690,1421,11100,5970,91,49,122236,16353,4014,101870,38440.0,11580,27340.0,5610,29.0,52
430,PV29  ,2004JJ00,877,6320,740,630,100,0,5580,2180,45,18,681,6360,4300,113,1060,690,1445,10880,5800,88,47,123722,18325,4098,101300,37960.0,11320,27070.0,5520,29.0,51
431,PV29  ,2005JJ00,882,6540,760,650,100,10,5780,2290,48,19,653,7980,4480,119,1230,690,1416,12530,6080,104,50,120926,16438,4013,100476,36130.0,10460,23610.0,4380,35.0,58
432,PV29  ,2006JJ00,889,6570,780,670,100,10,5790,2330,48,19,968,7110,3920,234,1650,860,1623,11240,5390,94,45,120021,16907,3693,99422,21190.0,10620,9950.0,5230,53.0,51
433,PV29  ,2007JJ00,897,6160,760,650,110,10,5400,2170,45,18,1070,8210,4410,248,2000,1020,1719,11620,5560,97,46,119851,17635,3791,98425,21260.0,10540,9640.0,4980,55.0,53
434,PV29  ,2008JJ00,914,6270,760,640,100,10,5510,2220,46,19,1050,7540,4120,265,2030,1050,1699,11020,5290,92,44,119614,18229,4531,96853,21240.0,10440,10230.0,5150,52.0,51
435,PV29  ,2009JJ00,928,6030,730,620,100,10,5300,2130,44,18,1055,7280,4170,269,2020,1050,1714,10560,5250,88,44,119904,18167,4700,97036,21270.0,10460,10710.0,5210,50.0,50
436,PV29  ,2010JJ00,928,6110,720,600,100,20,5390,2190,46,19,973,6490,3590,282,2030,1060,1619,9860,4720,84,40,117758,18190,4771,94798,20970.0,9280,11110.0,4570,47.0,51
437,PV29  ,2011JJ00,942,5930,700,570,100,30,5230,2050,43,17,1045,7360,3820,315,2320,1180,1672,10260,4690,84,38,121857,20401,5041,96415,21820.0,9200,11550.0,4510,47.0,51
438,PV29  ,2012JJ00,958,5860,700,570,100,30,5160,2040,42,17,1103,7780,3660,332,2490,1210,1729,10450,4490,86,37,121378,20585,5238,95555,21740.0,8310,11290.0,3820,48.0,54
439,PV29  ,2013JJ00,990,6050,690,550,100,40,5360,2110,44,17,1107,7430,3510,364,2690,1310,1733,10100,4310,83,35,122017,20359,5440,96218,21790.0,7680,11690.0,3380,46.0,56
440,PV29  ,2014JJ00,1026,6250,700,560,110,30,5550,2170,46,18,1282,8180,3870,403,2750,1330,1906,10970,4710,90,39,121281,20490,5662,95129,21330.0,7900,10360.0,3180,51.0,60
441,PV29  ,2015JJ00,1110,7020,870,680,120,80,6140,2530,51,21,1549,9150,4320,519,3150,1550,2140,12150,5310,101,44,120674,21226,5519,93929,21580.0,7820,9440.0,2520,56.0,68
442,PV29  ,2016JJ00,1131,7000,870,670,120,80,6140,2410,52,20,1584,9100,4010,497,2940,1350,2218,12290,5070,104,43,118640,19783,5200,93657,21290.0,7840,9000.0,2760,58.0,65
