ID,Huishoudkenmerken,Perioden,TotaleBestedingenPerHuishouden_1,TotaleBestedingenAanEnergie_2,Aardgas_3,Elektriciteit_4,Motorbrandstoffen_5,TotaalEnergie_6,Aardgas_7,Elektriciteit_8,Motorbrandstoffen_9,VerbruikGasM3_10,VerbruikElektriciteitKWh_11
239,27,1997JJ00,34335,2280,580,400,1265,66,17,12,37,2185,4090
240,27,1998JJ00,36400,2180,580,410,1145,60,16,11,31,2170,4250
241,27,1999JJ00,37110,2135,495,425,1175,57,13,11,32,1935,4055
242,27,2000JJ00,40665,2740,585,540,1570,67,14,13,39,2060,4470
243,28,1992JJ00,21295,1385,460,255,625,65,22,12,29,1905,3105
244,28,1993JJ00,22390,1415,435,265,665,63,19,12,30,1985,3145
245,28,1994JJ00,22790,1425,405,270,695,63,18,12,31,1800,3135
246,28,1995JJ00,23230,1425,410,280,695,61,18,12,30,1845,3180
247,28,1996JJ00,23550,1600,480,315,760,68,20,13,32,2090,3250
248,28,1997JJ00,24085,1745,455,320,915,72,19,13,38,1730,3225
249,28,1998JJ00,25240,1680,435,320,865,67,17,13,34,1655,3295
250,28,1999JJ00,26130,1690,405,340,890,65,16,13,34,1610,3235
251,28,2000JJ00,28260,2050,455,415,1140,73,16,15,40,1630,3425
252,29,1992JJ00,21015,1375,445,245,635,65,21,12,30,1850,2950
253,29,1993JJ00,22225,1410,425,260,675,63,19,12,30,1935,3065
254,29,1994JJ00,22450,1430,385,260,725,64,17,12,32,1710,3030
255,29,1995JJ00,22900,1415,395,275,705,62,17,12,31,1785,3110
256,29,1996JJ00,23255,1595,465,310,775,69,20,13,33,2030,3150
257,29,1997JJ00,23885,1750,445,315,940,73,19,13,39,1700,3170
258,29,1998JJ00,24960,1685,425,310,890,68,17,12,36,1615,3200
259,29,1999JJ00,26015,1695,395,335,910,65,15,13,35,1580,3160
260,29,2000JJ00,28080,2055,435,405,1170,73,16,14,42,1585,3350
261,30,1992JJ00,14590,1005,400,195,325,69,27,13,22,1645,2355
262,30,1993JJ00,14580,970,380,200,325,66,26,14,22,1740,2345
263,30,1994JJ00,14720,990,375,205,330,67,26,14,23,1670,2360
264,30,1995JJ00,14900,990,380,210,325,67,25,14,22,1710,2380
265,30,1996JJ00,15735,1105,460,240,345,70,29,15,22,1990,2430
266,30,1997JJ00,16610,1195,445,240,440,72,27,15,27,1695,2420
267,30,1998JJ00,16835,1185,435,240,460,70,26,14,27,1650,2405
268,30,1999JJ00,17720,1190,415,265,460,67,24,15,26,1650,2485
269,30,2000JJ00,18225,1320,420,295,535,72,23,16,29,1525,2450
270,31,1992JJ00,15395,1060,425,195,350,69,28,13,23,1760,2365
271,31,1993JJ00,15705,1040,410,200,360,66,26,13,23,1880,2365
272,31,1994JJ00,15400,1025,400,200,340,67,26,13,22,1775,2310
273,31,1995JJ00,15970,1040,405,210,355,65,25,13,22,1820,2375
274,31,1996JJ00,16570,1140,495,240,355,69,30,14,21,2150,2415
275,31,1997JJ00,17275,1255,470,240,470,73,27,14,27,1795,2405
276,31,1998JJ00,17685,1230,455,240,490,70,26,13,28,1730,2410
277,31,1999JJ00,18660,1245,435,265,500,67,23,14,27,1725,2495
278,31,2000JJ00,19325,1420,460,295,595,74,24,15,31,1660,2460
279,32,1992JJ00,13025,895,345,195,265,69,26,15,20,1420,2340
280,32,1993JJ00,12250,820,320,200,255,67,26,16,21,1455,2295
281,32,1994JJ00,13360,915,330,215,315,69,25,16,23,1455,2460
282,32,1995JJ00,12885,900,335,215,280,70,26,17,22,1510,2385
283,32,1996JJ00,14120,1030,385,245,325,73,27,17,23,1675,2460
284,32,1997JJ00,15180,1065,385,245,385,70,25,16,25,1480,2455
285,32,1998JJ00,14835,1080,385,235,390,73,26,16,26,1465,2395
286,32,1999JJ00,15280,1045,365,265,355,68,24,17,23,1455,2450
287,32,2000JJ00,15525,1075,325,290,385,69,21,19,25,1205,2420
288,33,1992JJ00,23810,1540,570,280,665,65,24,12,28,2350,3455
289,33,1993JJ00,24905,1550,530,285,700,62,21,11,28,2435,3405
290,33,1994JJ00,24810,1540,510,295,705,62,21,12,28,2260,3460
291,33,1995JJ00,25410,1565,495,305,740,62,20,12,29,2245,3485
292,33,1996JJ00,25865,1775,595,345,810,69,23,13,31,2580,3545
293,33,1997JJ00,26825,1955,575,350,1005,73,21,13,37,2170,3540
294,33,1998JJ00,27930,1895,545,350,970,68,19,12,35,2045,3615
295,33,1999JJ00,28745,1855,485,370,965,64,17,13,34,1905,3525
296,33,2000JJ00,31170,2280,545,460,1245,73,17,15,40,1930,3790
297,34,1992JJ00,14165,970,325,190,365,69,23,13,26,1330,2250
298,34,1993JJ00,14530,975,310,200,385,67,21,14,27,1415,2335
299,34,1994JJ00,14925,995,290,200,415,67,19,13,28,1285,2260
300,34,1995JJ00,14945,965,305,205,375,65,20,14,25,1370,2295
301,34,1996JJ00,15520,1065,355,235,400,69,23,15,26,1545,2360
302,34,1997JJ00,15855,1125,330,235,475,71,21,15,30,1270,2320
303,34,1998JJ00,16655,1120,330,230,475,67,20,14,29,1270,2355
304,34,1999JJ00,17425,1165,330,255,505,67,19,15,29,1330,2400
305,34,2000JJ00,17810,1270,330,280,585,71,19,16,33,1230,2325
