ID,Toeristengebieden,Perioden,AlleLanden_1,Nederland_2,BuitenlandTotaal_3,EuropaExclusiefNederland_4,Duitsland_5,Belgie_6,GrootBrittannie_7,Frankrijk_8,Zwitserland_9,Italie_10,Spanje_11,Denemarken_12,Zweden_13,OverigeLandenEurozone_14,OverigEuropa_15,Amerika_16,Azie_17,AustralieEnOceanie_18,Afrika_19,AlleLanden_20,Nederland_21,BuitenlandTotaal_22,EuropaExclusiefNederland_23,Duitsland_24,Belgie_25,GrootBrittannie_26,Frankrijk_27,Zwitserland_28,Italie_29,Spanje_30,Denemarken_31,Zweden_32,OverigeLandenEurozone_33,OverigEuropa_34,Amerika_35,Azie_36,AustralieEnOceanie_37,Afrika_38
35,TR02  ,2003JJ00,3503.4,2098.3,1405.1,1336.3,951.1,161.1,86.9,34.6,9.1,10.3,6.3,8.1,5.0,24.3,39.5,21.0,40.2,1.9,5.7,14237.2,8319.4,5917.8,5762.5,4598.6,536.0,242.4,74.8,32.3,24.5,15.6,21.5,10.6,87.2,119.1,57.9,76.7,5.2,15.6
36,TR02  ,2004JJ00,3398.6,2066.0,1332.7,1231.1,840.3,159.1,89.4,34.8,10.8,12.6,6.5,6.2,5.3,23.8,42.4,31.5,62.5,2.4,5.2,13591.8,8138.1,5453.7,5252.5,4121.3,518.4,233.7,69.7,33.8,26.1,13.3,19.2,11.7,89.4,115.8,75.3,102.9,6.4,16.5
37,TR02  ,2005JJ00,3377.9,2157.9,1220.0,1140.0,766.0,165.0,86.2,26.8,8.5,10.4,6.1,6.7,4.7,18.7,41.0,23.8,47.2,2.1,6.9,13106.1,8138.1,4967.9,4807.0,3704.2,534.4,252.0,63.1,26.9,21.6,13.5,22.3,10.6,67.3,91.1,56.6,73.1,6.1,25.2
38,TR02  ,2006JJ00,3688.3,2335.6,1352.7,1286.7,860.0,182.3,95.0,38.9,13.2,11.4,8.2,11.7,5.6,22.6,37.9,37.6,17.5,4.3,6.6,13823.5,8313.8,5509.7,5358.6,4153.7,553.2,261.6,91.1,42.3,23.0,22.4,35.9,12.6,73.0,89.7,83.8,41.1,12.1,14.1
39,TR02  ,2007JJ00,3897.8,2472.3,1425.5,1364.9,910.0,194.1,90.7,39.5,13.0,15.8,7.4,8.9,5.3,31.7,48.5,29.7,21.9,3.5,5.5,14917.6,9041.4,5876.2,5738.8,4474.6,579.9,242.2,100.2,40.7,31.0,15.5,27.3,11.0,106.2,110.2,67.3,48.1,9.5,12.6
40,TR02  ,2008JJ00,3888.5,2545.4,1343.1,1297.4,820.7,207.7,94.4,46.5,12.1,13.4,7.7,10.5,5.1,27.5,51.8,23.5,15.7,2.7,3.8,13867.1,8639.3,5227.7,5118.5,3826.6,600.5,255.6,117.0,37.4,26.8,15.5,31.9,11.7,82.9,112.8,53.1,39.9,6.1,10.3
41,TR02  ,2009JJ00,3903.9,2529.8,1374.1,1332.1,896.1,220.0,61.2,40.3,13.0,13.7,9.0,7.8,4.7,26.0,40.2,19.8,14.6,3.3,4.3,13996.9,8630.4,5366.6,5273.8,4023.7,683.6,156.8,109.7,41.1,26.7,18.8,26.1,10.2,83.9,93.1,45.1,31.0,7.2,9.4
42,TR02  ,2010JJ00,3869.0,2377.1,1491.9,1442.8,942.4,244.7,75.7,48.3,14.7,17.6,12.0,8.8,4.4,33.9,40.5,22.0,18.6,4.9,3.6,13954.3,8289.8,5664.5,5551.3,4180.5,730.9,184.0,130.3,44.1,31.8,22.8,27.3,10.0,102.9,86.6,47.5,46.8,8.5,10.4
43,TR02  ,2011JJ00,3938.9,2447.8,1491.1,1451.9,971.6,251.7,77.5,38.4,16.7,10.8,14.3,7.4,4.9,26.8,31.7,18.7,13.9,2.2,4.4,14158.7,8380.7,5778.0,5686.8,4362.8,726.8,186.6,104.7,52.4,21.4,26.0,27.7,12.7,86.9,78.9,43.3,32.8,5.6,9.5
44,TR02  ,2012JJ00,3830.2,2343.0,1487.2,1446.4,953.3,250.3,79.7,40.2,16.5,11.4,14.9,9.7,4.5,29.6,36.3,17.3,17.2,2.7,3.6,13182.1,7708.1,5474.0,5382.5,4051.3,711.2,202.7,111.8,50.7,22.7,28.1,27.7,10.2,91.4,74.6,40.7,36.5,5.8,8.5
45,TR03  ,1998JJ00,838.6,498.7,339.9,296.0,173.9,21.2,26.6,13.7,2.6,9.2,5.1,3.5,,,40.3,26.4,5.8,10.8,,2972.5,1823.3,1149.2,1076.4,759.8,74.4,70.2,28.2,6.0,19.2,11.4,12.0,,,95.3,49.8,9.4,12.1,
46,TR03  ,1999JJ00,977.2,586.1,391.1,361.3,227.3,30.5,30.9,15.1,2.8,8.8,7.7,4.5,,,33.5,18.7,3.1,7.2,,3511.1,2125.9,1385.2,1337.8,977.4,105.1,84.6,32.7,6.1,17.4,18.8,14.7,,,81.1,28.5,6.5,10.7,
