ID,Geslacht,Perioden,Vergrijzing_1,Alleenstaanden30Tot65Jaar_2,NietWesterseMigratieachtergrond_3,Bevolkingsgroei_4,BBPMarktprijzenPerCapita_5,Bevolkingsdichtheid_6,OnderzoekEnOntwikkelingRD_7,LeeftijdMoederBijGeboorte1eKind_8,MensenDieZichGelukkigVinden_9,GestandaardiseerdHuishoudinkomen_10,ZeerMoeilijkRondkomenVanHhInkomen_11,HuishoudensInLangdurigeArmoede_12,KoopkrachtveranderingVanPersonen_13,InkomensverdelingParticuliereHuish_14,EigenWoningen_15,GemiddeldVermogenVanHuishoudens_16,VermogensverdelingParticuliereHuish_17,BetaaldWerk_18,FlexibeleArbeidsrelatie_19,WerkloosheidsduurLangerDan12Maanden_20,LangdurigeArbeidsongeschiktheid_21,FaillissementenBedrijven_22,UitgesprokenSchuldhulpsanering_23,VoortijdigeSchoolverlaters_24,PersonenMetOpleidingsniveauHBOOfWO_25,PersonenMetHogerOfWetenschBeroep_26,PersonenZonderStartkwalificatie_27,DeelnemersVolwassenenonderwijsVavo_28,Deeltijdbanen_29,LevensverwachtingBijGeboorte_30,Levensverwachting65Jarige_31,ErvarenGezondheidMinderDanGoed_32,GezondeLevensverwachtingBijGeboorte_33,GezondeLevensverwachting65Jarige_34,Overledenen_35,SterfgevallenDoorKanker_36,SterfgevallenDoorHartEnVaatziekten_37,PerinataleSterfte_38,VrijwilligerswerkPolitiekeOrganisatie_39,LidmaatschapVakvereniging_40,LidmaatschapPolitiekePartij_41,VertrouwenInTweedeKamer_42,VertrouwenInRechters_43,VertrouwenInPolitie_44,MensenDieNietStemmenTweedeKamer_45,OnbetaaldeArbeid_46,NietGeisoleerdVoelen_47,TevredenheidMetVriendenEnKennissen_48,BezoektGodsdienstigeBijeenkomsten_49,LidmaatschapSportvereniging_50,LidmaatschapHobbyvereniging_51,VerkeersdodenPer100000_52,VerkeersdodenAantal_53,SlachtofferschapGeweldsdelicten_54,SlachtofferschapVandalismedelicten_55,SlachtofferschapVanVermogensdelicten_56,Onveiligheidsgevoelens_57,SlachtoffersVanMoordEnDoodslag_58,ClientenVanSlachtofferhulpNederland_59,Ondertoezichtstellingen_60,GeluidshinderVanBuren_61,GeluidshinderDoorVliegverkeer_62,GeurhinderDoorIndustrie_63
10,T001038,2009JJ00,15.0,15.6,11.0,5.4,37358.0,489.0,10408.0,,89.0,23.3,11.0,2.5,1.9,101.0,55.7,172.0,-2.6,71.1,14.9,80.0,,80.0,9.0,4.5,27.1,29.4,31.6,5.5,,,,18.6,,,134.2,41.3,38.9,1.1,,,,,,,,,89.0,49.0,18.0,,,4.1,0.7,5.7,14.2,10.8,25.8,1.5,91.9,33.2,19.0,17.0,6.0
11,T001038,2010JJ00,15.3,15.9,11.2,4.9,38008.0,491.0,10892.0,,84.0,23.3,13.0,2.4,-0.5,101.9,55.3,166.0,-4.3,70.7,15.4,99.0,,71.0,11.0,4.5,27.8,30.2,31.0,4.8,3982.0,,,19.7,,,136.1,42.4,39.0,1.0,,,,59.0,70.0,70.0,25.0,,90.0,52.0,,,,3.6,0.6,,,,,1.4,108.8,32.6,19.0,15.0,5.0
12,T001038,2011JJ00,15.6,16.1,11.4,4.5,38515.0,494.0,12235.0,,,23.3,14.0,2.4,-0.7,102.7,55.1,162.0,-4.9,70.9,15.6,130.0,,69.0,15.0,4.6,27.6,30.4,31.4,3.4,4153.0,,,19.9,,,135.7,42.9,38.1,1.0,,,,,,,,,90.0,52.0,,,,3.9,0.7,,,,,1.4,134.7,32.1,20.0,14.0,5.0
13,T001038,2012JJ00,16.2,16.4,11.6,2.9,38506.0,496.0,12512.0,,83.0,23.4,14.0,2.6,-1.1,101.9,56.2,159.0,-5.4,71.6,16.4,157.0,,83.0,14.0,4.1,28.3,28.2,30.5,2.5,4188.0,,,19.9,,,140.8,43.4,38.4,0.9,2.0,22.0,4.0,53.0,73.0,68.0,25.0,,,,,,,3.9,0.7,2.6,7.7,13.2,36.6,1.5,164.0,30.6,,,
14,T001038,2013JJ00,16.8,16.6,11.7,3.0,38844.0,498.0,12746.0,,,23.6,17.0,3.0,-1.2,101.1,,145.0,-8.5,71.9,17.4,204.0,,94.0,12.0,3.3,28.7,,28.4,2.2,4133.0,,,19.7,,,141.2,42.4,38.5,0.9,1.0,22.0,5.0,,,,,,,,,,,3.3,0.6,2.4,7.1,13.7,36.7,1.3,164.6,,,,
15,T001038,2014JJ00,17.3,16.7,11.9,4.2,39313.0,500.0,13268.0,,,24.6,16.0,3.4,1.8,94.3,,159.0,-7.8,71.5,18.3,250.0,,76.0,12.0,3.0,29.4,,28.5,3.5,4141.0,,,,,,139.2,43.0,37.9,0.8,1.0,22.0,4.0,,,,,,,,,,,3.2,0.5,2.3,6.8,13.0,35.9,1.2,160.1,,,,
16,T001038,2015JJ00,17.8,17.0,12.1,4.6,39937.0,502.0,13696.0,,,,15.0,,1.1,,,,,72.1,19.3,259.0,,60.0,12.0,2.5,,,28.1,5.8,4223.0,,,,,,147.1,44.2,39.4,0.8,1.0,20.0,4.0,,,,,,,,,,,3.4,0.6,2.2,6.2,12.2,35.6,1.0,163.2,,,,
17,T001038,2016JJ00,18.2,17.2,12.3,6.0,,504.0,14280.0,,,,15.0,,,,,,,72.2,20.3,216.0,,50.0,10.0,2.4,,,27.5,7.1,4302.0,,,,,,149.0,45.3,38.6,0.8,2.0,21.0,4.0,,,,,,,,,,,3.5,0.6,2.3,6.3,11.5,34.7,1.0,163.0,,,,
18,T001038,2017JJ00,18.5,17.4,12.7,,,507.0,,,,,,,,,,,,,,161.0,,39.0,8.0,,,,26.2,5.9,,,,,,,,,,,,,,,,,,,,,,,,,,2.1,5.5,10.0,34.1,,,,,,
19,T001038,2018JJ00,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
