ID,AreasOfCivilEngineeringWorks,Periods,InputPriceIndex_1,ChangesComparedWithOneYearEarlier_2
754,A023217,2013MM01,152.9,1.5
755,A023217,2013MM04,152.7,0.8
756,A023217,2013MM07,151.7,-0.7
757,A023217,2013MM10,151.3,-1.0
758,A023217,2014MM01,152.3,-0.4
759,A023217,2014MM04,151.5,-0.8
760,A023217,2014MM07,151.9,0.1
761,A023217,2014MM10,153.2,1.3
762,A023217,2015MM01,154.6,1.5
763,A023217,2015MM04,156.8,3.5
764,A023217,2015MM07,157.3,3.6
765,A023217,2015MM10,156.6,2.2
766,A023217,2016MM01,156.7,1.4
767,A023217,2016MM04,156.3,-0.3
768,A023217,2016MM07,157.6,0.2
769,A023217,2016MM10,157.6,0.6
770,A023217,2017MM01,160.6,2.5
771,A023217,2017MM04,160.4,2.6
772,A023217,2017MM07,159.7,1.3
773,A023217,2017MM10,160.7,2.0
774,A023217,2018MM01,162.0,0.9
775,A023217,2018MM04,162.1,1.1
776,A023217,2018MM07,164.1,2.8
777,A023217,2018MM10,164.9,2.6
778,A023217,2019MM01,165.2,2.0
779,A023217,2019MM04,166.5,2.7
780,A023217,2019MM07,167.1,1.8
781,A023217,2019MM10,167.6,1.6
782,A023217,2020MM01,168.9,2.2
783,A023217,2020MM04,168.0,0.9
784,A023217,2020MM07,169.0,1.1
785,A023217,2020MM10,169.2,1.0
786,A023217,2021MM01,173.0,2.4
787,A023217,2021MM04,177.4,5.6
788,A023217,2021MM07,184.3,9.1
789,A023217,2021MM10,188.7,11.6
790,A023217,2022MM01,194.1,12.2
791,A023217,2022MM04,204.8,15.5
792,A023217,2022MM07,206.3,12.0
793,A023217,2022MM10,206.1,9.2
794,A023217,2023MM01,206.5,6.4
795,A023217,2023MM04,207.4,1.3
796,A023217,2023MM07,204.6,-0.8
797,A023217,2023MM10,204.3,-0.9
798,A023217,2024MM01,205.9,-0.3
799,A023217,2024MM02,206.1,
800,A023217,2024MM03,206.3,
801,A023217,2024MM04,207.7,0.1
802,A023217,2024MM05,207.3,
803,A023217,2024MM06,208.8,
804,A023217,2024MM07,211.8,3.5
805,A023217,2024MM08,210.5,
806,A023217,2024MM09,210.5,
807,A023217,2024MM10,209.6,2.6
808,A023217,2024MM11,210.9,
809,A023217,2024MM12,211.2,
810,A023217,2025MM01,213.8,3.8
811,A023217,2025MM02,214.7,4.2
812,A023217,2025MM03,215.2,4.3
813,A023217,2025MM04,214.6,3.4
814,A023217,2025MM05,215.0,3.7
815,A023217,2025MM06,215.8,3.4
816,A023217,2025MM07,215.9,1.9
817,A023217,2025MM08,215.3,2.3
818,A023217,2025MM09,215.9,2.6
819,A023217,2025MM10,217.7,3.9
820,A023222,1979MM02,,
821,A023222,1979MM08,,
822,A023222,1980MM02,,
823,A023222,1980MM08,,
824,A023222,1981MM02,,
825,A023222,1981MM08,,
826,A023222,1982MM02,,
827,A023222,1982MM08,,
828,A023222,1983MM02,,
829,A023222,1983MM08,,
830,A023222,1984MM02,,
831,A023222,1984MM08,,
832,A023222,1985MM02,,
833,A023222,1985MM08,,
834,A023222,1986MM02,,
835,A023222,1986MM08,,
836,A023222,1987MM02,,
837,A023222,1987MM08,,
838,A023222,1988MM02,,
839,A023222,1988MM08,,
840,A023222,1989MM02,,
841,A023222,1989MM08,,
842,A023222,1990MM02,,
843,A023222,1990MM08,,
844,A023222,1991MM02,,
845,A023222,1991MM08,,
846,A023222,1992MM02,,
847,A023222,1992MM08,,
848,A023222,1993MM02,,
849,A023222,1993MM08,,
850,A023222,1994MM02,,
851,A023222,1994MM08,,
852,A023222,1995MM02,,
853,A023222,1995MM08,,
854,A023222,1996MM02,,
855,A023222,1996MM08,,
856,A023222,1997MM02,,
857,A023222,1997MM08,,
858,A023222,1998MM01,,
859,A023222,1998MM04,,
860,A023222,1998MM07,,
861,A023222,1998MM10,,
862,A023222,1999MM01,,
863,A023222,1999MM04,,
864,A023222,1999MM07,,
865,A023222,1999MM10,,
866,A023222,2000MM01,98.5,
867,A023222,2000MM04,99.3,
868,A023222,2000MM07,100.7,
869,A023222,2000MM10,101.5,
870,A023222,2001MM01,104.7,6.3
871,A023222,2001MM04,105.1,5.8
872,A023222,2001MM07,105.5,4.8
873,A023222,2001MM10,105.5,3.9
874,A023222,2002MM01,107.1,2.3
875,A023222,2002MM04,107.5,2.3
876,A023222,2002MM07,108.4,2.7
877,A023222,2002MM10,108.0,2.4
878,A023222,2003MM01,107.9,0.7
879,A023222,2003MM04,107.4,-0.1
880,A023222,2003MM07,107.2,-1.1
881,A023222,2003MM10,106.7,-1.2
882,A023222,2004MM01,106.5,-1.3
883,A023222,2004MM04,108.2,0.7
884,A023222,2004MM07,109.7,2.3
885,A023222,2004MM10,107.8,1.0
886,A023222,2005MM01,107.1,0.6
887,A023222,2005MM04,107.5,-0.6
888,A023222,2005MM07,107.6,-1.9
889,A023222,2005MM10,108.6,0.7
890,A023222,2006MM01,111.4,4.0
891,A023222,2006MM04,112.2,4.4
892,A023222,2006MM07,114.2,6.1
893,A023222,2006MM10,115.5,6.4
894,A023222,2007MM01,117.6,5.6
895,A023222,2007MM04,118.7,5.8
896,A023222,2007MM07,118.5,3.8
897,A023222,2007MM10,118.4,2.5
898,A023222,2008MM01,122.0,3.7
899,A023222,2008MM04,125.8,6.0
900,A023222,2008MM07,132.9,12.2
901,A023222,2008MM10,131.6,11.1
902,A023222,2009MM01,130.9,7.3
903,A023222,2009MM04,127.4,1.3
904,A023222,2009MM07,123.8,-6.8
905,A023222,2009MM10,120.5,-8.4
906,A023222,2010MM01,119.0,-9.1
907,A023222,2010MM04,120.5,-5.4
908,A023222,2010MM07,120.6,-2.6
909,A023222,2010MM10,120.3,-0.2
910,A023222,2011MM01,123.5,3.8
911,A023222,2011MM04,122.7,1.8
912,A023222,2011MM07,123.3,2.2
913,A023222,2011MM10,123.3,2.5
914,A023222,2012MM01,124.5,0.8
915,A023222,2012MM04,124.8,1.7
916,A023222,2012MM07,125.4,1.7
917,A023222,2012MM10,125.8,2.0
918,A023222,2013MM01,126.0,1.2
919,A023222,2013MM04,125.6,0.6
920,A023222,2013MM07,124.9,-0.4
921,A023222,2013MM10,125.4,-0.3
922,A023222,2014MM01,126.4,0.3
923,A023222,2014MM04,125.6,0.0
924,A023222,2014MM07,125.3,0.3
925,A023222,2014MM10,125.6,0.2
926,A023222,2015MM01,124.7,-1.3
927,A023222,2015MM04,125.0,-0.5
928,A023222,2015MM07,125.5,0.2
929,A023222,2015MM10,124.7,-0.7
930,A023222,2016MM01,124.1,-0.5
931,A023222,2016MM04,125.1,0.1
932,A023222,2016MM07,126.9,1.1
933,A023222,2016MM10,126.6,1.5
934,A023222,2017MM01,128.2,3.3
935,A023222,2017MM04,128.9,3.0
936,A023222,2017MM07,129.3,1.9
937,A023222,2017MM10,131.5,3.9
938,A023222,2018MM01,132.6,3.4
939,A023222,2018MM04,132.7,2.9
940,A023222,2018MM07,134.0,3.6
941,A023222,2018MM10,134.7,2.4
942,A023222,2019MM01,135.3,2.0
943,A023222,2019MM04,135.4,2.1
944,A023222,2019MM07,136.3,1.7
945,A023222,2019MM10,135.6,0.7
946,A023222,2020MM01,137.5,1.6
947,A023222,2020MM04,136.7,1.0
948,A023222,2020MM07,137.7,1.0
949,A023222,2020MM10,137.9,1.7
950,A023222,2021MM01,142.9,3.9
951,A023222,2021MM04,144.7,5.9
952,A023222,2021MM07,152.0,10.4
953,A023222,2021MM10,153.9,11.7
954,A023222,2022MM01,158.8,11.2
955,A023222,2022MM04,172.9,19.5
956,A023222,2022MM07,171.4,12.8
957,A023222,2022MM10,170.0,10.4
958,A023222,2023MM01,169.7,6.8
959,A023222,2023MM04,170.1,-1.6
960,A023222,2023MM07,168.0,-2.0
961,A023222,2023MM10,167.2,-1.6
962,A023222,2024MM01,169.2,-0.3
963,A023222,2024MM02,169.2,
964,A023222,2024MM03,169.4,
965,A023222,2024MM04,169.1,-0.6
966,A023222,2024MM05,168.1,
967,A023222,2024MM06,168.8,
968,A023222,2024MM07,172.0,2.4
969,A023222,2024MM08,172.0,
970,A023222,2024MM09,171.3,
971,A023222,2024MM10,171.0,2.3
972,A023222,2024MM11,171.3,
973,A023222,2024MM12,171.4,
974,A023222,2025MM01,172.8,2.1
975,A023222,2025MM02,173.3,2.5
976,A023222,2025MM03,174.2,2.8
977,A023222,2025MM04,174.3,3.1
978,A023222,2025MM05,175.2,4.2
979,A023222,2025MM06,175.8,4.1
980,A023222,2025MM07,175.6,2.1
981,A023222,2025MM08,175.7,2.1
982,A023222,2025MM09,175.1,2.2
983,A023222,2025MM10,176.3,3.1
984,A023228,1979MM02,51.8,
985,A023228,1979MM08,53.9,
986,A023228,1980MM02,56.2,8.5
987,A023228,1980MM08,57.5,6.7
988,A023228,1981MM02,60.0,6.8
989,A023228,1981MM08,61.5,7.0
990,A023228,1982MM02,63.9,6.5
991,A023228,1982MM08,64.3,4.6
992,A023228,1983MM02,64.9,1.6
993,A023228,1983MM08,65.4,1.7
994,A023228,1984MM02,66.3,2.2
995,A023228,1984MM08,67.0,2.4
996,A023228,1985MM02,68.4,3.2
997,A023228,1985MM08,69.2,3.3
998,A023228,1986MM02,70.4,2.9
999,A023228,1986MM08,70.9,2.5
1000,A023228,1987MM02,71.8,2.0
1001,A023228,1987MM08,72.0,1.6
1002,A023228,1988MM02,72.8,1.4
1003,A023228,1988MM08,72.7,1.0
1004,A023228,1989MM02,74.9,2.9
1005,A023228,1989MM08,76.3,5.0
1006,A023228,1990MM02,77.8,3.9
1007,A023228,1990MM08,78.4,2.8
1008,A023228,1991MM02,81.2,4.4
1009,A023228,1991MM08,81.7,4.2
1010,A023228,1992MM02,84.6,4.2
1011,A023228,1992MM08,85.6,4.8
1012,A023228,1993MM02,87.9,3.9
1013,A023228,1993MM08,88.0,2.8
1014,A023228,1994MM02,88.7,0.9
1015,A023228,1994MM08,89.2,1.4
1016,A023228,1995MM02,90.2,1.7
1017,A023228,1995MM08,90.9,1.9
1018,A023228,1996MM02,91.9,1.9
1019,A023228,1996MM08,92.6,1.9
1020,A023228,1997MM02,93.6,1.8
1021,A023228,1997MM08,94.1,1.6
1022,A023228,1998MM01,95.9,
1023,A023228,1998MM04,96.7,
1024,A023228,1998MM07,97.2,
1025,A023228,1998MM10,97.0,
1026,A023228,1999MM01,97.4,1.6
1027,A023228,1999MM04,97.3,0.6
1028,A023228,1999MM07,97.6,0.4
1029,A023228,1999MM10,98.0,1.0
1030,A023228,2000MM01,98.9,1.5
1031,A023228,2000MM04,100.1,2.9
1032,A023228,2000MM07,100.5,3.0
1033,A023228,2000MM10,100.5,2.6
1034,A023228,2001MM01,101.7,2.8
1035,A023228,2001MM04,103.7,3.6
1036,A023228,2001MM07,104.3,3.8
1037,A023228,2001MM10,105.8,5.3
1038,A023228,2002MM01,107.9,6.1
1039,A023228,2002MM04,109.1,5.2
1040,A023228,2002MM07,110.1,5.6
1041,A023228,2002MM10,110.3,4.3
1042,A023228,2003MM01,111.6,3.4
1043,A023228,2003MM04,112.3,2.9
1044,A023228,2003MM07,112.9,2.5
1045,A023228,2003MM10,112.7,2.2
1046,A023228,2004MM01,114.9,3.0
1047,A023228,2004MM04,115.1,2.5
1048,A023228,2004MM07,116.3,3.0
1049,A023228,2004MM10,117.1,3.9
1050,A023228,2005MM01,120.9,5.2
1051,A023228,2005MM04,121.1,5.2
1052,A023228,2005MM07,122.1,5.0
1053,A023228,2005MM10,123.1,5.1
1054,A023228,2006MM01,124.5,3.0
1055,A023228,2006MM04,125.7,3.8
1056,A023228,2006MM07,126.2,3.4
1057,A023228,2006MM10,126.3,2.6
1058,A023228,2007MM01,128.1,2.9
1059,A023228,2007MM04,129.3,2.9
1060,A023228,2007MM07,130.0,3.0
1061,A023228,2007MM10,130.5,3.3
1062,A023228,2008MM01,133.2,4.0
1063,A023228,2008MM04,135.4,4.7
1064,A023228,2008MM07,139.1,7.0
1065,A023228,2008MM10,139.0,6.5
1066,A023228,2009MM01,139.2,4.5
1067,A023228,2009MM04,137.6,1.6
1068,A023228,2009MM07,136.3,-2.0
1069,A023228,2009MM10,135.0,-2.9
1070,A023228,2010MM01,135.3,-2.8
1071,A023228,2010MM04,135.8,-1.3
1072,A023228,2010MM07,136.6,0.2
1073,A023228,2010MM10,136.7,1.3
1074,A023228,2011MM01,137.9,1.9
1075,A023228,2011MM04,139.7,2.9
1076,A023228,2011MM07,140.2,2.6
1077,A023228,2011MM10,140.4,2.7
1078,A023228,2012MM01,142.0,3.0
1079,A023228,2012MM04,142.8,2.2
1080,A023228,2012MM07,142.9,1.9
1081,A023228,2012MM10,144.2,2.7
1082,A023228,2013MM01,144.1,1.5
1083,A023228,2013MM04,143.9,0.8
1084,A023228,2013MM07,144.5,1.1
1085,A023228,2013MM10,144.3,0.1
1086,A023228,2014MM01,145.0,0.6
1087,A023228,2014MM04,144.3,0.3
1088,A023228,2014MM07,144.7,0.1
1089,A023228,2014MM10,145.5,0.8
1090,A023228,2015MM01,144.3,-0.5
1091,A023228,2015MM04,144.7,0.3
1092,A023228,2015MM07,145.5,0.6
1093,A023228,2015MM10,144.9,-0.4
1094,A023228,2016MM01,143.8,-0.3
1095,A023228,2016MM04,143.1,-1.1
1096,A023228,2016MM07,145.2,-0.2
1097,A023228,2016MM10,147.3,1.7
1098,A023228,2017MM01,147.1,2.3
1099,A023228,2017MM04,147.8,3.3
1100,A023228,2017MM07,147.5,1.6
1101,A023228,2017MM10,147.6,0.2
1102,A023228,2018MM01,150.4,2.2
1103,A023228,2018MM04,151.2,2.3
1104,A023228,2018MM07,152.3,3.3
1105,A023228,2018MM10,155.3,5.2
1106,A023228,2019MM01,155.8,3.6
1107,A023228,2019MM04,158.3,4.7
1108,A023228,2019MM07,158.2,3.9
1109,A023228,2019MM10,158.7,2.2
1110,A023228,2020MM01,164.2,5.4
1111,A023228,2020MM04,164.5,3.9
1112,A023228,2020MM07,165.5,4.6
1113,A023228,2020MM10,166.7,5.0
1114,A023228,2021MM01,167.9,2.3
1115,A023228,2021MM04,174.1,5.9
1116,A023228,2021MM07,176.9,6.9
1117,A023228,2021MM10,171.2,2.7
1118,A023228,2022MM01,181.2,8.0
1119,A023228,2022MM04,194.3,11.6
1120,A023228,2022MM07,192.7,8.9
1121,A023228,2022MM10,205.2,19.9
1122,A023228,2023MM01,201.8,11.4
1123,A023228,2023MM04,207.0,6.5
1124,A023228,2023MM07,214.1,11.1
1125,A023228,2023MM10,213.5,4.0
1126,A023228,2024MM01,215.5,6.8
1127,A023228,2024MM02,219.0,
1128,A023228,2024MM03,213.6,
1129,A023228,2024MM04,216.7,4.7
1130,A023228,2024MM05,216.4,
1131,A023228,2024MM06,215.5,
1132,A023228,2024MM07,221.3,3.3
1133,A023228,2024MM08,223.6,
1134,A023228,2024MM09,220.9,
1135,A023228,2024MM10,222.4,4.2
1136,A023228,2024MM11,218.5,
1137,A023228,2024MM12,218.7,
1138,A023228,2025MM01,222.8,3.4
1139,A023228,2025MM02,222.7,1.7
1140,A023228,2025MM03,227.2,6.4
1141,A023228,2025MM04,220.0,1.5
1142,A023228,2025MM05,222.9,3.0
1143,A023228,2025MM06,221.0,2.5
1144,A023228,2025MM07,224.7,1.6
1145,A023228,2025MM08,225.9,1.0
1146,A023228,2025MM09,226.0,2.3
1147,A023228,2025MM10,227.0,2.1
1148,A023248,1979MM02,,
1149,A023248,1979MM08,,
1150,A023248,1980MM02,,
1151,A023248,1980MM08,,
1152,A023248,1981MM02,,
1153,A023248,1981MM08,,
1154,A023248,1982MM02,,
1155,A023248,1982MM08,,
1156,A023248,1983MM02,,
1157,A023248,1983MM08,,
1158,A023248,1984MM02,,
1159,A023248,1984MM08,,
1160,A023248,1985MM02,,
1161,A023248,1985MM08,,
1162,A023248,1986MM02,,
1163,A023248,1986MM08,,
1164,A023248,1987MM02,,
1165,A023248,1987MM08,,
1166,A023248,1988MM02,,
1167,A023248,1988MM08,,
1168,A023248,1989MM02,,
1169,A023248,1989MM08,,
1170,A023248,1990MM02,,
1171,A023248,1990MM08,,
1172,A023248,1991MM02,,
1173,A023248,1991MM08,,
1174,A023248,1992MM02,,
1175,A023248,1992MM08,,
1176,A023248,1993MM02,,
1177,A023248,1993MM08,,
1178,A023248,1994MM02,,
1179,A023248,1994MM08,,
1180,A023248,1995MM02,,
1181,A023248,1995MM08,,
1182,A023248,1996MM02,,
1183,A023248,1996MM08,,
1184,A023248,1997MM02,,
1185,A023248,1997MM08,,
1186,A023248,1998MM01,,
1187,A023248,1998MM04,,
1188,A023248,1998MM07,,
1189,A023248,1998MM10,,
1190,A023248,1999MM01,,
1191,A023248,1999MM04,,
1192,A023248,1999MM07,,
1193,A023248,1999MM10,,
1194,A023248,2000MM01,96.9,
1195,A023248,2000MM04,98.8,
1196,A023248,2000MM07,101.3,
1197,A023248,2000MM10,103.0,
1198,A023248,2001MM01,101.3,4.5
1199,A023248,2001MM04,101.8,3.0
1200,A023248,2001MM07,102.8,1.5
1201,A023248,2001MM10,102.5,-0.5
1202,A023248,2002MM01,102.5,1.2
1203,A023248,2002MM04,104.3,2.5
1204,A023248,2002MM07,104.8,1.9
1205,A023248,2002MM10,105.8,3.2
1206,A023248,2003MM01,107.3,4.7
1207,A023248,2003MM04,107.3,2.9
1208,A023248,2003MM07,107.2,2.3
1209,A023248,2003MM10,107.6,1.7
1210,A023248,2004MM01,109.5,2.1
1211,A023248,2004MM04,113.0,5.3
1212,A023248,2004MM07,115.3,7.6
1213,A023248,2004MM10,117.4,9.1
1214,A023248,2005MM01,117.4,7.2
1215,A023248,2005MM04,118.6,5.0
1216,A023248,2005MM07,119.8,3.9
1217,A023248,2005MM10,120.5,2.6
1218,A023248,2006MM01,120.0,2.2
1219,A023248,2006MM04,122.8,3.5
1220,A023248,2006MM07,125.5,4.8
1221,A023248,2006MM10,126.3,4.8
1222,A023248,2007MM01,127.6,6.3
1223,A023248,2007MM04,129.7,5.6
1224,A023248,2007MM07,131.1,4.5
1225,A023248,2007MM10,130.1,3.0
1226,A023248,2008MM01,132.4,3.8
1227,A023248,2008MM04,136.5,5.2
1228,A023248,2008MM07,141.4,7.9
1229,A023248,2008MM10,137.7,5.8
1230,A023248,2009MM01,132.5,0.1
1231,A023248,2009MM04,130.3,-4.5
1232,A023248,2009MM07,130.9,-7.4
1233,A023248,2009MM10,132.0,-4.1
1234,A023248,2010MM01,132.7,0.2
1235,A023248,2010MM04,136.7,4.9
1236,A023248,2010MM07,137.9,5.3
1237,A023248,2010MM10,137.9,4.5
1238,A023248,2011MM01,141.7,6.8
1239,A023248,2011MM04,145.7,6.6
1240,A023248,2011MM07,145.4,5.4
1241,A023248,2011MM10,145.8,5.7
1242,A023248,2012MM01,148.3,4.7
1243,A023248,2012MM04,150.3,3.2
1244,A023248,2012MM07,149.5,2.8
1245,A023248,2012MM10,151.4,3.8
1246,A023248,2013MM01,151.2,2.0
1247,A023248,2013MM04,150.2,-0.1
1248,A023248,2013MM07,151.2,1.1
1249,A023248,2013MM10,150.6,-0.5
1250,A023248,2014MM01,151.8,0.4
1251,A023248,2014MM04,151.3,0.7
1252,A023248,2014MM07,151.4,0.1
1253,A023248,2014MM10,150.5,-0.1
1254,A023248,2015MM01,142.8,-5.9
1255,A023248,2015MM04,144.6,-4.4
1256,A023248,2015MM07,145.2,-4.1
1257,A023248,2015MM10,142.3,-5.4
1258,A023248,2016MM01,136.8,-4.2
1259,A023248,2016MM04,139.0,-3.9
1260,A023248,2016MM07,143.8,-1.0
1261,A023248,2016MM10,144.5,1.5
1262,A023248,2017MM01,148.4,8.5
1263,A023248,2017MM04,147.4,6.0
1264,A023248,2017MM07,145.4,1.1
1265,A023248,2017MM10,147.6,2.1
1266,A023248,2018MM01,151.5,2.1
1267,A023248,2018MM04,151.3,2.6
1268,A023248,2018MM07,155.4,6.9
1269,A023248,2018MM10,159.7,8.2
1270,A023248,2019MM01,157.5,4.0
1271,A023248,2019MM04,160.2,5.8
1272,A023248,2019MM07,161.9,4.2
1273,A023248,2019MM10,161.4,1.1
1274,A023248,2020MM01,165.6,5.1
1275,A023248,2020MM04,162.2,1.3
1276,A023248,2020MM07,165.1,2.0
1277,A023248,2020MM10,164.3,1.8
1278,A023248,2021MM01,167.5,1.2
1279,A023248,2021MM04,169.8,4.7
1280,A023248,2021MM07,172.1,4.2
1281,A023248,2021MM10,174.3,6.1
1282,A023248,2022MM01,183.1,9.3
1283,A023248,2022MM04,198.5,16.9
1284,A023248,2022MM07,201.6,17.1
1285,A023248,2022MM10,200.4,15.0
1286,A023248,2023MM01,200.9,9.7
1287,A023248,2023MM04,205.5,3.5
1288,A023248,2023MM07,211.4,4.8
1289,A023248,2023MM10,216.3,7.9
1290,A023248,2024MM01,219.7,9.4
1291,A023248,2024MM02,220.4,
1292,A023248,2024MM03,221.1,
1293,A023248,2024MM04,221.2,7.7
1294,A023248,2024MM05,221.0,
1295,A023248,2024MM06,220.2,
1296,A023248,2024MM07,222.9,5.5
1297,A023248,2024MM08,222.0,
1298,A023248,2024MM09,220.0,
1299,A023248,2024MM10,221.5,2.4
1300,A023248,2024MM11,223.5,
1301,A023248,2024MM12,222.7,
1302,A023248,2025MM01,224.0,1.9
1303,A023248,2025MM02,225.8,2.5
1304,A023248,2025MM03,226.5,2.5
1305,A023248,2025MM04,224.0,1.3
1306,A023248,2025MM05,224.0,1.3
1307,A023248,2025MM06,224.2,1.8
1308,A023248,2025MM07,226.2,1.5
1309,A023248,2025MM08,226.0,1.8
1310,A023248,2025MM09,225.3,2.4
1311,A023248,2025MM10,226.2,2.1
1312,A023267,1979MM02,56.7,
1313,A023267,1979MM08,59.5,
1314,A023267,1980MM02,62.7,10.6
1315,A023267,1980MM08,63.3,6.4
1316,A023267,1981MM02,64.8,3.3
1317,A023267,1981MM08,66.2,4.6
1318,A023267,1982MM02,67.4,4.0
1319,A023267,1982MM08,67.7,2.3
1320,A023267,1983MM02,68.4,1.5
1321,A023267,1983MM08,69.0,1.9
1322,A023267,1984MM02,69.9,2.2
1323,A023267,1984MM08,69.9,1.3
1324,A023267,1985MM02,72.1,3.1
1325,A023267,1985MM08,73.3,4.9
1326,A023267,1986MM02,73.0,1.2
1327,A023267,1986MM08,73.0,-0.4
1328,A023267,1987MM02,73.1,0.1
1329,A023267,1987MM08,73.2,0.3
1330,A023267,1988MM02,74.2,1.5
1331,A023267,1988MM08,74.1,1.2
1332,A023267,1989MM02,75.6,1.9
1333,A023267,1989MM08,77.2,4.2
1334,A023267,1990MM02,78.9,4.4
1335,A023267,1990MM08,79.6,3.1
1336,A023267,1991MM02,84.5,7.1
1337,A023267,1991MM08,84.1,5.7
1338,A023267,1992MM02,85.2,0.8
1339,A023267,1992MM08,86.7,3.1
1340,A023267,1993MM02,88.9,4.3
1341,A023267,1993MM08,88.2,1.7
1342,A023267,1994MM02,89.0,0.1
1343,A023267,1994MM08,89.7,1.7
1344,A023267,1995MM02,90.1,1.2
1345,A023267,1995MM08,91.0,1.4
1346,A023267,1996MM02,92.0,2.1
1347,A023267,1996MM08,92.7,1.9
1348,A023267,1997MM02,92.9,1.0
1349,A023267,1997MM08,93.3,0.6
1350,A023267,1998MM01,94.9,
1351,A023267,1998MM04,95.2,
1352,A023267,1998MM07,95.7,
1353,A023267,1998MM10,95.7,
1354,A023267,1999MM01,96.1,1.3
1355,A023267,1999MM04,96.9,1.8
1356,A023267,1999MM07,98.0,2.4
1357,A023267,1999MM10,98.4,2.8
1358,A023267,2000MM01,99.0,3.0
1359,A023267,2000MM04,99.4,2.6
1360,A023267,2000MM07,100.6,2.7
1361,A023267,2000MM10,100.9,2.5
1362,A023267,2001MM01,101.6,2.6
1363,A023267,2001MM04,103.2,3.8
1364,A023267,2001MM07,103.5,2.9
1365,A023267,2001MM10,105.0,4.1
1366,A023267,2002MM01,105.6,3.9
1367,A023267,2002MM04,106.0,2.7
1368,A023267,2002MM07,107.2,3.6
1369,A023267,2002MM10,108.2,3.0
1370,A023267,2003MM01,108.5,2.7
1371,A023267,2003MM04,109.8,3.6
1372,A023267,2003MM07,110.4,3.0
1373,A023267,2003MM10,109.1,0.8
1374,A023267,2004MM01,109.6,1.0
1375,A023267,2004MM04,110.1,0.3
1376,A023267,2004MM07,110.9,0.5
1377,A023267,2004MM10,111.2,1.9
1378,A023267,2005MM01,112.5,2.6
1379,A023267,2005MM04,113.9,3.5
1380,A023267,2005MM07,114.5,3.2
1381,A023267,2005MM10,117.0,5.2
1382,A023267,2006MM01,117.5,4.4
1383,A023267,2006MM04,118.4,4.0
1384,A023267,2006MM07,119.7,4.5
1385,A023267,2006MM10,119.5,2.1
1386,A023267,2007MM01,121.7,3.6
1387,A023267,2007MM04,121.8,2.9
1388,A023267,2007MM07,122.5,2.3
1389,A023267,2007MM10,122.9,2.8
1390,A023267,2008MM01,127.2,4.5
1391,A023267,2008MM04,128.4,5.4
1392,A023267,2008MM07,129.4,5.6
1393,A023267,2008MM10,130.1,5.9
1394,A023267,2009MM01,133.1,4.6
1395,A023267,2009MM04,133.0,3.6
1396,A023267,2009MM07,133.3,3.0
1397,A023267,2009MM10,133.5,2.6
1398,A023267,2010MM01,135.4,1.7
1399,A023267,2010MM04,136.0,2.3
1400,A023267,2010MM07,136.0,2.0
1401,A023267,2010MM10,136.3,2.1
1402,A023267,2011MM01,139.5,3.0
1403,A023267,2011MM04,142.3,4.6
1404,A023267,2011MM07,142.1,4.5
1405,A023267,2011MM10,142.7,4.7
1406,A023267,2012MM01,144.4,3.5
1407,A023267,2012MM04,145.2,2.0
1408,A023267,2012MM07,144.6,1.8
1409,A023267,2012MM10,145.4,1.9
1410,A023267,2013MM01,146.2,1.2
1411,A023267,2013MM04,144.8,-0.3
1412,A023267,2013MM07,146.0,1.0
1413,A023267,2013MM10,145.4,0.0
1414,A023267,2014MM01,146.0,-0.1
1415,A023267,2014MM04,145.6,0.6
1416,A023267,2014MM07,146.5,0.3
1417,A023267,2014MM10,145.6,0.1
1418,A023267,2015MM01,140.3,-3.9
1419,A023267,2015MM04,141.4,-2.9
1420,A023267,2015MM07,141.8,-3.2
1421,A023267,2015MM10,139.9,-3.9
1422,A023267,2016MM01,136.8,-2.5
1423,A023267,2016MM04,138.3,-2.2
1424,A023267,2016MM07,141.2,-0.4
1425,A023267,2016MM10,142.0,1.5
1426,A023267,2017MM01,145.0,6.0
1427,A023267,2017MM04,142.9,3.3
1428,A023267,2017MM07,140.4,-0.6
1429,A023267,2017MM10,141.3,-0.5
1430,A023267,2018MM01,148.2,2.2
1431,A023267,2018MM04,145.9,2.1
1432,A023267,2018MM07,150.0,6.8
1433,A023267,2018MM10,155.3,9.9
1434,A023267,2019MM01,152.3,2.7
1435,A023267,2019MM04,154.8,6.1
1436,A023267,2019MM07,155.5,3.7
1437,A023267,2019MM10,156.5,0.8
1438,A023267,2020MM01,159.6,4.8
1439,A023267,2020MM04,156.1,0.9
1440,A023267,2020MM07,157.0,0.9
1441,A023267,2020MM10,155.9,-0.4
1442,A023267,2021MM01,159.6,0.0
1443,A023267,2021MM04,160.6,2.9
1444,A023267,2021MM07,163.6,4.3
1445,A023267,2021MM10,167.0,7.1
1446,A023267,2022MM01,175.6,10.0
1447,A023267,2022MM04,190.8,18.8
1448,A023267,2022MM07,197.2,20.5
1449,A023267,2022MM10,200.4,20.0
1450,A023267,2023MM01,195.0,11.1
1451,A023267,2023MM04,194.2,1.8
1452,A023267,2023MM07,198.6,0.7
1453,A023267,2023MM10,205.6,2.6
1454,A023267,2024MM01,209.4,7.4
1455,A023267,2024MM02,211.7,
1456,A023267,2024MM03,212.1,
1457,A023267,2024MM04,212.2,9.3
1458,A023267,2024MM05,209.4,
1459,A023267,2024MM06,208.1,
