ID,SBI93,Perioden,Winning_1,EnergieAanvoer_2,EnergieAflevering_3,AanvoerMinusAflevering_4,Voorraadmutatie_5,Verbruikssaldo_6,TotaalInzet_7,InzetElektriciteitWKKOmzetting_8,InzetAndereOmzetting_9,TotaalProductie_10,ProductieElektriciteitWKKOmzetting_11,ProductieAndereOmzetting_12,TotaalSaldoEnergieomzetting_13,SaldoElektriciteitWKKOmzetting_14,SaldoAndereOmzetting_15,TotaalFinaalVerbruik_16,FinaalEnergieverbruik_17,NietEnergetischGebruik_18
565,3.1.51,2001KW03,0.4,71.4,28.8,42.6,2.4,45.6,34.5,1.1,33.3,30.8,0.9,29.9,3.7,0.2,3.5,41.9,18.6,23.3
566,3.1.51,2001KW04,0.3,89.1,28.8,60.3,-7.4,53.2,34.5,1.2,33.2,30.8,1.0,29.8,3.5,0.2,3.4,49.7,23.6,26.0
567,3.1.51,2001JJ00,1.5,316.5,118.0,198.3,-3.2,196.6,135.5,4.6,130.7,121.1,3.8,117.2,14.1,0.8,13.6,182.4,88.0,94.2
568,3.1.51,2002KW01,0.4,74.5,27.5,46.9,4.2,51.6,33.3,1.2,32.1,29.8,1.0,28.8,3.5,0.2,3.3,48.1,24.7,23.3
569,3.1.51,2002KW02,0.4,72.4,27.3,45.1,-1.9,43.6,30.5,0.8,29.7,27.1,0.7,26.5,3.5,0.1,3.4,40.1,20.4,19.8
570,3.1.51,2002KW03,0.4,71.8,28.8,43.2,1.2,44.7,33.4,0.9,32.5,30.0,0.8,29.3,3.4,0.1,3.3,41.3,19.0,22.3
571,3.1.51,2002KW04,0.4,81.1,29.7,51.4,0.7,52.6,34.1,1.1,33.1,29.9,0.9,29.1,4.3,0.2,4.1,48.3,24.0,24.2
572,3.1.51,2002JJ00,1.6,299.8,113.3,186.6,4.2,192.5,131.3,4.0,127.4,116.8,3.4,113.7,14.7,0.6,14.1,177.8,88.1,89.6
573,3.1.51,2003KW01,0.5,72.3,27.2,45.2,6.5,51.9,33.1,0.9,32.1,29.1,0.8,28.3,4.0,0.1,3.9,47.9,24.1,23.9
574,3.1.51,2003KW02,0.4,82.4,28.8,53.6,-4.0,49.9,33.9,0.9,33.1,29.8,0.7,29.0,4.2,0.1,4.0,45.9,19.6,26.3
575,3.1.51,2003KW03,0.4,82.4,29.5,52.9,0.2,53.5,35.5,1.0,34.5,31.1,0.8,30.3,4.4,0.2,4.2,49.1,19.0,30.1
576,3.1.49,2000KW01,0.1,11.3,0.1,11.2,0.2,11.4,0.2,0.2,0.0,0.2,0.2,0.0,0.1,0.1,0.0,11.3,9.9,1.5
577,3.1.49,2000KW02,0.0,10.2,0.0,10.2,0.0,10.3,0.3,0.3,0.0,0.2,0.2,0.0,0.1,0.1,0.0,10.2,8.8,1.4
578,3.1.49,2000KW03,0.0,10.0,0.1,9.9,0.0,9.9,0.2,0.2,0.0,0.2,0.2,0.0,0.1,0.1,0.0,9.9,8.0,1.9
579,3.1.49,2000KW04,0.1,12.1,0.0,12.0,0.0,12.2,0.3,0.3,0.0,0.2,0.2,0.0,0.1,0.1,0.0,12.1,9.5,2.6
580,3.1.49,2000JJ00,0.2,43.6,0.2,43.3,0.2,43.8,1.0,1.0,0.0,0.8,0.8,0.0,0.4,0.4,0.0,43.5,36.2,7.4
581,3.1.49,2001KW01,0.1,10.3,0.0,10.2,0.1,10.4,0.3,0.3,0.0,0.2,0.2,0.0,0.1,0.1,0.0,10.4,9.2,1.2
582,3.1.49,2001KW02,0.1,10.5,0.0,10.5,0.0,10.6,0.3,0.3,0.0,0.2,0.2,0.0,0.1,0.1,0.0,10.6,9.2,1.3
583,3.1.49,2001KW03,0.1,9.6,0.0,9.6,0.0,9.7,0.2,0.2,0.0,0.2,0.2,0.0,0.0,0.0,0.0,9.7,8.4,1.3
584,3.1.49,2001KW04,0.1,10.0,0.0,10.0,0.0,10.1,0.2,0.2,0.0,0.2,0.2,0.0,0.0,0.0,0.0,10.0,8.8,1.2
585,3.1.49,2001JJ00,0.4,40.4,0.0,40.3,0.1,40.8,1.0,1.0,0.0,0.8,0.8,0.0,0.2,0.2,0.0,40.7,35.6,5.0
586,3.1.49,2002KW01,0.1,10.0,0.0,10.0,0.1,10.2,0.3,0.3,0.0,0.2,0.2,0.0,0.0,0.0,0.0,10.2,9.0,1.2
587,3.1.49,2002KW02,0.1,9.3,0.0,9.3,-0.1,9.3,0.2,0.2,0.0,0.2,0.2,0.0,0.1,0.1,0.0,9.3,7.7,1.6
588,3.1.49,2002KW03,0.1,8.1,0.0,8.1,0.0,8.1,0.2,0.2,0.0,0.2,0.2,0.0,0.0,0.0,0.0,8.1,6.8,1.3
589,3.1.49,2002KW04,0.1,9.4,0.0,9.4,0.0,9.4,0.2,0.2,0.0,0.2,0.2,0.0,0.0,0.0,0.0,9.3,7.6,1.9
590,3.1.49,2002JJ00,0.4,36.8,0.0,36.8,0.0,37.0,0.9,0.9,0.0,0.8,0.8,0.0,0.1,0.1,0.0,36.9,31.1,6.0
591,3.1.49,2003KW01,0.1,10.2,0.0,10.2,0.0,10.3,0.2,0.2,0.0,0.2,0.2,0.0,0.0,0.0,0.0,10.3,8.2,2.1
592,3.1.49,2003KW02,0.1,8.3,0.0,8.3,0.0,8.4,0.2,0.2,0.0,0.2,0.2,0.0,0.0,0.0,0.0,8.4,7.6,0.8
593,3.1.49,2003KW03,0.1,7.9,0.0,7.9,-0.1,7.7,0.2,0.2,0.0,0.1,0.1,0.0,0.0,0.0,0.0,7.7,7.1,0.7
594,3.1.40,2000KW01,2.1,1560.9,1252.9,308.2,3.4,313.7,958.3,40.2,918.2,935.0,30.6,904.5,23.4,9.7,13.7,290.4,178.1,112.3
595,3.1.40,2000KW02,2.1,1527.7,1206.0,321.7,-30.0,293.8,898.9,36.0,862.9,876.9,27.8,849.1,21.9,8.1,13.8,271.9,153.0,118.8
596,3.1.40,2000KW03,1.7,1590.2,1266.1,324.1,-17.9,307.8,992.6,39.0,953.7,961.9,29.1,932.8,30.7,9.9,20.9,277.2,153.1,124.0
597,3.1.40,2000KW04,3.2,1635.1,1313.0,322.1,-0.3,324.8,1086.6,43.3,1043.3,1052.4,33.8,1018.7,33.9,9.5,24.5,290.9,172.8,118.1
598,3.1.40,2000JJ00,9.1,6313.9,5038.0,1276.1,-44.8,1240.1,3936.4,158.5,3778.1,3826.2,121.3,3705.1,109.9,37.2,72.9,1130.4,657.0,473.2
599,3.1.40,2001KW01,2.4,1585.4,1227.5,357.6,-35.4,324.7,1003.1,39.1,963.9,970.7,29.8,940.9,32.3,9.3,23.0,292.4,170.7,121.7
600,3.1.40,2001KW02,2.5,1549.4,1274.5,274.8,22.0,299.4,994.7,36.4,958.3,966.7,27.8,938.9,28.1,8.6,19.4,271.3,156.3,114.9
601,3.1.40,2001KW03,2.0,1601.9,1261.5,340.4,-40.8,301.7,982.6,36.3,946.4,955.1,27.7,927.5,27.6,8.6,19.0,274.1,152.8,121.3
602,3.1.40,2001KW04,2.0,1572.0,1296.0,276.0,41.9,319.9,1014.7,41.9,972.7,983.6,32.7,950.9,31.1,9.2,21.9,288.8,170.3,118.5
603,3.1.40,2001JJ00,8.9,6308.7,5059.5,1248.8,-12.3,1245.7,3995.1,153.7,3841.3,3876.1,118.0,3758.2,119.1,35.7,83.3,1126.6,650.1,476.4
604,3.1.40,2002KW01,2.5,1548.6,1239.2,309.4,5.2,317.2,1002.7,37.1,965.8,975.4,28.3,947.1,27.3,8.7,18.7,289.9,168.9,121.0
605,3.1.40,2002KW02,2.4,1511.4,1210.1,301.3,-6.2,297.6,932.1,35.3,896.9,904.0,27.0,877.0,28.1,8.1,20.0,269.5,155.9,113.6
606,3.1.40,2002KW03,2.5,1519.8,1238.1,281.6,17.6,301.8,977.5,36.4,941.2,950.7,27.7,923.1,26.7,8.6,18.1,275.0,157.6,117.4
607,3.1.40,2002KW04,2.6,1547.2,1229.1,318.1,12.2,333.0,978.5,42.0,936.6,948.7,31.6,917.0,30.0,10.3,19.6,303.2,174.4,128.8
608,3.1.40,2002JJ00,10.0,6127.0,4916.5,1210.4,28.8,1249.6,3890.8,150.8,3740.5,3778.8,114.6,3664.2,112.1,35.7,76.4,1137.6,656.8,480.8
609,3.1.40,2003KW01,2.7,1493.3,1195.3,298.0,24.0,324.7,968.8,36.6,932.1,940.8,28.0,912.8,27.9,8.6,19.3,296.8,172.4,124.5
610,3.1.40,2003KW02,2.6,1662.1,1305.2,357.0,-39.9,319.5,1017.8,35.5,982.3,990.9,26.7,964.3,26.8,8.8,18.0,293.0,161.7,131.3
611,3.1.40,2003KW03,2.3,1615.7,1292.6,323.2,-0.5,325.1,1100.6,33.8,1066.8,1067.3,25.6,1041.8,33.2,8.3,25.0,291.7,159.0,132.7
