ID,EconomicActivityAndOtherItems,Periods,OutputBasicPrices_1,IntermediateConsumption_2,GrossValueAddedBasicPrices_3,OutputBasicPrices_4,IntermediateConsumption_5,GrossValueAddedBasicPrices_6,OutputBasicPrices_7,IntermediateConsumption_8,GrossValueAddedBasicPrices_9,OutputBasicPrices_10,IntermediateConsumption_11,GrossValueAddedBasicPrices_12,TotalCompensationOfEmployees_13,WagesAndSalaries_14,EmployersSocialContributions_15,NetOperatingSurplusMixedIncome_16,ConsumptionOfFixedCapital_17,OtherTaxesLessSubsidies_18,OtherTaxesOnProduction_19,OtherSubsidiesOnProd_20,GrossValueAddedBasicPrices_21
3178,395600,1979JJ00,,,,,,,,,,,,,,,,,,,,,
3179,395600,1980JJ00,,,,,,,,,,,,,,,,,,,,,
3180,395600,1981JJ00,,,,,,,,,,,,,,,,,,,,,
3181,395600,1982JJ00,,,,,,,,,,,,,,,,,,,,,
3182,395600,1983JJ00,,,,,,,,,,,,,,,,,,,,,
3183,395600,1984JJ00,,,,,,,,,,,,,,,,,,,,,
3184,395600,1985JJ00,,,,,,,,,,,,,,,,,,,,,
3185,395600,1986JJ00,,,,,,,,,,,,,,,,,,,,,
3186,395600,1987JJ00,,,,,,,,,,,,,,,,,,,,,
3187,395600,1988JJ00,145.0,62.0,83.0,191.0,90.0,101.0,,,,76.1,69.1,82.1,76.0,63.0,13.0,,,0.0,0.0,0.0,83.0
3188,395600,1989JJ00,160.0,73.0,87.0,213.0,104.0,110.0,11.7,16.1,8.4,75.2,70.1,79.3,84.0,71.0,13.0,,,0.0,0.0,0.0,87.0
3189,395600,1990JJ00,182.0,80.0,102.0,241.0,116.0,126.0,13.1,11.0,14.9,75.6,69.2,80.9,96.0,88.0,8.0,,,0.0,0.0,0.0,102.0
3190,395600,1991JJ00,198.0,90.0,108.0,257.0,124.0,133.0,6.6,7.5,5.9,77.1,72.4,80.9,106.0,97.0,9.0,,,0.0,0.0,0.0,108.0
3191,395600,1992JJ00,208.0,94.0,114.0,271.0,124.0,147.0,5.6,0.0,10.2,76.8,75.6,77.5,115.0,105.0,10.0,,,0.0,0.0,0.0,114.0
3192,395600,1993JJ00,221.0,102.0,119.0,285.0,134.0,152.0,5.3,7.4,3.5,77.5,76.4,78.2,122.0,112.0,10.0,,,0.0,0.0,0.0,119.0
3193,395600,1994JJ00,230.0,108.0,122.0,296.0,137.0,159.0,3.6,2.9,4.2,77.8,78.6,76.9,122.0,112.0,10.0,,,0.0,0.0,0.0,122.0
3194,395600,1995JJ00,260.0,120.0,140.0,333.0,148.0,186.0,12.6,7.4,17.2,78.1,81.3,75.3,145.0,132.0,13.0,,,0.0,0.0,0.0,140.0
3195,395600,1996JJ00,327.0,153.0,174.0,408.0,186.0,223.0,22.7,25.8,20.0,80.1,82.4,78.0,178.0,162.0,16.0,,,0.0,0.0,0.0,174.0
