ID,Geslacht,Leeftijd,ZorgvormZvwZorgkosten,Perioden,PersonenMetZvwZorgkostenRelatief_1,GemiddeldeZorgkostenAllePersonen_2,GemiddeldeZorgkostenGebruikers_3,Zorgkosten50ePercentielGebruikers_4,Zorgkosten95ePercentielGebruikers_5,Zorgkosten99ePercentielGebruikers_6
76,T001038,80000  ,T001338,2020JJ00,99.2,1205.0,1228.0,353.0,3388.0,13339.0
77,T001038,80000  ,T001338,2021JJ00,99.2,1319.0,1337.0,410.0,3761.0,14522.0
78,T001038,80000  ,T001338,2022JJ00,99.1,1405.0,1431.0,444.0,4014.0,15145.0
79,T001038,80000  ,T001338,2023JJ00,99.1,1520.0,1557.0,496.0,4330.0,16460.0
80,T001038,80000  ,A042743,2020JJ00,98.4,139.0,144.0,113.0,327.0,536.0
81,T001038,80000  ,A042743,2021JJ00,98.4,157.0,159.0,123.0,359.0,601.0
82,T001038,80000  ,A042743,2022JJ00,98.3,166.0,168.0,130.0,374.0,617.0
83,T001038,80000  ,A042743,2023JJ00,98.3,182.0,184.0,142.0,415.0,687.0
84,T001038,80000  ,A042745,2020JJ00,53.7,9.0,16.0,11.0,39.0,71.0
85,T001038,80000  ,A042745,2021JJ00,54.5,9.0,16.0,11.0,40.0,74.0
86,T001038,80000  ,A042745,2022JJ00,60.5,11.0,18.0,15.0,39.0,76.0
87,T001038,80000  ,A042745,2023JJ00,89.5,17.0,19.0,14.0,44.0,79.0
88,T001038,80000  ,A042744,2020JJ00,34.1,615.0,1828.0,410.0,5713.0,20419.0
89,T001038,80000  ,A042744,2021JJ00,36.2,686.0,1907.0,435.0,5984.0,21801.0
90,T001038,80000  ,A042744,2022JJ00,38.5,728.0,1911.0,441.0,5906.0,20926.0
91,T001038,80000  ,A042744,2023JJ00,39.0,784.0,2050.0,469.0,6410.0,23099.0
92,T001038,80000  ,A042746,2020JJ00,45.0,83.0,192.0,40.0,428.0,1871.0
93,T001038,80000  ,A042746,2021JJ00,46.3,81.0,186.0,44.0,440.0,1868.0
94,T001038,80000  ,A042746,2022JJ00,49.0,93.0,203.0,45.0,448.0,1872.0
95,T001038,80000  ,A042746,2023JJ00,49.6,96.0,213.0,48.0,467.0,1887.0
96,T001038,80000  ,A042748,2020JJ00,66.2,118.0,178.0,112.0,526.0,1114.0
97,T001038,80000  ,A042748,2021JJ00,68.6,137.0,200.0,131.0,581.0,1245.0
98,T001038,80000  ,A042748,2022JJ00,69.0,142.0,206.0,136.0,593.0,1251.0
99,T001038,80000  ,A042748,2023JJ00,70.5,159.0,226.0,149.0,640.0,1362.0
100,T001038,80000  ,A042749,2020JJ00,0.1,1.0,1585.0,1208.0,4506.0,6698.0
101,T001038,80000  ,A042749,2021JJ00,0.1,1.0,1330.0,973.0,3955.0,5775.0
102,T001038,80000  ,A042749,2022JJ00,0.1,1.0,1291.0,860.0,4021.0,5811.0
103,T001038,80000  ,A042749,2023JJ00,0.1,1.0,1333.0,632.0,4447.0,6312.0
104,T001038,80000  ,A042750,2020JJ00,17.6,80.0,456.0,272.0,1431.0,2482.0
105,T001038,80000  ,A042750,2021JJ00,18.6,92.0,493.0,303.0,1514.0,2613.0
106,T001038,80000  ,A042750,2022JJ00,19.1,95.0,496.0,299.0,1544.0,2604.0
107,T001038,80000  ,A042750,2023JJ00,19.2,101.0,526.0,316.0,1640.0,2783.0
108,T001038,80000  ,A042751,2020JJ00,5.5,31.0,566.0,38.0,3287.0,7814.0
109,T001038,80000  ,A042751,2021JJ00,6.5,35.0,540.0,37.0,3097.0,8786.0
110,T001038,80000  ,A042751,2022JJ00,6.6,36.0,546.0,37.0,3266.0,8590.0
111,T001038,80000  ,A042751,2023JJ00,6.7,37.0,562.0,33.0,3438.0,8691.0
112,T001038,80000  ,A042752,2020JJ00,1.0,11.0,1017.0,783.0,2273.0,5494.0
113,T001038,80000  ,A042752,2021JJ00,1.2,13.0,1068.0,810.0,2364.0,5860.0
