ID,Perioden,TotaleInvoerwaarde_1,TotaalAfrika_2,TotaalAmerika_3,VerenigdeStaten_4,TotaalEuropa_5,Frankrijk_6,BelgieEnLuxemburg_7,Duitsland_8,Italie_9,VerenigdKoninkrijk_10,RussischeFederatie_11,OverigeIntraHandel_12,TotaalAzie_13,China_14,Indonesie_15,Japan_16,SaoediArabie_17,TotaalAustralieEnOceanie_18,OverigeExtraHandel_19,TotaleUitvoerwaarde_20,TotaalAfrika_21,TotaalAmerika_22,VerenigdeStaten_23,TotaalEuropa_24,Frankrijk_25,BelgieEnLuxemburg_26,Duitsland_27,Italie_28,VerenigdKoninkrijk_29,RussischeFederatie_30,OverigeIntraHandel_31,TotaalAzie_32,China_33,Indonesie_34,Japan_35,SaoediArabie_36,TotaalAustralieEnOceanie_37,OverigeExtraHandel_38,TotaleInvoerwaarde_39,VoedingDrankenEnTabak_40,GrondstoffenOlienEnVetten_41,MineraleBrandstoffen_42,ChemischeProducten_43,Fabricaten_44,Machines_45,TotaleUitvoerwaarde_46,VoedingDrankenEnTabak_47,GrondstoffenOlienEnVetten_48,MineraleBrandstoffen_49,ChemischeProducten_50,Fabricaten_51,Machines_52,Invoerwaarde_53,Uitvoerwaarde_54
43,1960JJ00,7813.0,341.0,1542.0,1034.0,5020.0,299.0,1432.0,1684.0,165.0,537.0,77.0,,872.0,37.0,109.0,41.0,49.0,37.0,,6945.0,367.0,739.0,342.0,5165.0,409.0,991.0,1566.0,222.0,761.0,20.0,,520.0,12.0,57.0,39.0,17.0,153.0,,7813.0,1089.0,1173.0,1020.0,517.0,2350.0,1664.0,6945.0,1856.0,570.0,812.0,580.0,1843.0,1283.0,,
44,1961JJ00,8464.0,372.0,1454.0,941.0,5754.0,389.0,1610.0,1957.0,206.0,606.0,65.0,,846.0,25.0,69.0,61.0,53.0,37.0,,7130.0,351.0,720.0,319.0,5381.0,444.0,1077.0,1647.0,227.0,710.0,33.0,,513.0,7.0,37.0,53.0,14.0,164.0,,8464.0,1107.0,1105.0,1089.0,506.0,2584.0,2072.0,7130.0,1796.0,614.0,849.0,625.0,1855.0,1390.0,,
45,1962JJ00,8784.0,403.0,1525.0,998.0,6032.0,412.0,1726.0,2028.0,241.0,638.0,60.0,,794.0,23.0,34.0,59.0,41.0,30.0,,7531.0,365.0,724.0,329.0,5822.0,500.0,1109.0,1826.0,271.0,796.0,53.0,,464.0,6.0,17.0,51.0,19.0,156.0,,8784.0,1168.0,1037.0,1133.0,528.0,2609.0,2310.0,7531.0,1913.0,638.0,888.0,670.0,1885.0,1538.0,,
46,1963JJ00,9802.0,450.0,1640.0,1065.0,6834.0,509.0,1889.0,2380.0,285.0,709.0,78.0,,846.0,26.0,25.0,64.0,54.0,32.0,,8151.0,343.0,691.0,334.0,6457.0,643.0,1222.0,2109.0,373.0,784.0,39.0,,489.0,21.0,15.0,63.0,17.0,171.0,,9802.0,1349.0,1130.0,1193.0,601.0,3011.0,2518.0,8151.0,2082.0,704.0,829.0,735.0,2111.0,1690.0,,
47,1964JJ00,11593.0,532.0,1864.0,1276.0,8100.0,620.0,2229.0,2813.0,368.0,830.0,59.0,,1055.0,33.0,157.0,77.0,44.0,42.0,,9541.0,378.0,767.0,368.0,7622.0,846.0,1455.0,2569.0,441.0,873.0,25.0,,569.0,10.0,20.0,83.0,22.0,205.0,,11593.0,1568.0,1468.0,1276.0,734.0,3740.0,2807.0,9541.0,2280.0,835.0,869.0,880.0,2505.0,2172.0,,
48,1965JJ00,12257.0,541.0,1874.0,1256.0,8707.0,753.0,2405.0,2901.0,488.0,798.0,87.0,,1092.0,42.0,182.0,101.0,68.0,44.0,,10502.0,428.0,808.0,400.0,8431.0,887.0,1560.0,2100.0,486.0,913.0,48.0,,610.0,31.0,54.0,57.0,29.0,225.0,,12257.0,1532.0,1522.0,1249.0,830.0,4063.0,3061.0,10502.0,2575.0,909.0,916.0,1073.0,2836.0,2194.0,,
49,1966JJ00,13171.0,561.0,2103.0,1495.0,9325.0,792.0,2499.0,3272.0,552.0,804.0,79.0,,1144.0,49.0,160.0,115.0,150.0,37.0,,11092.0,466.0,984.0,505.0,8780.0,992.0,1672.0,2984.0,512.0,912.0,41.0,,648.0,26.0,54.0,81.0,32.0,215.0,,13171.0,1686.0,1536.0,1261.0,971.0,4529.0,3188.0,11092.0,2582.0,1011.0,806.0,1254.0,3069.0,2370.0,,
50,1967JJ00,13696.0,611.0,2175.0,1456.0,9623.0,871.0,2526.0,3480.0,589.0,760.0,85.0,,1239.0,46.0,161.0,143.0,152.0,46.0,,11971.0,466.0,1036.0,563.0,9494.0,1100.0,1763.0,3124.0,588.0,1057.0,109.0,,707.0,20.0,75.0,122.0,34.0,267.0,,13696.0,1875.0,1517.0,1425.0,1081.0,4572.0,3226.0,11971.0,2838.0,1060.0,942.0,1462.0,3257.0,2412.0,,
51,1968JJ00,15264.0,744.0,2352.0,1666.0,10786.0,991.0,2744.0,4028.0,692.0,837.0,88.0,,1333.0,44.0,98.0,140.0,156.0,50.0,,13703.0,482.0,1252.0,717.0,10954.0,1443.0,1960.0,3809.0,658.0,1170.0,77.0,,720.0,48.0,61.0,105.0,33.0,295.0,,15264.0,2052.0,1645.0,1549.0,1237.0,5157.0,3624.0,13703.0,3289.0,1158.0,1097.0,1820.0,3634.0,2705.0,,
52,1969JJ00,18131.0,930.0,2523.0,1752.0,13099.0,1404.0,3197.0,4822.0,818.0,1052.0,112.0,,1496.0,46.0,86.0,167.0,248.0,82.0,,16429.0,604.0,1332.0,736.0,13377.0,1900.0,2283.0,4864.0,810.0,1250.0,92.0,,765.0,38.0,74.0,108.0,29.0,321.0,,18131.0,2441.0,1869.0,1761.0,1507.0,6524.0,4035.0,16429.0,3795.0,1339.0,1358.0,2130.0,4676.0,3132.0,,
