ID,Perioden,DelfstoffenwinningEnIndustrie_1,Delfstoffenwinning_2,IndustrieTotaal_3,VoedingsEnGenotmiddelenTotaal_4,VerwerkingVanVeehouderijproducten_5,VerwerkingVanOverigeProducten_6,Drankenindustrie_7,TabakverwerkendeIndustrie_8,Textielindustrie_9,Kledingindustrie_10,LederwarenEnSchoenenindustrie_11,Houtindustrie_12,PapierEnPapierwarenIndustrie_13,GrafischeIndustrieEnUitgeverijen_14,AardolieIndustrie_15,ChemischeIndustrie_16,RubberKunststofverwerkendeIndustrie_17,BouwmaterialenAardewerkGlasindustrie_18,TotaalMetaalindustrie_19,BasismetaalIndustrie_20,OverigeMetaalIndustrie_21,OpenbareNutsbedrijven_22,DelfstoffenwinningEnIndustrie_23,Delfstoffenwinning_24,IndustrieTotaal_25,VoedingsEnGenotmiddelenTotaal_26,VerwerkingVanVeehouderijproducten_27,VerwerkingVanOverigeProducten_28,Drankenindustrie_29,TabakverwerkendeIndustrie_30,Textielindustrie_31,Kledingindustrie_32,LederwarenEnSchoenenindustrie_33,Houtindustrie_34,PapierEnPapierwarenIndustrie_35,GrafischeIndustrieEnUitgeverijen_36,AardolieIndustrie_37,ChemischeIndustrie_38,RubberKunststofverwerkendeIndustrie_39,BouwmaterialenAardewerkGlasindustrie_40,MetaalindustrieTotaal_41,BasismetaalIndustrie_42,OverigeMetaalIndustrie_43,OpenbareNutsbedrijven_44
47,1961JJ00,31.0,40.0,29.0,32.0,45.0,34.0,12.0,26.0,97.0,314.0,322.0,45.0,23.0,,52.0,8.0,22.0,40.0,28.0,27.0,28.0,16.0,,,,,,,,,,,,,,,,,,,,,,
48,1962JJ00,32.0,37.0,30.0,32.0,48.0,34.0,13.0,27.0,97.0,307.0,330.0,49.0,23.0,,58.0,9.0,22.0,42.0,29.0,30.0,29.0,17.0,,,,,,,,,,,,,,,,,,,,,,
49,1963JJ00,33.0,37.0,32.0,33.0,50.0,35.0,14.0,28.0,104.0,333.0,344.0,54.0,26.0,,59.0,10.0,22.0,42.0,31.0,32.0,31.0,19.0,,,,,,,,,,,,,,,,,,,,,,
50,1964JJ00,36.0,39.0,34.0,36.0,51.0,37.0,16.0,29.0,109.0,356.0,370.0,63.0,29.0,41.0,66.0,13.0,25.0,52.0,33.0,37.0,33.0,21.0,,,,,,,,,,,,,,,,,,,,,,
51,1965JJ00,37.0,40.0,36.0,36.0,52.0,38.0,18.0,31.0,106.0,342.0,369.0,68.0,31.0,45.0,69.0,14.0,25.0,54.0,35.0,40.0,35.0,23.0,,,,,,,,,,,,,,,,,,,,,,
52,1966JJ00,39.0,39.0,38.0,37.0,53.0,39.0,18.0,29.0,112.0,340.0,365.0,71.0,34.0,45.0,71.0,16.0,26.0,54.0,37.0,42.0,36.0,26.0,,,,,,,,,,,,,,,,,,,,,,
53,1967JJ00,41.0,37.0,38.0,40.0,57.0,41.0,21.0,31.0,103.0,295.0,357.0,72.0,34.0,45.0,71.0,17.0,25.0,59.0,39.0,47.0,37.0,28.0,,,,,,,,,,,,,,,,,,,,,,
54,1968JJ00,45.0,43.0,42.0,41.0,61.0,42.0,22.0,31.0,109.0,314.0,361.0,78.0,38.0,48.0,78.0,22.0,28.0,59.0,40.0,50.0,40.0,33.0,,,,,,,,,,,,,,,,,,,,,,
55,1969JJ00,48.0,48.0,47.0,43.0,62.0,43.0,26.0,32.0,120.0,316.0,348.0,78.0,40.0,51.0,96.0,25.0,28.0,61.0,46.0,60.0,45.0,38.0,,,,,,,,,,,,,,,,,,,,,,
56,1970JJ00,53.0,59.0,49.0,45.0,65.0,46.0,28.0,35.0,117.0,300.0,314.0,86.0,42.0,55.0,115.0,28.0,31.0,64.0,52.0,66.0,50.0,43.0,,,,,,,,,,,,,,,,,,,,,,
57,1971JJ00,57.0,70.0,52.0,49.0,69.0,48.0,31.0,37.0,118.0,307.0,304.0,90.0,41.0,54.0,115.0,30.0,30.0,67.0,53.0,68.0,52.0,50.0,,,,,,,,,,,,,,,,,,,,,,
58,1972JJ00,60.0,86.0,54.0,50.0,69.0,49.0,31.0,39.0,113.0,283.0,257.0,93.0,43.0,55.0,130.0,32.0,31.0,68.0,54.0,69.0,52.0,57.0,,,,,,,,,,,,,,,,,,,,,,
