ID,Periods,TotalSupply_1,IndigenousProduction_2,ProductionFromOtherSources_3,ImportsOfGaseousNaturalGasTotal_4,ImportsViaNorway_5,ImportsViaGermany_6,ImportsViaBelgium_7,ImportsViaUnitedKingdom_8,ImportsViaDenmark_9,ImportsOfLNGTotal_10,ImportsViaTheUnitedStates_11,ImportsViaNorway_12,ImportsViaRussia_13,ImportsViaAfrica_14,ImportsViaAsia_15,ImportsViaAmericaExcludingUS_16,ImportsViaOtherUnknown_17,ExportsOfGaseousNaturalGasTotal_18,ExportsToNorway_19,ExportsToGermany_20,ExportsToBelgium_21,ExportsToUnitedKingdom_22,ExportsToDenmark_23,ExportsOfLiquefiedNaturalGasLNG_24,Bunkers_25,StockChange_26,TotalConsumption_27,TotalViaTheMainGrid_28,ElectricityPowerPlants_29,OtherConsumers_30,ViaRegionalGrids_31,ConsumptionByProductionAndTransport_32,ClosingStock_33,ClosingStockGaseousGas_34,ClosingStockLiquefiedNaturalGas_35,Flaring_36,StorageCapacityTotal_37,StorageCapacityGaseousGas_38,StorageCapacityLiquefiedNaturalGas_39
151,1986MM07,2047,3100,,235.0,,,,,,,,,,,,,,1291.0,,,,,,,,3.0,2047.0,1536.0,725.0,811.0,493.0,18.0,,,,11.0,,,
152,1986MM08,2200,2949,,247.0,,,,,,,,,,,,,,1004.0,,,,,,,,8.0,2200.0,1595.0,737.0,858.0,585.0,20.0,,,,12.0,,,
153,1986MM09,2670,4772,,203.0,,,,,,,,,,,,,,2299.0,,,,,,,,-6.0,2670.0,1628.0,788.0,840.0,1019.0,23.0,,,,13.0,,,
154,1986KW03,6915,10821,,685.0,,,,,,,,,,,,,,4594.0,,,,,,,,3.0,6915.0,4759.0,2250.0,2509.0,2095.0,61.0,,,,36.0,,,
155,1986MM10,3302,4933,,216.0,,,,,,,,,,,,,,1851.0,,,,,,,,4.0,3302.0,2036.0,944.0,1092.0,1240.0,26.0,,,,12.0,,,
156,1986MM11,3966,6956,,139.0,,,,,,,,,,,,,,3133.0,,,,,,,,4.0,3966.0,1903.0,931.0,972.0,2032.0,31.0,,,,11.0,,,
157,1986MM12,4790,8803,,112.0,,,,,,,,,,,,,,4127.0,,,,,,,,2.0,4790.0,2021.0,990.0,1031.0,2735.0,34.0,,,,10.0,,,
158,1986KW04,12058,20692,,467.0,,,,,,,,,,,,,,9111.0,,,,,,,,10.0,12058.0,5960.0,2865.0,3095.0,6007.0,91.0,,,,33.0,,,
159,1987MM01,6617,11209,,57.0,,,,,,,,,,,,,,4655.0,,,,,,,,6.0,6617.0,2023.0,919.0,1104.0,4561.0,33.0,,,,9.0,,,
160,1987MM02,5038,9060,,103.0,,,,,,,,,,,,,,4117.0,,,,,,,,-8.0,5038.0,1885.0,920.0,965.0,3123.0,30.0,,,,7.0,,,
161,1987MM03,5395,9843,,139.0,,,,,,,,,,,,,,4589.0,,,,,,,,2.0,5395.0,1988.0,938.0,1050.0,3376.0,31.0,,,,8.0,,,
162,1987KW01,17050,30112,,299.0,,,,,,,,,,,,,,13361.0,,,,,,,,0.0,17050.0,5896.0,2777.0,3119.0,11060.0,94.0,,,,24.0,,,
163,1987MM04,3062,4982,,211.0,,,,,,,,,,,,,,2131.0,,,,,,,,0.0,3062.0,1578.0,728.0,850.0,1460.0,24.0,,,,7.0,,,
164,1987MM05,3037,4570,,208.0,,,,,,,,,,,,,,1746.0,,,,,,,,5.0,3037.0,1660.0,737.0,923.0,1349.0,28.0,,,,7.0,,,
165,1987MM06,2538,3548,,178.0,,,,,,,,,,,,,,1181.0,,,,,,,,-7.0,2538.0,1650.0,769.0,881.0,867.0,21.0,,,,7.0,,,
166,1987KW02,8637,13100,,597.0,,,,,,,,,,,,,,5058.0,,,,,,,,-2.0,8637.0,4888.0,2234.0,2654.0,3676.0,73.0,,,,21.0,,,
167,1987MM07,2152,3007,,264.0,,,,,,,,,,,,,,1117.0,,,,,,,,-2.0,2152.0,1590.0,747.0,843.0,544.0,18.0,,,,8.0,,,
168,1987MM08,2066,2959,,86.0,,,,,,,,,,,,,,976.0,,,,,,,,-3.0,2066.0,1447.0,626.0,821.0,596.0,23.0,,,,10.0,,,
169,1987MM09,2380,3449,,229.0,,,,,,,,,,,,,,1306.0,,,,,,,,8.0,2380.0,1595.0,729.0,866.0,761.0,24.0,,,,8.0,,,
170,1987KW03,6598,9415,,579.0,,,,,,,,,,,,,,3399.0,,,,,,,,3.0,6598.0,4632.0,2102.0,2530.0,1901.0,65.0,,,,26.0,,,
171,1987MM10,3322,5310,,214.0,,,,,,,,,,,,,,2187.0,,,,,,,,-15.0,3322.0,1845.0,842.0,1003.0,1446.0,31.0,,,,8.0,,,
172,1987MM11,4087,7794,,207.0,,,,,,,,,,,,,,3915.0,,,,,,,,1.0,4087.0,1864.0,792.0,1072.0,2186.0,37.0,,,,7.0,,,
173,1987MM12,4675,8422,,234.0,,,,,,,,,,,,,,3979.0,,,,,,,,-2.0,4675.0,1692.0,640.0,1052.0,2948.0,35.0,,,,8.0,,,
174,1987KW04,12084,21526,,655.0,,,,,,,,,,,,,,10081.0,,,,,,,,-16.0,12084.0,5401.0,2274.0,3127.0,6580.0,103.0,,,,23.0,,,
175,1988MM01,4530,7480,,266.0,,,,,,,,,,,,,,3221.0,,,,,,,,5.0,4530.0,1693.0,710.0,983.0,2802.0,35.0,,,,8.0,,,
176,1988MM02,4660,7908,,221.0,,,,,,,,,,,,,,3471.0,,,,,,,,2.0,4660.0,1698.0,761.0,937.0,2925.0,37.0,,,,7.0,,,
177,1988MM03,4599,7210,,212.0,,,,,,,,,,,,,,2825.0,,,,,,,,2.0,4599.0,1703.0,745.0,958.0,2864.0,32.0,,,,5.0,,,
178,1988KW01,13789,22598,,699.0,,,,,,,,,,,,,,9517.0,,,,,,,,9.0,13789.0,5094.0,2216.0,2878.0,8591.0,104.0,,,,20.0,,,
179,1988MM04,3131,4705,,161.0,,,,,,,,,,,,,,1729.0,,,,,,,,-6.0,3131.0,1453.0,600.0,853.0,1649.0,29.0,,,,6.0,,,
180,1988MM05,2446,3641,,194.0,,,,,,,,,,,,,,1384.0,,,,,,,,-5.0,2446.0,1540.0,608.0,932.0,876.0,30.0,,,,5.0,,,
181,1988MM06,2381,3445,,236.0,,,,,,,,,,,,,,1289.0,,,,,,,,-11.0,2381.0,1571.0,692.0,879.0,777.0,33.0,,,,4.0,,,
182,1988KW02,7958,11791,,591.0,,,,,,,,,,,,,,4402.0,,,,,,,,-22.0,7958.0,4564.0,1900.0,2664.0,3302.0,92.0,,,,15.0,,,
183,1988MM07,2105,3016,,171.0,,,,,,,,,,,,,,1081.0,,,,,,,,-1.0,2105.0,1424.0,516.0,908.0,638.0,43.0,,,,7.0,,,
184,1988MM08,2127,2908,,166.0,,,,,,,,,,,,,,953.0,,,,,,,,6.0,2127.0,1485.0,615.0,870.0,621.0,21.0,,,,7.0,,,
185,1988MM09,2463,4040,,198.0,,,,,,,,,,,,,,1773.0,,,,,,,,-2.0,2463.0,1511.0,601.0,910.0,921.0,31.0,,,,5.0,,,
186,1988KW03,6695,9964,,535.0,,,,,,,,,,,,,,3807.0,,,,,,,,3.0,6695.0,4420.0,1732.0,2688.0,2180.0,95.0,,,,19.0,,,
187,1988MM10,3277,5587,,248.0,,,,,,,,,,,,,,2544.0,,,,,,,,-14.0,3277.0,1775.0,681.0,1094.0,1465.0,37.0,,,,5.0,,,
188,1988MM11,4231,7823,,225.0,,,,,,,,,,,,,,3818.0,,,,,,,,1.0,4231.0,1822.0,726.0,1096.0,2367.0,42.0,,,,3.0,,,
189,1988MM12,4304,7780,,216.0,,,,,,,,,,,,,,3692.0,,,,,,,,0.0,4304.0,1728.0,672.0,1056.0,2537.0,39.0,,,,4.0,,,
190,1988KW04,11812,21190,,689.0,,,,,,,,,,,,,,10054.0,,,,,,,,-13.0,11812.0,5325.0,2079.0,3246.0,6369.0,118.0,,,,12.0,,,
191,1989MM01,4789,8505,,251.0,,,,,,,,,,,,,,3973.0,,,,,,,,6.0,4789.0,1757.0,690.0,1067.0,2984.0,48.0,,,,5.0,,,
192,1989MM02,4366,7924,,202.0,,,,,,,,,,,,,,3761.0,,,,,,,,1.0,4366.0,1684.0,727.0,957.0,2637.0,45.0,,,,4.0,,,
193,1989MM03,4053,7264,,164.0,,,,,,,,,,,,,,3378.0,,,,,,,,3.0,4053.0,1740.0,712.0,1028.0,2262.0,51.0,,,,5.0,,,
194,1989KW01,13208,23693,,617.0,,,,,,,,,,,,,,11112.0,,,,,,,,10.0,13208.0,5181.0,2129.0,3052.0,7883.0,144.0,,,,14.0,,,
195,1989MM04,4034,6819,,143.0,,,,,,,,,,,,,,2922.0,,,,,,,,-6.0,4034.0,1830.0,847.0,983.0,2155.0,49.0,,,,5.0,,,
196,1989MM05,2631,4204,,223.0,,,,,,,,,,,,,,1790.0,,,,,,,,-6.0,2631.0,1709.0,744.0,965.0,883.0,39.0,,,,5.0,,,
197,1989MM06,2439,3320,,257.0,,,,,,,,,,,,,,1137.0,,,,,,,,-1.0,2439.0,1658.0,736.0,922.0,749.0,32.0,,,,5.0,,,
198,1989KW02,9103,14342,,623.0,,,,,,,,,,,,,,5849.0,,,,,,,,-13.0,9103.0,5197.0,2327.0,2870.0,3786.0,120.0,,,,16.0,,,
199,1989MM07,2009,3081,,233.0,,,,,,,,,,,,,,1306.0,,,,,,,,1.0,2009.0,1376.0,507.0,869.0,601.0,32.0,,,,16.0,,,
200,1989MM08,2070,3159,,308.0,,,,,,,,,,,,,,1402.0,,,,,,,,5.0,2070.0,1414.0,588.0,826.0,621.0,35.0,,,,19.0,,,
201,1989MM09,2402,3973,,197.0,,,,,,,,,,,,,,1771.0,,,,,,,,3.0,2402.0,1594.0,755.0,839.0,767.0,41.0,,,,20.0,,,
202,1989KW03,6481,10213,,738.0,,,,,,,,,,,,,,4479.0,,,,,,,,9.0,6481.0,4384.0,1850.0,2534.0,1989.0,108.0,,,,55.0,,,
203,1989MM10,3171,5685,,276.0,,,,,,,,,,,,,,2794.0,,,,,,,,4.0,3171.0,1786.0,827.0,959.0,1343.0,42.0,,,,24.0,,,
204,1989MM11,4336,8287,,198.0,,,,,,,,,,,,,,4159.0,,,,,,,,10.0,4336.0,1784.0,785.0,999.0,2504.0,48.0,,,,18.0,,,
205,1989MM12,4841,9348,,144.0,,,,,,,,,,,,,,4644.0,,,,,,,,-7.0,4841.0,1835.0,814.0,1021.0,2956.0,50.0,,,,19.0,,,
206,1989KW04,12348,23320,,618.0,,,,,,,,,,,,,,11597.0,,,,,,,,7.0,12348.0,5405.0,2426.0,2979.0,6803.0,140.0,,,,61.0,,,
207,1990MM01,5005,9563,0.0,149.0,,,,,,,,,,,,,,4720.0,,,,,,,,13.0,5005.0,1829.0,743.0,1086.0,3128.0,48.0,,,,13.0,,,
208,1990MM02,4077,6995,0.0,226.0,,,,,,,,,,,,,,3147.0,,,,,,,,3.0,4077.0,1597.0,612.0,985.0,2438.0,42.0,,,,10.0,,,
209,1990MM03,3980,6660,0.0,295.0,,,,,,,,,,,,,,2978.0,,,,,,,,3.0,3980.0,1710.0,687.0,1023.0,2223.0,47.0,,,,11.0,,,
210,1990KW01,13062,23218,0.0,670.0,,,,,,,,,,,,,,10845.0,,,,,,,,19.0,13062.0,5136.0,2042.0,3094.0,7789.0,137.0,,,,34.0,,,
211,1990MM04,3305,5369,0.0,231.0,,,,,,,,,,,,,,2294.0,,,,,,,,-1.0,3305.0,1480.0,553.0,927.0,1782.0,43.0,,,,8.0,,,
212,1990MM05,2265,3575,0.0,217.0,,,,,,,,,,,,,,1530.0,,,,,,,,3.0,2265.0,1334.0,466.0,868.0,894.0,37.0,,,,8.0,,,
213,1990MM06,2304,3495,0.0,188.0,,,,,,,,,,,,,,1367.0,,,,,,,,-12.0,2304.0,1481.0,557.0,924.0,789.0,34.0,,,,5.0,,,
214,1990KW02,7874,12439,0.0,636.0,,,,,,,,,,,,,,5191.0,,,,,,,,-10.0,7874.0,4295.0,1576.0,2719.0,3465.0,114.0,,,,21.0,,,
215,1990MM07,2004,3218,0.0,196.0,,,,,,,,,,,,,,1413.0,,,,,,,,3.0,2004.0,1306.0,423.0,883.0,668.0,30.0,,,,6.0,,,
216,1990MM08,2065,3200,0.0,221.0,,,,,,,,,,,,,,1361.0,,,,,,,,5.0,2065.0,1454.0,545.0,909.0,580.0,31.0,,,,6.0,,,
217,1990MM09,2679,5007,0.0,251.0,,,,,,,,,,,,,,2570.0,,,,,,,,-9.0,2679.0,1571.0,592.0,979.0,1095.0,13.0,,,,11.0,,,
218,1990KW03,6748,11425,0.0,668.0,,,,,,,,,,,,,,5344.0,,,,,,,,-1.0,6748.0,4331.0,1560.0,2771.0,2343.0,74.0,,,,23.0,,,
219,1990MM10,3316,6144,0.0,313.0,,,,,,,,,,,,,,3137.0,,,,,,,,-4.0,3316.0,1772.0,720.0,1052.0,1501.0,43.0,,,,10.0,,,
220,1990MM11,4446,8705,0.0,240.0,,,,,,,,,,,,,,4505.0,,,,,,,,6.0,4446.0,1892.0,762.0,1130.0,2509.0,45.0,,,,10.0,,,
221,1990MM12,5212,10200,0.0,161.0,,,,,,,,,,,,,,5145.0,,,,,,,,-4.0,5212.0,1888.0,705.0,1183.0,3277.0,47.0,,,,8.0,,,
222,1990KW04,12974,25049,0.0,714.0,,,,,,,,,,,,,,12787.0,,,,,,,,-2.0,12974.0,5552.0,2187.0,3365.0,7287.0,135.0,,,,28.0,,,
223,1991MM01,5505,10332,1.0,139.0,,,,,,,,,,,,,,4977.0,,,,,,,,10.0,5505.0,1840.0,715.0,1125.0,3610.0,55.0,,,,10.0,,,
224,1991MM02,5736,10507,1.0,100.0,,,,,,,,,,,,,,4888.0,,,,,,,,16.0,5736.0,1695.0,668.0,1027.0,3993.0,48.0,,,,7.0,,,
225,1991MM03,3900,6733,1.0,269.0,,,,,,,,,,,,,,3099.0,,,,,,,,-4.0,3900.0,1753.0,695.0,1058.0,2101.0,46.0,,,,10.0,,,
226,1991KW01,15141,27572,3.0,508.0,,,,,,,,,,,,,,12964.0,,,,,,,,22.0,15141.0,5288.0,2078.0,3210.0,9704.0,149.0,,,,27.0,,,
227,1991MM04,3400,5916,1.0,205.0,,,,,,,,,,,,,,2720.0,,,,,,,,-2.0,3400.0,1507.0,558.0,949.0,1851.0,42.0,,,,11.0,,,
228,1991MM05,3245,5313,1.0,251.0,,,,,,,,,,,,,,2306.0,,,,,,,,-14.0,3245.0,1633.0,651.0,982.0,1573.0,39.0,,,,8.0,,,
229,1991MM06,2626,4391,1.0,207.0,,,,,,,,,,,,,,1971.0,,,,,,,,-2.0,2626.0,1488.0,613.0,875.0,1106.0,32.0,,,,7.0,,,
230,1991KW02,9271,15620,3.0,663.0,,,,,,,,,,,,,,6997.0,,,,,,,,-18.0,9271.0,4628.0,1822.0,2806.0,4530.0,113.0,,,,26.0,,,
231,1991MM07,2195,3692,1.0,223.0,,,,,,,,,,,,,,1729.0,,,,,,,,8.0,2195.0,1548.0,647.0,901.0,613.0,34.0,,,,9.0,,,
232,1991MM08,2146,3524,1.0,75.0,,,,,,,,,,,,,,1442.0,,,,,,,,-12.0,2146.0,1530.0,609.0,921.0,586.0,30.0,,,,9.0,,,
233,1991MM09,2551,3666,1.0,266.0,,,,,,,,,,,,,,1380.0,,,,,,,,-2.0,2551.0,1678.0,802.0,876.0,831.0,42.0,,,,6.0,,,
234,1991KW03,6892,10882,3.0,564.0,,,,,,,,,,,,,,4551.0,,,,,,,,-6.0,6892.0,4756.0,2058.0,2698.0,2030.0,106.0,,,,24.0,,,
235,1991MM10,3875,6971,1.0,268.0,,,,,,,,,,,,,,3359.0,,,,,,,,-6.0,3875.0,2101.0,952.0,1149.0,1721.0,53.0,,,,10.0,,,
236,1991MM11,4887,9795,1.0,142.0,,,,,,,,,,,,,,5051.0,,,,,,,,0.0,4887.0,2071.0,874.0,1197.0,2761.0,55.0,,,,10.0,,,
237,1991MM12,5399,10714,1.0,172.0,,,,,,,,,,,,,,5485.0,,,,,,,,-3.0,5399.0,2013.0,853.0,1160.0,3319.0,67.0,,,,14.0,,,
238,1991KW04,14161,27480,3.0,582.0,,,,,,,,,,,,,,13895.0,,,,,,,,-9.0,14161.0,6185.0,2679.0,3506.0,7801.0,175.0,,,,34.0,,,
239,1992MM01,5657,11120,1.0,140.0,,,,,,,,,,,,,,5609.0,,,,,,,,5.0,5657.0,1926.0,788.0,1138.0,3659.0,72.0,,,,12.0,,,
240,1992MM02,4804,9241,1.0,135.0,,,,,,,,,,,,,,4566.0,,,,,,,,-7.0,4804.0,1778.0,759.0,1019.0,2962.0,64.0,,,,7.0,,,
241,1992MM03,4595,8365,1.0,213.0,,,,,,,,,,,,,,3985.0,,,,,,,,1.0,4595.0,1912.0,871.0,1041.0,2620.0,63.0,,,,9.0,,,
242,1992KW01,15056,28726,3.0,488.0,,,,,,,,,,,,,,14160.0,,,,,,,,-1.0,15056.0,5616.0,2418.0,3198.0,9241.0,199.0,,,,28.0,,,
243,1992MM04,3638,6626,1.0,248.0,,,,,,,,,,,,,,3239.0,,,,,,,,2.0,3638.0,1677.0,719.0,958.0,1908.0,53.0,,,,10.0,,,
244,1992MM05,2601,4901,1.0,240.0,,,,,,,,,,,,,,2543.0,,,,,,,,2.0,2601.0,1549.0,684.0,865.0,998.0,54.0,,,,7.0,,,
245,1992MM06,2295,3909,1.0,294.0,,,,,,,,,,,,,,1914.0,,,,,,,,5.0,2295.0,1604.0,722.0,882.0,652.0,39.0,,,,3.0,,,
246,1992KW02,8534,15436,3.0,782.0,,,,,,,,,,,,,,7696.0,,,,,,,,9.0,8534.0,4830.0,2125.0,2705.0,3558.0,146.0,,,,20.0,,,
247,1992MM07,2140,3470,1.0,242.0,,,,,,,,,,,,,,1568.0,,,,,,,,-5.0,2140.0,1505.0,636.0,869.0,599.0,36.0,,,,7.0,,,
248,1992MM08,2139,3223,1.0,292.0,,,,,,,,,,,,,,1380.0,,,,,,,,3.0,2139.0,1456.0,619.0,837.0,647.0,36.0,,,,6.0,,,
249,1992MM09,2558,4117,1.0,266.0,,,,,,,,,,,,,,1820.0,,,,,,,,-6.0,2558.0,1545.0,677.0,868.0,962.0,51.0,,,,8.0,,,
250,1992KW03,6837,10810,3.0,800.0,,,,,,,,,,,,,,4768.0,,,,,,,,-8.0,6837.0,4506.0,1932.0,2574.0,2208.0,123.0,,,,21.0,,,
251,1992MM10,4072,8045,1.0,268.0,,,,,,,,,,,,,,4237.0,,,,,,,,-5.0,4072.0,1853.0,821.0,1032.0,2155.0,64.0,,,,8.0,,,
252,1992MM11,4318,8918,1.0,228.0,,,,,,,,,,,,,,4835.0,,,,,,,,6.0,4318.0,1862.0,785.0,1077.0,2384.0,72.0,,,,22.0,,,
253,1992MM12,5231,9968,1.0,232.0,,,,,,,,,,,,,,4968.0,,,,,,,,-2.0,5231.0,1878.0,753.0,1125.0,3279.0,74.0,,,,19.0,,,
254,1992KW04,13621,26931,3.0,728.0,,,,,,,,,,,,,,14040.0,,,,,,,,-1.0,13621.0,5593.0,2359.0,3234.0,7818.0,210.0,,,,49.0,,,
255,1993MM01,5444,10158,1.0,227.0,,,,,,,,,,,,,,4933.0,,,,,,,,-9.0,5444.0,1902.0,811.0,1091.0,3474.0,68.0,,,,20.0,,,
256,1993MM02,5135,9787,1.0,333.0,,,,,,,,,,,,,,4986.0,,,,,,,,0.0,5135.0,1732.0,733.0,999.0,3343.0,60.0,,,,17.0,,,
257,1993MM03,4681,8281,1.0,410.0,,,,,,,,,,,,,,4005.0,,,,,,,,-6.0,4681.0,1868.0,828.0,1040.0,2753.0,60.0,,,,16.0,,,
258,1993KW01,15260,28226,3.0,970.0,,,,,,,,,,,,,,13924.0,,,,,,,,-15.0,15260.0,5502.0,2372.0,3130.0,9570.0,188.0,,,,53.0,,,
259,1993MM04,3314,6190,1.0,336.0,,,,,,,,,,,,,,3220.0,,,,,,,,7.0,3314.0,1590.0,679.0,911.0,1664.0,60.0,,,,16.0,,,
260,1993MM05,2568,4362,1.0,420.0,,,,,,,,,,,,,,2211.0,,,,,,,,-4.0,2568.0,1577.0,690.0,887.0,940.0,51.0,,,,11.0,,,
261,1993MM06,2401,3842,1.0,309.0,,,,,,,,,,,,,,1746.0,,,,,,,,-5.0,2401.0,1606.0,718.0,888.0,757.0,38.0,,,,7.0,,,
262,1993KW02,8283,14394,3.0,1065.0,,,,,,,,,,,,,,7177.0,,,,,,,,-2.0,8283.0,4773.0,2087.0,2686.0,3361.0,149.0,,,,34.0,,,
263,1993MM07,2248,3367,1.0,206.0,,,,,,,,,,,,,,1323.0,,,,,,,,-3.0,2248.0,1494.0,612.0,882.0,715.0,39.0,,,,9.0,,,
264,1993MM08,2235,3409,1.0,245.0,,,,,,,,,,,,,,1421.0,,,,,,,,1.0,2235.0,1417.0,588.0,829.0,786.0,32.0,,,,9.0,,,
265,1993MM09,2880,5334,1.0,130.0,,,,,,,,,,,,,,2583.0,,,,,,,,-2.0,2880.0,1718.0,789.0,929.0,1127.0,35.0,,,,9.0,,,
266,1993KW03,7363,12110,3.0,581.0,,,,,,,,,,,,,,5327.0,,,,,,,,-4.0,7363.0,4629.0,1989.0,2640.0,2628.0,106.0,,,,27.0,,,
267,1993MM10,3616,7348,1.0,163.0,,,,,,,,,,,,,,3898.0,,,,,,,,2.0,3616.0,1753.0,698.0,1055.0,1814.0,49.0,,,,11.0,,,
268,1993MM11,5526,10813,1.0,312.0,,,,,,,,,,,,,,5606.0,,,,,,,,6.0,5526.0,1986.0,826.0,1160.0,3478.0,62.0,,,,18.0,,,
269,1993MM12,5156,10601,1.0,249.0,,,,,,,,,,,,,,5693.0,,,,,,,,-2.0,5156.0,1801.0,702.0,1099.0,3292.0,63.0,,,,20.0,,,
270,1993KW04,14298,28762,3.0,724.0,,,,,,,,,,,,,,15197.0,,,,,,,,6.0,14298.0,5540.0,2226.0,3314.0,8584.0,174.0,,,,49.0,,,
271,1994MM01,5160,10184,1.0,289.0,,,,,,,,,,,,,,5313.0,,,,,,,,-1.0,5160.0,1748.0,707.0,1041.0,3352.0,60.0,,,,20.0,,,
272,1994MM02,5333,9950,1.0,273.0,,,,,,,,,,,,,,4894.0,,,,,,,,3.0,5333.0,1696.0,699.0,997.0,3578.0,59.0,,,,17.0,,,
273,1994MM03,4642,7969,1.0,302.0,,,,,,,,,,,,,,3638.0,,,,,,,,8.0,4642.0,1865.0,784.0,1081.0,2729.0,48.0,,,,15.0,,,
274,1994KW01,15135,28103,3.0,864.0,,,,,,,,,,,,,,13845.0,,,,,,,,10.0,15135.0,5309.0,2190.0,3119.0,9659.0,167.0,,,,52.0,,,
275,1994MM04,3726,6750,1.0,246.0,,,,,,,,,,,,,,3261.0,,,,,,,,-10.0,3726.0,1610.0,620.0,990.0,2068.0,48.0,,,,12.0,,,
276,1994MM05,2808,4284,1.0,246.0,,,,,,,,,,,,,,1729.0,,,,,,,,6.0,2808.0,1603.0,588.0,1015.0,1168.0,37.0,,,,11.0,,,
277,1994MM06,2459,3811,1.0,265.0,,,,,,,,,,,,,,1613.0,,,,,,,,-5.0,2459.0,1536.0,620.0,916.0,884.0,39.0,,,,14.0,,,
278,1994KW02,8993,14845,3.0,757.0,,,,,,,,,,,,,,6603.0,,,,,,,,-9.0,8993.0,4749.0,1828.0,2921.0,4120.0,124.0,,,,37.0,,,
279,1994MM07,2111,3197,1.0,306.0,,,,,,,,,,,,,,1392.0,,,,,,,,-1.0,2111.0,1517.0,589.0,928.0,555.0,39.0,,,,11.0,,,
280,1994MM08,2277,3483,1.0,219.0,,,,,,,,,,,,,,1428.0,,,,,,,,2.0,2277.0,1588.0,647.0,941.0,648.0,41.0,,,,13.0,,,
281,1994MM09,2922,4891,1.0,326.0,,,,,,,,,,,,,,2298.0,,,,,,,,2.0,2922.0,1769.0,781.0,988.0,1106.0,47.0,,,,14.0,,,
282,1994KW03,7310,11571,3.0,851.0,,,,,,,,,,,,,,5118.0,,,,,,,,3.0,7310.0,4874.0,2017.0,2857.0,2309.0,127.0,,,,38.0,,,
283,1994MM10,3884,7932,1.0,338.0,,,,,,,,,,,,,,4369.0,,,,,,,,-18.0,3884.0,1895.0,754.0,1141.0,1930.0,59.0,,,,18.0,,,
284,1994MM11,3810,6987,1.0,357.0,,,,,,,,,,,,,,3547.0,,,,,,,,12.0,3810.0,1826.0,667.0,1159.0,1930.0,54.0,,,,15.0,,,
285,1994MM12,5008,9760,1.0,314.0,,,,,,,,,,,,,,5063.0,,,,,,,,-4.0,5008.0,1867.0,644.0,1223.0,3076.0,65.0,,,,19.0,,,
286,1994KW04,12702,24679,3.0,1009.0,,,,,,,,,,,,,,12979.0,,,,,,,,-10.0,12702.0,5588.0,2065.0,3523.0,6936.0,178.0,,,,52.0,,,
287,1995MM01,5726,11068,1.0,323.0,,,,,,,,,,,,,,5671.0,,,,,,,,5.0,5726.0,1974.0,708.0,1266.0,3681.0,71.0,,,,20.0,,,
288,1995MM02,4529,7976,1.0,302.0,,,,,,,,,,,,,,3746.0,,,,,,,,-4.0,4529.0,1743.0,652.0,1091.0,2726.0,60.0,,,,21.0,,,
289,1995MM03,5055,9105,1.0,340.0,,,,,,,,,,,,,,4393.0,,,,,,,,2.0,5055.0,1954.0,739.0,1215.0,3034.0,67.0,,,,20.0,,,
290,1995KW01,15310,28149,3.0,965.0,,,,,,,,,,,,,,13810.0,,,,,,,,3.0,15310.0,5671.0,2099.0,3572.0,9441.0,198.0,,,,61.0,,,
291,1995MM04,3588,5939,1.0,290.0,,,,,,,,,,,,,,2636.0,,,,,,,,-6.0,3588.0,1610.0,544.0,1066.0,1928.0,50.0,,,,15.0,,,
292,1995MM05,2724,4525,1.0,314.0,,,,,,,,,,,,,,2113.0,,,,,,,,-3.0,2724.0,1505.0,500.0,1005.0,1175.0,44.0,,,,9.0,,,
293,1995MM06,2574,4300,1.0,261.0,,,,,,,,,,,,,,1994.0,,,,,,,,6.0,2574.0,1526.0,487.0,1039.0,997.0,51.0,,,,16.0,,,
294,1995KW02,8886,14764,3.0,865.0,,,,,,,,,,,,,,6743.0,,,,,,,,-3.0,8886.0,4641.0,1531.0,3110.0,4100.0,145.0,,,,40.0,,,
295,1995MM07,2134,2960,1.0,322.0,,,,,,,,,,,,,,1150.0,,,,,,,,1.0,2134.0,1520.0,512.0,1008.0,572.0,42.0,,,,15.0,,,
296,1995MM08,2316,3213,1.0,278.0,,,,,,,,,,,,,,1177.0,,,,,,,,1.0,2316.0,1666.0,624.0,1042.0,605.0,45.0,,,,15.0,,,
297,1995MM09,2740,4511,1.0,235.0,,,,,,,,,,,,,,2007.0,,,,,,,,0.0,2740.0,1672.0,623.0,1049.0,1018.0,50.0,,,,13.0,,,
298,1995KW03,7190,10684,3.0,835.0,,,,,,,,,,,,,,4334.0,,,,,,,,2.0,7190.0,4858.0,1759.0,3099.0,2195.0,137.0,,,,43.0,,,
299,1995MM10,3225,5859,1.0,379.0,,,,,,,,,,,,,,3007.0,,,,,,,,-7.0,3225.0,1857.0,655.0,1202.0,1303.0,65.0,,,,17.0,,,
300,1995MM11,4500,8906,1.0,312.0,,,,,,,,,,,,,,4727.0,,,,,,,,8.0,4500.0,1909.0,671.0,1238.0,2521.0,70.0,,,,18.0,,,
301,1995MM12,6532,12150,1.0,296.0,,,,,,,,,,,,,,5912.0,,,,,,,,-3.0,6532.0,2084.0,739.0,1345.0,4375.0,73.0,,,,19.0,,,
302,1995KW04,14257,26915,3.0,987.0,,,,,,,,,,,,,,13646.0,,,,,,,,-2.0,14257.0,5850.0,2065.0,3785.0,8199.0,208.0,,,,54.0,,,
