ID,Mineralen,Perioden,TotaalAanvoerNaarVeehouderij_1,TotaalKrachtvoer_2,Rundvee_3,Varkens_4,Pluimvee_5,OverigeDieren_6,TotaalRuwvoer_7,Rundvee_8,Varkens_9,Pluimvee_10,OverigeDieren_11,TotaalAfvoerVanVeehouderij_12,TotaalVastlegging_13,Rundvee_14,Varkens_15,Pluimvee_16,OverigeDieren_17,TotaalUitscheidingVeestapel_18,Rundvee_19,Varkens_20,Pluimvee_21,OverigeDieren_22,TotaalVeehouderij_23,Rundvee_24,Varkens_25,Pluimvee_26,OverigeDieren_27,TotaalAanvoerNaarCultuurgrond_28,TotaalDierlijkMest_29,Weidemest_30,Stalmest_31,TotaalUitscheidingVeestapel_32,UitscheidingInDeWei_33,UitscheidingInDeStal_34,TotaalStikstofvervluchtiging_35,Ammoniakvervluchtiging_36,OverigeStikstofvervluchtiging_37,MestafzetBuitenDeLandbouw_38,Kunstmest_39,TotaalLuchtdepositie_40,HerkomstLandbouw_41,HerkomstNietLandbouw_42,TotaalOverigeAanvoer_43,BiologischeStikstofbinding_44,OverigeAanvoer_45,TotaalAfvoerVanCultuurgrond_46,TotaalStikstofvervluchtiging_47,TotaalDierlijkMest_48,Weidemest_49,Stalmest_50,Kunstmest_51,OverigeAanvoer_52,TotaalAfvoerViaGewassen_53,TotaalRuwvoer_54,Kuilgras_55,Weidegras_56,Hooi_57,Snijmais_58,TotaalAfzetPlantaardigeProducten_59,TotaalAkkerbouwgewassen_60,Aardappelen_61,Suikerbieten_62,Tarwe_63,OverigeAkkerbouwgewassen_64,TotaalTuinbouwgewassen_65,GroenteEnFruit_66,OverigeTuinbouwgewassen_67,TotaalStikstofvervluchtiging_68,Conserveringsverlies_69,GewasrestenEnAfrijpendeGewassen_70,VerliesNaarDeBodem_71,BenuttingMineralenCultuurgrond_72,TotaalAanvoer_73,DierlijkeMest_74,Kunstmest_75,Luchtdepositie_76,OverigeAanvoer_77,TotaalAfvoer_78,StikstofvervluchtigingWeiEnToediening_79,Ruwvoer_80,Akkerbouwgewassen_81,Tuinbouwgewassen_82,StikstofvervluchtigingGewassen_83,VerliesNaarDeBodem_84,TotaalAanvoerNaarSectorLandbouw_85,Krachtvoer_86,Kunstmest_87,LuchtdepositieHerkomstNietLandbouw_88,OverigeAanvoer_89,TotaalAfvoerVanSectorLandbouw_90,MestafzetBuitenDeLandbouw_91,VastleggingInDierlijkeProductie_92,AfzetPlantaardigeProducten_93,VoorraadmutatieRuwvoer_94,TotaalVerlies_95,VerliesNaarDeBodem_96,TotaalVerliesNaarLucht_97,StikstofvervluchtigingStalEnOpslag_98,StikstofvervluchtigingWeiEnToediening_99,StikstofvervluchtigingGewassen_100,LuchtdepositieHerkomstLandbouw_101,BenuttingMineralenLandbouw_102
44,A047709,1999JJ00,124,80,23,36,20,1,44,41,0,0,3,124,37,16,14,7,1,87,47,22,14,4,30,25,39,32,12,110,80,16,64,87,16,71,,,,7,27,,,,3,,3,110,,,,,,,59,43,16,19,1,6,17,14,5,3,3,3,3,2,2,,,,51,54,56,41,14,,2,56,,22,7,2,,26,111,80,27,,3,111,7,37,17,-1,51,51,,,,,,52
45,A047709,2000JJ00,119,79,23,34,20,1,41,38,0,0,3,119,36,16,13,7,0,83,45,21,14,4,31,26,39,33,12,106,76,15,61,83,15,68,,,,7,26,,,,4,,4,106,,,,,,,61,43,19,17,1,5,18,15,5,3,4,4,3,2,2,,,,45,58,53,39,13,,2,53,,22,7,2,,23,108,79,26,,4,108,7,36,18,2,45,45,,,,,,54
46,A047709,2001JJ00,117,73,22,32,18,1,43,41,0,0,3,117,36,16,13,7,1,80,47,18,12,4,31,26,42,36,13,95,71,15,55,80,15,65,,,,10,21,,,,3,,3,95,,,,,,,57,40,16,18,1,6,17,14,4,2,3,4,3,2,2,,,,38,60,49,36,11,,2,49,,21,7,2,,20,98,73,21,,3,98,10,36,17,-3,38,38,,,,,,61
47,A047709,2002JJ00,110,70,21,29,18,1,39,37,0,0,3,110,35,15,12,7,1,75,42,17,12,4,32,26,41,37,12,88,65,13,53,75,13,62,,,,10,20,,,,3,,3,88,,,,,,,61,44,20,17,1,6,17,14,4,3,4,3,3,2,2,,,,26,70,45,33,10,,2,45,,23,7,2,,13,93,70,20,,3,93,10,35,17,5,26,26,,,,,,62
48,A047709,2003JJ00,105,64,21,29,13,1,40,38,0,0,3,105,33,16,12,5,1,72,43,17,9,4,31,27,41,35,13,91,66,12,53,72,12,60,,,,6,21,,,,3,,3,91,,,,,,,51,34,14,13,1,5,17,13,4,2,4,4,3,2,2,,,,40,56,47,34,11,,2,47,,17,7,2,,21,89,64,21,,3,89,6,33,17,-6,40,40,,,,,,60
49,A047709,2004JJ00,104,66,21,28,16,1,38,36,0,0,3,104,34,16,12,6,1,70,40,16,10,3,33,28,43,35,14,83,63,12,50,70,12,58,,,,8,17,,,,3,,3,83,,,,,,,57,39,18,14,2,6,17,14,4,3,4,3,4,2,2,,,,26,69,42,32,9,,2,42,,20,7,2,,13,86,66,17,,3,86,8,34,17,1,26,26,,,,,,66
50,A047709,2005JJ00,108,70,21,30,17,1,39,36,0,0,3,108,35,16,12,6,1,74,41,18,11,4,32,28,40,34,14,87,63,13,50,74,13,61,,,,10,20,,,,3,,3,87,,,,,,,56,40,17,15,1,6,16,13,4,2,4,3,3,2,2,,,,30,65,45,33,10,,2,45,,20,7,2,,16,93,70,20,,3,93,10,35,16,1,30,30,,,,,,62
51,A047709,2006JJ00,108,69,20,31,17,1,39,36,0,0,3,108,34,16,12,6,1,73,40,19,11,3,32,29,39,33,14,87,64,12,52,73,12,61,,,,9,20,,,,3,,3,87,,,,,,,54,39,16,16,1,6,15,12,3,2,4,3,3,2,2,,,,33,62,45,33,10,,2,45,,20,6,2,,17,92,69,20,,3,92,9,34,15,0,33,33,,,,,,60
52,A047709,2007JJ00,109,69,19,31,17,1,40,37,0,0,3,109,36,16,13,6,1,73,40,19,11,4,33,29,40,34,15,79,62,12,50,73,12,62,,,,12,15,,,,3,,3,79,,,,,,,57,42,18,15,1,7,15,12,4,2,3,3,4,2,2,,,,22,72,41,32,8,,1,41,,22,6,2,,12,86,69,15,,3,86,12,36,15,1,22,22,,,,,,68
53,A047709,2008JJ00,113,72,20,33,18,2,41,38,0,0,3,113,37,17,13,6,1,76,41,20,12,3,32,29,40,33,15,75,62,12,50,76,12,65,,,,15,11,,,,3,,3,75,,,,,,,59,43,20,14,0,7,17,13,4,2,4,3,4,2,2,,,,16,79,39,32,6,,1,39,,22,7,2,,8,86,72,11,,3,86,15,37,17,2,16,16,,,,,,75
54,A047709,2009JJ00,113,73,20,34,18,2,40,37,0,0,2,113,37,17,13,6,1,76,40,20,12,3,33,30,40,33,17,67,60,10,50,76,10,66,,,,16,4,,,,3,,3,67,,,,,,,56,38,20,11,1,7,17,14,4,2,4,3,4,2,2,,,,11,83,35,31,2,,2,35,,20,7,2,,6,80,73,4,,3,80,16,37,17,-2,11,11,,,,,,85
55,A047709,2010JJ00,115,76,23,33,19,2,39,37,0,0,3,115,38,17,13,6,1,78,42,20,12,4,33,29,40,33,15,77,61,10,51,78,10,68,,,,16,13,,,,3,,3,77,,,,,,,55,39,20,12,0,7,16,13,4,2,4,3,4,2,2,,,,21,72,41,33,7,,1,41,,21,7,2,,11,91,76,13,,3,91,16,38,16,0,21,21,,,,,,72
56,A047709,2011JJ00,111,73,21,33,18,2,38,36,0,0,2,111,37,17,14,6,1,74,39,19,12,3,34,30,42,33,16,67,58,9,49,74,9,65,,,,16,6,,,,3,,3,67,,,,,,,55,39,21,11,0,7,16,12,4,2,4,2,4,2,2,,,,12,82,36,31,3,,2,36,,21,6,2,,6,82,73,6,,3,82,16,37,16,1,12,12,,,,,,81
57,A047709,2012JJ00,107,68,18,30,17,2,39,37,0,0,2,107,37,17,13,6,1,70,38,17,11,4,35,31,44,35,16,62,54,8,46,70,8,62,,,,16,5,,,,3,,3,62,,,,,,,55,40,23,9,1,7,15,12,3,2,4,2,4,2,2,,,,6,90,34,29,3,,2,34,,22,6,2,,3,76,68,5,,3,76,16,37,15,1,6,6,,,,,,88
58,A047709,2013JJ00,110,70,20,30,18,2,40,38,0,0,2,110,38,18,13,6,1,72,40,17,12,4,34,31,43,35,15,63,55,8,47,72,8,64,,,,17,4,,,,3,,3,63,,,,,,,54,38,21,10,1,6,15,12,3,2,4,2,4,2,2,,,,9,86,34,30,2,,2,34,,21,6,2,,5,77,70,4,,3,77,17,38,15,-2,9,9,,,,,,88
59,A047709,2014JJ00,113,72,22,30,18,2,41,38,0,0,2,113,38,18,13,6,1,75,42,17,12,4,34,30,44,35,16,66,57,9,48,75,9,66,,,,17,6,,,,3,,3,66,,,,,,,63,47,28,12,0,7,16,12,4,3,4,2,4,2,2,,,,3,95,36,31,3,,2,36,,26,7,2,,2,81,72,6,,3,81,17,38,16,6,3,3,,,,,,85
60,A047709,2015JJ00,118,73,21,31,19,2,45,43,0,0,2,118,40,19,13,7,1,78,45,17,12,3,34,30,44,36,16,66,59,9,50,78,9,69,,,,19,4,,,,3,,3,66,,,,,,,57,43,26,10,1,7,15,11,3,2,4,2,4,2,2,,,,8,88,36,32,2,,2,36,,23,6,2,,4,80,73,4,,3,80,19,40,15,-2,8,8,,,,,,90
61,A047709,2016JJ00,117,75,23,30,19,2,42,40,0,0,2,117,41,20,13,7,1,76,44,17,12,3,35,31,44,35,19,64,55,7,48,76,7,69,,,,21,6,,,,3,,3,64,,,,,,,55,42,26,9,1,6,14,10,3,2,3,2,4,2,2,,,,9,87,36,31,3,,2,36,,23,6,2,,5,84,75,6,,3,84,21,41,14,-1,9,9,,,,,,87
62,A047709,2017JJ00,115,73,23,30,18,2,42,40,0,0,2,115,41,21,13,7,1,73,42,16,12,3,36,33,45,36,20,61,53,7,46,73,7,67,,,,21,5,,,,3,,3,61,,,,,,,58,43,25,11,0,6,15,11,3,3,3,2,4,2,2,,,,3,95,34,29,3,,2,34,,24,6,2,,2,81,73,5,,3,81,21,41,15,0,3,3,,,,,,94
63,A047709,2018JJ00,110,71,22,30,17,2,39,37,0,0,2,110,40,20,13,6,1,71,40,16,11,3,36,33,45,34,21,60,52,6,45,71,6,64,,,,19,5,,,,3,,3,60,,,,,,,48,34,20,8,0,5,14,10,3,3,3,2,4,2,2,,,,12,80,33,28,3,,2,33,,19,6,2,,7,80,71,5,,3,80,19,40,14,-5,12,12,,,,,,88
64,A047709,2019JJ00,108,70,22,29,17,2,38,35,0,0,3,108,40,20,13,6,1,68,37,16,11,3,37,35,45,34,21,58,48,6,42,68,6,62,,,,20,5,,,,5,,5,58,,,,,,,51,36,23,7,0,5,15,11,3,3,3,2,4,2,2,,,,7,89,32,26,3,,3,32,,20,6,2,,4,80,70,5,,5,80,20,40,15,-2,7,7,,,,,,92
65,A047709,2020JJ00,106,71,24,29,16,2,35,32,0,0,2,106,40,20,13,6,1,66,36,16,10,3,38,36,45,36,22,57,47,6,41,66,6,60,,,,19,6,,,,5,,5,57,,,,,,,48,33,19,9,1,5,15,11,3,3,3,2,4,2,2,,,,9,84,32,26,3,,3,32,,18,6,2,,5,82,71,6,,5,82,19,40,15,-1,9,9,,,,,,88
66,A047709,2021JJ00,104,69,24,28,15,1,35,32,0,0,3,104,39,20,13,5,1,65,36,15,10,3,38,35,46,35,22,57,47,6,41,65,6,59,,,,17,5,,,,5,,5,57,,,,,,,55,40,26,8,1,5,15,11,3,3,3,2,4,2,2,,,,3,95,32,26,3,,3,32,,22,6,2,,2,79,69,5,,5,79,17,39,15,5,3,3,,,,,,87
67,A047709,2022JJ00,104,69,25,28,15,2,35,33,0,0,3,104,39,20,13,5,1,66,38,15,10,3,37,35,46,34,22,59,49,6,43,66,6,60,,,,17,5,,,,5,,5,59,,,,,,,45,29,18,6,1,5,16,12,3,3,3,3,4,2,2,,,,13,77,33,27,3,,3,33,,16,7,2,,7,79,69,5,,5,79,17,39,16,-6,13,13,,,,,,88
68,A047709,2023JJ00,103,68,25,27,15,2,35,33,0,0,2,103,39,21,12,5,1,64,37,14,10,3,38,36,46,33,23,58,47,6,41,64,6,58,,,,17,6,,,,5,,5,58,,,,,,,55,39,24,9,1,5,16,12,3,3,3,3,4,2,2,,,,3,94,32,26,3,,3,32,,21,7,2,,2,79,68,6,,5,79,17,39,16,4,3,3,,,,,,89
69,A047709,2024JJ00,102,65,23,26,14,2,37,35,0,0,2,102,38,20,12,5,1,64,38,14,9,3,37,35,46,35,22,61,48,6,42,64,6,58,,,,16,7,,,,6,,6,61,,,,,,,52,38,24,8,1,5,15,11,3,3,2,3,4,2,2,,,,8,87,34,26,4,,3,34,,21,6,2,,5,78,65,7,,6,78,16,38,15,1,8,8,,,,,,86
