ID,Bestemming,Perioden,WaardeInWerkelijkePrijzen_1,WaardePrijsniveau2005_2,VolumemutatieTOVVoorafgaandJaar_3,Prijsindexcijfers_4
243,300002,1992JJ00,11112.0,11606.0,-1.4,95.7
244,300002,1993JJ00,12028.0,12462.0,7.4,96.5
245,300002,1994JJ00,11188.0,11634.0,-6.6,96.2
246,300002,1995JJ00,12332.0,12774.0,9.8,96.5
247,300002,1996JJ00,13383.0,13968.0,9.3,95.8
248,300002,1997JJ00,14679.0,15333.0,9.8,95.7
249,300002,1998JJ00,13402.0,14014.0,-8.6,95.6
250,300002,1999JJ00,12673.0,13235.0,-5.6,95.8
251,300002,2000JJ00,12365.0,12721.0,-3.9,97.2
252,300002,2001JJ00,11916.0,12099.0,-4.9,98.5
253,300002,2002JJ00,12247.0,12323.0,1.8,99.4
254,300002,2003JJ00,12078.0,12211.0,-0.9,98.9
255,300002,2004JJ00,11088.0,11168.0,-8.5,99.3
256,300002,2005JJ00,11901.0,11901.0,6.6,100.0
257,300002,2006JJ00,13494.0,13321.0,11.9,101.3
258,300002,2007JJ00,14203.0,13746.0,3.2,103.3
259,300002,2008JJ00,15324.0,14477.0,5.3,105.8
260,300002,2009JJ00,14433.0,13521.0,-6.6,106.7
261,300002,2010JJ00,14031.0,12968.0,-4.1,108.2
262,300002,2011JJ00,16622.0,15221.0,17.4,109.2
263,300002,2012JJ00,15024.0,13640.0,-10.4,110.1
264,305700,1969JJ00,208.0,662.0,,31.4
265,305700,1970JJ00,278.0,818.0,23.6,34.0
266,305700,1971JJ00,490.0,1318.0,61.2,37.2
267,305700,1972JJ00,474.0,1192.0,-9.6,39.8
268,305700,1973JJ00,428.0,1026.0,-13.9,41.7
269,305700,1974JJ00,429.0,921.0,-10.3,46.6
270,305700,1975JJ00,754.0,1463.0,59.0,51.5
271,305700,1976JJ00,678.0,1223.0,-16.4,55.4
272,305700,1977JJ00,747.0,1286.0,5.2,58.1
273,305700,1978JJ00,787.0,1288.0,0.1,61.1
