ID,SBI93,Voorzieningsgebied,DrinkwaterVanWaterleidingbedrijf_1,AnderWaterVanWaterleidingbedrijf_2,ZelfgewonnenZoetGrondwater_3,ZelfgewonnenZoutBrakGrondwater_4,ZelfgewonnenZoetOppervlaktewater_5,ZelfgewonnenZoutBrakOppervlaktewater_6,DrinkwaterVanWaterleidingbedrijf_7,AnderWaterVanWaterleidingbedrijf_8,ZelfgewonnenZoetGrondwater_9,ZelfgewonnenZoutBrakGrondwater_10,ZelfgewonnenZoetOppervlaktewater_11,ZelfgewonnenZoutBrakOppervlaktewater_12,DrinkwaterVanWaterleidingbedrijf_13,AnderWaterVanWaterleidingbedrijf_14,ZelfgewonnenZoetGrondwater_15,ZelfgewonnenZoutBrakGrondwater_16,ZelfgewonnenZoetOppervlaktewater_17,ZelfgewonnenZoutBrakOppervlaktewater_18
158,1537, 4,7.3,0.36,13.23,0.0,39.37,0.0,1.2,0.15,5.35,0.0,0.3,0.0,6.1,0.21,7.88,0.0,39.07,0.0
159,1537, 5,1.32,0.03,0.18,0.0,0.0,0.0,0.12,0.0,0.01,0.0,0.0,0.0,1.21,0.03,0.16,0.0,0.0,0.0
160,1537, 6,4.66,0.39,25.43,0.0,3.67,0.0,1.33,0.12,11.95,0.0,1.7,0.0,3.33,0.27,13.48,0.0,1.97,0.0
161,1537, 7,3.01,0.02,12.33,0.0,13.97,0.0,0.43,0.02,9.65,0.0,8.67,0.0,2.58,0.0,2.68,0.0,5.3,0.0
162,1537, 8,,,,,,,,,,,,,,,,,,
163,1537, 9,3.36,0.41,4.48,0.0,3.82,0.0,0.76,0.04,1.02,0.0,0.58,0.0,2.6,0.37,3.46,0.0,3.23,0.0
164,1537,10,,,,,,,,,,,,,,,,,,
165,1537,11,,,,,,,,,,,,,,,,,,
166,1537,12,,,,,,,,,,,,,,,,,,
167,1537,13,28.43,25.07,13.94,0.77,831.0,753.1,,,,,,,,,,,,
168,1537,14,2.69,0.36,1.15,0.14,4.21,1.32,0.3,0.09,0.11,0.01,0.16,0.0,2.39,0.27,1.03,0.13,4.05,1.32
169,1537,15,7.75,0.23,3.88,0.03,70.75,0.0,0.6,0.05,0.75,0.0,1.04,0.0,7.16,0.18,3.12,0.03,69.71,0.0
170,1537,16,5.72,16.64,0.22,1.53,3.25,595.38,0.23,1.22,0.08,0.7,0.08,28.78,5.5,15.42,0.13,0.83,3.17,566.6
171,1537,17,5.83,3.9,9.32,0.0,5.17,0.0,0.86,0.08,4.88,0.0,0.36,0.0,4.97,3.82,4.44,0.0,4.81,0.0
172,1537,18,9.42,0.57,16.48,0.0,28.87,0.0,1.35,0.14,9.49,0.0,0.77,0.0,8.07,0.44,6.99,0.0,28.1,0.0
173,1537,19,1.62,0.28,3.65,0.0,1.4,0.0,0.23,0.04,0.58,0.0,0.05,0.0,1.39,0.24,3.07,0.0,1.35,0.0
174,1537,20,5.23,12.32,10.64,0.0,24.8,0.0,1.03,8.06,5.13,0.0,12.66,0.0,4.21,4.26,5.51,0.0,12.14,0.0
175,1537,21,0.36,0.0,3.81,0.0,30.43,0.0,,,,,,,,,,,,
176,4000,22,1.46,0.82,1.43,0.0,6205.31,4378.07,0.03,0.33,0.13,0.0,4170.02,0.0,1.42,0.5,1.31,0.0,2035.29,4378.07
177,4000, 1,,,,,,,,,,,,,,,,,,
178,4000, 2,,,,,,,,,,,,,,,,,,
179,4000, 3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
180,4000, 4,,,,,,,,,,,,,,,,,,
181,4000, 5,,,,,,,,,,,,,,,,,,
182,4000, 6,,,,,,,,,,,,,,,,,,
183,4000, 7,,,,,,,,,,,,,,,,,,
184,4000, 8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
185,4000, 9,,,,,,,,,,,,,,,,,,
