ID,Leeftijd,Perioden,TotaalBevolking_1,Mannen_2,Vrouwen_3
4086, 82,2031JJ00,141572,64463,77109
4087, 82,2032JJ00,137493,62573,74920
4088, 82,2033JJ00,135492,61620,73871
4089, 82,2034JJ00,134992,61502,73489
4090, 82,2035JJ00,139592,63597,75995
4091, 82,2036JJ00,139224,63340,75883
4092, 82,2037JJ00,141124,64316,76807
4093, 82,2038JJ00,143100,64859,78241
4094, 82,2039JJ00,146386,66759,79627
4095, 82,2040JJ00,148981,67833,81147
4096, 82,2041JJ00,151909,69270,82639
4097, 82,2042JJ00,156016,71120,84896
4098, 82,2043JJ00,156976,71698,85278
4099, 82,2044JJ00,161715,73771,87944
4100, 82,2045JJ00,163039,74462,88578
4101, 82,2046JJ00,166046,76225,89821
4102, 82,2047JJ00,168651,77414,91237
4103, 82,2048JJ00,165955,76323,89632
4104, 82,2049JJ00,163763,75201,88563
4105, 82,2050JJ00,163271,75004,88267
4106, 82,2051JJ00,164823,75517,89307
4107, 82,2052JJ00,172369,79114,93255
4108, 82,2053JJ00,168732,77277,91454
4109, 82,2054JJ00,162430,74421,88009
4110, 82,2055JJ00,155475,70781,84694
4111, 82,2056JJ00,144485,65938,78547
4112, 82,2057JJ00,139889,64000,75890
4113, 82,2058JJ00,134700,61700,73000
4114, 82,2059JJ00,134223,61811,72412
4115, 82,2060JJ00,133141,61070,72071
4116, 83,2012JJ00,67594,25417,42177
4117, 83,2013JJ00,68528,26228,42300
4118, 83,2014JJ00,72205,28067,44138
4119, 83,2015JJ00,72250,28541,43708
4120, 83,2016JJ00,74314,29628,44686
4121, 83,2017JJ00,73255,29638,43617
4122, 83,2018JJ00,75509,30908,44601
4123, 83,2019JJ00,76815,31886,44929
4124, 83,2020JJ00,79266,33288,45978
4125, 83,2021JJ00,80213,33918,46295
4126, 83,2022JJ00,85758,36704,49054
4127, 83,2023JJ00,88254,37883,50371
4128, 83,2024JJ00,91915,39900,52014
4129, 83,2025JJ00,90056,39496,50560
4130, 83,2026JJ00,94825,41832,52993
4131, 83,2027JJ00,102825,45565,57259
4132, 83,2028JJ00,108711,48164,60548
4133, 83,2029JJ00,104173,46321,57853
4134, 83,2030JJ00,145413,65161,80252
4135, 83,2031JJ00,141048,62986,78062
4136, 83,2032JJ00,133934,60250,73683
4137, 83,2033JJ00,130129,58515,71613
4138, 83,2034JJ00,128282,57653,70629
4139, 83,2035JJ00,127869,57577,70291
4140, 83,2036JJ00,132281,59570,72710
4141, 83,2037JJ00,131992,59364,72628
4142, 83,2038JJ00,133852,60315,73537
4143, 83,2039JJ00,135799,60860,74939
4144, 83,2040JJ00,138974,62680,76294
4145, 83,2041JJ00,141511,63730,77782
4146, 83,2042JJ00,144359,65118,79241
4147, 83,2043JJ00,148336,66898,81437
4148, 83,2044JJ00,149306,67478,81828
4149, 83,2045JJ00,153899,69474,84425
4150, 83,2046JJ00,155224,70164,85061
4151, 83,2047JJ00,158155,71867,86288
4152, 83,2048JJ00,160703,73025,87678
4153, 83,2049JJ00,158201,72036,86165
4154, 83,2050JJ00,156180,71013,85167
4155, 83,2051JJ00,155783,70866,84917
4156, 83,2052JJ00,157320,71381,85939
4157, 83,2053JJ00,164588,74818,89770
4158, 83,2054JJ00,161173,73113,88061
4159, 83,2055JJ00,155208,70440,84768
4160, 83,2056JJ00,148623,67024,81599
4161, 83,2057JJ00,138161,62465,75696
4162, 83,2058JJ00,133812,60654,73158
4163, 83,2059JJ00,128899,58503,70396
4164, 83,2060JJ00,128489,58636,69853
4165, 84,2012JJ00,59836,21941,37895
4166, 84,2013JJ00,62673,23108,39564
4167, 84,2014JJ00,63606,23883,39723
4168, 84,2015JJ00,67088,25594,41494
