ID,Brandstofsoort,Bouwjaarklasse,Perioden,VoertuigenMetBromfietskenteken_1,Snorfiets_2,Bromfiets_3,Brommobiel_4,OverigeVoertuigenMetBromfietskenteken_5
297,A019276,T001378,2016JJ00,1100371.0,620966.0,474565.0,0.0,4840.0
298,A019276,T001378,2017JJ00,1124557.0,649938.0,469662.0,0.0,4957.0
299,A019276,T001378,2018JJ00,1153742.0,685976.0,462685.0,0.0,5081.0
300,A019276,T001378,2019JJ00,1166053.0,710145.0,451077.0,0.0,4831.0
301,A019276,T001378,2020JJ00,1174093.0,719991.0,449016.0,0.0,5086.0
302,A019276,T001378,2021JJ00,1196601.0,744640.0,447288.0,0.0,4673.0
303,A019276,T001378,2022JJ00,1206495.0,751292.0,450542.0,0.0,4661.0
304,A019276,A050415,2007JJ00,,,,,
305,A019276,A050415,2008JJ00,,,,,
306,A019276,A050415,2009JJ00,,,,,
307,A019276,A050415,2010JJ00,,,,,
308,A019276,A050415,2011JJ00,,,,,
309,A019276,A050415,2012JJ00,,,,,
310,A019276,A050415,2013JJ00,,,,,
311,A019276,A050415,2014JJ00,,,,,
312,A019276,A050415,2015JJ00,,,,,
313,A019276,A050415,2016JJ00,,,,,
314,A019276,A050415,2017JJ00,,,,,
315,A019276,A050415,2018JJ00,,,,,
316,A019276,A050415,2019JJ00,,,,,
317,A019276,A050415,2020JJ00,,,,,
318,A019276,A050415,2021JJ00,,,,,
319,A019276,A050415,2022JJ00,45768.0,30206.0,15514.0,0.0,48.0
320,A019276,A048942,2007JJ00,,,,,
321,A019276,A048942,2008JJ00,,,,,
322,A019276,A048942,2009JJ00,,,,,
323,A019276,A048942,2010JJ00,,,,,
324,A019276,A048942,2011JJ00,,,,,
325,A019276,A048942,2012JJ00,,,,,
326,A019276,A048942,2013JJ00,,,,,
327,A019276,A048942,2014JJ00,,,,,
328,A019276,A048942,2015JJ00,,,,,
329,A019276,A048942,2016JJ00,,,,,
330,A019276,A048942,2017JJ00,,,,,
