ID,Bedrijfsafvalstoffen,NuttigeToepassingEnEindverwerking,BedrijfstakkenBranchesSBI2008,Perioden,Bedrijfsafval_1
509,A050391,T001523,328110,2006JJ00,
510,A050391,T001523,328110,2007JJ00,
511,A050391,T001523,328110,2008JJ00,3541.0
512,A050391,T001523,328110,2009JJ00,2508.0
513,A050391,T001523,328110,2010JJ00,2456.0
514,A050391,T001523,328110,2011JJ00,2574.0
515,A050391,T001523,328110,2012JJ00,2487.0
516,A050391,T001523,328110,2013JJ00,2418.0
517,A050391,T001523,328110,2014JJ00,2415.0
518,A050391,T001523,328110,2015JJ00,2410.0
519,A050391,T001523,328110,2016JJ00,2457.0
520,A050391,T001523,328110,2017JJ00,2629.0
521,A050391,T001523,328110,2018JJ00,2515.0
522,A050391,T001523,328110,2019JJ00,2410.0
523,A050391,T001523,328110,2020JJ00,2276.0
524,A050391,T001523,328110,2021JJ00,2363.0
525,A050391,T001523,328105,1994JJ00,2952.0
526,A050391,T001523,328105,1996JJ00,2798.0
527,A050391,T001523,328105,1998JJ00,3088.0
528,A050391,T001523,328105,2000JJ00,2945.0
529,A050391,T001523,328105,2001JJ00,2701.0
530,A050391,T001523,328105,2002JJ00,2747.0
531,A050391,T001523,328105,2003JJ00,2782.0
532,A050391,T001523,328105,2004JJ00,3098.0
533,A050391,T001523,328105,2005JJ00,3200.0
534,A050391,T001523,328105,2006JJ00,2972.0
535,A050391,T001523,328105,2007JJ00,3105.0
536,A050391,T001523,328105,2008JJ00,3088.0
537,A050391,T001523,328105,2009JJ00,2150.0
538,A050391,T001523,328105,2010JJ00,2074.0
539,A050391,T001523,328105,2011JJ00,2153.0
540,A050391,T001523,328105,2012JJ00,2120.0
541,A050391,T001523,328105,2013JJ00,2045.0
542,A050391,T001523,328105,2014JJ00,2049.0
543,A050391,T001523,328105,2015JJ00,2027.0
544,A050391,T001523,328105,2016JJ00,2057.0
545,A050391,T001523,328105,2017JJ00,2176.0
546,A050391,T001523,328105,2018JJ00,2145.0
547,A050391,T001523,328105,2019JJ00,2047.0
548,A050391,T001523,328105,2020JJ00,1925.0
549,A050391,T001523,328105,2021JJ00,1996.0
550,A050391,T001523,328100,1994JJ00,2652.0
551,A050391,T001523,328100,1996JJ00,2451.0
552,A050391,T001523,328100,1998JJ00,2698.0
553,A050391,T001523,328100,2000JJ00,2569.0
554,A050391,T001523,328100,2001JJ00,2338.0
555,A050391,T001523,328100,2002JJ00,2370.0
556,A050391,T001523,328100,2003JJ00,2418.0
557,A050391,T001523,328100,2004JJ00,2702.0
558,A050391,T001523,328100,2005JJ00,2803.0
559,A050391,T001523,328100,2006JJ00,2524.0
560,A050391,T001523,328100,2007JJ00,2650.0
561,A050391,T001523,328100,2008JJ00,2632.0
562,A050391,T001523,328100,2009JJ00,1756.0
563,A050391,T001523,328100,2010JJ00,1643.0
564,A050391,T001523,328100,2011JJ00,1765.0
565,A050391,T001523,328100,2012JJ00,1719.0
566,A050391,T001523,328100,2013JJ00,1650.0
