ID,OriginDestination,Periods,CO2_1,N2O_2,CH4_3,GreenhouseGasEquivalent_4,NOx_5,SO2_6,NH3_7,AcidificationEquivalent_8,CFK12Equivalent_9,CO_10,NMVOC_11,PM10_12,FineDustEquivalent_13
206,307610,2004JJ00,4262.0,0.0,0.9,4652.0,4.0,0.5,0.5,0.1,0.0,5.5,5.7,2.0,2.0
207,307610,2005JJ00,4140.0,0.0,0.9,4580.0,4.0,0.4,0.4,0.1,0.0,5.7,6.1,2.1,2.1
208,307610,2006JJ00,3974.0,0.0,0.9,4459.0,4.0,0.6,0.3,0.1,0.0,4.5,5.8,2.0,2.0
209,307610,2007JJ00,4044.0,0.0,0.8,4572.0,3.9,0.5,0.3,0.1,0.0,4.8,6.3,2.0,2.0
210,307610,2008JJ00,3825.0,0.0,0.8,4389.0,3.7,0.7,0.4,0.1,0.0,4.6,6.1,2.0,2.0
211,307610,2009JJ00,3494.0,0.0,0.8,4081.0,3.3,0.5,0.4,0.1,0.0,4.5,5.8,1.9,1.9
212,307610,2010JJ00,3706.0,0.0,0.8,4305.0,3.3,0.5,0.5,0.1,0.0,4.4,5.9,1.9,1.9
213,307610,2011JJ00,3631.0,0.0,0.8,4241.0,3.2,0.4,0.5,0.1,0.0,4.6,6.1,1.9,1.9
214,307610,2012JJ00,3676.0,0.0,0.7,4297.0,3.1,0.5,0.4,0.1,0.0,4.0,5.5,1.9,1.9
215,307610,2013JJ00,3603.0,0.0,0.7,4237.0,3.0,0.4,0.4,0.1,0.0,4.0,4.7,1.9,1.9
216,312505,1990JJ00,304.0,0.0,0.0,305.0,0.8,0.8,0.0,0.0,0.0,0.4,2.6,0.3,0.3
217,312505,1991JJ00,287.0,0.0,0.0,288.0,0.7,0.4,0.0,0.0,0.0,0.4,2.2,0.3,0.3
218,312505,1992JJ00,312.0,0.0,0.0,313.0,0.5,0.2,0.0,0.0,0.0,0.3,1.8,0.2,0.2
219,312505,1993JJ00,309.0,0.0,0.0,310.0,0.5,0.1,0.0,0.0,0.0,0.3,1.5,0.2,0.2
220,312505,1994JJ00,303.0,0.0,0.0,304.0,0.5,0.0,0.0,0.0,0.0,0.3,1.1,0.2,0.2
221,312505,1995JJ00,405.0,0.0,0.0,406.0,0.5,0.0,0.0,0.0,0.0,0.3,0.8,0.1,0.1
222,312505,1996JJ00,414.0,0.0,0.0,415.0,0.5,0.0,0.0,0.0,0.0,0.3,0.9,0.0,0.0
223,312505,1997JJ00,414.0,0.0,0.0,415.0,0.5,0.0,0.0,0.0,0.0,0.2,0.6,0.0,0.0
224,312505,1998JJ00,430.0,0.0,0.0,431.0,0.4,0.0,0.0,0.0,0.0,0.2,0.6,0.0,0.0
225,312505,1999JJ00,349.0,0.0,0.0,350.0,0.4,0.0,0.0,0.0,0.0,0.2,0.6,0.0,0.0
226,312505,2000JJ00,387.0,0.0,0.0,388.0,0.4,0.0,0.0,0.0,0.0,0.2,0.6,0.1,0.1
227,312505,2001JJ00,314.0,0.0,0.0,315.0,0.3,0.0,0.0,0.0,0.0,0.2,0.6,0.1,0.1
228,312505,2002JJ00,304.0,0.0,0.0,305.0,0.3,0.0,0.0,0.0,0.0,0.1,0.6,0.1,0.1
229,312505,2003JJ00,304.0,0.0,0.0,305.0,0.3,0.0,0.0,0.0,0.0,0.1,0.5,0.1,0.1
230,312505,2004JJ00,267.0,0.0,0.0,268.0,0.3,0.0,0.0,0.0,0.0,0.1,0.5,0.1,0.1
231,312505,2005JJ00,227.0,0.0,0.0,228.0,0.3,0.0,0.0,0.0,0.0,0.1,0.6,0.1,0.1
232,312505,2006JJ00,200.0,0.0,0.0,200.0,0.2,0.0,0.0,0.0,0.0,0.1,0.6,0.1,0.1
233,312505,2007JJ00,208.0,0.0,0.0,209.0,0.2,0.0,0.0,0.0,0.0,0.1,0.6,0.1,0.1
234,312505,2008JJ00,203.0,0.0,0.0,204.0,0.2,0.0,0.0,0.0,0.0,0.1,0.6,0.1,0.1
235,312505,2009JJ00,191.0,0.0,0.0,192.0,0.2,0.0,0.0,0.0,0.0,0.1,0.4,0.1,0.1
236,312505,2010JJ00,211.0,0.0,0.0,212.0,0.2,0.0,0.0,0.0,0.0,0.1,0.5,0.1,0.1
237,312505,2011JJ00,181.0,0.0,0.0,182.0,0.2,0.0,0.0,0.0,0.0,0.1,0.5,0.1,0.1
238,312505,2012JJ00,191.0,0.0,0.0,192.0,0.2,0.0,0.0,0.0,0.0,0.1,0.5,0.1,0.1
239,312505,2013JJ00,187.0,0.0,0.0,187.0,0.2,0.0,0.0,0.0,0.0,0.1,0.5,0.1,0.1
240,315810,1990JJ00,1905.0,0.0,0.2,1912.0,3.5,0.3,0.1,0.1,50.1,1.6,21.0,0.9,0.9
241,315810,1991JJ00,1889.0,0.0,0.2,1896.0,3.9,0.3,0.1,0.1,40.1,1.7,20.2,0.9,0.9
242,315810,1992JJ00,1870.0,0.0,0.2,1878.0,3.4,0.1,0.1,0.1,30.1,1.9,19.4,0.9,0.9
243,315810,1993JJ00,1874.0,0.0,0.2,1881.0,3.4,0.2,0.1,0.1,20.1,2.0,18.5,0.9,0.9
244,315810,1994JJ00,1858.0,0.0,0.2,1866.0,3.1,0.1,0.1,0.1,10.0,2.1,17.7,0.9,0.9
245,315810,1995JJ00,1605.0,0.0,0.2,1612.0,3.1,0.1,0.1,0.1,0.0,2.2,17.0,0.9,0.9
246,315810,1996JJ00,1742.0,0.0,0.2,1750.0,2.5,0.1,0.0,0.1,0.0,2.0,14.8,0.0,0.0
247,315810,1997JJ00,1774.0,0.0,0.2,1782.0,2.5,0.1,0.1,0.1,0.0,1.7,14.6,0.0,0.0
248,315810,1998JJ00,1759.0,0.0,0.2,1767.0,2.2,0.1,0.1,0.1,0.0,2.2,16.5,0.0,0.0
249,315810,1999JJ00,1792.0,0.0,0.2,1800.0,1.6,0.1,0.0,0.0,0.0,1.4,14.5,0.0,0.0
250,315810,2000JJ00,1842.0,0.0,0.2,1849.0,2.6,0.1,0.1,0.1,0.0,1.9,14.1,0.8,0.8
251,315810,2001JJ00,1695.0,0.0,0.2,1702.0,2.3,0.0,0.1,0.1,0.0,1.8,10.8,0.8,0.8
252,315810,2002JJ00,1726.0,0.0,0.2,1733.0,2.4,0.1,0.0,0.1,0.1,2.7,10.8,0.8,0.8
253,315810,2003JJ00,1686.0,0.0,0.2,1694.0,2.5,0.1,0.0,0.1,0.0,2.6,8.4,0.7,0.7
254,315810,2004JJ00,1674.0,0.0,0.2,1681.0,2.4,0.1,0.0,0.1,0.0,2.7,7.7,0.7,0.7
255,315810,2005JJ00,1911.0,0.0,0.2,1919.0,2.3,0.1,0.0,0.1,0.0,2.5,7.6,0.7,0.7
256,315810,2006JJ00,1832.0,0.0,0.2,1839.0,2.2,0.0,0.0,0.1,0.0,2.0,6.9,0.6,0.6
257,315810,2007JJ00,1601.0,0.0,0.2,1609.0,2.1,0.0,0.0,0.0,0.0,1.9,6.6,0.6,0.6
258,315810,2008JJ00,1416.0,0.0,0.2,1424.0,1.9,0.0,0.0,0.0,0.0,1.8,6.2,0.6,0.6
259,315810,2009JJ00,1310.0,0.0,0.2,1318.0,1.6,0.0,0.0,0.0,0.0,1.8,5.7,0.5,0.5
260,315810,2010JJ00,1401.0,0.0,0.2,1409.0,1.7,0.0,0.0,0.0,0.0,1.8,5.4,0.5,0.5
261,315810,2011JJ00,1313.0,0.0,0.2,1320.0,1.6,0.0,0.0,0.0,0.0,1.7,5.3,0.5,0.5
262,315810,2012JJ00,1306.0,0.0,0.2,1313.0,1.6,0.0,0.0,0.0,0.0,1.8,4.8,0.5,0.5
263,315810,2013JJ00,1223.0,0.0,0.2,1230.0,1.5,0.0,0.0,0.0,0.0,1.8,4.7,0.5,0.5
264,315800,1990JJ00,114.0,0.0,0.0,116.0,0.3,0.0,0.0,0.0,0.0,0.2,4.2,0.5,0.5
265,315800,1991JJ00,114.0,0.0,0.0,116.0,0.2,0.0,0.0,0.0,0.0,0.2,3.9,0.5,0.5
266,315800,1992JJ00,120.0,0.0,0.0,122.0,0.2,0.0,0.0,0.0,0.0,0.2,3.6,0.5,0.5
267,315800,1993JJ00,127.0,0.0,0.0,129.0,0.2,0.0,0.0,0.0,0.0,0.3,3.3,0.5,0.5
268,315800,1994JJ00,133.0,0.0,0.0,135.0,0.2,0.0,0.0,0.0,0.0,0.3,3.1,0.4,0.4
269,315800,1995JJ00,179.0,0.0,0.0,182.0,0.2,0.0,0.0,0.0,0.0,0.3,2.8,0.4,0.4
270,315800,1996JJ00,190.0,0.0,0.0,193.0,0.2,0.0,0.0,0.0,0.0,0.1,2.2,0.0,0.0
271,315800,1997JJ00,192.0,0.0,0.0,195.0,0.2,0.0,0.0,0.0,0.0,0.1,2.2,0.0,0.0
272,315800,1998JJ00,194.0,0.0,0.0,197.0,0.2,0.0,0.0,0.0,0.0,0.5,4.1,0.0,0.0
273,315800,1999JJ00,205.0,0.0,0.0,207.0,0.3,0.0,0.0,0.0,0.0,0.6,3.1,0.0,0.0
274,315800,2000JJ00,237.0,0.0,0.0,240.0,0.2,0.0,0.0,0.0,0.0,0.2,3.0,0.4,0.4
275,315800,2001JJ00,182.0,0.0,0.0,184.0,0.2,0.0,0.0,0.0,0.0,0.2,3.1,0.4,0.4
276,315800,2002JJ00,184.0,0.0,0.0,186.0,0.1,0.0,0.0,0.0,0.0,0.1,3.1,0.4,0.4
277,315800,2003JJ00,183.0,0.0,0.0,185.0,0.1,0.0,0.0,0.0,0.0,0.1,2.8,0.3,0.3
278,315800,2004JJ00,170.0,0.0,0.0,172.0,0.3,0.0,0.0,0.0,0.0,0.1,2.1,0.3,0.3
279,315800,2005JJ00,177.0,0.0,0.0,179.0,0.3,0.0,0.0,0.0,0.0,0.1,1.9,0.3,0.3
280,315800,2006JJ00,173.0,0.0,0.0,175.0,0.3,0.0,0.0,0.0,0.0,0.1,1.9,0.3,0.3
281,315800,2007JJ00,169.0,0.0,0.0,172.0,0.3,0.0,0.0,0.0,0.0,0.2,1.8,0.2,0.2
282,315800,2008JJ00,170.0,0.0,0.0,172.0,0.3,0.0,0.0,0.0,0.0,0.1,1.8,0.2,0.2
283,315800,2009JJ00,177.0,0.0,0.0,180.0,0.2,0.0,0.0,0.0,0.0,0.2,1.7,0.2,0.2
284,315800,2010JJ00,170.0,0.0,0.0,172.0,0.2,0.0,0.0,0.0,0.0,0.2,1.6,0.2,0.2
285,315800,2011JJ00,171.0,0.0,0.0,173.0,0.2,0.0,0.0,0.0,0.0,0.2,1.6,0.2,0.2
286,315800,2012JJ00,168.0,0.0,0.0,170.0,0.2,0.0,0.0,0.0,0.0,0.1,1.5,0.2,0.2
287,315800,2013JJ00,159.0,0.0,0.0,162.0,0.2,0.0,0.0,0.0,0.0,0.1,1.5,0.2,0.2
288,317100,1990JJ00,1568.0,0.0,0.2,1572.0,3.0,0.2,0.1,0.1,0.0,1.1,3.8,0.4,0.4
289,317100,1991JJ00,1555.0,0.0,0.2,1559.0,3.3,0.2,0.1,0.1,0.0,1.2,3.2,0.4,0.4
290,317100,1992JJ00,1531.0,0.0,0.2,1536.0,2.8,0.1,0.1,0.1,0.0,1.3,2.7,0.4,0.4
291,317100,1993JJ00,1529.0,0.0,0.2,1534.0,2.8,0.2,0.1,0.1,0.0,1.4,2.1,0.4,0.4
292,317100,1994JJ00,1510.0,0.0,0.2,1514.0,2.5,0.1,0.1,0.1,0.0,1.5,1.5,0.4,0.4
293,317100,1995JJ00,1245.0,0.0,0.2,1249.0,2.5,0.1,0.1,0.1,0.0,1.6,1.0,0.4,0.4
294,317100,1996JJ00,1348.0,0.0,0.2,1352.0,1.9,0.0,0.0,0.0,0.0,1.5,0.2,0.0,0.0
295,317100,1997JJ00,1382.0,0.0,0.2,1387.0,2.0,0.1,0.1,0.1,0.0,1.3,0.2,0.0,0.0
296,317100,1998JJ00,1354.0,0.0,0.2,1358.0,1.7,0.0,0.1,0.0,0.0,1.4,0.1,0.0,0.0
297,317100,1999JJ00,1368.0,0.0,0.2,1372.0,1.0,0.0,0.0,0.0,0.0,0.5,0.2,0.0,0.0
298,317100,2000JJ00,1388.0,0.0,0.2,1393.0,2.1,0.1,0.1,0.1,0.0,1.4,0.4,0.4,0.4
299,317100,2001JJ00,1297.0,0.0,0.2,1301.0,1.8,0.0,0.1,0.0,0.0,1.3,0.2,0.4,0.4
300,317100,2002JJ00,1343.0,0.0,0.2,1347.0,1.9,0.1,0.0,0.0,0.1,2.2,0.5,0.4,0.4
301,317100,2003JJ00,1306.0,0.0,0.2,1310.0,2.1,0.1,0.0,0.0,0.0,2.1,0.3,0.4,0.4
302,317100,2004JJ00,1287.0,0.0,0.2,1291.0,1.9,0.1,0.0,0.0,0.0,2.2,0.2,0.4,0.4
303,317100,2005JJ00,1535.0,0.0,0.2,1540.0,1.8,0.0,0.0,0.0,0.0,2.3,0.3,0.3,0.3
304,317100,2006JJ00,1495.0,0.0,0.2,1499.0,1.7,0.0,0.0,0.0,0.0,1.7,0.5,0.3,0.3
305,317100,2007JJ00,1268.0,0.0,0.2,1272.0,1.6,0.0,0.0,0.0,0.0,1.7,0.7,0.3,0.3
306,317100,2008JJ00,1069.0,0.0,0.1,1073.0,1.4,0.0,0.0,0.0,0.0,1.5,0.5,0.3,0.3
307,317100,2009JJ00,1028.0,0.0,0.1,1032.0,1.2,0.0,0.0,0.0,0.0,1.6,0.4,0.3,0.3
308,317100,2010JJ00,1124.0,0.0,0.1,1128.0,1.3,0.0,0.0,0.0,0.0,1.6,0.5,0.3,0.3
309,317100,2011JJ00,1047.0,0.0,0.2,1052.0,1.3,0.0,0.0,0.0,0.0,1.5,0.5,0.3,0.3
310,317100,2012JJ00,1041.0,0.0,0.2,1046.0,1.3,0.0,0.0,0.0,0.0,1.5,0.4,0.3,0.3
311,317100,2013JJ00,978.0,0.0,0.2,982.0,1.2,0.0,0.0,0.0,0.0,1.5,0.4,0.3,0.3
312,318600,1990JJ00,223.0,0.0,0.0,224.0,0.3,0.0,0.0,0.0,50.1,0.3,13.1,0.0,0.0
313,318600,1991JJ00,220.0,0.0,0.0,221.0,0.3,0.0,0.0,0.0,40.1,0.3,13.1,0.0,0.0
314,318600,1992JJ00,218.0,0.0,0.0,219.0,0.4,0.0,0.0,0.0,30.1,0.3,13.1,0.0,0.0
315,318600,1993JJ00,218.0,0.0,0.0,219.0,0.4,0.0,0.0,0.0,20.1,0.3,13.1,0.0,0.0
316,318600,1994JJ00,216.0,0.0,0.0,217.0,0.4,0.0,0.0,0.0,10.0,0.3,13.1,0.0,0.0
317,318600,1995JJ00,181.0,0.0,0.0,182.0,0.4,0.0,0.0,0.0,0.0,0.3,13.1,0.0,0.0
318,318600,1996JJ00,204.0,0.0,0.0,205.0,0.4,0.0,0.0,0.0,0.0,0.3,12.3,0.0,0.0
319,318600,1997JJ00,200.0,0.0,0.0,200.0,0.4,0.0,0.0,0.0,0.0,0.3,12.2,0.0,0.0
320,318600,1998JJ00,211.0,0.0,0.0,212.0,0.4,0.0,0.0,0.0,0.0,0.3,12.3,0.0,0.0
321,318600,1999JJ00,219.0,0.0,0.0,220.0,0.4,0.0,0.0,0.0,0.0,0.3,11.1,0.0,0.0
322,318600,2000JJ00,216.0,0.0,0.0,217.0,0.3,0.0,0.0,0.0,0.0,0.3,10.7,0.0,0.0
323,318600,2001JJ00,216.0,0.0,0.0,216.0,0.3,0.0,0.0,0.0,0.0,0.2,7.5,0.0,0.0
324,318600,2002JJ00,200.0,0.0,0.0,200.0,0.3,0.0,0.0,0.0,0.0,0.4,7.2,0.0,0.0
325,318600,2003JJ00,198.0,0.0,0.0,199.0,0.3,0.0,0.0,0.0,0.0,0.4,5.4,0.0,0.0
326,318600,2004JJ00,216.0,0.0,0.0,217.0,0.3,0.0,0.0,0.0,0.0,0.4,5.4,0.0,0.0
327,318600,2005JJ00,198.0,0.0,0.0,199.0,0.3,0.0,0.0,0.0,0.0,0.1,5.3,0.0,0.0
328,318600,2006JJ00,164.0,0.0,0.0,165.0,0.2,0.0,0.0,0.0,0.0,0.1,4.6,0.0,0.0
329,318600,2007JJ00,164.0,0.0,0.0,165.0,0.2,0.0,0.0,0.0,0.0,0.1,4.2,0.0,0.0
330,318600,2008JJ00,177.0,0.0,0.0,178.0,0.2,0.0,0.0,0.0,0.0,0.1,3.9,0.0,0.0
331,318600,2009JJ00,105.0,0.0,0.0,106.0,0.1,0.0,0.0,0.0,0.0,0.1,3.7,0.0,0.0
332,318600,2010JJ00,107.0,0.0,0.0,108.0,0.1,0.0,0.0,0.0,0.0,0.1,3.4,0.0,0.0
333,318600,2011JJ00,94.0,0.0,0.0,95.0,0.1,0.0,0.0,0.0,0.0,0.1,3.2,0.0,0.0
334,318600,2012JJ00,96.0,0.0,0.0,97.0,0.1,0.0,0.0,0.0,0.0,0.1,2.9,0.0,0.0
335,318600,2013JJ00,85.0,0.0,0.0,86.0,0.1,0.0,0.0,0.0,0.0,0.1,2.9,0.0,0.0
336,320000,1990JJ00,11042.0,0.0,1.1,11072.0,18.9,67.2,0.0,2.5,0.0,4.9,15.9,6.5,6.5
337,320000,1991JJ00,11065.0,0.0,1.1,11096.0,19.5,59.2,0.0,2.3,0.0,4.3,15.2,6.1,6.1
338,320000,1992JJ00,10415.0,0.0,1.1,10444.0,17.4,59.5,0.0,2.2,0.0,3.8,14.5,5.8,5.8
339,320000,1993JJ00,11493.0,0.0,1.2,11533.0,17.1,63.3,0.0,2.4,0.0,3.3,13.8,5.5,5.5
340,320000,1994JJ00,11321.0,0.0,1.2,11360.0,16.7,58.9,0.0,2.2,0.0,2.8,13.1,5.1,5.1
341,320000,1995JJ00,11701.0,0.1,1.0,11739.0,17.1,61.2,0.0,2.3,0.0,2.2,12.4,4.8,4.8
342,320000,1996JJ00,11634.0,0.1,1.0,11672.0,16.6,55.1,0.0,2.1,0.0,2.5,13.8,5.3,5.3
343,320000,1997JJ00,11992.0,0.0,1.0,12029.0,15.7,52.6,0.0,2.0,0.0,2.6,12.6,4.9,4.9
344,320000,1998JJ00,12462.0,0.0,1.0,12498.0,12.4,49.6,0.0,1.8,0.0,2.1,9.8,3.4,3.4
345,320000,1999JJ00,11594.0,0.0,0.9,11626.0,11.6,46.3,0.0,1.7,0.0,2.8,10.7,3.4,3.4
346,320000,2000JJ00,12117.0,0.0,0.9,12148.0,10.4,33.2,0.0,1.3,0.0,2.8,14.9,3.3,3.3
347,320000,2001JJ00,12641.0,0.0,0.9,12671.0,10.2,34.8,0.0,1.3,0.0,2.1,8.9,2.9,2.9
348,320000,2002JJ00,11711.0,0.0,0.9,11740.0,9.9,30.4,0.0,1.2,0.0,4.5,8.1,2.4,2.4
349,320000,2003JJ00,12328.0,0.0,0.9,12358.0,9.8,29.5,0.0,1.1,0.0,4.0,8.1,2.8,2.8
350,320000,2004JJ00,12184.0,0.0,0.9,12216.0,9.4,32.3,0.0,1.2,0.0,3.6,7.9,2.0,2.0
351,320000,2005JJ00,12311.0,0.0,0.9,12341.0,9.2,32.2,0.0,1.2,0.0,4.8,12.3,1.6,1.6
352,320000,2006JJ00,11615.0,0.0,0.8,11643.0,10.1,32.4,0.0,1.2,0.0,5.2,9.8,1.7,1.7
353,320000,2007JJ00,11678.0,0.0,1.0,11711.0,9.3,29.9,0.0,1.1,0.0,4.0,8.1,1.5,1.5
354,320000,2008JJ00,11816.0,0.0,0.8,11845.0,8.6,25.7,0.0,1.0,0.0,5.3,7.7,1.4,1.4
355,320000,2009JJ00,10783.0,0.0,1.3,10818.0,6.2,17.9,0.0,0.7,0.0,5.7,6.8,0.5,0.5
356,320000,2010JJ00,10628.0,0.0,1.0,10657.0,5.6,12.7,0.0,0.5,0.0,6.3,7.1,0.3,0.3
357,320000,2011JJ00,10801.0,0.0,1.5,10841.0,5.8,12.5,0.0,0.5,0.0,7.3,5.9,0.3,0.3
358,320000,2012JJ00,10498.0,0.0,1.3,10535.0,5.3,13.9,0.0,0.6,0.0,5.9,6.3,0.2,0.2
359,320000,2013JJ00,10287.0,0.0,0.9,10315.0,5.5,10.2,0.0,0.4,0.0,5.9,6.5,0.2,0.2
360,320705,1990JJ00,20995.0,22.9,13.7,32827.0,39.0,20.0,3.3,1.7,1576.7,24.1,34.5,4.4,4.4
361,320705,1991JJ00,20827.0,22.9,13.6,32109.0,37.1,13.5,3.5,1.4,1311.6,26.3,31.5,4.2,4.2
362,320705,1992JJ00,20492.0,23.1,13.6,32260.0,32.2,14.7,3.6,1.4,1046.5,28.5,28.5,4.0,4.0
363,320705,1993JJ00,19401.0,24.7,13.5,32047.0,29.2,12.5,3.1,1.2,781.4,30.7,25.5,3.8,3.8
364,320705,1994JJ00,18550.0,24.2,13.5,31840.0,30.0,12.6,3.4,1.2,516.3,32.9,22.5,3.6,3.6
365,320705,1995JJ00,16907.0,22.9,13.4,30051.0,28.3,11.5,3.1,1.2,251.2,34.8,19.7,3.6,3.6
366,320705,1996JJ00,16313.0,22.9,13.4,30690.0,28.2,11.5,2.8,1.1,191.6,41.0,19.5,1.7,1.7
367,320705,1997JJ00,16063.0,22.7,13.4,30941.0,24.3,10.7,2.5,1.0,132.0,40.0,17.2,1.8,1.8
368,320705,1998JJ00,15977.0,22.7,13.2,31315.0,19.9,6.5,2.4,0.8,70.6,35.5,15.8,2.3,2.3
369,320705,1999JJ00,15741.0,21.6,13.2,27294.0,17.7,4.0,2.0,0.6,50.0,37.8,15.0,1.9,1.9
370,320705,2000JJ00,15506.0,22.1,13.4,25466.0,15.3,3.1,1.8,0.5,40.0,26.6,13.6,1.6,1.6
371,320705,2001JJ00,14896.0,20.0,13.3,22028.0,14.2,4.2,1.8,0.5,25.9,27.5,12.1,1.2,1.2
372,320705,2002JJ00,15285.0,19.1,13.8,22294.0,14.2,4.1,1.5,0.5,10.6,24.8,11.2,1.6,1.6
373,320705,2003JJ00,15749.0,19.4,14.1,22554.0,15.4,3.6,1.6,0.5,0.0,21.4,10.7,1.3,1.3
374,320705,2004JJ00,15584.0,21.1,13.4,22850.0,15.5,4.3,2.1,0.6,0.0,24.5,11.1,1.4,1.4
375,320705,2005JJ00,15638.0,20.6,14.0,22539.0,14.8,3.9,1.5,0.5,0.0,19.9,8.9,1.3,1.3
376,320705,2006JJ00,16318.0,20.2,13.3,23181.0,14.1,4.0,1.3,0.5,0.0,19.3,8.9,1.3,1.3
377,320705,2007JJ00,16638.0,15.5,13.5,22000.0,13.2,4.0,1.1,0.5,0.0,19.1,8.2,1.1,1.1
378,320705,2008JJ00,16145.0,3.4,12.8,17691.0,13.3,3.3,1.1,0.5,0.0,15.9,8.0,0.9,0.9
379,320705,2009JJ00,15182.0,3.6,12.1,16801.0,11.7,2.3,0.9,0.4,0.0,11.9,6.8,1.3,1.3
380,320705,2010JJ00,17160.0,3.2,13.2,18908.0,12.4,2.1,0.7,0.4,0.0,11.9,6.9,1.4,1.4
381,320705,2011JJ00,15817.0,3.6,12.7,17409.0,12.1,2.4,1.0,0.4,0.0,13.8,7.6,1.3,1.3
382,320705,2012JJ00,15892.0,3.6,13.0,17472.0,11.4,2.1,0.8,0.4,0.0,16.0,9.5,1.4,1.4
383,320705,2013JJ00,15632.0,4.1,12.5,17400.0,10.3,1.7,0.8,0.3,0.0,16.0,7.4,1.4,1.4
384,320700,1990JJ00,20753.0,22.9,13.7,32584.0,38.7,19.9,3.3,1.7,1574.3,24.0,33.0,4.4,4.4
385,320700,1991JJ00,20610.0,22.9,13.6,31892.0,36.8,13.4,3.5,1.4,1309.6,26.2,30.1,4.2,4.2
386,320700,1992JJ00,20278.0,23.1,13.6,32045.0,32.0,14.5,3.6,1.4,1044.9,28.4,27.2,4.0,4.0
387,320700,1993JJ00,19186.0,24.7,13.5,31832.0,28.9,12.3,3.1,1.2,780.2,30.6,24.4,3.8,3.8
388,320700,1994JJ00,18336.0,24.2,13.5,31626.0,29.7,12.4,3.4,1.2,515.5,32.8,21.5,3.6,3.6
389,320700,1995JJ00,16483.0,22.9,13.4,29626.0,28.0,11.4,3.1,1.1,250.8,34.7,19.0,3.6,3.6
390,320700,1996JJ00,15887.0,22.9,13.4,30262.0,28.0,11.4,2.8,1.1,191.3,40.9,18.9,1.7,1.7
391,320700,1997JJ00,15671.0,22.7,13.4,30548.0,24.0,10.6,2.5,1.0,131.8,39.9,16.7,1.8,1.8
392,320700,1998JJ00,15498.0,22.7,13.1,30834.0,19.7,6.4,2.3,0.8,70.5,35.4,15.3,2.3,2.3
393,320700,1999JJ00,15401.0,21.6,13.2,26952.0,17.4,4.0,2.0,0.6,50.0,37.7,14.6,1.9,1.9
394,320700,2000JJ00,15111.0,22.1,13.3,25071.0,15.0,3.1,1.8,0.5,40.0,26.2,13.0,1.6,1.6
395,320700,2001JJ00,14483.0,20.0,13.3,21615.0,14.0,4.2,1.8,0.5,25.9,27.1,11.6,1.2,1.2
396,320700,2002JJ00,14935.0,19.1,13.8,21943.0,14.1,4.0,1.5,0.5,10.6,24.7,10.7,1.6,1.6
397,320700,2003JJ00,15430.0,19.4,14.1,22234.0,15.1,3.5,1.6,0.5,0.0,21.1,10.1,1.1,1.1
398,320700,2004JJ00,15276.0,21.1,13.3,22541.0,15.3,4.2,2.1,0.6,0.0,24.3,10.6,1.4,1.4
399,320700,2005JJ00,15326.0,20.6,14.0,22226.0,14.7,3.9,1.5,0.5,0.0,19.8,8.5,1.3,1.3
400,320700,2006JJ00,16001.0,20.2,13.2,22863.0,13.9,4.0,1.3,0.5,0.0,19.2,8.5,1.3,1.3
401,320700,2007JJ00,16348.0,15.5,13.5,21709.0,13.0,4.0,1.1,0.5,0.0,18.9,7.8,1.1,1.1
402,320700,2008JJ00,15885.0,3.4,12.8,17430.0,13.2,3.3,1.1,0.5,0.0,15.8,7.7,0.9,0.9
403,320700,2009JJ00,14961.0,3.6,12.0,16580.0,11.6,2.2,0.9,0.4,0.0,11.8,6.4,1.3,1.3
404,320700,2010JJ00,16902.0,3.2,13.1,18648.0,12.2,2.1,0.7,0.4,0.0,11.8,6.6,1.4,1.4
405,320700,2011JJ00,15596.0,3.6,12.6,17187.0,11.9,2.4,1.0,0.4,0.0,13.7,7.2,1.3,1.3
406,320700,2012JJ00,15652.0,3.6,12.9,17232.0,11.3,2.1,0.8,0.4,0.0,16.0,9.2,1.4,1.4
407,320700,2013JJ00,15460.0,4.1,12.5,17226.0,10.1,1.7,0.8,0.3,0.0,15.9,7.2,1.4,1.4
408,323200,1990JJ00,242.0,0.0,0.0,243.0,0.3,0.1,0.0,0.0,2.4,0.1,1.6,0.0,0.0
409,323200,1991JJ00,217.0,0.0,0.0,217.0,0.3,0.1,0.0,0.0,2.0,0.1,1.4,0.0,0.0
410,323200,1992JJ00,215.0,0.0,0.0,215.0,0.3,0.1,0.0,0.0,1.6,0.1,1.3,0.0,0.0
411,323200,1993JJ00,214.0,0.0,0.0,214.0,0.3,0.2,0.0,0.0,1.2,0.1,1.1,0.0,0.0
412,323200,1994JJ00,214.0,0.0,0.0,214.0,0.3,0.2,0.0,0.0,0.8,0.1,1.0,0.0,0.0
413,323200,1995JJ00,424.0,0.0,0.0,425.0,0.3,0.1,0.0,0.0,0.3,0.1,0.7,0.0,0.0
414,323200,1996JJ00,426.0,0.0,0.0,427.0,0.3,0.1,0.0,0.0,0.3,0.1,0.6,0.0,0.0
415,323200,1997JJ00,392.0,0.0,0.0,394.0,0.3,0.1,0.0,0.0,0.2,0.1,0.5,0.0,0.0
416,323200,1998JJ00,480.0,0.0,0.0,481.0,0.2,0.1,0.0,0.0,0.1,0.1,0.5,0.0,0.0
417,323200,1999JJ00,341.0,0.0,0.0,341.0,0.2,0.1,0.0,0.0,0.0,0.0,0.4,0.0,0.0
