ID,BronTechniek,Energietoepassingen,Perioden,BrutoEindverbruik_1,BrutoEindverbruikRelatief_2
420,T001027,E007022 ,1990JJ00,1818792.0,
421,T001027,E007022 ,1991JJ00,1947665.0,
422,T001027,E007022 ,1992JJ00,1918884.0,
423,T001027,E007022 ,1993JJ00,1989966.0,
424,T001027,E007022 ,1994JJ00,1963753.0,
425,T001027,E007022 ,1995JJ00,2034780.0,
426,T001027,E007022 ,1996JJ00,2206321.0,
427,T001027,E007022 ,1997JJ00,2115236.0,
428,T001027,E007022 ,1998JJ00,2119199.0,
429,T001027,E007022 ,1999JJ00,2078323.0,
430,T001027,E007022 ,2000JJ00,2139719.0,
431,T001027,E007022 ,2001JJ00,2177170.0,
432,T001027,E007022 ,2002JJ00,2164264.0,
433,T001027,E007022 ,2003JJ00,2203715.0,
434,T001027,E007022 ,2004JJ00,2328387.0,
435,T001027,E007022 ,2005JJ00,2300710.0,
436,T001027,E007022 ,2006JJ00,2284781.0,
437,T001027,E007022 ,2007JJ00,2247857.0,
438,T001027,E007022 ,2008JJ00,2282493.0,
439,T001027,E007022 ,2009JJ00,2195534.0,
440,T001027,E007022 ,2010JJ00,2359420.0,
441,T001027,E007022 ,2011JJ00,2192915.0,
442,T001027,E007022 ,2012JJ00,2203277.0,
443,T001027,E007022 ,2013JJ00,2205198.0,
444,T001027,E007022 ,2014JJ00,2009118.0,
445,T001027,E007022 ,2015JJ00,2046519.0,
446,T001027,E007022 ,2016JJ00,2091289.0,
447,T001027,E007022 ,2017JJ00,2104645.0,
448,T001027,E007022 ,2018JJ00,2116089.0,
449,T001027,E007022 ,2019JJ00,2077604.0,
450,T001027,E007022 ,2020JJ00,1944180.0,
451,T001027,E007022 ,2021JJ00,2008312.0,
452,T001027,E007022 ,2022JJ00,1836373.0,
453,T001027,E007022 ,2023JJ00,1784190.0,
454,T001027,E007022 ,2024JJ00,1789258.0,
455,T001027,E006607 ,1990JJ00,,
456,T001027,E006607 ,1991JJ00,,
457,T001027,E006607 ,1992JJ00,,
458,T001027,E006607 ,1993JJ00,,
459,T001027,E006607 ,1994JJ00,,
460,T001027,E006607 ,1995JJ00,,
461,T001027,E006607 ,1996JJ00,,
462,T001027,E006607 ,1997JJ00,,
463,T001027,E006607 ,1998JJ00,,
464,T001027,E006607 ,1999JJ00,,
465,T001027,E006607 ,2000JJ00,,
466,T001027,E006607 ,2001JJ00,,
467,T001027,E006607 ,2002JJ00,,
468,T001027,E006607 ,2003JJ00,,
469,T001027,E006607 ,2004JJ00,422752.0,
470,T001027,E006607 ,2005JJ00,425570.0,
471,T001027,E006607 ,2006JJ00,433051.0,
472,T001027,E006607 ,2007JJ00,441986.0,
473,T001027,E006607 ,2008JJ00,444251.0,
474,T001027,E006607 ,2009JJ00,426895.0,
475,T001027,E006607 ,2010JJ00,439362.0,
476,T001027,E006607 ,2011JJ00,442987.0,
477,T001027,E006607 ,2012JJ00,433240.0,
478,T001027,E006607 ,2013JJ00,431522.0,
479,T001027,E006607 ,2014JJ00,425109.0,
480,T001027,E006607 ,2015JJ00,428253.0,
481,T001027,E006607 ,2016JJ00,432259.0,
482,T001027,E006607 ,2017JJ00,434524.0,
483,T001027,E006607 ,2018JJ00,440020.0,
484,T001027,E006607 ,2019JJ00,439947.0,
485,T001027,E006607 ,2020JJ00,435223.0,
486,T001027,E006607 ,2021JJ00,440724.0,
487,T001027,E006607 ,2022JJ00,422311.0,
488,T001027,E006607 ,2023JJ00,417532.0,
489,T001027,E006607 ,2024JJ00,430643.0,
490,T001027,E006608 ,1990JJ00,,
491,T001027,E006608 ,1991JJ00,,
492,T001027,E006608 ,1992JJ00,,
493,T001027,E006608 ,1993JJ00,,
494,T001027,E006608 ,1994JJ00,,
495,T001027,E006608 ,1995JJ00,,
496,T001027,E006608 ,1996JJ00,,
497,T001027,E006608 ,1997JJ00,,
498,T001027,E006608 ,1998JJ00,,
499,T001027,E006608 ,1999JJ00,,
500,T001027,E006608 ,2000JJ00,,
501,T001027,E006608 ,2001JJ00,,
502,T001027,E006608 ,2002JJ00,,
503,T001027,E006608 ,2003JJ00,,
504,T001027,E006608 ,2004JJ00,1307074.0,
505,T001027,E006608 ,2005JJ00,1270349.0,
506,T001027,E006608 ,2006JJ00,1236538.0,
507,T001027,E006608 ,2007JJ00,1192356.0,
508,T001027,E006608 ,2008JJ00,1219041.0,
509,T001027,E006608 ,2009JJ00,1167120.0,
510,T001027,E006608 ,2010JJ00,1311333.0,
511,T001027,E006608 ,2011JJ00,1146562.0,
512,T001027,E006608 ,2012JJ00,1192652.0,
513,T001027,E006608 ,2013JJ00,1205417.0,
514,T001027,E006608 ,2014JJ00,1060512.0,
515,T001027,E006608 ,2015JJ00,1081616.0,
516,T001027,E006608 ,2016JJ00,1119296.0,
517,T001027,E006608 ,2017JJ00,1117329.0,
518,T001027,E006608 ,2018JJ00,1111445.0,
519,T001027,E006608 ,2019JJ00,1078115.0,
520,T001027,E006608 ,2020JJ00,1049607.0,
521,T001027,E006608 ,2021JJ00,1122077.0,
522,T001027,E006608 ,2022JJ00,956329.0,
523,T001027,E006608 ,2023JJ00,897090.0,
524,T001027,E006608 ,2024JJ00,897784.0,
525,T001027,E007028 ,1990JJ00,,
526,T001027,E007028 ,1991JJ00,,
527,T001027,E007028 ,1992JJ00,,
528,T001027,E007028 ,1993JJ00,,
529,T001027,E007028 ,1994JJ00,,
530,T001027,E007028 ,1995JJ00,,
531,T001027,E007028 ,1996JJ00,,
532,T001027,E007028 ,1997JJ00,,
533,T001027,E007028 ,1998JJ00,,
534,T001027,E007028 ,1999JJ00,,
535,T001027,E007028 ,2000JJ00,,
536,T001027,E007028 ,2001JJ00,,
537,T001027,E007028 ,2002JJ00,,
538,T001027,E007028 ,2003JJ00,,
539,T001027,E007028 ,2004JJ00,,
540,T001027,E007028 ,2005JJ00,,
541,T001027,E007028 ,2006JJ00,,
542,T001027,E007028 ,2007JJ00,,
543,T001027,E007028 ,2008JJ00,,
544,T001027,E007028 ,2009JJ00,,
545,T001027,E007028 ,2010JJ00,,
546,T001027,E007028 ,2011JJ00,,
547,T001027,E007028 ,2012JJ00,,
548,T001027,E007028 ,2013JJ00,,
549,T001027,E007028 ,2014JJ00,,
550,T001027,E007028 ,2015JJ00,,
551,T001027,E007028 ,2016JJ00,,
552,T001027,E007028 ,2017JJ00,,
553,T001027,E007028 ,2018JJ00,,
554,T001027,E007028 ,2019JJ00,,
555,T001027,E007028 ,2020JJ00,,
556,T001027,E007028 ,2021JJ00,,
557,T001027,E007028 ,2022JJ00,,
558,T001027,E007028 ,2023JJ00,,
559,T001027,E007028 ,2024JJ00,,
560,E006587,E007022 ,1990JJ00,306.0,0.02
561,E006587,E007022 ,1991JJ00,340.0,0.02
562,E006587,E007022 ,1992JJ00,371.0,0.02
563,E006587,E007022 ,1993JJ00,361.0,0.02
564,E006587,E007022 ,1994JJ00,361.0,0.02
565,E006587,E007022 ,1995JJ00,353.0,0.02
566,E006587,E007022 ,1996JJ00,344.0,0.02
567,E006587,E007022 ,1997JJ00,342.0,0.02
568,E006587,E007022 ,1998JJ00,349.0,0.02
569,E006587,E007022 ,1999JJ00,347.0,0.02
570,E006587,E007022 ,2000JJ00,362.0,0.02
571,E006587,E007022 ,2001JJ00,367.0,0.02
572,E006587,E007022 ,2002JJ00,369.0,0.02
573,E006587,E007022 ,2003JJ00,361.0,0.02
574,E006587,E007022 ,2004JJ00,360.0,0.02
575,E006587,E007022 ,2005JJ00,361.0,0.02
