ID,Regiokenmerken,Gebruiksfunctie,Woningtype,Perioden,NieuwbouwTotaal_1,k_10KwantielDoorlooptijdMaanden_2,k_25KwantielDoorlooptijdMaanden_3,MediaanDoorlooptijdMaanden_4,k_75KwantielDoorlooptijdMaanden_5,k_90KwantielDoorlooptijdMaanden_6,GemiddeldeDoorlooptijdMaanden_7
789,PV20   ,A045364,ZW10340,2018JJ00,821.0,13.1,16.0,18.4,30.6,30.6,22.6
790,PV20   ,A045364,ZW10340,2019KW01,75.0,12.2,12.2,12.9,20.5,20.5,16.0
791,PV20   ,A045364,ZW10340,2019KW02,389.0,15.8,15.8,16.8,16.8,16.8,17.1
792,PV20   ,A045364,ZW10340,2019KW03,301.0,14.2,14.2,14.2,14.2,14.2,15.4
793,PV20   ,A045364,ZW10340,2019KW04,584.0,16.7,22.4,22.4,22.4,66.0,26.0
794,PV20   ,A045364,ZW10340,2019JJ00,1349.0,14.2,14.2,16.8,22.4,23.2,20.5
795,PV20   ,A045364,ZW10340,2020KW01,1102.0,19.4,21.4,22.7,22.7,22.7,22.3
796,PV20   ,A045364,ZW10340,2020KW02,151.0,15.7,15.7,15.7,16.0,16.0,15.9
797,PV20   ,A045364,ZW10340,2020KW03,80.0,14.1,17.5,17.5,24.3,24.3,18.9
798,PV20   ,A045364,ZW10340,2020KW04,176.0,13.4,22.6,36.0,37.0,37.0,30.5
799,PV20   ,A045364,ZW10340,2020JJ00,1509.0,15.7,21.4,22.7,22.7,36.0,22.4
800,PV20   ,A045364,ZW10340,2021KW01,353.0,21.8,21.8,21.8,32.1,40.1,28.7
801,PV20   ,A045364,ZW10340,2021KW02,69.0,18.3,18.3,18.3,31.7,31.7,22.7
802,PV20   ,A045364,ZW10340,2021KW03,77.0,14.6,17.9,27.8,27.8,27.8,26.7
803,PV20   ,A045364,ZW10340,2021KW04,296.0,20.2,20.2,22.7,35.1,35.1,25.2
804,PV20   ,A045364,ZW10340,2021JJ00,795.0,18.8,21.8,22.7,32.1,35.1,26.8
805,PV20   ,A045364,ZW10340,2022KW01,213.0,16.5,20.3,22.4,22.4,22.5,24.0
806,PV20   ,A045364,ZW10340,2022KW02,291.0,14.8,16.7,26.9,26.9,26.9,22.6
807,PV20   ,A045364,ZW10340,2022KW03,65.0,8.1,16.2,51.8,144.9,144.9,59.2
808,PV20   ,A045364,ZW10340,2022KW04,485.0,16.8,23.3,23.3,31.0,37.1,25.5
809,PV20   ,A045364,ZW10340,2022JJ00,1054.0,16.7,19.4,23.3,26.9,37.1,26.4
810,PV20   ,A045364,ZW10340,2023KW01,229.0,21.2,22.5,32.3,36.5,38.2,31.0
811,PV20   ,A045364,ZW10340,2023KW02,150.0,17.9,18.9,18.9,18.9,25.3,20.2
812,PV20   ,A045364,ZW10340,2023KW03,342.0,35.9,35.9,35.9,35.9,35.9,35.6
813,PV20   ,A045364,ZW10340,2023KW04,31.0,25.4,25.4,25.4,25.4,25.4,24.4
814,PV20   ,A045364,ZW10340,2023JJ00,752.0,18.9,21.2,35.9,35.9,37.0,30.6
815,PV20   ,A045364,ZW10340,2024KW01,232.0,17.0,18.2,23.1,27.5,43.1,25.0
816,PV20   ,A045364,ZW10340,2024KW02,27.0,25.5,30.9,60.1,60.1,60.1,47.7
817,PV20   ,A045364,ZW10340,2024KW03,262.0,16.8,19.5,19.5,27.6,58.0,25.0
818,PV20   ,A045364,ZW10340,2024KW04,190.0,22.3,24.9,35.1,35.1,35.1,30.1
819,PV20   ,A045364,ZW10340,2024JJ00,711.0,17.0,19.5,24.9,35.1,43.1,27.2
820,PV20   ,A045364,ZW10340,2025KW01,389.0,11.4,11.4,28.8,28.8,29.2,23.5
821,PV20   ,A045364,ZW10340,2025KW02,287.0,3.4,26.5,51.2,51.2,52.0,40.6
822,PV20   ,A045364,ZW10340,2025KW03,165.0,26.8,28.4,28.4,28.4,49.4,31.1
823,PV20   ,A045364,ZW10340,2025KW04,268.0,15.8,16.1,28.9,32.2,32.2,27.5
824,PV20   ,A045364,ZW10340,2025JJ00,1109.0,11.4,18.8,28.8,32.2,51.2,30.0
825,PV20   ,A045365,T001100,2015KW01,37.0,5.0,5.2,8.9,20.2,33.2,14.6
826,PV20   ,A045365,T001100,2015KW02,36.0,7.7,13.9,16.4,24.7,34.2,19.5
827,PV20   ,A045365,T001100,2015KW03,18.0,2.6,3.8,13.1,17.9,29.0,14.7
828,PV20   ,A045365,T001100,2015KW04,29.0,7.3,8.5,13.4,18.6,34.6,16.3
829,PV20   ,A045365,T001100,2015JJ00,120.0,5.0,7.6,13.4,20.2,34.6,16.3
830,PV20   ,A045365,T001100,2016KW01,25.0,10.0,12.0,28.4,28.4,33.8,23.3
831,PV20   ,A045365,T001100,2016KW02,37.0,6.4,6.4,11.2,22.5,31.0,15.8
832,PV20   ,A045365,T001100,2016KW03,41.0,5.0,11.0,14.7,26.3,28.3,18.7
833,PV20   ,A045365,T001100,2016KW04,36.0,3.6,6.8,12.9,42.2,42.2,21.2
834,PV20   ,A045365,T001100,2016JJ00,139.0,5.1,8.5,12.9,26.4,42.2,19.1
835,PV20   ,A045365,T001100,2017KW01,66.0,9.5,14.0,14.2,24.4,45.9,22.4
836,PV20   ,A045365,T001100,2017KW02,36.0,9.3,12.8,16.7,24.9,61.9,25.0
837,PV20   ,A045365,T001100,2017KW03,44.0,5.6,6.7,17.8,29.4,31.6,20.6
838,PV20   ,A045365,T001100,2017KW04,21.0,4.8,6.2,9.8,15.5,34.0,14.7
839,PV20   ,A045365,T001100,2017JJ00,167.0,6.7,10.2,14.8,29.1,45.9,21.5
840,PV20   ,A045365,T001100,2018KW01,53.0,7.7,10.0,12.4,12.5,21.3,12.8
841,PV20   ,A045365,T001100,2018KW02,34.0,4.1,9.6,16.0,18.8,24.2,16.2
842,PV20   ,A045365,T001100,2018KW03,53.0,4.1,15.1,15.1,15.1,20.1,14.9
843,PV20   ,A045365,T001100,2018KW04,35.0,2.0,5.3,12.0,17.0,23.6,15.0
844,PV20   ,A045365,T001100,2018JJ00,175.0,2.6,9.7,14.7,17.3,22.6,14.9
845,PV20   ,A045365,T001100,2019KW01,49.0,9.1,12.4,12.4,12.4,26.1,15.4
846,PV20   ,A045365,T001100,2019KW02,38.0,5.9,14.9,15.8,19.7,30.1,20.9
847,PV20   ,A045365,T001100,2019KW03,87.0,6.8,9.0,10.5,24.3,31.1,16.5
848,PV20   ,A045365,T001100,2019KW04,56.0,4.7,8.7,12.1,23.2,94.8,24.5
849,PV20   ,A045365,T001100,2019JJ00,230.0,6.7,9.0,12.4,19.8,31.1,19.0
850,PV20   ,A045365,T001100,2020KW01,68.0,11.7,15.1,19.4,23.9,49.5,23.6
851,PV20   ,A045365,T001100,2020KW02,109.0,5.8,11.0,22.7,22.7,22.7,17.9
852,PV20   ,A045365,T001100,2020KW03,44.0,5.7,6.4,9.8,16.4,26.9,14.9
853,PV20   ,A045365,T001100,2020KW04,46.0,4.1,11.0,18.5,36.0,37.8,23.5
854,PV20   ,A045365,T001100,2020JJ00,267.0,5.8,10.1,17.7,22.7,28.0,19.6
855,PV20   ,A045365,T001100,2021KW01,80.0,7.3,9.6,9.6,16.0,19.8,11.6
856,PV20   ,A045365,T001100,2021KW02,208.0,6.2,7.6,7.6,13.0,22.1,14.3
857,PV20   ,A045365,T001100,2021KW03,30.0,8.2,8.2,13.8,25.4,45.6,20.4
858,PV20   ,A045365,T001100,2021KW04,85.0,8.3,9.1,12.4,22.7,66.1,21.6
859,PV20   ,A045365,T001100,2021JJ00,403.0,6.5,7.6,9.6,18.7,23.4,15.8
860,PV20   ,A045365,T001100,2022KW01,274.0,11.3,11.9,15.1,21.3,30.3,17.7
861,PV20   ,A045365,T001100,2022KW02,45.0,7.9,9.5,9.5,17.9,23.4,13.2
862,PV20   ,A045365,T001100,2022KW03,72.0,5.2,11.6,13.6,24.1,40.4,18.5
863,PV20   ,A045365,T001100,2022KW04,188.0,12.3,13.8,16.8,23.3,31.0,20.0
864,PV20   ,A045365,T001100,2022JJ00,579.0,9.5,11.9,15.7,23.0,30.3,18.2
865,PV20   ,A045365,T001100,2023KW01,219.0,13.9,15.2,22.5,40.8,40.8,27.4
866,PV20   ,A045365,T001100,2023KW02,139.0,11.5,12.4,13.1,17.5,22.5,16.2
867,PV20   ,A045365,T001100,2023KW03,190.0,5.7,11.1,11.1,12.0,15.0,12.8
868,PV20   ,A045365,T001100,2023KW04,88.0,15.0,15.0,19.3,19.3,19.3,18.9
869,PV20   ,A045365,T001100,2023JJ00,636.0,11.1,11.6,15.0,21.8,40.8,19.4
870,PV20   ,A045365,T001100,2024KW01,115.0,13.7,13.7,18.4,22.0,25.8,19.2
871,PV20   ,A045365,T001100,2024KW02,122.0,13.2,13.9,19.3,19.9,34.5,21.9
872,PV20   ,A045365,T001100,2024KW03,325.0,5.9,10.8,10.8,19.9,24.1,14.5
873,PV20   ,A045365,T001100,2024KW04,82.0,7.7,10.6,28.3,28.3,35.1,25.1
874,PV20   ,A045365,T001100,2024JJ00,644.0,7.6,10.8,16.9,20.9,28.3,17.8
875,PV20   ,A045365,T001100,2025KW01,58.0,3.6,3.6,13.8,20.0,24.9,13.7
876,PV20   ,A045365,T001100,2025KW02,186.0,11.6,14.4,30.7,38.7,38.7,29.1
877,PV20   ,A045365,T001100,2025KW03,93.0,17.4,20.3,25.6,165.3,165.3,79.5
878,PV20   ,A045365,T001100,2025KW04,51.0,18.3,18.8,18.8,35.4,41.1,27.5
879,PV20   ,A045365,T001100,2025JJ00,388.0,11.6,15.6,25.6,38.7,165.3,39.8
880,PV20   ,A045365,ZW10290,2015KW01,,,,,,,
881,PV20   ,A045365,ZW10290,2015KW02,,,,,,,
882,PV20   ,A045365,ZW10290,2015KW03,,,,,,,
883,PV20   ,A045365,ZW10290,2015KW04,,,,,,,
884,PV20   ,A045365,ZW10290,2015JJ00,,,,,,,
885,PV20   ,A045365,ZW10290,2016KW01,,,,,,,
886,PV20   ,A045365,ZW10290,2016KW02,,,,,,,
887,PV20   ,A045365,ZW10290,2016KW03,,,,,,,
888,PV20   ,A045365,ZW10290,2016KW04,,,,,,,
889,PV20   ,A045365,ZW10290,2016JJ00,,,,,,,
890,PV20   ,A045365,ZW10290,2017KW01,,,,,,,
891,PV20   ,A045365,ZW10290,2017KW02,,,,,,,
892,PV20   ,A045365,ZW10290,2017KW03,,,,,,,
893,PV20   ,A045365,ZW10290,2017KW04,,,,,,,
894,PV20   ,A045365,ZW10290,2017JJ00,,,,,,,
895,PV20   ,A045365,ZW10290,2018KW01,,,,,,,
896,PV20   ,A045365,ZW10290,2018KW02,,,,,,,
897,PV20   ,A045365,ZW10290,2018KW03,,,,,,,
898,PV20   ,A045365,ZW10290,2018KW04,,,,,,,
899,PV20   ,A045365,ZW10290,2018JJ00,,,,,,,
900,PV20   ,A045365,ZW10290,2019KW01,,,,,,,
901,PV20   ,A045365,ZW10290,2019KW02,,,,,,,
902,PV20   ,A045365,ZW10290,2019KW03,,,,,,,
903,PV20   ,A045365,ZW10290,2019KW04,,,,,,,
904,PV20   ,A045365,ZW10290,2019JJ00,,,,,,,
905,PV20   ,A045365,ZW10290,2020KW01,,,,,,,
906,PV20   ,A045365,ZW10290,2020KW02,,,,,,,
907,PV20   ,A045365,ZW10290,2020KW03,,,,,,,
908,PV20   ,A045365,ZW10290,2020KW04,,,,,,,
909,PV20   ,A045365,ZW10290,2020JJ00,,,,,,,
910,PV20   ,A045365,ZW10290,2021KW01,,,,,,,
911,PV20   ,A045365,ZW10290,2021KW02,,,,,,,
912,PV20   ,A045365,ZW10290,2021KW03,,,,,,,
913,PV20   ,A045365,ZW10290,2021KW04,,,,,,,
914,PV20   ,A045365,ZW10290,2021JJ00,,,,,,,
915,PV20   ,A045365,ZW10290,2022KW01,,,,,,,
916,PV20   ,A045365,ZW10290,2022KW02,,,,,,,
917,PV20   ,A045365,ZW10290,2022KW03,,,,,,,
918,PV20   ,A045365,ZW10290,2022KW04,,,,,,,
919,PV20   ,A045365,ZW10290,2022JJ00,,,,,,,
920,PV20   ,A045365,ZW10290,2023KW01,,,,,,,
921,PV20   ,A045365,ZW10290,2023KW02,,,,,,,
922,PV20   ,A045365,ZW10290,2023KW03,,,,,,,
923,PV20   ,A045365,ZW10290,2023KW04,,,,,,,
924,PV20   ,A045365,ZW10290,2023JJ00,,,,,,,
925,PV20   ,A045365,ZW10290,2024KW01,,,,,,,
926,PV20   ,A045365,ZW10290,2024KW02,,,,,,,
927,PV20   ,A045365,ZW10290,2024KW03,,,,,,,
928,PV20   ,A045365,ZW10290,2024KW04,,,,,,,
929,PV20   ,A045365,ZW10290,2024JJ00,,,,,,,
930,PV20   ,A045365,ZW10290,2025KW01,,,,,,,
931,PV20   ,A045365,ZW10290,2025KW02,,,,,,,
932,PV20   ,A045365,ZW10290,2025KW03,,,,,,,
933,PV20   ,A045365,ZW10290,2025KW04,,,,,,,
934,PV20   ,A045365,ZW10290,2025JJ00,,,,,,,
935,PV20   ,A045365,ZW10340,2015KW01,,,,,,,
936,PV20   ,A045365,ZW10340,2015KW02,,,,,,,
937,PV20   ,A045365,ZW10340,2015KW03,,,,,,,
938,PV20   ,A045365,ZW10340,2015KW04,,,,,,,
939,PV20   ,A045365,ZW10340,2015JJ00,,,,,,,
940,PV20   ,A045365,ZW10340,2016KW01,,,,,,,
941,PV20   ,A045365,ZW10340,2016KW02,,,,,,,
942,PV20   ,A045365,ZW10340,2016KW03,,,,,,,
943,PV20   ,A045365,ZW10340,2016KW04,,,,,,,
944,PV20   ,A045365,ZW10340,2016JJ00,,,,,,,
945,PV20   ,A045365,ZW10340,2017KW01,,,,,,,
946,PV20   ,A045365,ZW10340,2017KW02,,,,,,,
947,PV20   ,A045365,ZW10340,2017KW03,,,,,,,
948,PV20   ,A045365,ZW10340,2017KW04,,,,,,,
949,PV20   ,A045365,ZW10340,2017JJ00,,,,,,,
950,PV20   ,A045365,ZW10340,2018KW01,,,,,,,
951,PV20   ,A045365,ZW10340,2018KW02,,,,,,,
952,PV20   ,A045365,ZW10340,2018KW03,,,,,,,
953,PV20   ,A045365,ZW10340,2018KW04,,,,,,,
954,PV20   ,A045365,ZW10340,2018JJ00,,,,,,,
955,PV20   ,A045365,ZW10340,2019KW01,,,,,,,
956,PV20   ,A045365,ZW10340,2019KW02,,,,,,,
957,PV20   ,A045365,ZW10340,2019KW03,,,,,,,
958,PV20   ,A045365,ZW10340,2019KW04,,,,,,,
959,PV20   ,A045365,ZW10340,2019JJ00,,,,,,,
960,PV20   ,A045365,ZW10340,2020KW01,,,,,,,
961,PV20   ,A045365,ZW10340,2020KW02,,,,,,,
962,PV20   ,A045365,ZW10340,2020KW03,,,,,,,
963,PV20   ,A045365,ZW10340,2020KW04,,,,,,,
964,PV20   ,A045365,ZW10340,2020JJ00,,,,,,,
965,PV20   ,A045365,ZW10340,2021KW01,,,,,,,
966,PV20   ,A045365,ZW10340,2021KW02,,,,,,,
967,PV20   ,A045365,ZW10340,2021KW03,,,,,,,
968,PV20   ,A045365,ZW10340,2021KW04,,,,,,,
969,PV20   ,A045365,ZW10340,2021JJ00,,,,,,,
970,PV20   ,A045365,ZW10340,2022KW01,,,,,,,
971,PV20   ,A045365,ZW10340,2022KW02,,,,,,,
972,PV20   ,A045365,ZW10340,2022KW03,,,,,,,
973,PV20   ,A045365,ZW10340,2022KW04,,,,,,,
974,PV20   ,A045365,ZW10340,2022JJ00,,,,,,,
975,PV20   ,A045365,ZW10340,2023KW01,,,,,,,
976,PV20   ,A045365,ZW10340,2023KW02,,,,,,,
977,PV20   ,A045365,ZW10340,2023KW03,,,,,,,
978,PV20   ,A045365,ZW10340,2023KW04,,,,,,,
979,PV20   ,A045365,ZW10340,2023JJ00,,,,,,,
980,PV20   ,A045365,ZW10340,2024KW01,,,,,,,
981,PV20   ,A045365,ZW10340,2024KW02,,,,,,,
982,PV20   ,A045365,ZW10340,2024KW03,,,,,,,
983,PV20   ,A045365,ZW10340,2024KW04,,,,,,,
984,PV20   ,A045365,ZW10340,2024JJ00,,,,,,,
985,PV20   ,A045365,ZW10340,2025KW01,,,,,,,
986,PV20   ,A045365,ZW10340,2025KW02,,,,,,,
987,PV20   ,A045365,ZW10340,2025KW03,,,,,,,
988,PV20   ,A045365,ZW10340,2025KW04,,,,,,,
989,PV20   ,A045365,ZW10340,2025JJ00,,,,,,,
990,PV21   ,T001419,T001100,2015KW01,330.0,3.9,11.5,17.4,28.7,40.2,20.2
991,PV21   ,T001419,T001100,2015KW02,336.0,7.3,10.0,14.7,20.6,30.4,17.4
992,PV21   ,T001419,T001100,2015KW03,424.0,5.2,7.3,11.4,18.5,25.5,14.5
993,PV21   ,T001419,T001100,2015KW04,674.0,4.6,9.0,12.4,16.6,24.5,14.2
994,PV21   ,T001419,T001100,2015JJ00,1764.0,5.2,8.5,12.4,18.5,28.7,15.6
995,PV21   ,T001419,T001100,2016KW01,224.0,9.5,10.5,12.4,16.8,29.0,15.7
996,PV21   ,T001419,T001100,2016KW02,410.0,7.7,10.7,14.9,16.5,21.3,15.2
997,PV21   ,T001419,T001100,2016KW03,605.0,7.1,8.8,14.4,19.8,68.7,21.9
998,PV21   ,T001419,T001100,2016KW04,528.0,8.0,9.4,12.7,21.9,23.2,16.8
999,PV21   ,T001419,T001100,2016JJ00,1767.0,7.6,9.6,14.3,19.5,28.9,18.0
1000,PV21   ,T001419,T001100,2017KW01,567.0,6.4,10.1,11.5,21.5,55.4,20.4
1001,PV21   ,T001419,T001100,2017KW02,509.0,7.1,8.5,9.8,15.7,23.5,14.4
1002,PV21   ,T001419,T001100,2017KW03,706.0,7.6,10.6,13.0,26.2,56.9,22.2
1003,PV21   ,T001419,T001100,2017KW04,520.0,6.9,9.5,12.0,17.6,31.2,16.4
1004,PV21   ,T001419,T001100,2017JJ00,2302.0,7.2,9.4,12.0,21.8,55.4,18.7
1005,PV21   ,T001419,T001100,2018KW01,462.0,8.3,10.3,13.4,17.8,34.2,17.6
1006,PV21   ,T001419,T001100,2018KW02,525.0,7.4,9.4,12.0,16.7,21.7,14.9
1007,PV21   ,T001419,T001100,2018KW03,838.0,8.3,10.9,14.1,17.0,29.6,16.6
1008,PV21   ,T001419,T001100,2018KW04,749.0,8.7,10.6,15.4,19.1,28.0,17.7
1009,PV21   ,T001419,T001100,2018JJ00,2574.0,8.5,10.4,13.6,18.0,28.0,16.8
1010,PV21   ,T001419,T001100,2019KW01,610.0,8.8,10.1,13.8,17.6,21.3,16.3
1011,PV21   ,T001419,T001100,2019KW02,673.0,8.6,10.3,12.5,17.4,19.2,14.2
1012,PV21   ,T001419,T001100,2019KW03,785.0,9.9,11.5,14.9,22.7,24.1,18.2
1013,PV21   ,T001419,T001100,2019KW04,818.0,8.6,11.2,15.2,19.0,26.3,16.7
1014,PV21   ,T001419,T001100,2019JJ00,2886.0,8.6,10.8,14.2,18.6,24.1,16.4
1015,PV21   ,T001419,T001100,2020KW01,386.0,7.9,13.3,17.7,25.0,37.1,21.2
1016,PV21   ,T001419,T001100,2020KW02,552.0,7.6,12.5,16.5,19.9,27.7,17.2
1017,PV21   ,T001419,T001100,2020KW03,654.0,8.2,9.3,12.9,22.0,30.2,18.0
1018,PV21   ,T001419,T001100,2020KW04,1149.0,9.9,14.2,22.6,25.6,37.0,21.9
1019,PV21   ,T001419,T001100,2020JJ00,2741.0,8.2,12.0,17.6,24.8,32.3,20.0
1020,PV21   ,T001419,T001100,2021KW01,880.0,9.2,10.4,14.1,17.1,28.1,17.6
1021,PV21   ,T001419,T001100,2021KW02,666.0,7.2,10.4,14.0,18.5,22.9,15.4
1022,PV21   ,T001419,T001100,2021KW03,549.0,8.9,12.4,15.1,19.7,30.3,18.6
1023,PV21   ,T001419,T001100,2021KW04,976.0,8.9,11.1,16.5,19.2,27.6,18.1
1024,PV21   ,T001419,T001100,2021JJ00,3071.0,8.4,11.0,14.8,19.0,28.0,17.5
1025,PV21   ,T001419,T001100,2022KW01,822.0,11.0,14.2,22.1,38.8,41.4,24.7
1026,PV21   ,T001419,T001100,2022KW02,884.0,9.8,14.9,16.4,20.3,25.6,17.9
1027,PV21   ,T001419,T001100,2022KW03,423.0,9.1,11.6,16.3,19.0,21.8,16.2
1028,PV21   ,T001419,T001100,2022KW04,1216.0,9.1,11.8,15.6,20.4,31.7,18.3
1029,PV21   ,T001419,T001100,2022JJ00,3345.0,9.1,12.6,16.9,22.4,38.2,19.5
1030,PV21   ,T001419,T001100,2023KW01,553.0,9.4,14.5,17.8,21.4,24.7,22.6
1031,PV21   ,T001419,T001100,2023KW02,688.0,9.9,12.8,17.1,23.1,25.3,18.5
1032,PV21   ,T001419,T001100,2023KW03,784.0,9.2,13.0,22.3,27.1,27.1,20.3
1033,PV21   ,T001419,T001100,2023KW04,730.0,7.6,14.6,18.9,29.4,31.8,21.0
1034,PV21   ,T001419,T001100,2023JJ00,2755.0,9.2,13.3,18.4,25.2,28.4,20.5
1035,PV21   ,T001419,T001100,2024KW01,583.0,9.4,15.6,23.1,30.3,30.3,23.6
1036,PV21   ,T001419,T001100,2024KW02,524.0,10.2,10.3,14.4,18.5,38.1,18.0
1037,PV21   ,T001419,T001100,2024KW03,773.0,9.8,10.9,16.8,22.7,26.2,17.4
1038,PV21   ,T001419,T001100,2024KW04,1048.0,11.0,15.1,21.3,27.9,32.7,23.3
1039,PV21   ,T001419,T001100,2024JJ00,2928.0,9.8,11.9,19.0,25.6,30.3,20.9
1040,PV21   ,T001419,T001100,2025KW01,480.0,10.5,12.9,19.0,31.6,38.2,21.7
1041,PV21   ,T001419,T001100,2025KW02,476.0,10.6,14.1,18.8,27.6,33.6,21.2
1042,PV21   ,T001419,T001100,2025KW03,314.0,9.7,12.0,16.9,25.4,44.8,20.8
1043,PV21   ,T001419,T001100,2025KW04,619.0,9.4,12.6,18.0,25.5,29.4,19.7
1044,PV21   ,T001419,T001100,2025JJ00,1889.0,9.8,12.6,18.0,27.6,38.2,20.8
1045,PV21   ,T001419,ZW10290,2015KW01,211.0,3.9,8.1,15.2,36.2,40.2,21.1
1046,PV21   ,T001419,ZW10290,2015KW02,242.0,6.8,8.0,14.7,20.6,30.4,16.1
1047,PV21   ,T001419,ZW10290,2015KW03,254.0,5.2,5.4,7.6,14.9,32.0,13.2
1048,PV21   ,T001419,ZW10290,2015KW04,460.0,4.6,8.7,11.3,15.0,18.0,13.7
1049,PV21   ,T001419,ZW10290,2015JJ00,1167.0,5.2,7.8,11.3,17.0,33.8,15.2
1050,PV21   ,T001419,ZW10290,2016KW01,157.0,9.4,9.6,12.1,15.0,26.9,14.3
1051,PV21   ,T001419,ZW10290,2016KW02,377.0,7.2,10.7,14.9,16.5,21.3,15.1
1052,PV21   ,T001419,ZW10290,2016KW03,439.0,6.9,9.2,16.1,19.8,34.2,18.6
1053,PV21   ,T001419,ZW10290,2016KW04,373.0,6.9,8.7,12.7,22.3,25.7,16.4
1054,PV21   ,T001419,ZW10290,2016JJ00,1346.0,7.1,9.4,13.7,19.6,25.3,16.5
1055,PV21   ,T001419,ZW10290,2017KW01,387.0,5.9,9.2,10.6,12.1,20.0,14.2
1056,PV21   ,T001419,ZW10290,2017KW02,399.0,6.2,8.4,9.6,13.8,20.4,12.6
1057,PV21   ,T001419,ZW10290,2017KW03,394.0,6.4,9.3,11.5,17.9,33.1,17.1
1058,PV21   ,T001419,ZW10290,2017KW04,411.0,8.2,9.6,12.0,18.4,33.2,17.4
1059,PV21   ,T001419,ZW10290,2017JJ00,1591.0,6.4,9.0,11.0,14.9,28.3,15.3
1060,PV21   ,T001419,ZW10290,2018KW01,414.0,7.9,10.5,13.6,18.1,38.5,18.2
1061,PV21   ,T001419,ZW10290,2018KW02,402.0,7.2,9.4,11.8,16.0,22.5,14.8
1062,PV21   ,T001419,ZW10290,2018KW03,631.0,8.3,10.5,12.6,16.4,21.2,15.3
1063,PV21   ,T001419,ZW10290,2018KW04,605.0,8.6,10.8,14.9,18.9,27.8,17.0
1064,PV21   ,T001419,ZW10290,2018JJ00,2052.0,8.0,10.5,13.1,17.7,26.1,16.3
1065,PV21   ,T001419,ZW10290,2019KW01,519.0,8.9,10.1,13.8,17.7,21.3,16.4
1066,PV21   ,T001419,ZW10290,2019KW02,514.0,8.6,9.2,12.5,17.0,19.7,13.8
1067,PV21   ,T001419,ZW10290,2019KW03,546.0,8.2,10.8,13.7,16.8,32.6,17.6
1068,PV21   ,T001419,ZW10290,2019KW04,667.0,8.6,10.1,15.2,18.2,24.5,16.2
1069,PV21   ,T001419,ZW10290,2019JJ00,2246.0,8.6,10.3,13.8,17.4,22.7,16.0
1070,PV21   ,T001419,ZW10290,2020KW01,309.0,7.7,11.5,17.9,25.6,37.1,20.8
1071,PV21   ,T001419,ZW10290,2020KW02,410.0,7.5,10.3,15.6,20.5,30.7,17.1
1072,PV21   ,T001419,ZW10290,2020KW03,349.0,8.2,9.3,12.3,22.0,30.2,18.3
1073,PV21   ,T001419,ZW10290,2020KW04,655.0,7.7,11.0,16.7,25.3,30.9,19.6
1074,PV21   ,T001419,ZW10290,2020JJ00,1723.0,7.7,10.4,15.8,23.5,30.9,19.0
1075,PV21   ,T001419,ZW10290,2021KW01,520.0,9.1,11.7,14.4,18.0,45.8,19.1
1076,PV21   ,T001419,ZW10290,2021KW02,478.0,7.2,9.8,13.1,17.7,22.9,14.9
1077,PV21   ,T001419,ZW10290,2021KW03,421.0,8.3,12.0,13.9,16.8,43.9,18.3
1078,PV21   ,T001419,ZW10290,2021KW04,615.0,9.1,11.5,16.1,21.2,30.9,19.0
1079,PV21   ,T001419,ZW10290,2021JJ00,2034.0,8.4,11.2,14.4,18.8,30.6,17.9
1080,PV21   ,T001419,ZW10290,2022KW01,444.0,8.8,11.5,15.1,18.7,30.2,17.5
1081,PV21   ,T001419,ZW10290,2022KW02,585.0,11.3,14.9,17.4,20.4,25.6,18.4
1082,PV21   ,T001419,ZW10290,2022KW03,315.0,9.0,11.4,16.5,18.7,23.0,16.5
1083,PV21   ,T001419,ZW10290,2022KW04,703.0,9.1,11.8,16.9,20.4,25.9,18.1
1084,PV21   ,T001419,ZW10290,2022JJ00,2047.0,9.1,12.0,16.7,20.3,27.4,17.8
1085,PV21   ,T001419,ZW10290,2023KW01,348.0,9.2,12.9,17.0,21.4,23.3,18.1
1086,PV21   ,T001419,ZW10290,2023KW02,430.0,10.1,11.8,17.3,23.1,26.4,19.1
1087,PV21   ,T001419,ZW10290,2023KW03,422.0,9.1,11.9,16.7,22.3,24.3,17.3
1088,PV21   ,T001419,ZW10290,2023KW04,484.0,12.3,16.0,21.1,29.9,31.8,23.2
1089,PV21   ,T001419,ZW10290,2023JJ00,1684.0,10.3,13.1,17.9,23.1,29.1,19.6
1090,PV21   ,T001419,ZW10290,2024KW01,392.0,9.4,13.9,23.4,30.3,30.3,24.3
1091,PV21   ,T001419,ZW10290,2024KW02,369.0,10.9,12.5,14.8,24.2,38.1,20.3
1092,PV21   ,T001419,ZW10290,2024KW03,243.0,8.5,9.8,14.5,25.5,30.5,18.6
1093,PV21   ,T001419,ZW10290,2024KW04,391.0,9.2,12.7,16.8,26.0,41.3,21.8
1094,PV21   ,T001419,ZW10290,2024JJ00,1395.0,9.4,12.2,17.1,28.4,38.1,21.6
1095,PV21   ,T001419,ZW10290,2025KW01,234.0,8.3,11.6,13.1,17.9,24.3,15.7
1096,PV21   ,T001419,ZW10290,2025KW02,330.0,10.3,13.2,15.8,18.8,37.6,20.2
1097,PV21   ,T001419,ZW10290,2025KW03,272.0,9.0,11.1,15.9,21.2,40.8,18.9
1098,PV21   ,T001419,ZW10290,2025KW04,,,,,,,
1099,PV21   ,T001419,ZW10290,2025JJ00,,,,,,,
