ID,Geslacht,Persoonskenmerken,Perioden,Verkeersdeelname_1,GebruikVanHetOpenbaarVervoer_2
159,T001038,53850  ,2017JJ00,78.4,4.8
160,T001038,53925  ,2010JJ00,73.0,3.3
161,T001038,53925  ,2011JJ00,72.1,4.1
162,T001038,53925  ,2012JJ00,72.6,3.6
163,T001038,53925  ,2013JJ00,71.9,3.5
164,T001038,53925  ,2014JJ00,73.2,3.3
165,T001038,53925  ,2015JJ00,71.8,3.1
166,T001038,53925  ,2016JJ00,72.0,3.3
167,T001038,53925  ,2017JJ00,72.0,3.2
168,T001038,21600  ,2010JJ00,53.5,2.7
169,T001038,21600  ,2011JJ00,54.0,2.6
170,T001038,21600  ,2012JJ00,55.2,2.8
171,T001038,21600  ,2013JJ00,55.9,3.2
172,T001038,21600  ,2014JJ00,58.6,2.6
173,T001038,21600  ,2015JJ00,58.2,3.0
174,T001038,21600  ,2016JJ00,56.2,2.6
175,T001038,21600  ,2017JJ00,56.2,2.5
176,T001038,2030500,2010JJ00,77.2,10.4
177,T001038,2030500,2011JJ00,78.0,10.7
178,T001038,2030500,2012JJ00,77.9,10.4
179,T001038,2030500,2013JJ00,77.6,10.7
180,T001038,2030500,2014JJ00,77.9,10.2
181,T001038,2030500,2015JJ00,76.9,10.7
182,T001038,2030500,2016JJ00,76.5,10.5
183,T001038,2030500,2017JJ00,75.5,10.7
184,T001038,2030510,2010JJ00,79.7,8.4
185,T001038,2030510,2011JJ00,80.2,9.2
186,T001038,2030510,2012JJ00,78.9,8.8
187,T001038,2030510,2013JJ00,79.2,8.9
188,T001038,2030510,2014JJ00,79.7,9.0
189,T001038,2030510,2015JJ00,79.4,9.0
190,T001038,2030510,2016JJ00,78.5,8.6
191,T001038,2030510,2017JJ00,78.1,9.4
192,T001038,2030520,2010JJ00,82.2,3.1
193,T001038,2030520,2011JJ00,81.6,3.2
194,T001038,2030520,2012JJ00,81.2,2.8
195,T001038,2030520,2013JJ00,81.9,3.2
196,T001038,2030520,2014JJ00,82.4,2.9
197,T001038,2030520,2015JJ00,81.2,2.9
198,T001038,2030520,2016JJ00,81.3,3.1
199,T001038,2030520,2017JJ00,81.0,3.1
200,T001038,2017350,2010JJ00,69.7,4.3
201,T001038,2017350,2011JJ00,69.7,4.8
202,T001038,2017350,2012JJ00,67.6,5.0
203,T001038,2017350,2013JJ00,70.2,4.1
204,T001038,2017350,2014JJ00,67.8,5.4
205,T001038,2017350,2015JJ00,69.7,4.0
206,T001038,2017350,2016JJ00,67.5,4.7
207,T001038,2017350,2017JJ00,68.0,4.5
208,T001038,2017558,2010JJ00,81.1,2.2
209,T001038,2017558,2011JJ00,82.7,2.0
210,T001038,2017558,2012JJ00,82.3,2.1
211,T001038,2017558,2013JJ00,82.3,1.6
212,T001038,2017558,2014JJ00,83.6,2.3
213,T001038,2017558,2015JJ00,82.3,1.9
214,T001038,2017558,2016JJ00,83.1,2.0
215,T001038,2017558,2017JJ00,82.5,2.3
216,T001038,2017560,2010JJ00,85.6,6.4
217,T001038,2017560,2011JJ00,86.0,6.8
218,T001038,2017560,2012JJ00,84.7,6.4
219,T001038,2017560,2013JJ00,85.7,6.4
220,T001038,2017560,2014JJ00,86.0,5.9
221,T001038,2017560,2015JJ00,85.6,6.6
222,T001038,2017560,2016JJ00,85.3,6.5
223,T001038,2017560,2017JJ00,84.0,6.4
224,T001038,2017565,2010JJ00,85.0,7.3
225,T001038,2017565,2011JJ00,84.5,7.7
226,T001038,2017565,2012JJ00,84.7,7.1
227,T001038,2017565,2013JJ00,84.7,7.5
228,T001038,2017565,2014JJ00,84.7,7.0
229,T001038,2017565,2015JJ00,84.2,7.2
230,T001038,2017565,2016JJ00,84.2,7.1
231,T001038,2017565,2017JJ00,83.2,7.8
232,T001038,2017570,2010JJ00,83.8,12.5
233,T001038,2017570,2011JJ00,84.5,12.6
234,T001038,2017570,2012JJ00,83.5,12.3
235,T001038,2017570,2013JJ00,83.6,13.3
236,T001038,2017570,2014JJ00,84.6,12.8
237,T001038,2017570,2015JJ00,82.8,13.3
238,T001038,2017570,2016JJ00,83.2,12.4
239,T001038,2017570,2017JJ00,82.1,12.6
240,T001038,2017572,2010JJ00,73.2,6.0
241,T001038,2017572,2011JJ00,74.6,9.3
242,T001038,2017572,2012JJ00,72.1,8.0
243,T001038,2017572,2013JJ00,74.8,6.2
244,T001038,2017572,2014JJ00,74.3,7.4
245,T001038,2017572,2015JJ00,73.6,8.0
246,T001038,2017572,2016JJ00,71.6,7.9
247,T001038,2017572,2017JJ00,71.1,8.0
248,T001038,2017578,2010JJ00,75.3,4.1
249,T001038,2017578,2011JJ00,74.8,4.4
250,T001038,2017578,2012JJ00,75.7,3.5
251,T001038,2017578,2013JJ00,76.1,4.4
252,T001038,2017578,2014JJ00,76.4,3.3
253,T001038,2017578,2015JJ00,75.3,4.0
254,T001038,2017578,2016JJ00,73.0,4.7
255,T001038,2017578,2017JJ00,74.1,4.4
256,T001038,2017576,2010JJ00,65.7,3.0
257,T001038,2017576,2011JJ00,65.7,3.3
258,T001038,2017576,2012JJ00,66.1,3.2
259,T001038,2017576,2013JJ00,66.1,3.3
260,T001038,2017576,2014JJ00,67.7,3.1
261,T001038,2017576,2015JJ00,66.2,3.0
262,T001038,2017576,2016JJ00,65.8,3.0
263,T001038,2017576,2017JJ00,65.8,2.9
264,T001038,2030530,2010JJ00,85.6,35.3
265,T001038,2030530,2011JJ00,84.1,38.5
266,T001038,2030530,2012JJ00,83.5,37.2
267,T001038,2030530,2013JJ00,82.5,41.3
268,T001038,2030530,2014JJ00,83.7,37.0
269,T001038,2030530,2015JJ00,82.0,37.9
270,T001038,2030530,2016JJ00,81.6,35.1
271,T001038,2030530,2017JJ00,81.9,36.3
272,T001038,2030540,2010JJ00,88.0,25.9
273,T001038,2030540,2011JJ00,85.5,22.0
274,T001038,2030540,2012JJ00,90.7,25.8
275,T001038,2030540,2013JJ00,88.8,22.3
276,T001038,2030540,2014JJ00,93.6,25.7
277,T001038,2030540,2015JJ00,84.4,27.8
278,T001038,2030540,2016JJ00,84.5,24.1
279,T001038,2030540,2017JJ00,86.6,26.3
280,T001038,2030550,2010JJ00,79.5,5.4
281,T001038,2030550,2011JJ00,79.7,5.6
282,T001038,2030550,2012JJ00,79.3,5.3
283,T001038,2030550,2013JJ00,79.6,5.5
284,T001038,2030550,2014JJ00,80.0,5.3
285,T001038,2030550,2015JJ00,79.1,5.4
286,T001038,2030550,2016JJ00,78.8,5.5
287,T001038,2030550,2017JJ00,78.1,5.4
288,T001038,1021010,2010JJ00,75.2,8.5
289,T001038,1021010,2011JJ00,76.0,9.2
290,T001038,1021010,2012JJ00,75.7,9.0
291,T001038,1021010,2013JJ00,76.5,9.8
292,T001038,1021010,2014JJ00,76.5,8.9
293,T001038,1021010,2015JJ00,75.5,9.7
294,T001038,1021010,2016JJ00,74.6,8.9
295,T001038,1021010,2017JJ00,74.2,10.6
296,T001038,1021020,2010JJ00,78.6,6.3
297,T001038,1021020,2011JJ00,78.4,5.8
298,T001038,1021020,2012JJ00,78.2,5.9
299,T001038,1021020,2013JJ00,78.6,5.6
300,T001038,1021020,2014JJ00,78.0,5.1
301,T001038,1021020,2015JJ00,76.4,5.4
302,T001038,1021020,2016JJ00,77.0,5.3
303,T001038,1021020,2017JJ00,73.5,6.2
304,T001038,1021030,2010JJ00,81.6,5.9
305,T001038,1021030,2011JJ00,81.5,6.7
306,T001038,1021030,2012JJ00,80.3,5.8
307,T001038,1021030,2013JJ00,80.6,6.2
308,T001038,1021030,2014JJ00,82.3,6.4
309,T001038,1021030,2015JJ00,81.5,5.7
310,T001038,1021030,2016JJ00,81.1,6.0
311,T001038,1021030,2017JJ00,79.7,5.9
312,T001038,1021040,2010JJ00,83.4,6.7
313,T001038,1021040,2011JJ00,82.1,6.7
314,T001038,1021040,2012JJ00,83.1,6.3
315,T001038,1021040,2013JJ00,82.0,6.1
316,T001038,1021040,2014JJ00,82.9,5.9
317,T001038,1021040,2015JJ00,82.5,6.7
318,T001038,1021040,2016JJ00,82.4,6.2
319,T001038,1021040,2017JJ00,81.0,6.1
320,T001038,1021050,2010JJ00,81.6,6.0
321,T001038,1021050,2011JJ00,82.8,6.8
322,T001038,1021050,2012JJ00,81.9,5.9
323,T001038,1021050,2013JJ00,82.5,6.9
324,T001038,1021050,2014JJ00,83.4,6.4
325,T001038,1021050,2015JJ00,82.0,6.4
326,T001038,1021050,2016JJ00,82.3,6.9
327,T001038,1021050,2017JJ00,82.1,7.1
328,3000   ,T009002,2010JJ00,80.2,6.1
329,3000   ,T009002,2011JJ00,80.2,6.7
330,3000   ,T009002,2012JJ00,79.9,6.4
331,3000   ,T009002,2013JJ00,80.0,6.5
332,3000   ,T009002,2014JJ00,80.8,6.3
333,3000   ,T009002,2015JJ00,79.5,6.2
334,3000   ,T009002,2016JJ00,79.3,6.4
335,3000   ,T009002,2017JJ00,78.9,6.7
336,3000   ,2020256,2010JJ00,75.5,4.9
337,3000   ,2020256,2011JJ00,74.3,5.1
338,3000   ,2020256,2012JJ00,75.3,5.3
339,3000   ,2020256,2013JJ00,75.4,5.7
340,3000   ,2020256,2014JJ00,75.3,5.5
341,3000   ,2020256,2015JJ00,74.6,5.6
342,3000   ,2020256,2016JJ00,73.9,5.3
343,3000   ,2020256,2017JJ00,73.3,5.3
344,3000   ,2020257,2010JJ00,80.8,7.4
345,3000   ,2020257,2011JJ00,81.3,8.6
346,3000   ,2020257,2012JJ00,79.9,7.6
347,3000   ,2020257,2013JJ00,80.2,8.1
348,3000   ,2020257,2014JJ00,81.0,7.3
349,3000   ,2020257,2015JJ00,79.8,7.5
350,3000   ,2020257,2016JJ00,79.1,7.1
351,3000   ,2020257,2017JJ00,79.4,8.0
352,3000   ,2020258,2010JJ00,83.7,8.0
353,3000   ,2020258,2011JJ00,83.0,8.6
354,3000   ,2020258,2012JJ00,82.7,8.7
355,3000   ,2020258,2013JJ00,82.6,8.5
356,3000   ,2020258,2014JJ00,83.4,8.2
357,3000   ,2020258,2015JJ00,81.8,7.7
358,3000   ,2020258,2016JJ00,82.0,8.8
359,3000   ,2020258,2017JJ00,81.3,8.8
360,3000   ,1012600,2010JJ00,80.8,5.1
361,3000   ,1012600,2011JJ00,80.4,5.5
362,3000   ,1012600,2012JJ00,80.4,5.6
363,3000   ,1012600,2013JJ00,80.5,5.6
364,3000   ,1012600,2014JJ00,81.2,5.2
365,3000   ,1012600,2015JJ00,79.9,5.4
366,3000   ,1012600,2016JJ00,80.0,5.4
367,3000   ,1012600,2017JJ00,79.7,5.9
368,3000   ,2012655,2010JJ00,78.7,7.7
369,3000   ,2012655,2011JJ00,77.6,8.1
370,3000   ,2012655,2012JJ00,77.7,6.6
371,3000   ,2012655,2013JJ00,77.9,7.6
372,3000   ,2012655,2014JJ00,79.2,8.3
373,3000   ,2012655,2015JJ00,77.9,6.3
374,3000   ,2012655,2016JJ00,76.0,7.1
375,3000   ,2012655,2017JJ00,76.3,7.5
376,3000   ,2012657,2010JJ00,77.4,12.5
377,3000   ,2012657,2011JJ00,80.6,14.1
378,3000   ,2012657,2012JJ00,78.0,11.8
379,3000   ,2012657,2013JJ00,78.7,11.6
380,3000   ,2012657,2014JJ00,79.6,12.0
381,3000   ,2012657,2015JJ00,78.6,11.6
382,3000   ,2012657,2016JJ00,77.9,11.9
383,3000   ,2012657,2017JJ00,76.0,11.1
384,3000   ,1020700,2010JJ00,79.9,12.8
385,3000   ,1020700,2011JJ00,78.9,15.5
386,3000   ,1020700,2012JJ00,75.5,13.7
387,3000   ,1020700,2013JJ00,78.8,14.2
388,3000   ,1020700,2014JJ00,78.5,13.1
389,3000   ,1020700,2015JJ00,79.0,12.8
390,3000   ,1020700,2016JJ00,79.0,14.0
391,3000   ,1020700,2017JJ00,81.5,20.0
392,3000   ,1020710,2010JJ00,77.3,5.8
393,3000   ,1020710,2011JJ00,78.1,6.2
394,3000   ,1020710,2012JJ00,77.4,7.0
395,3000   ,1020710,2013JJ00,77.1,6.2
396,3000   ,1020710,2014JJ00,77.1,5.7
397,3000   ,1020710,2015JJ00,76.7,6.1
398,3000   ,1020710,2016JJ00,75.9,6.4
399,3000   ,1020710,2017JJ00,73.3,7.1
400,3000   ,1020720,2010JJ00,82.2,5.8
401,3000   ,1020720,2011JJ00,81.1,6.1
402,3000   ,1020720,2012JJ00,81.3,5.7
403,3000   ,1020720,2013JJ00,81.8,5.5
404,3000   ,1020720,2014JJ00,82.1,5.7
405,3000   ,1020720,2015JJ00,80.7,5.3
406,3000   ,1020720,2016JJ00,80.0,5.3
407,3000   ,1020720,2017JJ00,80.4,5.6
408,3000   ,1020730,2010JJ00,82.0,6.0
409,3000   ,1020730,2011JJ00,82.4,7.0
410,3000   ,1020730,2012JJ00,83.0,5.2
411,3000   ,1020730,2013JJ00,82.1,6.9
412,3000   ,1020730,2014JJ00,84.8,6.5
413,3000   ,1020730,2015JJ00,81.8,6.7
414,3000   ,1020730,2016JJ00,81.5,5.8
415,3000   ,1020730,2017JJ00,81.0,6.1
416,3000   ,1020740,2010JJ00,79.8,5.2
417,3000   ,1020740,2011JJ00,81.4,5.7
418,3000   ,1020740,2012JJ00,82.7,6.5
419,3000   ,1020740,2013JJ00,82.1,6.8
420,3000   ,1020740,2014JJ00,82.8,5.7
421,3000   ,1020740,2015JJ00,80.0,5.7
422,3000   ,1020740,2016JJ00,82.0,8.2
423,3000   ,1020740,2017JJ00,81.7,7.4
424,3000   ,1020750,2010JJ00,80.5,5.4
425,3000   ,1020750,2011JJ00,80.1,5.1
426,3000   ,1020750,2012JJ00,78.9,4.9
427,3000   ,1020750,2013JJ00,79.4,5.0
428,3000   ,1020750,2014JJ00,83.3,6.4
429,3000   ,1020750,2015JJ00,82.2,5.5
430,3000   ,1020750,2016JJ00,79.9,6.6
431,3000   ,1020750,2017JJ00,78.9,7.0
432,3000   ,20100  ,2010JJ00,79.7,6.8
433,3000   ,20100  ,2011JJ00,79.5,7.5
434,3000   ,20100  ,2012JJ00,79.2,7.2
435,3000   ,20100  ,2013JJ00,79.4,7.3
436,3000   ,20100  ,2014JJ00,80.0,6.9
437,3000   ,20100  ,2015JJ00,78.9,6.9
438,3000   ,20100  ,2016JJ00,78.4,7.1
439,3000   ,20100  ,2017JJ00,78.2,7.4
440,3000   ,80001  ,2010JJ00,83.1,2.1
441,3000   ,80001  ,2011JJ00,84.4,1.5
442,3000   ,80001  ,2012JJ00,84.0,1.6
