ID,Landen,BedrijfstakkenBranchesSBI2008,Perioden,BuitenlandseDochterondernemingen_1,WerkzamePersonenFTE_2,Omzet_3,Personeelskosten_4,Investeringen_5
183,T001047,391700 ,2021JJ00,250.0,20.0,4967.0,1854.0,217.0
184,T001047,391700 ,2022JJ00,264.0,20.0,5334.0,2104.0,280.0
185,T001047,391700 ,2023JJ00,218.0,21.0,5392.0,2140.0,298.0
186,T001047,800021 ,2021JJ00,48.0,,275.0,14.0,
187,T001047,800021 ,2022JJ00,69.0,1.0,211.0,23.0,3.0
188,T001047,800021 ,2023JJ00,38.0,,71.0,19.0,1.0
189,T001047,392600 ,2021JJ00,34.0,,173.0,13.0,
190,T001047,392600 ,2022JJ00,24.0,,51.0,15.0,
191,T001047,392600 ,2023JJ00,38.0,,71.0,19.0,1.0
192,T001047,393600 ,2021JJ00,14.0,,102.0,1.0,
193,T001047,393600 ,2022JJ00,45.0,,160.0,7.0,
194,T001047,393600 ,2023JJ00,,,,,
195,T001047,394100 ,2021JJ00,151.0,18.0,4567.0,440.0,1248.0
196,T001047,394100 ,2022JJ00,200.0,21.0,4743.0,604.0,1417.0
197,T001047,394100 ,2023JJ00,143.0,21.0,4697.0,577.0,999.0
198,T001047,395005 ,2021JJ00,1087.0,37.0,3970.0,1743.0,619.0
199,T001047,395005 ,2022JJ00,1295.0,41.0,5163.0,2451.0,688.0
200,T001047,395005 ,2023JJ00,1357.0,39.0,5385.0,2557.0,383.0
201,T001047,395000 ,2021JJ00,939.0,35.0,3691.0,1633.0,614.0
202,T001047,395000 ,2022JJ00,1134.0,39.0,4958.0,2353.0,672.0
203,T001047,395000 ,2023JJ00,1214.0,36.0,5216.0,2455.0,328.0
204,T001047,395600 ,2021JJ00,148.0,2.0,279.0,110.0,6.0
205,T001047,395600 ,2022JJ00,161.0,2.0,205.0,97.0,16.0
206,T001047,395600 ,2023JJ00,143.0,3.0,168.0,102.0,56.0
207,T001047,396300 ,2021JJ00,644.0,81.0,59026.0,6019.0,1745.0
208,T001047,396300 ,2022JJ00,825.0,83.0,66602.0,6463.0,1105.0
209,T001047,396300 ,2023JJ00,828.0,79.0,56330.0,6216.0,1460.0
210,T001047,396400 ,2021JJ00,248.0,48.0,18818.0,4022.0,1123.0
211,T001047,396400 ,2022JJ00,344.0,50.0,19220.0,4218.0,805.0
212,T001047,396400 ,2023JJ00,285.0,44.0,23018.0,3729.0,633.0
213,T001047,398700 ,2021JJ00,71.0,20.0,36065.0,1232.0,27.0
214,T001047,398700 ,2022JJ00,99.0,19.0,43050.0,1274.0,20.0
215,T001047,398700 ,2023JJ00,63.0,18.0,25893.0,1344.0,35.0
216,T001047,400200 ,2021JJ00,325.0,13.0,4142.0,765.0,595.0
217,T001047,400200 ,2022JJ00,383.0,14.0,4332.0,971.0,280.0
218,T001047,400200 ,2023JJ00,480.0,17.0,7419.0,1143.0,792.0
219,T001047,402000 ,2021JJ00,1113.0,4.0,3135.0,217.0,6636.0
220,T001047,402000 ,2022JJ00,1233.0,7.0,4288.0,295.0,4719.0
221,T001047,402000 ,2023JJ00,941.0,6.0,3735.0,268.0,2352.0
222,T001047,402100 ,2021JJ00,1113.0,4.0,3135.0,217.0,6636.0
223,T001047,402100 ,2022JJ00,1233.0,7.0,4288.0,295.0,4719.0
224,T001047,402100 ,2023JJ00,941.0,6.0,3735.0,268.0,2352.0
225,T001047,403300 ,2021JJ00,2182.0,110.0,20467.0,7807.0,1803.0
226,T001047,403300 ,2022JJ00,2544.0,133.0,26725.0,8985.0,1276.0
227,T001047,403300 ,2023JJ00,2528.0,124.0,27808.0,9368.0,2893.0
228,T001047,403400 ,2021JJ00,125.0,12.0,353.0,249.0,19.0
229,T001047,403400 ,2022JJ00,135.0,13.0,461.0,301.0,17.0
230,T001047,403400 ,2023JJ00,139.0,1.0,225.0,126.0,893.0
231,T001047,403405 ,2021JJ00,1779.0,92.0,17691.0,5989.0,1553.0
232,T001047,403405 ,2022JJ00,2097.0,109.0,23205.0,7086.0,1180.0
233,T001047,403405 ,2023JJ00,2052.0,101.0,25574.0,7647.0,2735.0
234,T001047,404900 ,2021JJ00,691.0,23.0,6477.0,1992.0,1406.0
235,T001047,404900 ,2022JJ00,897.0,32.0,8849.0,2814.0,906.0
236,T001047,404900 ,2023JJ00,1019.0,32.0,9269.0,2901.0,1688.0
237,T001047,405900 ,2021JJ00,964.0,56.0,10861.0,3748.0,127.0
238,T001047,405900 ,2022JJ00,1065.0,65.0,13896.0,3972.0,258.0
239,T001047,405900 ,2023JJ00,894.0,68.0,16079.0,4621.0,154.0
240,T001047,406800 ,2021JJ00,124.0,14.0,1861.0,1547.0,81.0
241,T001047,406800 ,2022JJ00,162.0,15.0,2116.0,1480.0,73.0
242,T001047,406800 ,2023JJ00,150.0,15.0,875.0,1447.0,141.0
243,T001047,408105 ,2021JJ00,278.0,5.0,914.0,271.0,169.0
244,T001047,408105 ,2022JJ00,285.0,8.0,1404.0,419.0,22.0
245,T001047,408105 ,2023JJ00,327.0,8.0,1360.0,274.0,18.0
246,T001047,408100 ,2021JJ00,203.0,2.0,798.0,225.0,166.0
247,T001047,408100 ,2022JJ00,210.0,5.0,1219.0,358.0,20.0
248,T001047,408100 ,2023JJ00,248.0,4.0,1123.0,210.0,15.0
249,T001047,408700 ,2021JJ00,70.0,2.0,106.0,43.0,
250,T001047,408700 ,2022JJ00,67.0,,,58.0,
251,T001047,408700 ,2023JJ00,77.0,4.0,,63.0,
252,T001047,409900 ,2021JJ00,5.0,,11.0,2.0,
253,T001047,409900 ,2022JJ00,8.0,,,3.0,
254,T001047,409900 ,2023JJ00,2.0,,,,
255,T001047,410200 ,2021JJ00,2152.0,257.0,58315.0,8651.0,10137.0
256,T001047,410200 ,2022JJ00,2079.0,262.0,61473.0,9794.0,10493.0
257,T001047,410200 ,2023JJ00,2277.0,267.0,59866.0,10299.0,11069.0
258,T001047,410300 ,2021JJ00,383.0,19.0,14050.0,1278.0,9011.0
259,T001047,410300 ,2022JJ00,315.0,18.0,14056.0,1261.0,8407.0
260,T001047,410300 ,2023JJ00,397.0,21.0,18602.0,1443.0,9881.0
261,T001047,800010 ,2021JJ00,1769.0,238.0,44264.0,7373.0,1127.0
262,T001047,800010 ,2022JJ00,1764.0,244.0,47417.0,8532.0,2085.0
263,T001047,800010 ,2023JJ00,1880.0,246.0,41264.0,8856.0,1188.0
264,T001047,412700 ,2021JJ00,638.0,68.0,27405.0,4254.0,78.0
265,T001047,412700 ,2022JJ00,623.0,66.0,28218.0,4536.0,59.0
266,T001047,412700 ,2023JJ00,612.0,63.0,26203.0,4459.0,43.0
267,T001047,413700 ,2021JJ00,135.0,15.0,731.0,528.0,5.0
268,T001047,413700 ,2022JJ00,115.0,16.0,1437.0,756.0,11.0
269,T001047,413700 ,2023JJ00,162.0,18.0,2181.0,916.0,425.0
270,T001047,414300 ,2021JJ00,25.0,7.0,266.0,239.0,2.0
271,T001047,414300 ,2022JJ00,52.0,7.0,355.0,291.0,2.0
272,T001047,414300 ,2023JJ00,55.0,10.0,403.0,345.0,1.0
273,T001047,415000 ,2021JJ00,86.0,24.0,1293.0,436.0,64.0
274,T001047,415000 ,2022JJ00,87.0,21.0,1137.0,576.0,883.0
275,T001047,415000 ,2023JJ00,94.0,20.0,1017.0,616.0,171.0
276,T001047,415900 ,2021JJ00,885.0,124.0,14570.0,1915.0,978.0
277,T001047,415900 ,2022JJ00,887.0,133.0,16270.0,2373.0,1131.0
278,T001047,415900 ,2023JJ00,957.0,135.0,11460.0,2520.0,548.0
279,T001047,419000 ,2021JJ00,80.0,2.0,135.0,52.0,3.0
280,T001047,419000 ,2022JJ00,63.0,2.0,190.0,73.0,7.0
281,T001047,419000 ,2023JJ00,86.0,2.0,198.0,64.0,16.0
282,T001047,419100 ,2021JJ00,80.0,2.0,135.0,52.0,3.0
283,T001047,419100 ,2022JJ00,63.0,2.0,190.0,73.0,7.0
284,T001047,419100 ,2023JJ00,86.0,2.0,198.0,64.0,16.0
285,T001047,422400 ,2021JJ00,162.0,6.0,880.0,303.0,
286,T001047,422400 ,2022JJ00,191.0,6.0,777.0,270.0,254.0
287,T001047,422400 ,2023JJ00,130.0,5.0,629.0,247.0,51.0
288,T001047,422500 ,2021JJ00,,,,,
289,T001047,422500 ,2022JJ00,182.0,6.0,775.0,269.0,254.0
290,T001047,422500 ,2023JJ00,122.0,5.0,628.0,247.0,51.0
291,T001047,425300 ,2021JJ00,,,,,
292,T001047,425300 ,2022JJ00,,,,,
293,T001047,425300 ,2023JJ00,,,,,
294,T001047,425305 ,2021JJ00,,,,,
295,T001047,425305 ,2022JJ00,,,,,
296,T001047,425305 ,2023JJ00,,,,,
297,T001047,426600 ,2021JJ00,,,,,
298,T001047,426600 ,2022JJ00,,,,,
299,T001047,426600 ,2023JJ00,,,,,
300,T001047,428100 ,2021JJ00,127.0,9.0,1263.0,242.0,235.0
301,T001047,428100 ,2022JJ00,190.0,9.0,2150.0,330.0,329.0
302,T001047,428100 ,2023JJ00,161.0,10.0,2033.0,264.0,400.0
303,T001047,428200 ,2021JJ00,32.0,1.0,,47.0,
304,T001047,428200 ,2022JJ00,22.0,2.0,,103.0,
305,T001047,428200 ,2023JJ00,1.0,,,,
306,T001047,429300 ,2021JJ00,,,,,
307,T001047,429300 ,2022JJ00,,,,,
308,T001047,429300 ,2023JJ00,,,,,
309,T001047,430600 ,2021JJ00,,,503.0,,4.0
310,T001047,430600 ,2022JJ00,,,850.0,68.0,23.0
311,T001047,430600 ,2023JJ00,,,1005.0,84.0,16.0
312,T001047,431100 ,2021JJ00,75.0,7.0,640.0,128.0,227.0
313,T001047,431100 ,2022JJ00,124.0,6.0,985.0,154.0,302.0
314,T001047,431100 ,2023JJ00,140.0,8.0,1027.0,180.0,384.0
315,T001047,435500 ,2021JJ00,29.0,,61.0,9.0,
316,T001047,435500 ,2022JJ00,31.0,,101.0,23.0,
317,T001047,435500 ,2023JJ00,57.0,1.0,133.0,31.0,
318,T001047,435600 ,2021JJ00,1.0,,2.0,,
319,T001047,435600 ,2022JJ00,14.0,,16.0,13.0,
320,T001047,435600 ,2023JJ00,14.0,,25.0,15.0,
321,T001047,437500 ,2021JJ00,,,,,
322,T001047,437500 ,2022JJ00,,,,,
323,T001047,437500 ,2023JJ00,10.0,,5.0,3.0,
324,T001047,438600 ,2021JJ00,28.0,,59.0,9.0,
325,T001047,438600 ,2022JJ00,17.0,,86.0,10.0,
326,T001047,438600 ,2023JJ00,33.0,,103.0,12.0,
327,T001047,441000 ,2021JJ00,,,,,
328,T001047,441000 ,2022JJ00,,,,,
