ID,BouwactiviteitenSBI93,Grootteklasse,Perioden,TotaalMateriaalverbruik_1,TBVBouwEnBouwinstallatieAct_2,TBVHandelsactiviteiten_3,TBVOverigeActiviteiten_4,MateriaalverbruikNietTeSpecificeren_5,TotaalBetalingen_6,Constructiewerkplaatsen_7,Loodgietersbedrijven_8,ElectrotechnischeInstallBedrijven_9,CentraleVerwarmingsbedrijven_10,TimmerSchilderGlaszettersBehangbedr_11,SteengaasMuurbewerkingsbedrijven_12,AndereOnderaannemers_13,OnderaannemersNietTeSpecificeren_14
199,4550,E,1999JJ00,,,,,,,,,,,,,,
200,B&U1,A,1996JJ00,5598.0,4566.0,35.0,23.0,974.0,6853.0,296.0,356.0,347.0,261.0,508.0,139.0,3132.0,1813.0
201,B&U1,A,1997JJ00,5975.0,4988.0,26.0,22.0,939.0,7156.0,382.0,401.0,392.0,308.0,520.0,188.0,3480.0,1485.0
202,B&U1,A,1998JJ00,6211.0,5253.0,29.0,33.0,896.0,7552.0,401.0,437.0,446.0,368.0,574.0,219.0,3798.0,1311.0
203,B&U1,A,1999JJ00,6979.0,5914.0,36.0,58.0,971.0,8150.0,428.0,442.0,436.0,362.0,537.0,227.0,4971.0,748.0
204,B&U1,B,1996JJ00,974.0,,,,974.0,763.0,,,,,,,,763.0
205,B&U1,B,1997JJ00,939.0,,,,939.0,764.0,,,,,,,,764.0
206,B&U1,B,1998JJ00,896.0,,,,896.0,698.0,,,,,,,,698.0
207,B&U1,B,1999JJ00,971.0,,,,971.0,611.0,,,,,,,,611.0
208,B&U1,H,1996JJ00,4624.0,,,,0.0,6090.0,,,,,,,,1050.0
209,B&U1,H,1997JJ00,5036.0,,,,0.0,6392.0,,,,,,,,721.0
210,B&U1,H,1998JJ00,5315.0,,,,0.0,6854.0,,,,,,,,613.0
211,B&U1,H,1999JJ00,6008.0,,,,0.0,7539.0,,,,,,,,137.0
212,B&U1,D,1996JJ00,2560.0,2515.0,34.0,10.0,0.0,3087.0,161.0,198.0,171.0,114.0,259.0,74.0,1910.0,199.0
213,B&U1,D,1997JJ00,2757.0,2723.0,25.0,8.0,0.0,3264.0,182.0,234.0,215.0,144.0,261.0,91.0,2055.0,82.0
214,B&U1,D,1998JJ00,2885.0,2848.0,29.0,8.0,0.0,3350.0,177.0,247.0,249.0,184.0,287.0,114.0,2081.0,10.0
215,B&U1,D,1999JJ00,3191.0,3146.0,35.0,9.0,0.0,3640.0,212.0,248.0,239.0,187.0,306.0,123.0,2320.0,4.0
216,B&U1,E,1996JJ00,2064.0,2051.0,1.0,12.0,0.0,3004.0,135.0,159.0,176.0,147.0,250.0,65.0,1222.0,852.0
217,B&U1,E,1997JJ00,2280.0,2266.0,0.0,13.0,0.0,3129.0,200.0,167.0,177.0,165.0,259.0,97.0,1425.0,639.0
218,B&U1,E,1998JJ00,2431.0,2405.0,0.0,25.0,0.0,3504.0,223.0,190.0,197.0,183.0,286.0,104.0,1717.0,603.0
219,B&U1,E,1999JJ00,2818.0,2768.0,1.0,49.0,0.0,3900.0,216.0,194.0,197.0,174.0,231.0,103.0,2651.0,133.0
220,GWW1,A,1996JJ00,1803.0,1578.0,24.0,20.0,182.0,1880.0,25.0,6.0,21.0,0.0,3.0,1.0,1629.0,195.0
221,GWW1,A,1997JJ00,1890.0,1698.0,27.0,7.0,158.0,1931.0,14.0,1.0,11.0,0.0,2.0,0.0,1778.0,123.0
222,GWW1,A,1998JJ00,2043.0,1873.0,31.0,8.0,131.0,2109.0,28.0,3.0,10.0,1.0,10.0,0.0,1959.0,98.0
223,GWW1,A,1999JJ00,2386.0,2195.0,39.0,10.0,142.0,2516.0,44.0,7.0,12.0,2.0,18.0,0.0,2322.0,110.0
224,GWW1,B,1996JJ00,182.0,,,,182.0,167.0,,,,,,,,167.0
225,GWW1,B,1997JJ00,158.0,,,,158.0,118.0,,,,,,,,118.0
226,GWW1,B,1998JJ00,131.0,,,,131.0,98.0,,,,,,,,98.0
227,GWW1,B,1999JJ00,142.0,,,,142.0,110.0,,,,,,,,110.0
228,GWW1,H,1996JJ00,1621.0,,,,0.0,1713.0,,,,,,,,28.0
229,GWW1,H,1997JJ00,1732.0,,,,0.0,1813.0,,,,,,,,5.0
230,GWW1,H,1998JJ00,1912.0,,,,0.0,2011.0,,,,,,,,0.0
231,GWW1,H,1999JJ00,2244.0,,,,0.0,2406.0,,,,,,,,0.0
232,GWW1,D,1996JJ00,582.0,559.0,17.0,7.0,0.0,553.0,6.0,0.0,9.0,0.0,1.0,0.0,530.0,6.0
233,GWW1,D,1997JJ00,588.0,561.0,20.0,6.0,0.0,584.0,8.0,0.0,9.0,0.0,1.0,0.0,561.0,5.0
234,GWW1,D,1998JJ00,584.0,553.0,23.0,7.0,0.0,667.0,6.0,0.0,5.0,0.0,0.0,0.0,654.0,0.0
235,GWW1,D,1999JJ00,692.0,650.0,32.0,10.0,0.0,780.0,7.0,1.0,1.0,0.0,0.0,0.0,769.0,0.0
236,GWW1,E,1996JJ00,1039.0,1020.0,7.0,12.0,0.0,1160.0,19.0,6.0,12.0,0.0,2.0,0.0,1100.0,19.0
237,GWW1,E,1997JJ00,1144.0,1136.0,6.0,1.0,0.0,1229.0,6.0,0.0,3.0,0.0,2.0,0.0,1217.0,21.0
238,GWW1,E,1998JJ00,1328.0,1320.0,8.0,1.0,0.0,1344.0,21.0,2.0,5.0,1.0,9.0,0.0,1305.0,0.0
239,GWW1,E,1999JJ00,1552.0,1545.0,7.0,0.0,0.0,1626.0,37.0,6.0,10.0,2.0,17.0,0.0,1553.0,0.0
