ID,Landen,Perioden,GebruikskostenVanKantoorruimte_1
211,IE,2007MM11,1223.0
212,IE,2008MM05,1363.0
213,IE,2008MM11,1169.0
214,IE,2009MM05,1007.0
215,IE,2009MM11,875.0
216,IE,2010MM05,721.0
217,IE,2010MM11,714.0
218,IE,2012MM04,580.0
219,IE,2013MM04,570.0
220,IT,2001MM01,390.0
221,IT,2001MM07,407.0
222,IT,2002MM01,422.0
223,IT,2002MM07,519.0
224,IT,2003MM01,557.0
225,IT,2003MM08,552.0
226,IT,2004MM01,735.0
227,IT,2004MM08,653.0
228,IT,2005MM01,685.0
229,IT,2005MM08,656.0
230,IT,2006MM05,645.0
231,IT,2006MM11,689.0
232,IT,2007MM05,733.0
233,IT,2007MM11,785.0
234,IT,2008MM05,919.0
235,IT,2008MM11,923.0
236,IT,2009MM05,871.0
237,IT,2009MM11,909.0
238,IT,2010MM05,839.0
239,IT,2010MM11,846.0
240,IT,2012MM04,827.0
241,IT,2013MM04,768.0
242,JP,2001MM01,1583.0
243,JP,2001MM07,1336.0
244,JP,2002MM01,1317.0
245,JP,2002MM07,1465.0
246,JP,2003MM01,1271.0
247,JP,2003MM08,1229.0
248,JP,2004MM01,1271.0
249,JP,2004MM08,1251.0
250,JP,2005MM01,1339.0
251,JP,2005MM08,1411.0
252,JP,2006MM05,1400.0
253,JP,2006MM11,1568.0
254,JP,2007MM05,1745.0
255,JP,2007MM11,1922.0
256,JP,2008MM05,2371.0
257,JP,2008MM11,1983.0
258,JP,2009MM05,1977.0
259,JP,2009MM11,1848.0
260,JP,2010MM05,1550.0
261,JP,2010MM11,1702.0
262,JP,2012MM04,2007.0
263,JP,2013MM04,1735.0
264,NL,2001MM01,363.0
265,NL,2001MM07,359.0
266,NL,2002MM01,372.0
267,NL,2002MM07,383.0
268,NL,2003MM01,417.0
269,NL,2003MM08,442.0
270,NL,2004MM01,472.0
271,NL,2004MM08,453.0
272,NL,2005MM01,481.0
273,NL,2005MM08,438.0
274,NL,2006MM05,442.0
275,NL,2006MM11,499.0
276,NL,2007MM05,525.0
277,NL,2007MM11,561.0
278,NL,2008MM05,624.0
279,NL,2008MM11,566.0
280,NL,2009MM05,531.0
281,NL,2009MM11,586.0
282,NL,2010MM05,542.0
283,NL,2010MM11,546.0
284,NL,2012MM04,547.0
285,NL,2013MM04,529.0
286,AT,2001MM01,291.0
287,AT,2001MM07,250.0
288,AT,2002MM01,259.0
289,AT,2002MM07,297.0
290,AT,2003MM01,319.0
291,AT,2003MM08,341.0
292,AT,2004MM01,374.0
293,AT,2004MM08,360.0
294,AT,2005MM01,397.0
295,AT,2005MM08,361.0
296,AT,2006MM05,361.0
297,AT,2006MM11,379.0
298,AT,2007MM05,407.0
299,AT,2007MM11,450.0
300,AT,2008MM05,520.0
301,AT,2008MM11,488.0
302,AT,2009MM05,452.0
