ID,Perioden,AmerikaanseDollar_1,AustralischeDollar_2,BritsePondSterling_3,CanadeseDollar_4,DeenseKroon_5,HongaarseForint_6,HongKongDollar_7,JapanseYen_8,NieuwZeelandseDollar_9,NoorseKroon_10,PoolseZloty_11,SloveenseTolar_12,TsjechischeKroon_13,ZuidAfrikaanseRand_14,ZweedseKroon_15,ZwitserseFrank_16
203,1995MM09,1.29,1.71,0.83,1.74,7.31,172.27,9.98,129.42,1.96,8.25,3.17,155.36,34.66,4.72,9.2,1.53
204,1995MM10,1.32,1.75,0.84,1.78,7.26,177.02,10.22,133.18,2.01,8.25,3.23,157.29,34.78,4.83,9.03,1.51
205,1995MM11,1.32,1.78,0.85,1.79,7.27,179.69,10.23,134.83,2.03,8.27,3.27,160.46,34.85,4.83,8.73,1.51
206,1995MM12,1.3,1.76,0.85,1.79,7.28,181.28,10.1,132.76,2.01,8.29,3.27,163.78,34.77,4.78,8.65,1.52
207,1995JJ00,1.31,1.77,0.83,1.8,7.33,164.58,10.12,122.9,1.99,8.29,,,,4.75,9.33,1.55
208,1996MM01,1.29,1.74,0.84,1.77,7.3,183.3,9.99,136.45,1.95,8.29,3.24,167.18,34.88,4.7,8.69,1.52
209,1996MM02,1.29,1.71,0.84,1.77,7.31,186.07,9.96,136.09,1.91,8.25,3.28,169.95,34.87,4.84,8.87,1.54
210,1996MM03,1.28,1.66,0.84,1.75,7.31,187.12,9.91,135.67,1.88,8.24,3.3,171.25,34.94,5.03,8.63,1.53
211,1996MM04,1.26,1.61,0.83,1.72,7.34,188.1,9.77,135.52,1.85,8.21,3.31,172.05,34.8,5.33,8.49,1.54
212,1996MM05,1.25,1.56,0.82,1.71,7.38,189.39,9.65,132.57,1.82,8.2,3.33,172.27,34.55,5.46,8.48,1.56
213,1996MM06,1.25,1.58,0.81,1.71,7.38,191.43,9.7,136.39,1.85,8.19,3.4,172.15,34.81,5.45,8.37,1.58
214,1996MM07,1.27,1.61,0.82,1.74,7.37,194.58,9.84,138.79,1.84,8.2,3.45,171.33,34.39,5.58,8.44,1.57
215,1996MM08,1.28,1.64,0.83,1.76,7.35,197.35,9.92,138.42,1.86,8.23,3.5,169.53,34.0,5.8,8.5,1.54
216,1996MM09,1.27,1.6,0.81,1.74,7.36,198.82,9.81,139.43,1.82,8.2,3.53,170.48,33.73,5.71,8.43,1.56
217,1996MM10,1.26,1.59,0.79,1.7,7.37,200.15,9.73,141.4,1.8,8.16,3.55,173.53,34.09,5.76,8.31,1.58
218,1996MM11,1.28,1.6,0.77,1.71,7.41,203.55,9.87,143.35,1.8,8.12,3.6,175.46,34.28,5.94,8.46,1.63
219,1996MM12,1.25,1.57,0.75,1.7,7.43,204.8,9.68,142.37,1.77,8.09,3.57,176.55,34.2,5.86,8.53,1.66
220,1996JJ00,1.27,1.62,0.81,1.73,7.36,193.72,9.82,138.04,1.85,8.2,,,,5.46,8.52,1.57
221,1997MM01,1.22,1.56,0.73,1.64,7.44,201.94,9.41,143.26,1.73,7.84,3.56,177.06,33.48,5.65,8.58,1.69
222,1997MM02,1.17,1.52,0.72,1.58,7.45,202.03,9.04,143.31,1.69,7.73,3.53,177.47,32.9,5.19,8.63,1.69
223,1997MM03,1.15,1.46,0.72,1.58,7.44,203.34,8.91,140.93,1.65,7.83,3.54,178.17,33.58,5.1,8.81,1.68
224,1997MM04,1.15,1.47,0.7,1.6,7.46,205.81,8.87,143.75,1.65,7.99,3.57,178.5,34.28,5.09,8.79,1.67
225,1997MM05,1.15,1.49,0.7,1.59,7.45,208.53,8.9,136.3,1.66,8.12,3.65,178.47,35.77,5.14,8.82,1.64
226,1997MM06,1.14,1.51,0.69,1.57,7.48,210.32,8.8,129.9,1.65,8.2,3.68,178.12,36.8,5.11,8.81,1.64
227,1997MM07,1.11,1.49,0.66,1.52,7.54,211.98,8.55,127.2,1.67,8.22,3.75,179.83,37.15,5.04,8.63,1.64
228,1997MM08,1.07,1.45,0.67,1.49,7.52,212.25,8.3,126.46,1.67,8.18,3.74,181.71,36.7,5.03,8.57,1.62
229,1997MM09,1.1,1.52,0.69,1.53,7.49,215.52,8.51,132.79,1.73,8.05,3.8,183.78,36.96,5.16,8.47,1.62
230,1997MM10,1.12,1.55,0.69,1.55,7.49,219.42,8.67,135.51,1.76,7.93,3.83,185.4,36.93,5.28,8.48,1.63
231,1997MM11,1.14,1.64,0.68,1.61,7.51,223.51,8.81,142.62,1.83,8.04,3.99,186.49,37.83,5.51,8.62,1.6
232,1997MM12,1.11,1.68,0.67,1.59,7.53,224.03,8.6,143.94,1.88,8.06,3.91,186.45,38.59,5.41,8.66,1.6
233,1997JJ00,1.13,1.53,0.69,1.57,7.48,211.56,8.78,137.16,1.71,8.02,,,,5.23,8.66,1.64
234,1998MM01,1.09,1.66,0.67,1.57,7.53,224.2,8.42,140.85,1.88,8.16,3.84,186.28,38.5,5.38,8.72,1.6
235,1998MM02,1.09,1.62,0.66,1.56,7.53,226.16,8.43,136.81,1.87,8.23,3.85,186.52,40.82,5.37,8.8,1.59
236,1998MM03,1.08,1.62,0.65,1.54,7.55,228.3,8.4,139.87,1.89,8.22,3.75,186.74,37.0,5.39,8.64,1.61
237,1998MM04,1.09,1.67,0.65,1.56,7.55,230.8,8.46,144.15,1.97,8.22,3.73,186.11,36.79,5.51,8.53,1.64
238,1998MM05,1.11,1.76,0.68,1.6,7.5,233.69,8.6,149.67,2.06,8.26,3.79,184.1,36.09,5.65,8.54,1.64
239,1998MM06,1.1,1.82,0.67,1.61,7.52,237.77,8.54,154.35,2.15,8.34,3.83,184.54,36.66,5.93,8.71,1.65
240,1998MM07,1.1,1.78,0.67,1.63,7.52,238.94,8.51,154.35,2.12,8.37,3.8,185.6,34.98,6.85,8.77,1.66
241,1998MM08,1.1,1.87,0.68,1.69,7.5,244.21,8.54,159.37,2.2,8.51,3.94,185.91,35.52,6.97,8.96,1.65
242,1998MM09,1.15,1.96,0.69,1.76,7.48,254.39,8.95,155.32,2.29,8.74,4.15,186.0,35.33,7.05,9.12,1.62
243,1998MM10,1.19,1.93,0.71,1.84,7.44,257.56,9.25,144.17,2.28,8.88,4.17,185.03,34.83,6.92,9.37,1.6
244,1998MM11,1.16,1.83,0.7,1.79,7.44,253.44,9.01,140.12,2.18,8.68,4.02,186.42,34.65,6.59,9.31,1.61
245,1998MM12,1.17,1.89,0.7,1.81,7.45,254.24,9.08,137.36,2.24,8.91,4.09,188.05,35.15,6.92,9.45,1.59
246,1998JJ00,1.12,1.78,0.68,1.66,7.5,240.31,8.68,146.37,2.09,8.46,,,,6.21,8.91,1.62
247,1999MM01,1.16,1.84,0.7,1.75,7.44,250.79,9.08,131.34,2.16,8.65,4.11,189.07,35.74,6.68,9.08,1.61
248,1999MM02,1.12,1.75,0.69,1.67,7.43,250.3,8.48,130.74,2.06,8.65,4.25,190.24,37.8,6.89,8.9,1.6
249,1999MM03,1.09,1.73,0.67,1.64,7.43,253.65,8.46,130.17,2.05,8.5,4.3,190.45,37.99,6.68,8.94,1.6
250,1999MM04,1.07,1.67,0.67,1.59,7.43,252.37,8.3,127.99,1.97,8.32,4.28,192.05,37.98,6.68,8.9,1.6
251,1999MM05,1.06,1.61,0.66,1.56,7.43,250.21,8.24,130.09,1.92,8.24,4.18,193.77,37.69,6.68,8.97,1.6
252,1999MM06,1.04,1.56,0.65,1.49,7.43,249.35,8.0,124.12,1.94,8.08,4.09,195.48,37.09,6.3,8.72,1.6
253,1999MM07,1.03,1.57,0.66,1.54,7.44,250.43,8.03,123.75,1.97,8.18,4.02,196.89,36.5,6.3,8.74,1.6
254,1999MM08,1.06,1.65,0.66,1.59,7.44,253.52,8.24,120.05,2.02,8.27,4.2,196.99,36.41,6.68,8.75,1.6
255,1999MM09,1.05,1.62,0.64,1.56,7.43,255.28,8.16,112.29,2.01,8.22,4.29,196.35,36.31,6.3,8.61,1.6
256,1999MM10,1.07,1.64,0.64,1.59,7.43,257.63,8.32,113.49,2.08,8.28,4.4,196.77,36.62,6.68,8.73,1.59
257,1999MM11,1.03,1.62,0.64,1.52,7.43,254.97,8.04,108.2,2.02,8.19,4.4,196.82,36.37,6.3,8.64,1.61
258,1999MM12,1.01,1.58,0.62,1.49,7.44,254.37,7.86,103.64,1.99,8.1,4.22,198.2,36.05,6.3,8.58,1.6
259,1999JJ00,1.07,1.65,0.66,1.58,7.44,252.77,8.27,121.32,2.01,8.31,4.23,194.46,36.88,6.52,8.81,1.6
260,2000MM01,1.02,1.54,0.62,1.47,7.44,254.91,7.87,106.51,1.97,8.12,4.16,199.82,36.04,6.12,8.59,1.61
261,2000MM02,0.98,1.56,0.61,1.43,7.44,256.13,7.65,107.6,2.01,8.1,4.08,201.24,35.68,6.3,8.51,1.61
262,2000MM03,0.96,1.56,0.61,1.4,7.45,257.03,7.5,102.55,1.97,8.11,3.95,202.71,35.63,6.3,8.39,1.6
263,2000MM04,0.95,1.59,0.6,1.39,7.45,258.33,7.38,99.9,1.91,8.16,4.01,203.91,36.32,6.3,8.27,1.57
264,2000MM05,0.91,1.57,0.6,1.35,7.46,259.01,7.07,98.05,1.93,8.19,4.07,204.9,36.54,6.3,8.24,1.56
265,2000MM06,0.95,1.59,0.63,1.4,7.46,259.43,7.41,100.75,2.02,8.24,4.18,206.86,35.97,6.48,8.32,1.56
266,2000MM07,0.94,1.6,0.62,1.39,7.46,260.22,7.33,101.38,2.04,8.18,4.05,207.86,35.61,6.48,8.41,1.55
267,2000MM08,0.9,1.56,0.61,1.34,7.46,260.87,7.05,97.84,2.03,8.09,3.94,208.54,35.36,6.3,8.39,1.55
268,2000MM09,0.87,1.57,0.61,1.29,7.46,262.34,6.7,93.46,2.09,8.03,3.9,209.17,35.44,6.3,8.41,1.53
269,2000MM10,0.85,1.62,0.59,1.3,7.45,262.88,6.67,92.78,2.14,8.0,3.97,209.98,35.24,6.48,8.51,1.51
270,2000MM11,0.86,1.64,0.6,1.32,7.46,264.09,6.68,93.21,2.14,8.0,3.9,211.4,34.61,6.68,8.63,1.52
271,2000MM12,0.9,1.64,0.61,1.37,7.46,264.95,7.0,100.62,2.09,8.13,3.87,213.01,34.82,6.89,8.66,1.51
272,2000JJ00,0.92,1.59,0.61,1.37,7.45,260.04,7.2,99.47,2.03,8.11,4.01,206.61,35.6,6.39,8.45,1.56
273,2001MM01,0.94,1.69,0.64,1.41,7.47,265.0,7.32,109.57,2.11,8.24,3.86,214.4,35.1,7.35,8.91,1.53
274,2001MM02,0.92,1.72,0.63,1.4,7.46,265.69,7.19,107.08,2.12,8.21,3.77,215.55,4.65,7.11,8.98,1.54
275,2001MM03,0.91,1.81,0.63,1.42,7.47,266.47,7.1,110.37,2.17,8.16,3.69,216.05,34.59,7.11,9.13,1.54
276,2001MM04,0.89,1.79,0.62,1.39,7.46,266.97,6.96,110.4,2.2,8.12,3.6,216.37,34.56,7.11,9.11,1.53
277,2001MM05,0.87,1.68,0.61,1.35,7.46,258.76,6.82,106.63,2.08,8.0,3.49,217.31,34.38,6.89,9.06,1.53
278,2001MM06,0.85,1.65,0.61,1.3,7.45,246.97,6.65,104.42,2.06,7.93,3.39,217.93,33.95,6.89,9.21,1.52
279,2001MM07,0.86,1.69,0.61,1.31,7.44,248.94,6.71,107.12,2.11,7.97,3.62,218.8,33.87,7.11,9.27,1.51
280,2001MM08,0.9,1.72,0.63,1.39,7.44,251.02,7.02,109.34,2.09,8.05,3.82,219.51,34.05,7.6,9.31,1.51
281,2001MM09,0.91,1.8,0.62,1.42,7.44,255.94,7.06,108.22,2.18,8.0,3.85,219.83,34.16,7.87,9.67,1.49
282,2001MM10,0.91,1.8,0.62,1.42,7.44,255.24,7.07,109.86,2.18,8.0,3.75,220.21,33.55,8.41,9.59,1.48
283,2001MM11,0.89,1.72,0.62,1.42,7.45,251.54,6.93,108.74,2.14,7.93,3.64,220.18,33.3,8.65,9.42,1.47
284,2001MM12,0.89,1.73,0.62,1.41,7.44,247.31,6.96,113.38,2.15,7.99,3.59,219.46,32.53,10.23,9.43,1.48
285,2001JJ00,0.9,1.73,0.62,1.39,7.45,256.59,6.99,108.68,2.13,8.05,3.67,217.98,34.07,7.69,9.26,1.51
286,2002MM01,0.88,1.71,0.62,1.41,7.43,243.83,6.89,117.13,2.08,7.92,3.59,219.68,32.05,10.25,9.23,1.47
287,2002MM02,0.87,1.7,0.61,1.39,7.43,243.53,6.79,116.38,2.08,7.79,3.64,222.7,31.81,10.01,9.19,1.48
288,2002MM03,0.88,1.67,0.62,1.39,7.43,244.87,6.83,114.74,2.03,7.72,3.62,223.54,31.44,10.13,9.06,1.47
289,2002MM04,0.89,1.65,0.61,1.4,7.43,242.26,6.91,115.77,2.0,7.62,3.59,224.37,30.32,9.81,9.13,1.47
290,2002MM05,0.92,1.67,0.63,1.42,7.44,243.87,7.15,115.79,2.01,7.52,3.71,225.21,30.56,9.29,9.22,1.46
291,2002MM06,0.95,1.68,0.64,1.46,7.43,242.75,7.45,117.71,1.95,7.41,3.85,225.99,30.31,9.72,9.11,1.47
292,2002MM07,0.99,1.79,0.64,1.53,7.43,246.65,7.74,117.14,2.06,7.41,4.09,226.56,29.72,10.0,9.27,1.46
293,2002MM08,0.98,1.8,0.64,1.53,7.43,245.3,7.63,116.31,2.11,7.43,4.08,227.21,30.8,10.36,9.25,1.46
294,2002MM09,0.98,1.79,0.63,1.54,7.43,243.93,7.65,118.38,2.08,7.36,4.07,228.04,30.19,10.4,9.17,1.46
295,2002MM10,0.98,1.78,0.63,1.55,7.43,243.53,7.65,121.54,2.04,7.34,4.04,228.73,30.66,10.11,9.11,1.46
296,2002MM11,1.0,1.78,0.64,1.57,7.43,238.28,7.81,121.65,2.02,7.32,3.96,229.46,30.75,9.66,9.08,1.47
297,2002MM12,1.02,1.81,0.64,1.59,7.43,236.07,7.94,124.22,1.99,7.28,3.98,230.02,31.19,9.15,9.1,1.47
298,2002JJ00,0.95,1.74,0.63,1.48,7.43,242.98,7.37,118.06,2.04,7.51,3.86,225.97,30.8,9.91,9.16,1.47
299,2003MM01,1.06,1.82,0.66,1.64,7.43,240.39,8.28,126.12,1.96,7.33,4.07,230.71,31.49,9.23,9.17,1.46
300,2003MM02,1.08,1.81,0.67,1.63,7.43,245.12,8.4,128.6,1.95,7.54,4.17,231.37,31.64,8.93,9.15,1.47
301,2003MM03,1.08,1.79,0.68,1.59,7.43,245.59,8.43,128.15,1.95,7.84,4.34,231.77,31.75,8.7,9.23,1.47
302,2003MM04,1.08,1.78,0.69,1.59,7.43,245.59,8.46,130.12,1.97,7.83,4.3,232.31,31.62,8.32,9.15,1.5
303,2003MM05,1.16,1.79,0.71,1.6,7.42,245.79,9.03,135.83,2.01,7.87,4.33,232.99,31.39,8.91,9.16,1.52
304,2003MM06,1.17,1.76,0.7,1.58,7.42,261.21,9.1,138.05,2.01,8.16,4.43,233.64,31.43,9.24,9.13,1.54
305,2003MM07,1.14,1.72,0.7,1.57,7.44,263.73,8.87,134.99,1.94,8.29,4.44,234.42,31.84,8.58,9.18,1.55
306,2003MM08,1.11,1.71,0.7,1.56,7.43,259.56,8.69,132.38,1.91,8.26,4.37,235.0,32.29,8.24,9.24,1.54
307,2003MM09,1.12,1.7,0.7,1.53,7.43,255.46,8.74,128.94,1.92,8.2,4.46,224.73,32.35,8.21,9.07,1.55
308,2003MM10,1.17,1.69,0.7,1.55,7.43,255.64,9.05,128.12,1.94,8.22,4.6,235.67,31.99,8.15,9.1,1.55
309,2003MM11,1.17,1.63,0.69,1.54,7.44,259.31,9.06,127.85,1.86,8.2,4.62,236.14,31.97,7.88,8.99,1.56
310,2003MM12,1.23,1.66,0.7,1.61,7.44,264.74,9.54,132.42,1.9,8.24,4.66,236.67,32.32,7.99,9.02,1.55
