ID,LandbouwgoederenEnDiensten,Perioden,OutputAfProducentwaarde_1,OutputBasisprijzen_2,OutputAfProducentwaarde_3,OutputBasisprijzen_4,OutputAfProducentwaarde_5,OutputBasisprijzen_6,OutputAfProducentwaarde_7,OutputBasisprijzen_8
674,4190  ,2002JJ00,1727.0,1727.0,1771.0,1771.0,2.0,2.0,97.5,97.5
675,4190  ,2003JJ00,1846.0,1846.0,1813.0,1813.0,2.4,2.4,101.8,101.8
676,4190  ,2004JJ00,1579.0,1579.0,1817.0,1817.0,0.2,0.2,86.9,86.9
677,4190  ,2005JJ00,1524.0,1524.0,1870.0,1870.0,2.9,2.9,81.5,81.5
678,4190  ,2006JJ00,1781.0,1781.0,1800.0,1800.0,-3.7,-3.7,98.9,98.9
679,4190  ,2007JJ00,1825.0,1825.0,1891.0,1891.0,5.1,5.1,96.5,96.5
680,4190  ,2008JJ00,1731.0,1731.0,1945.0,1945.0,2.8,2.8,89.0,89.0
681,4190  ,2009JJ00,1510.0,1510.0,1993.0,1993.0,2.5,2.5,75.8,75.8
682,4190  ,2010JJ00,1905.0,1905.0,1905.0,1905.0,-4.4,-4.4,100.0,100.0
683,4190  ,2011JJ00,1621.0,1621.0,1927.0,1927.0,1.1,1.1,84.2,84.2
684,4190  ,2012JJ00,1626.0,1626.0,1910.0,1910.0,-0.9,-0.9,85.1,85.1
685,4190  ,2013JJ00,1967.0,1967.0,1916.0,1916.0,0.3,0.3,102.7,102.7
686,4190  ,2014JJ00,1656.0,1656.0,1971.0,1971.0,2.9,2.9,84.0,84.0
687,4190  ,2015JJ00,2088.0,2088.0,1990.0,1990.0,0.9,0.9,104.9,104.9
688,4190  ,2016JJ00,1871.0,1871.0,1902.0,1902.0,-4.4,-4.4,98.4,98.4
689,4190  ,2017JJ00,,,,,,,,
690,4200  ,1995JJ00,3978.0,3998.0,5664.0,5684.0,,,70.2,70.3
691,4200  ,1996JJ00,4165.0,4183.0,5772.0,5790.0,1.9,1.9,72.2,72.2
692,4200  ,1997JJ00,4441.0,4460.0,5990.0,6011.0,3.8,3.8,74.1,74.2
693,4200  ,1998JJ00,4632.0,4655.0,5985.0,6011.0,-0.1,0.0,77.4,77.4
694,4200  ,1999JJ00,4660.0,4680.0,6290.0,6317.0,5.1,5.1,74.1,74.1
695,4200  ,2000JJ00,4983.0,4998.0,6373.0,6393.0,1.3,1.2,78.2,78.2
696,4200  ,2001JJ00,5057.0,5075.0,6151.0,6170.0,-3.5,-3.5,82.2,82.3
697,4200  ,2002JJ00,5289.0,5304.0,6069.0,6085.0,-1.3,-1.4,87.1,87.2
698,4200  ,2003JJ00,5410.0,5431.0,6183.0,6205.0,1.9,2.0,87.5,87.5
699,4200  ,2004JJ00,5329.0,5347.0,6391.0,6410.0,3.4,3.3,83.4,83.4
700,4200  ,2005JJ00,5514.0,5531.0,6247.0,6265.0,-2.2,-2.3,88.3,88.3
701,4200  ,2006JJ00,5754.0,5770.0,6243.0,6259.0,-0.1,-0.1,92.2,92.2
702,4200  ,2007JJ00,6186.0,6208.0,6245.0,6268.0,0.0,0.1,99.1,99.1
703,4200  ,2008JJ00,6065.0,6083.0,6285.0,6303.0,0.7,0.6,96.5,96.5
704,4200  ,2009JJ00,5881.0,5903.0,6207.0,6229.0,-1.3,-1.2,94.8,94.8
705,4200  ,2010JJ00,6265.0,6284.0,6265.0,6284.0,0.9,0.9,100.0,100.0
706,4200  ,2011JJ00,6196.0,6215.0,6138.0,6157.0,-2.0,-2.0,100.9,100.9
707,4200  ,2012JJ00,6175.0,6193.0,6074.0,6093.0,-1.0,-1.0,101.7,101.7
708,4200  ,2013JJ00,6402.0,6421.0,6041.0,6060.0,-0.5,-0.5,106.0,105.9
709,4200  ,2014JJ00,6487.0,6506.0,6102.0,6121.0,1.0,1.0,106.3,106.3
710,4200  ,2015JJ00,6559.0,6578.0,6094.0,6113.0,-0.1,-0.1,107.6,107.6
711,4200  ,2016JJ00,6781.0,6801.0,6130.0,6149.0,0.6,0.6,110.6,110.6
712,4200  ,2017JJ00,7099.0,7118.0,6122.0,6141.0,-0.1,-0.1,116.0,115.9
713,4210  ,1995JJ00,2162.0,2162.0,3298.0,3298.0,,,65.6,65.6
714,4210  ,1996JJ00,2312.0,2312.0,3356.0,3356.0,1.8,1.8,68.9,68.9
715,4210  ,1997JJ00,2444.0,2444.0,3443.0,3443.0,2.6,2.6,71.0,71.0
716,4210  ,1998JJ00,2550.0,2550.0,3479.0,3479.0,1.0,1.0,73.3,73.3
717,4210  ,1999JJ00,2568.0,2568.0,3679.0,3679.0,5.7,5.7,69.8,69.8
718,4210  ,2000JJ00,2630.0,2630.0,3703.0,3703.0,0.7,0.7,71.0,71.0
719,4210  ,2001JJ00,2759.0,2759.0,3641.0,3641.0,-1.7,-1.7,75.8,75.8
720,4210  ,2002JJ00,2914.0,2914.0,3555.0,3555.0,-2.4,-2.4,82.0,82.0
721,4210  ,2003JJ00,3031.0,3031.0,3591.0,3591.0,1.0,1.0,84.4,84.4
