ID,Warmtepompen,Sector,Perioden,InGebruikGenomenWarmtepompen_1,UitGebruikGenomenWarmtepompen_2,OpgesteldeWarmtepompenEindeVanJaar_3,InGebruikGenomenThermischVermogen_4,UitGebruikGenomenThermischVermogen_5,OpgesteldThermischVermogenEindeJaar_6,BrutoWarmteproductieWarmtepompen_7,VerbruikVanElektriciteitEnAardgas_8,OnttrekkingWarmteUitBodemOfLucht_9,VermedenVerbruikVanFossieleEnergie_10,VermedenEmissieKooldioxideCO2_11
135,A043945 ,E007037 ,2017JJ00,4468.0,517.0,45035.0,39.0,5.0,418.0,1656.0,416.0,1240.0,814.0,31.0
136,A043945 ,E007037 ,2018JJ00,6078.0,753.0,50360.0,50.0,8.0,461.0,1824.0,458.0,1366.0,915.0,38.0
137,A043945 ,E007037 ,2019JJ00,11232.0,707.0,60885.0,87.0,8.0,540.0,2140.0,539.0,1601.0,1107.0,54.0
138,A043945 ,E007037 ,2020JJ00,18853.0,1481.0,78257.0,124.0,9.0,655.0,2593.0,654.0,1939.0,1370.0,77.0
139,A043945 ,E007037 ,2021JJ00,21300.0,2565.0,96992.0,139.0,23.0,771.0,3053.0,769.0,2284.0,1614.0,91.0
140,A043945 ,E007040 ,1994JJ00,0.0,0.0,42.0,0.0,0.0,11.0,44.0,22.0,22.0,17.0,1.0
141,A043945 ,E007040 ,1995JJ00,23.0,0.0,65.0,1.0,0.0,12.0,48.0,23.0,25.0,19.0,1.0
142,A043945 ,E007040 ,1996JJ00,34.0,0.0,99.0,1.0,0.0,13.0,53.0,25.0,28.0,21.0,1.0
143,A043945 ,E007040 ,1997JJ00,89.0,0.0,188.0,4.0,0.0,17.0,68.0,29.0,39.0,27.0,1.0
144,A043945 ,E007040 ,1998JJ00,49.0,0.0,237.0,6.0,0.0,23.0,91.0,35.0,56.0,36.0,1.0
145,A043945 ,E007040 ,1999JJ00,127.0,0.0,364.0,7.0,0.0,30.0,119.0,44.0,76.0,46.0,2.0
146,A043945 ,E007040 ,2000JJ00,211.0,0.0,575.0,10.0,0.0,40.0,158.0,54.0,103.0,59.0,2.0
147,A043945 ,E007040 ,2001JJ00,350.0,0.0,925.0,9.0,0.0,49.0,194.0,64.0,130.0,71.0,2.0
148,A043945 ,E007040 ,2002JJ00,386.0,0.0,1311.0,15.0,0.0,64.0,253.0,79.0,173.0,93.0,3.0
149,A043945 ,E007040 ,2003JJ00,242.0,0.0,1553.0,16.0,0.0,80.0,315.0,97.0,218.0,115.0,4.0
150,A043945 ,E007040 ,2004JJ00,720.0,0.0,2273.0,42.0,0.0,121.0,481.0,144.0,337.0,178.0,6.0
151,A043945 ,E007040 ,2005JJ00,664.0,8.0,2928.0,54.0,2.0,174.0,687.0,202.0,485.0,255.0,9.0
152,A043945 ,E007040 ,2006JJ00,881.0,8.0,3801.0,55.0,2.0,226.0,896.0,265.0,631.0,336.0,11.0
153,A043945 ,E007040 ,2007JJ00,896.0,8.0,4689.0,82.0,2.0,306.0,1211.0,344.0,867.0,479.0,18.0
154,A043945 ,E007040 ,2008JJ00,777.0,8.0,5458.0,79.0,2.0,383.0,1515.0,419.0,1096.0,601.0,22.0
155,A043945 ,E007040 ,2009JJ00,749.0,8.0,6198.0,65.0,2.0,445.0,1763.0,478.0,1285.0,731.0,28.0
156,A043945 ,E007040 ,2010JJ00,637.0,23.0,6812.0,71.0,1.0,516.0,2042.0,549.0,1493.0,886.0,37.0
157,A043945 ,E007040 ,2011JJ00,969.0,34.0,7747.0,77.0,1.0,592.0,2343.0,625.0,1718.0,1059.0,45.0
158,A043945 ,E007040 ,2012JJ00,943.0,89.0,8601.0,74.0,4.0,662.0,2622.0,695.0,1926.0,1135.0,41.0
159,A043945 ,E007040 ,2013JJ00,630.0,49.0,9182.0,92.0,6.0,748.0,2961.0,780.0,2181.0,1310.0,44.0
160,A043945 ,E007040 ,2014JJ00,500.0,127.0,9555.0,78.0,7.0,818.0,3241.0,850.0,2391.0,1398.0,45.0
