ID,Geslacht,Leeftijd,Cijfersoort,Perioden,LVInAlsGoedErvarenGezondheid_1,LVZonderMatigeEnErnstigeBeperkingen_2,LVZonderErnstigeBeperkingen_3,LVZonderLichteMatigeErnstigeBep_4,LVZonderChronischeZiektes_5,LVZonderChrZiekExclHogeBloeddruk_6,LVInGoedeGeestelijkeGezondheid_7
141,2,15,2,2001G300 ,0.2,0.3,0.3,0.3,0.3,0.3,0.3
142,2,15,2,2004G300 ,0.2,0.3,0.2,0.3,0.3,0.3,0.3
143,2,15,2,2007G300 ,0.3,0.3,0.5,0.3,0.3,0.3,0.3
144,2,16,1,2001G300 ,39.4,44.6,48.8,30.1,22.7,25.6,48.5
145,2,16,1,2004G300 ,39.8,44.3,48.7,29.0,22.6,25.7,49.6
146,2,16,1,2007G300 ,41.0,45.6,49.9,30.0,22.5,25.7,50.9
147,2,16,2,2001G300 ,0.2,0.3,0.3,0.3,0.3,0.3,0.3
148,2,16,2,2004G300 ,0.2,0.3,0.2,0.3,0.3,0.3,0.2
149,2,16,2,2007G300 ,0.3,0.3,0.5,0.3,0.3,0.3,0.3
150,2,17,1,2001G300 ,35.2,39.9,43.9,26.0,19.9,22.7,44.1
151,2,17,1,2004G300 ,35.5,39.6,43.8,25.0,19.3,22.4,45.2
152,2,17,1,2007G300 ,36.8,40.9,45.0,26.1,19.4,22.6,46.5
153,2,17,2,2001G300 ,0.2,0.3,0.3,0.3,0.3,0.3,0.3
154,2,17,2,2004G300 ,0.2,0.3,0.2,0.3,0.3,0.3,0.2
155,2,17,2,2007G300 ,0.3,0.3,0.5,0.3,0.3,0.3,0.2
156,2,18,1,2001G300 ,31.0,35.2,39.1,22.1,17.1,19.7,39.9
157,2,18,1,2004G300 ,31.2,34.9,38.9,21.0,16.3,19.3,40.9
158,2,18,1,2007G300 ,32.6,36.2,40.2,22.1,16.2,19.3,42.1
159,2,18,2,2001G300 ,0.2,0.3,0.3,0.3,0.3,0.3,0.3
160,2,18,2,2004G300 ,0.2,0.3,0.2,0.2,0.2,0.3,0.2
161,2,18,2,2007G300 ,0.3,0.3,0.5,0.3,0.3,0.3,0.2
162,2,19,1,2001G300 ,27.0,30.7,34.4,18.4,14.4,16.9,35.6
163,2,19,1,2004G300 ,27.2,30.3,34.2,17.4,13.5,16.4,36.7
164,2,19,1,2007G300 ,28.5,31.6,35.4,18.5,13.6,16.5,37.8
165,2,19,2,2001G300 ,0.2,0.3,0.3,0.3,0.3,0.3,0.2
166,2,19,2,2004G300 ,0.2,0.3,0.2,0.2,0.2,0.3,0.2
167,2,19,2,2007G300 ,0.3,0.3,0.5,0.3,0.2,0.3,0.2
168,2,20,1,2001G300 ,23.1,26.2,29.8,15.0,12.0,14.4,31.4
169,2,20,1,2004G300 ,23.3,25.9,29.6,14.1,10.7,13.5,32.4
170,2,20,1,2007G300 ,24.5,27.1,30.8,15.0,11.0,13.7,33.5
171,2,20,2,2001G300 ,0.2,0.3,0.3,0.3,0.3,0.3,0.2
172,2,20,2,2004G300 ,0.2,0.2,0.2,0.2,0.2,0.2,0.2
173,2,20,2,2007G300 ,0.3,0.3,0.5,0.2,0.2,0.3,0.2
174,2,21,1,2001G300 ,19.6,22.2,25.5,12.3,9.6,11.9,27.4
175,2,21,1,2004G300 ,19.8,21.9,25.3,11.4,8.5,11.1,28.4
176,2,21,1,2007G300 ,20.9,22.9,26.4,12.2,8.6,11.2,29.3
177,2,21,2,2001G300 ,0.2,0.3,0.2,0.2,0.3,0.3,0.2
178,2,21,2,2004G300 ,0.2,0.2,0.2,0.2,0.2,0.2,0.2
179,2,21,2,2007G300 ,0.2,0.3,0.5,0.2,0.2,0.2,0.2
180,2,22,1,2001G300 ,16.4,18.3,21.3,9.7,7.8,9.8,23.4
181,2,22,1,2004G300 ,16.6,18.2,21.3,9.1,6.7,9.0,24.6
182,2,22,1,2007G300 ,17.5,19.2,22.3,9.7,6.6,8.9,25.4
183,2,22,2,2001G300 ,0.2,0.3,0.2,0.2,0.2,0.3,0.2
184,2,22,2,2004G300 ,0.2,0.2,0.2,0.2,0.2,0.2,0.2
185,2,22,2,2007G300 ,0.2,0.2,0.5,0.2,0.2,0.2,0.2
186,2,23,1,2001G300 ,13.5,14.8,17.5,7.5,6.0,7.7,19.7
187,2,23,1,2004G300 ,13.5,14.6,17.3,6.7,5.0,7.0,20.7
188,2,23,1,2007G300 ,14.3,15.4,18.2,7.2,4.8,6.7,21.5
189,2,23,2,2001G300 ,0.1,0.3,0.2,0.2,0.2,0.3,0.2
190,2,23,2,2004G300 ,0.2,0.2,0.2,0.2,0.2,0.2,0.2
191,2,23,2,2007G300 ,0.2,0.2,0.5,0.2,0.2,0.2,0.2
192,2,24,1,2001G300 ,10.6,11.1,13.6,5.1,4.4,5.7,16.0
193,2,24,1,2004G300 ,10.7,11.1,13.5,4.6,3.7,5.3,17.0
194,2,24,1,2007G300 ,11.4,11.9,14.4,5.0,3.5,5.0,17.7
195,2,24,2,2001G300 ,0.1,0.3,0.2,0.2,0.2,0.2,0.2
196,2,24,2,2004G300 ,0.2,0.2,0.2,0.2,0.2,0.2,0.2
197,2,24,2,2007G300 ,0.2,0.2,0.5,0.2,0.2,0.2,0.2
198,2,25,1,2001G300 ,8.0,7.9,10.0,3.0,3.2,4.2,12.4
199,2,25,1,2004G300 ,8.0,7.8,9.9,2.8,2.6,3.8,13.5
200,2,25,1,2007G300 ,8.6,8.5,10.6,3.0,2.3,3.5,14.0
201,2,25,2,2001G300 ,0.1,0.2,0.2,0.2,0.2,0.2,0.2
202,2,25,2,2004G300 ,0.2,0.2,0.2,0.2,0.2,0.2,0.2
203,2,25,2,2007G300 ,0.2,0.2,0.5,0.2,0.2,0.2,0.2
204,2,26,1,2001G300 ,5.9,5.0,6.8,1.7,2.4,3.0,9.4
205,2,26,1,2004G300 ,5.8,5.1,6.7,1.6,1.7,2.7,10.4
206,2,26,1,2007G300 ,6.4,5.5,7.2,1.5,1.6,2.4,10.8
207,2,26,2,2001G300 ,0.1,0.2,0.3,0.2,0.2,0.2,0.2
208,2,26,2,2004G300 ,0.2,0.2,0.2,0.1,0.2,0.2,0.2
209,2,26,2,2007G300 ,0.2,0.2,0.5,0.1,0.2,0.2,0.2
210,2,27,1,2001G300 ,4.4,3.2,4.4,1.1,1.8,2.2,6.8
211,2,27,1,2004G300 ,4.1,2.9,4.3,0.7,1.1,1.7,7.7
212,2,27,1,2007G300 ,4.7,3.6,4.8,0.9,1.1,1.7,8.0
213,2,27,2,2001G300 ,0.1,0.3,0.3,0.2,0.2,0.2,0.2
214,2,27,2,2004G300 ,0.2,0.2,0.2,0.1,0.1,0.2,0.2
215,2,27,2,2007G300 ,0.2,0.2,0.5,0.1,0.1,0.2,0.2
