ID,IndicatieWelNietJeugdwet,RegioS,Perioden,JongerenMetAWBZIndicatieInJaar_1
299,1000,SG17  ,2014JJ00,1785.0
300,1000,SG18  ,2011JJ00,1255.0
301,1000,SG18  ,2012JJ00,1075.0
302,1000,SG18  ,2013JJ00,945.0
303,1000,SG18  ,2014JJ00,855.0
304,1000,SG19  ,2011JJ00,2560.0
305,1000,SG19  ,2012JJ00,2165.0
306,1000,SG19  ,2013JJ00,1965.0
307,1000,SG19  ,2014JJ00,1855.0
308,1000,SG20  ,2011JJ00,1125.0
309,1000,SG20  ,2012JJ00,1030.0
310,1000,SG20  ,2013JJ00,960.0
311,1000,SG20  ,2014JJ00,925.0
312,1000,SG21  ,2011JJ00,1650.0
313,1000,SG21  ,2012JJ00,1520.0
314,1000,SG21  ,2013JJ00,1475.0
315,1000,SG21  ,2014JJ00,1450.0
316,1000,SG22  ,2011JJ00,1290.0
317,1000,SG22  ,2012JJ00,1135.0
318,1000,SG22  ,2013JJ00,1055.0
319,1000,SG22  ,2014JJ00,980.0
320,1000,GA00  ,2011JJ00,64655.0
321,1000,GA00  ,2012JJ00,59150.0
322,1000,GA00  ,2013JJ00,55060.0
323,1000,GA00  ,2014JJ00,52380.0
324,1000,GA01  ,2011JJ00,1315.0
325,1000,GA01  ,2012JJ00,1225.0
326,1000,GA01  ,2013JJ00,1120.0
327,1000,GA01  ,2014JJ00,1080.0
328,1000,GA02  ,2011JJ00,700.0
329,1000,GA02  ,2012JJ00,670.0
330,1000,GA02  ,2013JJ00,635.0
331,1000,GA02  ,2014JJ00,675.0
332,1000,GA03  ,2011JJ00,1060.0
333,1000,GA03  ,2012JJ00,940.0
334,1000,GA03  ,2013JJ00,860.0
335,1000,GA03  ,2014JJ00,840.0
336,1000,GA04  ,2011JJ00,925.0
337,1000,GA04  ,2012JJ00,880.0
338,1000,GA04  ,2013JJ00,840.0
339,1000,GA04  ,2014JJ00,775.0
340,1000,GA05  ,2011JJ00,950.0
341,1000,GA05  ,2012JJ00,880.0
342,1000,GA05  ,2013JJ00,825.0
343,1000,GA05  ,2014JJ00,780.0
344,1000,GA06  ,2011JJ00,755.0
345,1000,GA06  ,2012JJ00,695.0
346,1000,GA06  ,2013JJ00,675.0
347,1000,GA06  ,2014JJ00,625.0
348,1000,GA07  ,2011JJ00,945.0
349,1000,GA07  ,2012JJ00,885.0
350,1000,GA07  ,2013JJ00,850.0
351,1000,GA07  ,2014JJ00,840.0
352,1000,GA08  ,2011JJ00,1015.0
353,1000,GA08  ,2012JJ00,930.0
354,1000,GA08  ,2013JJ00,870.0
355,1000,GA08  ,2014JJ00,805.0
