ID,Geslacht,Leeftijd,IndicatieZZVEnOfZMV,IndicatieWelNietJeugdwet,Perioden,JongerenMetAWBZIndicatieInJaar_1
308,1100,52020,1100,1200,2011JJ00,2735.0
309,1100,52020,1100,1200,2012JJ00,1915.0
310,1100,52020,1100,1200,2013JJ00,1655.0
311,1100,52020,1100,1200,2014JJ00,1575.0
312,1100,52020,1200,1000,2011JJ00,9460.0
313,1100,52020,1200,1000,2012JJ00,9580.0
314,1100,52020,1200,1000,2013JJ00,9330.0
315,1100,52020,1200,1000,2014JJ00,9450.0
316,1100,52020,1200,1100,2011JJ00,6400.0
317,1100,52020,1200,1100,2012JJ00,6385.0
318,1100,52020,1200,1100,2013JJ00,6070.0
319,1100,52020,1200,1100,2014JJ00,6100.0
320,1100,52020,1200,1200,2011JJ00,3410.0
321,1100,52020,1200,1200,2012JJ00,3585.0
322,1100,52020,1200,1200,2013JJ00,3525.0
323,1100,52020,1200,1200,2014JJ00,3670.0
324,1100,52020,1300,1000,2011JJ00,39405.0
325,1100,52020,1300,1000,2012JJ00,38660.0
326,1100,52020,1300,1000,2013JJ00,37305.0
327,1100,52020,1300,1000,2014JJ00,35260.0
328,1100,52020,1300,1100,2011JJ00,39405.0
329,1100,52020,1300,1100,2012JJ00,38660.0
330,1100,52020,1300,1100,2013JJ00,37305.0
331,1100,52020,1300,1100,2014JJ00,35260.0
332,1100,52020,1300,1200,2011JJ00,
333,1100,52020,1300,1200,2012JJ00,
334,1100,52020,1300,1200,2013JJ00,
335,1100,52020,1300,1200,2014JJ00,
336,1100,52020,1400,1000,2011JJ00,7525.0
337,1100,52020,1400,1000,2012JJ00,7605.0
338,1100,52020,1400,1000,2013JJ00,7525.0
339,1100,52020,1400,1000,2014JJ00,7490.0
340,1100,52020,1400,1100,2011JJ00,7525.0
341,1100,52020,1400,1100,2012JJ00,7605.0
342,1100,52020,1400,1100,2013JJ00,7525.0
343,1100,52020,1400,1100,2014JJ00,7490.0
344,1100,52020,1400,1200,2011JJ00,
345,1100,52020,1400,1200,2012JJ00,
346,1100,52020,1400,1200,2013JJ00,
347,1100,52020,1400,1200,2014JJ00,
348,1100,52020,1500,1000,2011JJ00,1895.0
349,1100,52020,1500,1000,2012JJ00,1635.0
350,1100,52020,1500,1000,2013JJ00,1495.0
351,1100,52020,1500,1000,2014JJ00,1470.0
352,1100,52020,1500,1100,2011JJ00,
353,1100,52020,1500,1100,2012JJ00,
354,1100,52020,1500,1100,2013JJ00,
355,1100,52020,1500,1100,2014JJ00,
356,1100,52020,1500,1200,2011JJ00,1895.0
357,1100,52020,1500,1200,2012JJ00,1635.0
358,1100,52020,1500,1200,2013JJ00,1495.0
359,1100,52020,1500,1200,2014JJ00,1470.0
360,1100,52020,1600,1000,2011JJ00,6070.0
361,1100,52020,1600,1000,2012JJ00,5925.0
362,1100,52020,1600,1000,2013JJ00,5920.0
363,1100,52020,1600,1000,2014JJ00,5745.0
364,1100,52020,1600,1100,2011JJ00,5185.0
365,1100,52020,1600,1100,2012JJ00,5610.0
366,1100,52020,1600,1100,2013JJ00,5730.0
367,1100,52020,1600,1100,2014JJ00,5615.0
368,1100,52020,1600,1200,2011JJ00,885.0
369,1100,52020,1600,1200,2012JJ00,315.0
370,1100,52020,1600,1200,2013JJ00,190.0
371,1100,52020,1600,1200,2014JJ00,130.0
372,1100,52020,1700,1000,2011JJ00,19795.0
373,1100,52020,1700,1000,2012JJ00,13640.0
374,1100,52020,1700,1000,2013JJ00,10455.0
375,1100,52020,1700,1000,2014JJ00,8585.0
376,1100,52020,1700,1100,2011JJ00,19795.0
377,1100,52020,1700,1100,2012JJ00,13640.0
378,1100,52020,1700,1100,2013JJ00,10455.0
379,1100,52020,1700,1100,2014JJ00,8585.0
380,1100,52020,1700,1200,2011JJ00,
381,1100,52020,1700,1200,2012JJ00,
382,1100,52020,1700,1200,2013JJ00,
383,1100,52020,1700,1200,2014JJ00,
384,3000,41300,1000,1000,2011JJ00,66905.0
385,3000,41300,1000,1000,2012JJ00,60850.0
386,3000,41300,1000,1000,2013JJ00,56210.0
387,3000,41300,1000,1000,2014JJ00,53255.0
388,3000,41300,1000,1100,2011JJ00,59200.0
389,3000,41300,1000,1100,2012JJ00,56150.0
390,3000,41300,1000,1100,2013JJ00,52475.0
391,3000,41300,1000,1100,2014JJ00,49440.0
392,3000,41300,1000,1200,2011JJ00,10430.0
393,3000,41300,1000,1200,2012JJ00,7300.0
394,3000,41300,1000,1200,2013JJ00,6290.0
395,3000,41300,1000,1200,2014JJ00,5970.0
396,3000,41300,1100,1000,2011JJ00,60105.0
397,3000,41300,1100,1000,2012JJ00,54400.0
398,3000,41300,1100,1000,2013JJ00,50255.0
399,3000,41300,1100,1000,2014JJ00,46970.0
400,3000,41300,1100,1100,2011JJ00,55605.0
401,3000,41300,1100,1100,2012JJ00,52515.0
402,3000,41300,1100,1100,2013JJ00,48970.0
403,3000,41300,1100,1100,2014JJ00,45910.0
404,3000,41300,1100,1200,2011JJ00,7350.0
405,3000,41300,1100,1200,2012JJ00,4030.0
406,3000,41300,1100,1200,2013JJ00,3140.0
407,3000,41300,1100,1200,2014JJ00,2790.0
408,3000,41300,1200,1000,2011JJ00,7675.0
409,3000,41300,1200,1000,2012JJ00,7765.0
410,3000,41300,1200,1000,2013JJ00,7440.0
411,3000,41300,1200,1000,2014JJ00,7390.0
412,3000,41300,1200,1100,2011JJ00,4790.0
413,3000,41300,1200,1100,2012JJ00,4745.0
414,3000,41300,1200,1100,2013JJ00,4455.0
415,3000,41300,1200,1100,2014JJ00,4415.0
416,3000,41300,1200,1200,2011JJ00,3150.0
417,3000,41300,1200,1200,2012JJ00,3350.0
418,3000,41300,1200,1200,2013JJ00,3195.0
419,3000,41300,1200,1200,2014JJ00,3225.0
420,3000,41300,1300,1000,2011JJ00,51245.0
421,3000,41300,1300,1000,2012JJ00,47235.0
422,3000,41300,1300,1000,2013JJ00,43190.0
423,3000,41300,1300,1000,2014JJ00,39850.0
424,3000,41300,1300,1100,2011JJ00,51245.0
425,3000,41300,1300,1100,2012JJ00,47235.0
426,3000,41300,1300,1100,2013JJ00,43190.0
427,3000,41300,1300,1100,2014JJ00,39850.0
428,3000,41300,1300,1200,2011JJ00,
429,3000,41300,1300,1200,2012JJ00,
430,3000,41300,1300,1200,2013JJ00,
431,3000,41300,1300,1200,2014JJ00,
432,3000,41300,1400,1000,2011JJ00,10155.0
433,3000,41300,1400,1000,2012JJ00,9625.0
434,3000,41300,1400,1000,2013JJ00,9175.0
435,3000,41300,1400,1000,2014JJ00,8945.0
436,3000,41300,1400,1100,2011JJ00,10155.0
437,3000,41300,1400,1100,2012JJ00,9625.0
438,3000,41300,1400,1100,2013JJ00,9175.0
439,3000,41300,1400,1100,2014JJ00,8945.0
440,3000,41300,1400,1200,2011JJ00,
441,3000,41300,1400,1200,2012JJ00,
442,3000,41300,1400,1200,2013JJ00,
443,3000,41300,1400,1200,2014JJ00,
444,3000,41300,1500,1000,2011JJ00,3955.0
445,3000,41300,1500,1000,2012JJ00,3090.0
446,3000,41300,1500,1000,2013JJ00,2685.0
447,3000,41300,1500,1000,2014JJ00,2460.0
448,3000,41300,1500,1100,2011JJ00,
449,3000,41300,1500,1100,2012JJ00,
450,3000,41300,1500,1100,2013JJ00,
451,3000,41300,1500,1100,2014JJ00,
452,3000,41300,1500,1200,2011JJ00,3955.0
453,3000,41300,1500,1200,2012JJ00,3090.0
454,3000,41300,1500,1200,2013JJ00,2685.0
455,3000,41300,1500,1200,2014JJ00,2460.0
456,3000,41300,1600,1000,2011JJ00,11925.0
457,3000,41300,1600,1000,2012JJ00,9890.0
