ID,Perioden,Totaal_1,Binnenland_2,Buitenland_3,Totaal_4,Binnenland_5,Buitenland_6,Bezettingsgraad_7,Totaal_8,Binnenland_9,Buitenland_10,Totaal_11,Binnenland_12,Buitenland_13,ZakelijkeOvernachtingen_14,Bezettingsgraad_15,Totaal_16,Binnenland_17,Buitenland_18,Totaal_19,Binnenland_20,Buitenland_21,Bezettingsgraad_22,Totaal_23,Binnenland_24,Buitenland_25,Totaal_26,Binnenland_27,Buitenland_28,Bezettingsgraad_29,Totaal_30,Binnenland_31,Buitenland_32,Totaal_33,Binnenland_34,Buitenland_35,Bezettingsgraad_36,Totaal_37,Binnenland_38,Buitenland_39,Totaal_40,Binnenland_41,Buitenland_42,Bezettingsgraad_43
10,2012MM11,2187,1311,876,4715,2914,1801,21.4,1602,859,743,2591,1330,1261,1300,37.3,585,451,134,2125,1585,540,14.1,19,10,9,74,40,34,1.1,494,373,121,1898,1400,499,27.5,71,68,3,152,145,7,11.3
11,2012MM12,1900,1241,660,4352,3014,1338,20.5,1397,810,587,2342,1296,1046,990,33.0,503,431,72,2010,1718,292,14.3,12,8,4,45,34,11,0.8,439,374,65,1825,1553,272,25.5,52,48,3,140,131,9,10.4
12,2013MM01,1690,1036,654,3803,2445,1358,18.3,1274,698,576,2091,1097,994,1030,28.8,416,338,78,1712,1348,364,12.6,10,6,4,47,30,17,1.1,355,283,72,1547,1205,342,20.2,51,49,2,119,113,6,8.5
13,2013MM02,1791,1146,645,3988,2696,1292,21.0,1311,744,567,2151,1170,980,1000,32.1,480,402,78,1837,1526,312,14.9,9,6,4,36,22,14,0.9,424,351,73,1695,1401,294,24.4,46,45,1,106,103,3,8.4
14,2013MM03,2243,1311,932,5085,2994,2091,19.2,1666,881,784,2814,1400,1413,1280,37.8,577,429,148,2271,1593,678,11.9,36,21,15,131,74,57,1.4,466,338,128,1957,1355,602,24.5,76,71,4,183,165,18,12.1
15,2013MM04,2914,1707,1206,7262,4320,2942,17.6,1878,958,920,3273,1566,1707,1460,45.0,1035,749,287,3988,2754,1234,11.7,225,166,59,914,682,232,3.8,676,453,223,2750,1764,987,32.4,135,130,5,324,309,15,20.0
16,2013MM05,3796,2463,1333,10879,7695,3184,25.2,2091,1078,1014,3685,1817,1869,1560,49.0,1705,1385,320,7193,5878,1315,20.2,692,566,126,3033,2585,448,12.1,822,637,185,3670,2832,838,41.8,190,181,9,490,461,29,28.3
17,2013MM06,3333,2157,1176,9517,6646,2870,22.9,2010,1088,922,3472,1808,1664,1490,48.0,1323,1068,254,6045,4839,1206,17.6,540,439,101,2777,2328,448,11.5,580,433,147,2773,2036,737,32.7,203,197,6,495,474,21,29.6
18,2013MM07,3737,2376,1361,13251,9372,3878,30.9,2056,1067,988,3845,1920,1925,1230,51.5,1681,1308,373,9406,7453,1953,26.5,872,709,162,4911,4187,724,19.7,703,509,194,4000,2880,1119,45.7,107,90,17,495,386,110,28.6
19,2013MM08,4179,2638,1541,16381,11334,5046,38.2,2179,1139,1040,4166,2080,2085,1400,55.9,2000,1500,501,12215,9254,2961,34.5,1010,788,222,6469,5303,1166,25.9,861,598,264,5227,3557,1670,59.7,129,115,15,519,394,125,30.0
20,2013MM09,3157,2005,1151,8796,5944,2853,21.3,1970,1058,912,3387,1746,1642,1570,46.9,1186,947,239,5409,4198,1211,15.9,350,281,69,1866,1548,317,7.8,652,486,166,3095,2214,880,36.6,184,180,4,449,435,14,27.1
21,2013MM10,2921,1791,1131,7532,4770,2763,20.4,1936,1044,892,3309,1705,1604,1520,44.5,986,747,239,4223,3065,1159,14.3,166,121,46,768,560,207,4.0,698,511,187,3140,2214,926,36.3,122,115,6,316,291,25,19.2
22,2013MM11,2278,1334,944,4989,2946,2043,22.8,1672,897,775,2720,1384,1337,1330,38.3,606,437,169,2269,1562,707,15.3,17,8,9,63,27,36,1.0,521,363,157,2047,1382,665,27.5,68,66,2,159,153,6,11.5
23,2013MM12,2012,1304,708,4591,3142,1449,22.0,1478,852,627,2477,1347,1129,990,34.1,533,453,81,2114,1794,320,15.6,12,8,4,46,30,16,1.0,472,397,75,1934,1633,301,25.3,49,48,1,134,131,3,9.7
24,2014MM01,1826,1111,716,3960,2507,1453,19.2,1376,745,631,2214,1129,1085,1040,29.7,450,366,85,1746,1379,368,13.3,13,7,6,59,32,26,1.4,382,304,77,1560,1222,338,20.7,55,54,1,128,124,3,9.6
25,2014MM02,1895,1157,738,4067,2661,1406,21.6,1433,763,670,2313,1165,1148,1080,33.7,463,394,68,1755,1497,258,14.7,9,5,3,26,16,9,0.7,406,342,64,1610,1364,246,23.5,48,47,1,119,117,2,9.7
26,2014MM03,2410,1440,970,5190,3194,1996,21.1,1810,971,839,3005,1518,1488,1350,39.1,601,469,131,2185,1677,509,12.9,41,26,16,128,80,48,1.7,490,377,113,1902,1448,454,24.6,69,67,2,155,149,6,10.5
27,2014MM04,3162,1714,1449,8091,4364,3727,20.1,2029,977,1052,3556,1582,1974,1490,47.3,1133,737,396,4535,2782,1753,13.9,309,210,99,1193,796,397,5.3,709,417,292,3034,1701,1333,35.5,116,110,6,308,285,22,19.0
28,2014MM05,3626,2343,1283,9676,6846,2831,23.0,2202,1124,1078,3831,1839,1992,1630,49.4,1424,1219,205,5846,5007,838,17.0,476,404,72,2118,1857,261,8.9,762,634,128,3253,2693,560,36.7,187,182,5,474,457,17,27.6
