ID,Regio,Perioden,TotaalMestproductierechten_1,GrondgebondenMestproductierechten_2,TotaalNietGebondenRechten_3,VarkensKippen_4,RunderenKalkoenen_5,Schapen_6,OverigNietGebondenRechten_7,TotaalVarkensrechten_8,GrondgebondenVarkensrechten_9,TotaalNietGebondenVarkensrechten_10,Fokzeugenrechten_11,NietFokzeugenrechten_12,Pluimveerechten_13,TotaalMestproductierechten_14,TotaalVarkensKippen_15,TotaalRunderenKalkoenen_16,TotaalSchapen_17,TotaalOverigVervallenRechten_18,TotaalAfroming_19,VarkensKippen_20,RunderenKalkoenen_21,Schapen_22,OverigAfroming_23,TotaalOpkoop_24,VarkensKippen_25,RunderenKalkoenen_26,Schapen_27,OverigOpkoop_28,TotaalPluimveerechten_29,AfromingPluimveerechten_30,OpkoopPluimveerechten_31,TotaalVarkensrechten_32,AfromingVarkensrechten_33,OpkoopVarkensrechten_34
105,PV29  ,1997JJ00,10676.1,9587.3,1088.8,905.2,91.1,40.8,51.7,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,PV29  ,1998JJ00,10704.2,10070.2,634.1,461.3,84.1,36.3,52.4,82.2,30.9,51.2,19.4,31.9,,7.9,7.0,0.5,0.1,0.4,7.9,7.0,0.5,0.1,0.4,,,,,,,,,0.6,0.6,
107,PV29  ,1999JJ00,11061.5,10430.8,630.7,461.4,81.1,35.8,52.4,72.7,25.4,47.3,18.0,29.3,,0.9,0.5,0.4,,0.0,0.9,0.5,0.4,,0.0,,,,,,,,,7.1,0.5,6.6
108,PV29  ,2000JJ00,11404.8,10763.9,640.9,475.2,76.4,35.2,54.2,69.5,24.0,45.5,17.4,28.1,,4.0,3.3,0.1,,0.6,4.0,3.3,0.1,,0.6,,,,,,,,,3.7,1.3,2.3
109,PV29  ,2001JJ00,11229.7,11010.0,219.7,59.8,74.2,33.2,52.6,61.7,23.6,38.1,15.1,23.1,694.4,2.7,2.3,0.2,0.2,,2.7,2.3,0.2,0.2,,,,,,,10.4,10.4,,7.2,0.2,7.0
110,PV29  ,2002JJ00,11409.3,11192.3,217.1,58.5,73.0,32.9,52.6,61.4,23.4,38.1,16.1,22.0,685.3,0.6,0.1,0.5,,,0.5,,0.5,,,0.1,0.1,,,,5.8,1.3,4.5,1.5,,1.5
111,PV29  ,2003JJ00,11397.5,11192.5,205.0,46.6,72.8,32.9,52.6,62.2,23.2,39.0,16.2,22.8,660.4,0.2,,0.2,,,,,,,,0.2,,0.2,,,,,,0.5,,0.5
112,PV30  ,1997JJ00,82529.4,29064.7,53464.7,47108.7,4876.3,234.3,1245.4,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,PV30  ,1998JJ00,47471.0,29697.3,17773.7,11506.5,4813.7,237.8,1215.6,4612.6,427.7,4184.9,1699.6,2485.3,,211.1,165.0,34.8,4.7,6.6,177.3,131.2,34.8,4.7,6.6,33.7,33.7,,,,,,,81.7,81.7,0.1
114,PV30  ,1999JJ00,47726.9,30087.5,17639.4,11500.2,4715.6,236.0,1187.6,4495.8,410.7,4085.1,1651.8,2433.3,,47.3,10.0,26.0,1.7,9.7,47.1,9.9,26.0,1.7,9.7,0.2,0.2,,,,,,,105.3,28.0,77.3
115,PV30  ,2000JJ00,47837.3,30396.0,17441.3,11401.9,4619.1,233.9,1186.4,4413.4,391.5,4021.9,1625.3,2396.6,,73.4,30.8,30.6,1.8,10.2,73.4,30.8,30.6,1.8,10.2,,,,,,,,,92.8,26.3,66.5
116,PV30  ,2001JJ00,37680.5,30614.2,7066.3,1648.2,4064.2,214.2,1139.7,4044.6,369.6,3675.0,1506.5,2168.5,9807.5,380.5,236.1,132.7,4.4,7.3,64.3,30.9,28.6,2.3,2.4,316.2,205.2,104.1,2.1,4.9,1246.1,140.1,1106.0,378.2,18.1,360.2
117,PV30  ,2002JJ00,37708.9,30763.2,6945.6,1606.8,3999.6,211.5,1127.7,4023.7,367.5,3656.2,1504.1,2152.1,9598.8,48.1,12.5,33.5,1.6,0.5,15.3,5.8,8.5,0.7,0.3,32.9,6.7,25.0,1.0,0.2,165.9,37.2,128.8,30.6,4.2,26.4
118,PV30  ,2003JJ00,37687.7,30810.7,6876.9,1583.3,3955.1,211.1,1127.4,3902.0,357.7,3544.2,1451.0,2093.2,9331.2,77.3,32.8,43.6,0.5,0.3,,,,,,77.3,32.8,43.6,0.5,0.3,314.5,,314.5,136.7,,136.7
119,PV31  ,1997JJ00,30383.5,11227.6,19155.9,17194.6,1628.6,61.9,270.8,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,PV31  ,1998JJ00,20268.5,11426.7,8841.8,6905.6,1569.4,60.7,306.2,1404.0,186.0,1218.0,495.9,722.0,,61.0,47.6,9.5,0.5,3.4,54.2,40.8,9.5,0.5,3.4,6.8,6.8,,,,,,,20.1,20.0,0.1
121,PV31  ,1999JJ00,20276.8,11502.2,8774.6,6881.3,1531.8,60.7,300.8,1376.8,174.6,1202.2,492.4,709.8,,10.4,3.2,3.9,0.5,2.8,10.4,3.2,3.9,0.5,2.8,,,,,,,,,44.1,17.0,27.1
122,PV31  ,2000JJ00,20405.2,11682.3,8722.9,6859.9,1509.4,59.5,294.2,1342.7,160.4,1182.3,486.1,696.3,,58.3,48.8,6.3,1.7,1.5,58.3,48.8,6.3,1.7,1.5,,,,,,,,,42.3,7.6,34.6
123,PV31  ,2001JJ00,13464.1,11796.5,1667.6,575.5,784.3,47.4,260.5,1261.7,152.0,1109.7,460.6,649.1,6933.4,133.0,98.1,34.3,0.3,0.2,20.6,12.7,7.6,0.1,0.2,112.4,85.5,26.8,0.2,,523.3,53.4,469.9,82.5,2.1,80.4
124,PV31  ,2002JJ00,13498.8,11836.7,1662.1,565.7,780.9,47.3,268.2,1251.5,151.8,1099.8,457.5,642.3,6849.5,8.6,3.9,4.6,0.1,,2.1,1.3,0.7,0.1,,6.5,2.6,3.9,,,159.1,17.1,142.0,4.0,0.6,3.5
125,PV31  ,2003JJ00,13484.5,11841.6,1642.8,558.0,765.3,47.6,272.0,1230.4,149.9,1080.5,448.0,632.5,6691.7,15.2,2.0,13.0,0.2,,,,,,,15.2,2.0,13.0,0.2,,162.1,,162.1,27.1,,27.1
126,PV99  ,1997JJ00,121.1,1.9,119.1,119.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,PV99  ,1998JJ00,1.9,1.9,,,,,,,,,,,,9561.8,9561.8,,,,0.4,0.4,,,,,,,,,,,,0.0,0.0,
128,PV99  ,1999JJ00,1.9,1.9,,,,,,,,,,,,0.4,0.1,0.3,0.0,,0.4,0.1,0.3,0.0,,,,,,,,,,2.5,,2.5
129,PV99  ,2000JJ00,1.9,1.9,,,,,,,,,,,,0.5,,0.4,0.1,0.0,0.5,,0.4,0.1,0.0,,,,,,,,,2.0,0.0,2.0
130,PV99  ,2001JJ00,1.9,1.9,,,,,,,,,,,,20.9,16.8,4.0,0.0,,0.5,,0.5,,,20.4,16.8,3.5,0.0,,5.4,,5.4,1.2,,1.2
131,PV99  ,2002JJ00,1.9,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,PV99  ,2003JJ00,1.9,1.9,,,,,,,,,,,,0.0,,0.0,,,,,,,,0.0,,0.0,,,,,,0.4,,0.4
133,C1    ,1997JJ00,82138.5,39275.4,42863.1,36036.4,5504.5,234.8,1087.4,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,C1    ,1998JJ00,57592.8,39559.5,18033.3,11369.8,5405.5,232.4,1025.5,3214.6,421.6,2793.0,958.6,1834.3,,194.8,145.5,26.1,1.5,21.8,194.6,145.3,26.1,1.5,21.8,0.2,0.2,,,,,,,65.2,64.8,0.4
135,C1    ,1999JJ00,57717.1,39794.7,17922.4,11328.2,5339.2,229.9,1025.1,3139.6,397.6,2742.0,941.1,1800.9,,39.9,17.8,12.7,0.7,8.7,39.9,17.8,12.7,0.7,8.7,,,,,,,,,78.0,12.3,65.7
136,C1    ,2000JJ00,57835.3,40134.9,17700.5,11220.0,5247.4,227.0,1006.1,3062.2,378.5,2683.7,918.3,1765.4,,64.1,37.5,15.1,0.9,10.6,64.1,37.5,15.1,0.9,10.6,,,,,,,,,84.6,24.6,60.0
137,C1    ,2001JJ00,50435.6,42259.8,8175.8,2521.5,4571.4,199.3,883.7,2790.3,359.9,2430.4,850.4,1580.0,9222.7,63.7,39.7,16.3,1.4,6.3,63.7,39.7,16.3,1.4,6.3,,,,,,85.0,85.0,,248.6,23.1,225.5
138,C1    ,2002JJ00,48363.0,40295.7,8067.3,2486.5,4507.9,197.3,875.5,2761.8,356.9,2404.9,843.7,1561.3,9035.7,15.3,6.9,5.8,0.4,2.2,15.3,6.9,5.8,0.4,2.2,,,,,,30.6,30.6,,34.9,5.1,29.8
139,C1    ,2003JJ00,48472.0,40451.0,8021.0,2468.4,4476.2,197.5,878.9,2699.0,352.4,2346.7,825.7,1521.0,8956.7,,,,,,,,,,,,,,,,,,,79.5,,79.5
140,C2    ,1997JJ00,98591.0,30160.9,68430.1,60732.8,5989.7,237.2,1470.4,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,C2    ,1998JJ00,55738.5,30646.8,25091.7,17511.5,5890.4,235.1,1454.7,5652.1,556.8,5095.3,2057.2,3038.1,,257.6,203.0,41.9,3.7,9.1,217.0,162.4,41.9,3.7,9.1,40.6,40.6,,,,,,,94.8,94.7,0.1
142,C2    ,1999JJ00,55914.9,31007.5,24907.4,17481.0,5768.5,232.4,1425.5,5519.2,531.7,4987.5,2010.5,2977.0,,56.3,13.0,28.8,1.9,12.6,56.2,12.9,28.8,1.9,12.6,0.2,0.2,,,,,,,135.0,42.2,92.8
143,C2    ,2000JJ00,56024.0,31355.6,24668.4,17361.9,5660.1,230.5,1415.9,5412.9,502.8,4910.1,1980.3,2929.9,,125.7,78.0,35.6,2.1,9.9,125.7,78.0,35.6,2.1,9.9,,,,,,,,,121.8,30.6,91.1
144,C2    ,2001JJ00,39499.0,31587.0,7912.0,1949.9,4422.3,202.0,1337.8,4969.0,473.4,4495.6,1835.7,2659.9,15828.6,77.1,38.5,34.5,1.6,2.5,77.1,38.5,34.5,1.6,2.5,,,,,,174.4,174.4,,22.8,16.1,6.7
145,C2    ,2002JJ00,39583.5,31788.0,7795.4,1926.8,4365.4,199.5,1303.8,4947.0,472.4,4474.5,1830.9,2643.7,15572.7,16.2,6.9,8.4,0.7,0.3,16.2,6.9,8.4,0.7,0.3,,,,,,48.4,48.4,,4.3,4.1,0.2
146,C2    ,2003JJ00,39641.6,31909.8,7731.8,1905.4,4319.3,199.6,1307.6,4815.7,462.7,4353.0,1773.6,2579.3,15193.4,,,,,,,,,,,,,,,,,,,,,
147,C3    ,1997JJ00,164863.4,134005.6,30857.8,24911.9,4148.7,1170.6,626.6,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,C3    ,1998JJ00,154607.1,137262.7,17344.4,11531.3,4034.0,1143.8,635.3,1976.2,460.6,1515.6,661.6,854.0,,213.2,164.6,25.3,12.4,10.8,213.2,164.6,25.3,12.4,10.8,,,,,,,,,36.7,36.7,
149,C3    ,1999JJ00,156688.0,139445.6,17242.4,11516.0,3971.1,1127.5,627.8,1925.3,440.4,1484.9,648.4,836.5,,46.6,12.8,17.1,7.1,9.6,46.6,12.8,17.1,7.1,9.6,,,,,,,,,51.1,11.9,39.2
150,C3    ,2000JJ00,158933.8,141773.4,17160.4,11518.0,3903.1,1114.7,624.6,1879.9,422.4,1457.5,634.6,822.9,,62.1,30.2,15.0,5.8,11.2,62.1,30.2,15.0,5.8,11.2,,,,,,,,,50.2,15.9,34.4
151,C3    ,2001JJ00,151042.6,143469.8,7572.8,2415.0,3518.2,1044.9,594.7,1782.9,416.6,1366.3,609.9,756.4,12375.5,989.3,663.4,290.3,21.0,14.6,57.4,30.8,14.5,8.6,3.4,932.0,632.6,275.8,12.4,11.2,2461.4,162.3,2299.1,549.0,15.3,533.6
152,C3    ,2002JJ00,151833.7,144300.8,7532.9,2407.3,3460.2,1036.7,628.6,1743.5,409.2,1334.3,602.8,731.5,12104.5,136.2,40.7,88.2,5.9,1.4,14.4,6.5,4.6,3.0,0.4,121.7,34.2,83.5,3.0,1.0,698.5,32.8,665.7,56.0,2.2,53.8
153,C3    ,2003JJ00,151798.9,144340.2,7458.7,2389.2,3406.7,1035.4,627.3,1706.9,406.0,1301.0,585.1,715.8,11862.2,209.1,64.9,137.9,2.4,3.8,,,,,,209.1,64.9,137.9,2.4,3.8,780.3,,780.3,174.8,,174.8
154,C9    ,1997JJ00,127.6,18.9,108.7,108.1,0.6,,,,,,,,,9561.5,9561.5,,,,,,,,,,,,,,,,,,,
155,C9    ,1998JJ00,53.0,19.0,34.0,16.8,0.6,,16.6,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,C9    ,1999JJ00,53.0,19.0,34.0,16.8,0.6,,16.6,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,C9    ,2000JJ00,53.0,19.0,34.0,16.8,0.6,,16.6,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,C9    ,2001JJ00,37.9,19.0,18.9,1.7,0.6,,16.6,,,,,,18.4,,,,,,,,,,,,,,,,,,,,,
159,C9    ,2002JJ00,38.0,19.1,18.9,1.7,0.6,,16.6,,,,,,16.5,,,,,,,,,,,,,,,,,,,,,
160,C9    ,2003JJ00,37.7,18.8,18.9,1.7,0.6,,16.6,,,,,,15.1,,,,,,,,,,,,,,,,,,,,,
