ID,ZorginstellingenSBI2008,Perioden,Ondernemingen_1,Totaal_2,KleinerDan0_3,k_0Tot10_4,k_10Tot20_5,k_20Tot35_6,k_35OfMeer_7,Totaal_8,KleinerDan0_9,k_0Tot10_10,k_10Tot15_11,k_15Tot20_12,k_20Tot30_13,k_30OfMeer_14,Totaal_15,KleinerDan30_16,k_30Tot70_17,k_70Tot130_18,k_130OfMeer_19,Totaal_20,KleinerDan30_21,k_30Tot70_22,k_70Tot130_23,k_130OfMeer_24,Totaal_25,KleinerDan0_26,k_0Tot2_27,k_2Tot4_28,k_4OfMeer_29,Leverage_30,AandeelKapitaallasten_31,GemLeeftijdMaterieleVasteActiva_32,Debiteurentermijn_33,AandeelPersoneelskosten_34,OpbrengstenPerArbeidsjaar_35,ArbeidskostenPerArbeidsjaar_36,Parttimefactor_37,KleinerDan0_38,k_0Tot10_39,k_10Tot20_40,k_20Tot35_41,k_35OfMeer_42,KleinerDan0_43,k_0Tot10_44,k_10Tot15_45,k_15Tot20_46,k_20Tot30_47,k_30OfMeer_48,KleinerDan30_49,k_30Tot70_50,k_70Tot130_51,k_130OfMeer_52,KleinerDan30_53,k_30Tot70_54,k_70Tot130_55,k_130OfMeer_56,KleinerDan0_57,k_0Tot2_58,k_2Tot4_59,k_4OfMeer_60,MinderDan4MlnEuro_61,k_4Tot10MlnEuro_62,k_10Tot25MlnEuro_63,k_25Tot75MlnEuro_64,k_75Tot125MlnEuro_65,k_125MlnEuroOfMeer_66
62,426500  ,2013JJ00,36,35,-10.0,8.0,13.0,29.0,58.0,16,-4.0,6.0,12.0,18.0,22.0,45.0,132,23.0,56.0,96.0,213.0,142,25.0,66.0,110.0,230.0,0,-3.0,1.0,2.0,5.0,46,10.0,6,4.0,70,82439,52411,73,6.0,8.0,8.0,19.0,58.0,6.0,25.0,11.0,25.0,11.0,22.0,6.0,8.0,14.0,72.0,6.0,6.0,19.0,69.0,42.0,28.0,11.0,19.0,19.0,28.0,44.0,3.0,3.0,3.0
63,426500  ,2014JJ00,35,38,0.0,5.0,17.0,31.0,61.0,18,0.0,7.0,12.0,18.0,26.0,49.0,131,0.0,33.0,99.0,231.0,149,5.0,55.0,110.0,242.0,1,-1.0,1.0,3.0,7.0,41,10.0,8,3.0,70,85402,53691,73,0.0,6.0,17.0,23.0,54.0,0.0,29.0,23.0,9.0,17.0,23.0,3.0,3.0,20.0,74.0,3.0,6.0,17.0,74.0,37.0,26.0,9.0,29.0,17.0,31.0,43.0,3.0,3.0,3.0
64,426400  ,2007JJ00,41,24,,,,,,16,,,,,,,98,,,,,98,,,,,1,,,,,55,,17,,71,73298,47465,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,426400  ,2008JJ00,40,22,,,,,,14,,,,,,,86,,,,,86,,,,,1,,,,,56,,17,,73,76420,50197,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,426400  ,2009JJ00,45,21,,,,,,14,,,,,,,98,,,,,98,,,,,2,,,,,60,,18,,73,78570,50795,76,,,,,,,,,,,,,,,,,,,,,,,,0.0,13.0,37.0,48.0,2.0,0.0
67,426400  ,2010JJ00,44,17,,,,,,12,,,,,,,100,,,,,100,,,,,0,,,,,67,,16,,73,82441,54220,76,,,,,,,,,,,,,,,,,,,,,,,,0.0,5.0,33.0,58.0,5.0,0.0
68,426400  ,2011JJ00,41,18,,,,,,12,,,,,,,104,,,,,104,,,,,0,,,,,66,,17,,73,86183,56194,77,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,38.0,57.0,5.0,0.0
69,426400  ,2012JJ00,43,20,-1.0,6.0,16.0,26.0,48.0,13,0.0,7.0,14.0,17.0,27.0,40.0,116,,,,,120,,,,,2,-1.0,1.0,3.0,13.0,65,,16,,72,92469,58950,77,5.0,9.0,26.0,42.0,19.0,5.0,35.0,30.0,16.0,9.0,5.0,,,,,,,,,23.0,42.0,23.0,12.0,7.0,2.0,33.0,51.0,5.0,2.0
70,426400  ,2013JJ00,43,23,,8.0,16.0,28.0,43.0,14,,7.0,12.0,17.0,23.0,31.0,126,,,,,124,,,,,2,-3.0,1.0,3.0,8.0,62,,12,,71,92425,58468,76,0.0,16.0,21.0,49.0,14.0,0.0,42.0,23.0,23.0,5.0,7.0,,,,,,,,,16.0,42.0,26.0,16.0,9.0,2.0,33.0,49.0,2.0,5.0
71,426400  ,2014JJ00,43,27,,7.0,16.0,27.0,43.0,16,,8.0,12.0,18.0,23.0,41.0,150,,,,,145,,,,,2,-6.0,1.0,3.0,6.0,62,,12,,70,97237,59889,77,5.0,7.0,12.0,53.0,23.0,5.0,23.0,30.0,26.0,12.0,5.0,,,,,,,,,16.0,33.0,26.0,26.0,9.0,5.0,28.0,51.0,5.0,2.0
72,427700  ,2007JJ00,16,23,,,,,,6,,,,,,,112,,,,,112,,,,,-1,,,,,21,,4,,79,67611,48107,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,427700  ,2008JJ00,16,23,,,,,,7,,,,,,,111,,,,,111,,,,,-1,,,,,19,,4,,80,69072,50697,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,427700  ,2009JJ00,16,24,,,,,,6,,,,,,,112,,,,,112,,,,,1,,,,,21,,4,,80,73810,52558,86,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,31.0,69.0,0.0,0.0
75,427700  ,2010JJ00,16,26,,,,,,6,,,,,,,117,,,,,117,,,,,0,,,,,24,,3,,82,75375,56029,85,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,31.0,63.0,6.0,0.0
76,427700  ,2011JJ00,16,26,,,,,,7,,,,,,,130,,,,,130,,,,,1,,,,,23,,3,,81,78007,57653,85,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,31.0,63.0,6.0,0.0
77,427700  ,2012JJ00,16,28,-6.0,9.0,18.0,27.0,43.0,8,-1.0,7.0,12.0,15.0,,,124,,,,,124,,,,,1,-2.0,1.0,2.0,5.0,21,,5,,80,82216,60326,84,6.0,6.0,6.0,63.0,19.0,6.0,63.0,25.0,6.0,0.0,0.0,,,,,,,,,13.0,38.0,38.0,13.0,0.0,0.0,31.0,63.0,6.0,0.0
78,427700  ,2013JJ00,16,18,-33.0,4.0,17.0,26.0,43.0,5,-8.0,6.0,12.0,16.0,,,134,,,,,133,,,,,-3,-10.0,1.0,2.0,5.0,22,,3,,78,82939,60826,84,19.0,6.0,13.0,25.0,38.0,19.0,50.0,19.0,13.0,0.0,0.0,,,,,,,,,31.0,31.0,31.0,6.0,0.0,0.0,31.0,63.0,6.0,0.0
79,427700  ,2014JJ00,16,24,-1.0,0.0,16.0,27.0,44.0,7,0.0,7.0,11.0,20.0,,,136,,,,,133,,,,,2,-3.0,0.0,3.0,9.0,15,,3,,81,86987,63390,83,7.0,0.0,13.0,60.0,20.0,7.0,60.0,27.0,7.0,0.0,0.0,,,,,,,,,40.0,13.0,20.0,27.0,0.0,0.0,33.0,53.0,13.0,0.0
