ID,Zorgaanbieders,FinancieringsvormenZorg,Perioden,UitgavenGezondheidsEnWelzijnszorg_1
407,A052936,A019151,2024JJ00,2716.0
408,A052936,A019154,2021JJ00,13667.0
409,A052936,A019154,2022JJ00,14499.0
410,A052936,A019154,2023JJ00,16000.0
411,A052936,A019154,2024JJ00,17873.0
412,A052936,A019155,2021JJ00,
413,A052936,A019155,2022JJ00,
414,A052936,A019155,2023JJ00,
415,A052936,A019155,2024JJ00,
416,A052936,A019156,2021JJ00,4930.0
417,A052936,A019156,2022JJ00,4663.0
418,A052936,A019156,2023JJ00,4875.0
419,A052936,A019156,2024JJ00,5098.0
420,A052936,A019158,2021JJ00,28.0
421,A052936,A019158,2022JJ00,28.0
422,A052936,A019158,2023JJ00,28.0
423,A052936,A019158,2024JJ00,29.0
424,A052936,A019163,2021JJ00,1458.0
425,A052936,A019163,2022JJ00,1540.0
426,A052936,A019163,2023JJ00,1605.0
427,A052936,A019163,2024JJ00,1689.0
428,A052936,A019164,2021JJ00,30.0
429,A052936,A019164,2022JJ00,31.0
430,A052936,A019164,2023JJ00,32.0
431,A052936,A019164,2024JJ00,34.0
432,A052936,A019165,2021JJ00,1428.0
433,A052936,A019165,2022JJ00,1509.0
434,A052936,A019165,2023JJ00,1573.0
435,A052936,A019165,2024JJ00,1655.0
436,A052936,A044427,2021JJ00,11.0
437,A052936,A044427,2022JJ00,11.0
438,A052936,A044427,2023JJ00,11.0
439,A052936,A044427,2024JJ00,11.0
440,A052937,T001103,2021JJ00,12017.0
441,A052937,T001103,2022JJ00,12554.0
442,A052937,T001103,2023JJ00,13596.0
443,A052937,T001103,2024JJ00,14839.0
444,A052937,A019151,2021JJ00,2489.0
445,A052937,A019151,2022JJ00,2567.0
446,A052937,A019151,2023JJ00,2907.0
447,A052937,A019151,2024JJ00,3165.0
448,A052937,A019154,2021JJ00,8643.0
449,A052937,A019154,2022JJ00,9079.0
450,A052937,A019154,2023JJ00,9730.0
451,A052937,A019154,2024JJ00,10644.0
452,A052937,A019155,2021JJ00,
453,A052937,A019155,2022JJ00,
454,A052937,A019155,2023JJ00,
455,A052937,A019155,2024JJ00,
456,A052937,A019156,2021JJ00,319.0
457,A052937,A019156,2022JJ00,314.0
458,A052937,A019156,2023JJ00,349.0
459,A052937,A019156,2024JJ00,384.0
460,A052937,A019158,2021JJ00,0.0
461,A052937,A019158,2022JJ00,0.0
462,A052937,A019158,2023JJ00,0.0
463,A052937,A019158,2024JJ00,0.0
464,A052937,A019163,2021JJ00,566.0
465,A052937,A019163,2022JJ00,594.0
466,A052937,A019163,2023JJ00,610.0
467,A052937,A019163,2024JJ00,646.0
468,A052937,A019164,2021JJ00,0.0
469,A052937,A019164,2022JJ00,0.0
470,A052937,A019164,2023JJ00,0.0
471,A052937,A019164,2024JJ00,0.0
472,A052937,A019165,2021JJ00,566.0
473,A052937,A019165,2022JJ00,594.0
474,A052937,A019165,2023JJ00,610.0
475,A052937,A019165,2024JJ00,646.0
476,A052937,A044427,2021JJ00,0.0
477,A052937,A044427,2022JJ00,0.0
478,A052937,A044427,2023JJ00,0.0
479,A052937,A044427,2024JJ00,0.0
480,A052938,T001103,2021JJ00,7333.0
481,A052938,T001103,2022JJ00,5120.0
482,A052938,T001103,2023JJ00,4240.0
483,A052938,T001103,2024JJ00,4177.0
484,A052938,A019151,2021JJ00,5962.0
485,A052938,A019151,2022JJ00,3656.0
486,A052938,A019151,2023JJ00,2649.0
487,A052938,A019151,2024JJ00,2437.0
488,A052938,A019154,2021JJ00,5.0
489,A052938,A019154,2022JJ00,6.0
490,A052938,A019154,2023JJ00,7.0
491,A052938,A019154,2024JJ00,8.0
492,A052938,A019155,2021JJ00,
493,A052938,A019155,2022JJ00,
494,A052938,A019155,2023JJ00,
495,A052938,A019155,2024JJ00,
496,A052938,A019156,2021JJ00,188.0
497,A052938,A019156,2022JJ00,217.0
498,A052938,A019156,2023JJ00,199.0
499,A052938,A019156,2024JJ00,215.0
500,A052938,A019158,2021JJ00,2.0
501,A052938,A019158,2022JJ00,1.0
502,A052938,A019158,2023JJ00,2.0
503,A052938,A019158,2024JJ00,1.0
504,A052938,A019163,2021JJ00,115.0
505,A052938,A019163,2022JJ00,115.0
506,A052938,A019163,2023JJ00,116.0
