ID,KenmerkenInstallaties,Perioden,Aankoop_1,ProductieUitSlibgisting_2,AfleveringExtern_3,Afgefakkeld_4,Afgeblazen_5,Totaal_6,VerbruikVoorProductieAardgasEnLNG_7,VerbruikInGasmotorenWKKInstallaties_8,VerbruikVoorOpwarmingSlibgistingstank_9,OverigVerbruik_10,Aankoop_11,ZelfOpgewektViaWindEnZonneEnergie_12,ZelfOpgewektInWKKInstallaties_13,AfleveringExtern_14,Totaal_15,VerbruikBeluchtingZuiveringsproces_16,VerbruikDoorAfvalwatertransportgemalen_17,VerbruikVoorSlibontwatering_18,OverigVerbruik_19,Aankoop_20,ProductieUitBiogas_21,AfleveringExtern_22,Totaal_23,VerbruikGasmotorenVanWKKInstallaties_24,VerbruikVoorSlibontwatering_25,OverigVerbruik_26,ProductieWarmteInWKKInstallaties_27,VerbruikInZuiveringsproces_28,VerbruikVanHuisbrandolie_29,Totaal_30,Elektriciteit_31,Aardgas_32,Biogas_33,Warmte_34,OverigeBrandstoffen_35
129,A027812   ,2021JJ00,0.0,613.0,0.0,69.0,0.0,545.0,0.0,528.0,17.0,0.0,1186.0,1179.0,1270.0,707.0,2927.0,845.0,233.0,0.0,1848.0,5.0,0.0,0.0,5.0,0.0,0.0,5.0,6.0,3.0,0.0,22.0,9.0,0.0,13.0,0.0,0.0
130,A027812   ,2022JJ00,0.0,600.0,0.0,33.0,0.0,567.0,0.0,567.0,0.0,0.0,997.0,1290.0,1325.0,865.0,2747.0,757.0,215.0,0.0,1775.0,4.0,0.0,0.0,4.0,0.0,0.0,4.0,7.0,3.0,0.0,21.0,7.0,0.0,13.0,0.0,0.0
131,A027812   ,2023JJ00,0.0,620.0,0.0,31.0,0.0,588.0,0.0,585.0,3.0,0.0,1176.0,1203.0,1343.0,778.0,2944.0,793.0,288.0,0.0,1863.0,3.0,0.0,0.0,3.0,0.0,0.0,3.0,7.0,4.0,0.0,22.0,8.0,0.0,14.0,0.0,0.0
132,A050129   ,2013JJ00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,A050129   ,2014JJ00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,A050129   ,2015JJ00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,A050129   ,2016JJ00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,A050129   ,2017JJ00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,A050129   ,2018JJ00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,A050129   ,2019JJ00,0.0,696.0,0.0,143.0,0.0,553.0,0.0,488.0,65.0,0.0,19197.0,0.0,895.0,0.0,20091.0,8296.0,504.0,867.0,10424.0,39.0,0.0,0.0,39.0,0.0,0.0,39.0,5.0,3.0,25.0,115.0,100.0,1.0,13.0,0.0,1.0
139,A050129   ,2020JJ00,0.0,1230.0,0.0,29.0,0.0,1201.0,0.0,701.0,212.0,288.0,17705.0,163.0,1850.0,73.0,19644.0,9451.0,1246.0,559.0,8388.0,136.0,0.0,0.0,136.0,0.0,0.0,136.0,7.0,5.0,18.0,126.0,93.0,4.0,28.0,0.0,1.0
140,A050129   ,2021JJ00,0.0,1054.0,0.0,48.0,0.0,1006.0,0.0,893.0,52.0,61.0,18540.0,1634.0,2426.0,1014.0,21586.0,10931.0,1485.0,89.0,9081.0,48.0,0.0,0.0,48.0,0.0,0.0,48.0,8.0,6.0,0.0,125.0,100.0,2.0,23.0,0.0,0.0
141,A050129   ,2022JJ00,0.0,968.0,0.0,61.0,0.0,907.0,0.0,893.0,14.0,0.0,19204.0,2538.0,2394.0,1634.0,22502.0,11798.0,1468.0,86.0,9150.0,21.0,0.0,0.0,21.0,0.0,0.0,21.0,8.0,6.0,0.0,127.0,105.0,1.0,21.0,0.0,0.0
142,A050129   ,2023JJ00,0.0,893.0,0.0,32.0,0.0,861.0,0.0,844.0,17.0,0.0,21325.0,2164.0,2219.0,1253.0,24455.0,12789.0,1851.0,85.0,9729.0,18.0,0.0,0.0,18.0,0.0,0.0,18.0,8.0,6.0,0.0,137.0,116.0,1.0,20.0,0.0,0.0
143,A050130   ,2013JJ00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,A050130   ,2014JJ00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
