ID,Feedstocks,Destination,Periods,TotalSupply_1,IndigenousProduction_2,ProductionFromCrudeOil_3,ProductionFromOtherSources_4,Imports_5,Exports_6,StockChange_7,TotalConsumption_8,Processing_9,FinalConsumption_10,OpeningStock_11,ClosingStock_12,StockChange_13
387,a,b,2000KW01,15241.0,667.0,,,14827.0,60.0,-193.0,15241.0,15241.0,,2808.0,3000.0,-193.0
388,a,b,2000MM04,4950.0,191.0,,,4629.0,0.0,130.0,4950.0,4950.0,,3000.0,2870.0,130.0
389,a,b,2000MM05,4497.0,201.0,,,4626.0,1.0,-329.0,4497.0,4497.0,,2870.0,3199.0,-329.0
390,a,b,2000MM06,4755.0,174.0,,,4889.0,20.0,-288.0,4755.0,4755.0,,3199.0,3487.0,-288.0
391,a,b,2000KW02,14202.0,566.0,,,14144.0,21.0,-487.0,14202.0,14202.0,,3000.0,3487.0,-487.0
392,a,b,2000MM07,5496.0,185.0,,,5136.0,19.0,194.0,5496.0,5496.0,,3487.0,3294.0,194.0
393,a,b,2000MM08,5464.0,168.0,,,4585.0,18.0,729.0,5464.0,5464.0,,3294.0,2564.0,729.0
394,a,b,2000MM09,4705.0,159.0,,,5311.0,31.0,-734.0,4705.0,4705.0,,2564.0,3298.0,-734.0
395,a,b,2000KW03,15665.0,511.0,,,15032.0,68.0,190.0,15665.0,15665.0,,3487.0,3298.0,190.0
396,a,b,2000MM10,5808.0,184.0,,,5255.0,29.0,398.0,5808.0,5808.0,,3298.0,2900.0,398.0
397,a,b,2000MM11,5329.0,208.0,,,5443.0,3.0,-318.0,5329.0,5329.0,,2900.0,3218.0,-318.0
398,a,b,2000MM12,5542.0,214.0,,,5604.0,2.0,-274.0,5542.0,5542.0,,3218.0,3492.0,-274.0
399,a,b,2000KW04,16680.0,606.0,,,16302.0,34.0,-194.0,16680.0,16680.0,,3298.0,3492.0,-194.0
400,a,b,2000JJ00,61788.0,2351.0,,,60306.0,184.0,-684.0,61788.0,61788.0,,2808.0,3492.0,-684.0
401,a,b,2001MM01,5613.0,221.0,,,5784.0,35.0,-356.0,5613.0,5613.0,,3492.0,3848.0,-356.0
402,a,b,2001MM02,4925.0,190.0,,,4540.0,0.0,194.0,4925.0,4925.0,,3848.0,3653.0,194.0
403,a,b,2001MM03,5286.0,200.0,,,5907.0,39.0,-782.0,5286.0,5286.0,,3653.0,4436.0,-782.0
404,a,b,2001KW01,15824.0,610.0,,,16231.0,74.0,-944.0,15824.0,15824.0,,3492.0,4436.0,-944.0
405,a,b,2001MM04,5418.0,183.0,,,4974.0,4.0,264.0,5418.0,5418.0,,4436.0,4171.0,264.0
406,a,b,2001MM05,5383.0,144.0,,,4896.0,28.0,371.0,5383.0,5383.0,,4171.0,3800.0,371.0
407,a,b,2001MM06,4742.0,157.0,,,4395.0,6.0,196.0,4742.0,4742.0,,3800.0,3604.0,196.0
408,a,b,2001KW02,15543.0,485.0,,,14265.0,38.0,831.0,15543.0,15543.0,,4436.0,3604.0,831.0
409,a,b,2001MM07,4971.0,160.0,,,5017.0,21.0,-184.0,4971.0,4971.0,,3604.0,3789.0,-184.0
410,a,b,2001MM08,5507.0,148.0,,,5649.0,20.0,-269.0,5507.0,5507.0,,3789.0,4058.0,-269.0
411,a,b,2001MM09,4860.0,139.0,,,5041.0,2.0,-318.0,4860.0,4860.0,,4058.0,4377.0,-318.0
412,a,b,2001KW03,15338.0,447.0,,,15707.0,43.0,-772.0,15338.0,15338.0,,3604.0,4377.0,-772.0
