ID,BedrijfstakkenBranchesSBI2008,Aardgas,Elektriciteit,Perioden,Adressen_1,GeleverdAardgas_2,GeleverdeElektriciteit_3
128,T001081,A049753,A049762,2020JJ00,53270.0,491900.0,1423400.0
129,T001081,A049753,A049762,2021JJ00,59250.0,564300.0,1539300.0
130,T001081,A049753,A049762,2022JJ00,47480.0,440100.0,1267400.0
131,T001081,A049753,A049762,2023JJ00,38805.0,358200.0,1046500.0
132,T001081,A049753,A049762,2024JJ00,35140.0,317400.0,952300.0
133,T001081,A049753,A049763,2018JJ00,22155.0,254200.0,1541200.0
134,T001081,A049753,A049763,2019JJ00,21400.0,244200.0,1492400.0
135,T001081,A049753,A049763,2020JJ00,19460.0,224800.0,1356600.0
136,T001081,A049753,A049763,2021JJ00,18185.0,216500.0,1260500.0
137,T001081,A049753,A049763,2022JJ00,17250.0,198800.0,1205400.0
138,T001081,A049753,A049763,2023JJ00,15185.0,173200.0,1063000.0
139,T001081,A049753,A049763,2024JJ00,14535.0,161900.0,1020900.0
140,T001081,A049753,A049764,2018JJ00,10160.0,137300.0,1386800.0
141,T001081,A049753,A049764,2019JJ00,9845.0,131700.0,1341500.0
142,T001081,A049753,A049764,2020JJ00,8855.0,119600.0,1208300.0
143,T001081,A049753,A049764,2021JJ00,7845.0,105800.0,1071700.0
144,T001081,A049753,A049764,2022JJ00,8430.0,112000.0,1160400.0
145,T001081,A049753,A049764,2023JJ00,7935.0,105900.0,1095500.0
146,T001081,A049753,A049764,2024JJ00,8090.0,105000.0,1116400.0
147,T001081,A049753,A049765,2018JJ00,6490.0,90600.0,3451300.0
148,T001081,A049753,A049765,2019JJ00,6200.0,85200.0,3338200.0
149,T001081,A049753,A049765,2020JJ00,5815.0,80900.0,3234200.0
150,T001081,A049753,A049765,2021JJ00,5330.0,74300.0,2974900.0
151,T001081,A049753,A049765,2022JJ00,5855.0,81300.0,3235700.0
152,T001081,A049753,A049765,2023JJ00,5515.0,76000.0,3070900.0
153,T001081,A049753,A049765,2024JJ00,5825.0,80200.0,3288400.0
154,T001081,A049753,A049766,2018JJ00,30.0,400.0,705800.0
155,T001081,A049753,A049766,2019JJ00,25.0,400.0,671400.0
156,T001081,A049753,A049766,2020JJ00,30.0,400.0,832900.0
157,T001081,A049753,A049766,2021JJ00,25.0,400.0,870000.0
158,T001081,A049753,A049766,2022JJ00,25.0,400.0,906400.0
159,T001081,A049753,A049766,2023JJ00,25.0,300.0,882100.0
160,T001081,A049753,A049766,2024JJ00,35.0,400.0,1299500.0
161,T001081,A049753,A049767,2018JJ00,16200.0,170300.0,
162,T001081,A049753,A049767,2019JJ00,14610.0,150900.0,
163,T001081,A049753,A049767,2020JJ00,11770.0,127900.0,
164,T001081,A049753,A049767,2021JJ00,12210.0,133400.0,
165,T001081,A049753,A049767,2022JJ00,10530.0,114000.0,
166,T001081,A049753,A049767,2023JJ00,9765.0,105100.0,
167,T001081,A049753,A049767,2024JJ00,8710.0,93200.0,
168,T001081,A049754,T001604,2018JJ00,18700.0,766200.0,5592900.0
169,T001081,A049754,T001604,2019JJ00,17795.0,730500.0,4951700.0
170,T001081,A049754,T001604,2020JJ00,15965.0,652600.0,4405800.0
