ID,Geslacht,LeeftijdOp31December,Onderwijsniveau,Marges,Perioden,Levensverwachting_1,Sterftekans_2,LevensverwInAlsGoedErvarenGezondh_3,LevensverwZonderLichBeperkingen_4,LevensverwZonderChronischeZiektes_5,LevensverwInGoedeGeestelijkeGezondh_6
163,T001038 ,12500,2018700,MW00000,2013G400,55.8,0.0007,35.5,42.0,20.6,46.7
164,T001038 ,12500,2018700,MW00000,2015G400,55.4,0.0008,34.9,42.0,19.1,45.9
165,T001038 ,12500,2018700,MOG0095,2011G400,55.7,,35.7,42.4,21.5,47.3
166,T001038 ,12500,2018700,MOG0095,2013G400,55.7,,34.9,41.4,19.9,46.1
167,T001038 ,12500,2018700,MOG0095,2015G400,55.2,,34.2,41.4,18.4,45.3
168,T001038 ,12500,2018700,MBG0095,2011G400,56.1,,36.7,43.5,22.9,48.4
169,T001038 ,12500,2018700,MBG0095,2013G400,56.0,,36.1,42.6,21.3,47.3
170,T001038 ,12500,2018700,MBG0095,2015G400,55.6,,35.6,42.6,19.8,46.5
171,T001038 ,12500,2018740,MW00000,2011G400,57.8,0.0003,43.0,48.7,23.8,52.1
172,T001038 ,12500,2018740,MW00000,2013G400,57.9,0.0003,43.1,48.8,23.7,52.1
173,T001038 ,12500,2018740,MW00000,2015G400,58.2,0.0003,42.7,49.4,23.3,52.1
174,T001038 ,12500,2018740,MOG0095,2011G400,57.6,,42.5,48.1,23.2,51.7
175,T001038 ,12500,2018740,MOG0095,2013G400,57.7,,42.5,48.3,23.1,51.7
176,T001038 ,12500,2018740,MOG0095,2015G400,58.0,,42.1,48.9,22.8,51.7
177,T001038 ,12500,2018740,MBG0095,2011G400,58.0,,43.5,49.2,24.4,52.6
178,T001038 ,12500,2018740,MBG0095,2013G400,58.0,,43.6,49.3,24.2,52.5
179,T001038 ,12500,2018740,MBG0095,2015G400,58.4,,43.2,50.0,23.8,52.5
180,T001038 ,12500,2018790,MW00000,2011G400,59.9,0.0002,48.4,52.9,28.4,55.3
181,T001038 ,12500,2018790,MW00000,2013G400,60.3,0.0002,48.6,53.6,28.7,55.7
182,T001038 ,12500,2018790,MW00000,2015G400,61.1,0.0002,48.8,54.9,28.2,56.1
183,T001038 ,12500,2018790,MOG0095,2011G400,59.6,,47.7,52.2,27.6,54.8
184,T001038 ,12500,2018790,MOG0095,2013G400,60.1,,47.9,52.8,27.9,55.2
185,T001038 ,12500,2018790,MOG0095,2015G400,60.8,,48.0,54.2,27.5,55.5
186,T001038 ,12500,2018790,MBG0095,2011G400,60.2,,49.1,53.7,29.2,55.9
187,T001038 ,12500,2018790,MBG0095,2013G400,60.6,,49.3,54.3,29.4,56.2
188,T001038 ,12500,2018790,MBG0095,2015G400,61.4,,49.6,55.6,28.9,56.6
189,T001038 ,13000,2018700,MW00000,2011G400,51.1,0.0007,32.3,38.5,18.8,43.7
190,T001038 ,13000,2018700,MW00000,2013G400,51.0,0.0008,31.7,37.6,17.6,42.7
191,T001038 ,13000,2018700,MW00000,2015G400,50.6,0.0008,31.1,37.7,16.4,41.9
192,T001038 ,13000,2018700,MOG0095,2011G400,50.9,,31.8,37.9,18.2,43.2
193,T001038 ,13000,2018700,MOG0095,2013G400,50.9,,31.1,37.1,17.0,42.2
194,T001038 ,13000,2018700,MOG0095,2015G400,50.4,,30.5,37.2,15.7,41.4
195,T001038 ,13000,2018700,MBG0095,2011G400,51.3,,32.8,39.0,19.4,44.2
196,T001038 ,13000,2018700,MBG0095,2013G400,51.2,,32.3,38.2,18.2,43.2
