ID,Kenmerken,Perioden,EmotioneelUitgeput_1,LeegGevoel_2,SOchtendsMoeVoelen_3,UitgeputDoorWerk_4,OpZijn_5,BurnOutKlachten_6,Malaiseklachten_7,Migraine_8,WerkgebondenKlachtenBovensteLedematen_9,TotaalRugklachten_10,RSI_11,ZiekteverzuimDoorRSIInAfgelopenJaar_12,MinderGoedeGezondheid_13,ZiekteverzuimInAfgelopen2Maanden_14,k_15DagenVerzuimd_15,k_610DagenVerzuimd_16,k_11OfMeerDagenVerzuimd_17,VerzuimDoorOngeval_18,OngevalInVerkeer_19,OngevalOpWerk_20,Sportongeval_21,OngevalThuisOfElders_22,VerzuimAlleenDoorZiekte_23
196,35,2001JJ00,14,35,17,16,11,10,,,37.0,,,,17,26,54.0,12.0,34.0,14.0,,,,,86.0
197,35,2002JJ00,12,30,16,15,10,12,,,37.0,,,,18,24,59.0,11.0,30.0,13.0,,,,,87.0
198,35,2003JJ00,17,33,18,16,8,11,,,,,,,20,25,68.0,9.0,23.0,12.0,,,,,88.0
199,35,2004JJ00,16,37,20,19,15,15,,,,,,,17,21,64.0,15.0,21.0,9.0,,,,,91.0
200,36,1997JJ00,17,33,15,14,8,10,6.0,5.0,43.0,27.0,24.0,3.0,13,20,60.0,12.0,28.0,26.0,,,,,74.0
201,36,1998JJ00,14,30,11,15,6,8,9.0,5.0,39.0,28.0,21.0,5.0,11,17,,,,,,,,,
202,36,1999JJ00,10,31,14,14,11,10,9.0,2.0,44.0,27.0,25.0,8.0,14,18,52.0,21.0,28.0,23.0,,,,,
203,36,2000JJ00,9,23,10,9,8,7,8.0,7.0,42.0,22.0,26.0,6.0,14,25,56.0,6.0,37.0,24.0,,,,,76.0
204,36,2001JJ00,17,33,19,15,13,13,,,42.0,,,,8,21,53.0,22.0,25.0,17.0,,,,,83.0
205,36,2002JJ00,8,32,15,12,7,7,,,46.0,,,,13,18,,,,,,,,,
206,36,2003JJ00,8,30,12,9,7,6,,,,,,,12,15,,,,,,,,,
207,36,2004JJ00,13,35,18,17,11,10,,,,,,,14,17,64.0,9.0,27.0,,,,,,
208,37,1997JJ00,13,31,15,13,9,9,10.0,7.0,33.0,24.0,19.0,2.0,10,20,68.0,11.0,21.0,11.0,,,,,89.0
209,37,1998JJ00,11,26,12,11,7,7,9.0,8.0,26.0,22.0,15.0,2.0,12,19,56.0,20.0,25.0,10.0,,,,,90.0
210,37,1999JJ00,13,30,16,15,9,10,11.0,9.0,36.0,21.0,23.0,3.0,12,22,65.0,13.0,22.0,8.0,,,,,92.0
211,37,2000JJ00,9,26,12,11,7,6,11.0,9.0,35.0,21.0,23.0,3.0,11,19,64.0,11.0,25.0,9.0,,,,,91.0
212,37,2001JJ00,10,28,17,11,9,8,,,35.0,,,,12,22,63.0,14.0,23.0,12.0,,,,,88.0
213,37,2002JJ00,14,32,18,13,11,10,,,36.0,,,,11,23,64.0,14.0,22.0,8.0,,,,,92.0
214,37,2003JJ00,14,31,18,12,8,10,,,,,,,12,23,64.0,15.0,21.0,8.0,,,,,92.0
215,37,2004JJ00,16,32,21,14,11,12,,,,,,,12,21,68.0,9.0,22.0,9.0,,,,,91.0
216,38,1997JJ00,15,30,15,12,9,9,11.0,6.0,33.0,27.0,18.0,2.0,8,16,70.0,11.0,19.0,13.0,,,,,87.0
217,38,1998JJ00,10,25,11,10,6,6,8.0,10.0,27.0,21.0,16.0,3.0,11,17,51.0,22.0,27.0,11.0,,,,,89.0
218,38,1999JJ00,13,27,15,17,10,10,10.0,9.0,37.0,23.0,24.0,3.0,12,22,68.0,7.0,25.0,9.0,,,,,91.0
219,38,2000JJ00,9,24,8,8,5,4,9.0,10.0,34.0,23.0,22.0,3.0,12,17,69.0,11.0,20.0,7.0,,,,,93.0
220,38,2001JJ00,10,26,16,12,9,10,,,32.0,,,,11,24,61.0,13.0,26.0,7.0,,,,,93.0
221,38,2002JJ00,13,29,16,10,10,9,,,35.0,,,,13,23,66.0,18.0,16.0,7.0,,,,,93.0
222,38,2003JJ00,14,30,17,11,9,10,,,,,,,13,23,58.0,16.0,26.0,6.0,,,,,94.0
223,38,2004JJ00,16,28,19,14,9,11,,,,,,,10,19,70.0,9.0,22.0,8.0,,,,,
224,39,1997JJ00,15,32,20,14,12,12,15.0,8.0,41.0,26.0,22.0,3.0,16,18,,,,,,,,,
225,39,1998JJ00,5,27,9,8,3,4,11.0,7.0,22.0,17.0,14.0,1.0,15,18,,,,,,,,,
226,39,1999JJ00,14,34,25,18,11,14,20.0,17.0,31.0,16.0,20.0,6.0,14,14,,,,,,,,,
227,39,2000JJ00,12,20,14,16,9,8,15.0,8.0,46.0,23.0,27.0,5.0,12,16,,,,,,,,,
228,39,2001JJ00,5,24,17,14,11,8,,,36.0,,,,9,19,,,,,,,,,
229,39,2002JJ00,18,34,25,21,23,19,,,34.0,,,,7,24,,,,,,,,,
230,39,2003JJ00,12,29,28,14,8,10,,,,,,,13,19,,,,,,,,,
231,39,2004JJ00,19,25,23,12,4,10,,,,,,,11,15,,,,,,,,,
232,40,1997JJ00,11,28,13,16,6,11,7.0,3.0,39.0,25.0,24.0,4.0,10,20,,,,,,,,,87.0
233,40,1998JJ00,10,25,12,10,6,7,8.0,6.0,30.0,25.0,16.0,2.0,11,20,,,,,,,,,
234,40,1999JJ00,11,24,13,11,7,9,6.0,9.0,43.0,21.0,28.0,5.0,11,24,51.0,16.0,33.0,10.0,,,,,90.0
235,40,2000JJ00,6,22,13,11,5,6,9.0,6.0,36.0,22.0,23.0,4.0,14,21,,,,,,,,,
236,40,2001JJ00,10,26,19,11,9,8,,,40.0,,,,13,21,,,,,,,,,
237,40,2002JJ00,12,30,18,13,11,8,,,39.0,,,,14,29,54.0,20.0,26.0,13.0,,,,,87.0
238,40,2003JJ00,11,28,17,13,8,10,,,,,,,10,21,,,,,,,,,
239,40,2004JJ00,21,38,22,19,15,15,,,,,,,16,20,,,,,,,,,
240,41,1997JJ00,9,27,16,8,7,7,7.0,6.0,25.0,20.0,15.0,1.0,8,33,,,,,,,,,
241,41,1998JJ00,14,25,11,13,9,9,9.0,9.0,17.0,22.0,13.0,0.0,9,26,,,,,,,,,
242,41,1999JJ00,14,35,14,14,9,11,13.0,10.0,34.0,22.0,21.0,2.0,13,24,,,,,,,,,
243,41,2000JJ00,8,25,12,9,7,6,11.0,14.0,30.0,21.0,19.0,2.0,10,19,,,,,,,,,
244,41,2001JJ00,13,27,13,10,5,5,,,28.0,,,,9,13,,,,,,,,,
245,41,2002JJ00,10,33,12,7,11,6,,,42.0,,,,11,23,,,,,,,,,
246,41,2003JJ00,13,28,6,8,4,7,,,,,,,10,21,,,,,,,,,
247,41,2004JJ00,18,38,21,13,14,13,,,,,,,15,28,,,,,,,,,92.0
248,42,1997JJ00,12,33,15,12,11,9,11.0,11.0,29.0,19.0,19.0,3.0,12,23,74.0,9.0,17.0,12.0,,,,,88.0
249,42,1998JJ00,13,28,13,12,8,8,9.0,6.0,29.0,22.0,17.0,2.0,14,17,69.0,16.0,15.0,7.0,,,,,93.0
250,42,1999JJ00,13,33,15,13,9,9,11.0,6.0,32.0,22.0,21.0,2.0,12,24,66.0,19.0,15.0,5.0,,,,,95.0
251,42,2000JJ00,12,32,16,14,11,8,14.0,9.0,33.0,18.0,24.0,3.0,10,20,66.0,15.0,20.0,8.0,,,,,92.0
252,42,2001JJ00,10,33,17,11,10,9,,,38.0,,,,12,23,68.0,8.0,24.0,15.0,,,,,85.0
253,42,2002JJ00,17,37,22,15,8,11,,,34.0,,,,9,21,61.0,13.0,26.0,7.0,,,,,93.0
254,42,2003JJ00,15,35,21,15,9,12,,,,,,,12,24,73.0,14.0,13.0,7.0,,,,,93.0
255,42,2004JJ00,13,33,22,12,11,11,,,,,,,13,22,72.0,9.0,19.0,8.0,,,,,92.0
256,43,1997JJ00,17,35,16,14,10,11,13.0,10.0,32.0,30.0,16.0,2.0,12,23,65.0,11.0,23.0,7.0,,,,,93.0
257,43,1998JJ00,14,32,13,12,7,8,12.0,9.0,28.0,28.0,14.0,2.0,13,20,71.0,10.0,19.0,5.0,,,,,95.0
258,43,1999JJ00,16,32,15,13,9,10,11.0,11.0,33.0,27.0,19.0,3.0,14,24,59.0,16.0,26.0,7.0,,,,,93.0
259,43,2000JJ00,15,30,15,12,9,10,14.0,10.0,35.0,25.0,22.0,2.0,13,24,67.0,13.0,20.0,8.0,,,,,92.0
260,43,2001JJ00,17,31,17,13,9,10,,,36.0,,,,13,26,63.0,12.0,25.0,6.0,,,,,94.0
261,43,2002JJ00,14,31,15,12,10,9,,,34.0,,,,13,25,58.0,14.0,28.0,6.0,,,,,94.0
262,43,2003JJ00,17,33,17,12,8,9,,,,,,,14,24,68.0,10.0,22.0,6.0,,,,,94.0
263,43,2004JJ00,15,31,16,11,8,9,,,,,,,12,24,66.0,14.0,20.0,5.0,,,,,95.0
264,44,1997JJ00,16,33,16,13,10,8,7.0,4.0,29.0,31.0,15.0,2.0,12,24,62.0,13.0,25.0,6.0,,,,,94.0
265,44,1998JJ00,11,25,14,9,8,9,9.0,6.0,23.0,27.0,12.0,1.0,10,21,71.0,15.0,13.0,7.0,,,,,93.0
266,44,1999JJ00,15,30,13,11,8,8,11.0,8.0,29.0,23.0,20.0,3.0,13,28,62.0,17.0,21.0,7.0,,,,,93.0
267,44,2000JJ00,9,23,11,6,6,7,12.0,11.0,30.0,25.0,19.0,2.0,12,28,60.0,21.0,19.0,11.0,,,,,89.0
268,44,2001JJ00,13,28,13,11,7,9,,,33.0,,,,9,27,76.0,9.0,16.0,9.0,,,,,91.0
269,44,2002JJ00,12,29,14,9,8,7,,,33.0,,,,11,24,70.0,10.0,20.0,2.0,,,,,98.0
270,44,2003JJ00,16,31,17,10,6,6,,,,,,,12,23,69.0,12.0,19.0,12.0,,,,,88.0
271,44,2004JJ00,10,30,15,7,7,8,,,,,,,9,23,69.0,12.0,18.0,10.0,,,,,90.0
272,45,1997JJ00,20,41,14,15,8,13,10.0,13.0,25.0,32.0,11.0,1.0,14,27,74.0,7.0,20.0,4.0,,,,,96.0
273,45,1998JJ00,20,46,20,22,11,15,14.0,9.0,21.0,24.0,12.0,2.0,17,19,,,,,,,,,
274,45,1999JJ00,21,39,18,16,9,11,9.0,9.0,25.0,27.0,16.0,1.0,14,18,65.0,18.0,17.0,7.0,,,,,93.0
275,45,2000JJ00,21,41,21,19,13,16,18.0,8.0,25.0,25.0,18.0,3.0,14,22,82.0,6.0,12.0,4.0,,,,,96.0
276,45,2001JJ00,23,41,24,17,11,15,,,25.0,,,,16,23,56.0,13.0,31.0,5.0,,,,,95.0
277,45,2002JJ00,21,41,23,16,17,12,,,28.0,,,,15,20,61.0,16.0,23.0,4.0,,,,,96.0
278,45,2003JJ00,21,46,22,14,9,14,,,,,,,15,23,80.0,6.0,14.0,3.0,,,,,97.0
279,45,2004JJ00,16,41,17,10,6,9,,,,,,,9,21,76.0,12.0,12.0,3.0,,,,,97.0
280,46,1997JJ00,17,35,18,14,11,11,15.0,12.0,35.0,28.0,17.0,2.0,12,24,62.0,13.0,25.0,8.0,,,,,92.0
281,46,1998JJ00,14,33,10,11,5,5,10.0,9.0,32.0,30.0,15.0,3.0,10,23,69.0,10.0,22.0,6.0,,,,,94.0
282,46,1999JJ00,16,30,14,13,10,11,11.0,12.0,36.0,29.0,18.0,4.0,13,27,56.0,15.0,29.0,7.0,,,,,93.0
283,46,2000JJ00,16,29,14,14,10,9,14.0,12.0,43.0,28.0,24.0,3.0,13,25,66.0,11.0,23.0,9.0,,,,,91.0
284,46,2001JJ00,17,30,16,13,9,9,,,40.0,,,,14,27,59.0,11.0,30.0,6.0,,,,,94.0
285,46,2002JJ00,13,29,12,11,10,9,,,35.0,,,,14,28,53.0,16.0,31.0,9.0,,,,,91.0
286,46,2003JJ00,17,32,16,13,9,9,,,,,,,15,26,64.0,11.0,25.0,5.0,,,,,95.0
287,46,2004JJ00,17,28,16,13,9,11,,,,,,,15,26,61.0,14.0,25.0,5.0,,,,,95.0
288,47,1997JJ00,12,26,14,14,10,10,19.0,7.0,40.0,29.0,24.0,5.0,9,14,,,,,,,,,
289,47,1998JJ00,9,20,10,7,7,3,19.0,13.0,34.0,33.0,17.0,4.0,20,15,,,,,,,,,
290,47,1999JJ00,13,29,18,11,11,9,15.0,15.0,42.0,28.0,24.0,4.0,15,15,,,,,,,,,
291,47,2000JJ00,11,28,11,7,6,9,8.0,7.0,36.0,16.0,27.0,1.0,14,17,,,,,,,,,
292,47,2001JJ00,14,28,18,10,10,10,,,44.0,,,,13,26,,,,,,,,,
293,47,2002JJ00,13,31,12,12,7,7,,,43.0,,,,10,21,,,,,,,,,
294,47,2003JJ00,11,21,18,7,8,5,,,,,,,14,17,,,,,,,,,
295,47,2004JJ00,14,23,16,9,7,8,,,,,,,11,17,,,,,,,,,
