ID,Persoonskenmerken,Perioden,PersonalComputerPC_1,Desktop_2,Laptop_3,k_3MndGeleden_4,k_312MndGeleden_5,k_1JaarGeleden_6,NooitPCGebruikt_7,BijnaDagelijks_8,NietDagelijksMaarMinstens1xPerWeek_9,NietWekelijksMaarMinstens1xPerMnd_10,Nauwelijks_11,Thuis_12,BijIemandAndersThuis_13,OpHetWerk_14,BijEenOnderwijsinstelling_15,Ja_16,Nee_17,k_3MndGeleden_18,k_312MndGeleden_19,k_13JaarGeleden_20,MeerDan3JaarGeleden_21,MapOfFolderKopierenVerplaatsen_22,KopierenOfPlakkenVanInformatie_23,EenvoudigeFormGebruikenSpreadsheet_24,MappenBestandenComprimerenZippen_25,Programmeren_26,GeenVanDezeVaardigheden_27,MapOfFolderKopierenVerplaatsten_28,KopierenOfPlakkenVanInformatie_29,EenvoudigeFormGebruikenSpreadsheet_30,MappenBestandenComprimerenZippen_31,Programmeren_32,GeenVanDezeVaardigheden_33,WelToegangInternet_34,GeenToegangInternet_35,EldersInternetten_36,WilNietGeenInteresse_37,FinancieleRedenen_38,OnvoldoendeKennisFysiekeBeperking_39,PrivacyEnVeiligheid_40,AndereReden_41,TotaalGeenBreedband_42,AnaloogModem_43,ISDN_44,MobieleTelefoonWAPGPRS_45,TotaalBreedband_46,ADSL_47,Kabel_48,TotaalGeenBreedband_49,AnaloogModem_50,ISDN_51,MobieleTelefoonWAPGPRS_52,TotaalBreedband_53,ADSL_54,Kabel_55,PersonalComputer_56,PCDesktop_57,Laptop_58,MobieleTelefoon_59,AndereApparatuur_60,PersonalComputer_61,PCDesktop_62,Laptop_63,MobieleTelefoon_64,AndereApparatuur_65,k_3MndGeleden_66,k_312MndGeleden_67,k_1JaarGeleden_68,NooitInternetGebruikt_69,BijnaDagelijks_70,NietDagelijksMaarMinstens1xPerWeek_71,NietWekelijksMaarMinstens1xPerMnd_72,MinderDan1xPerMaand_73,Thuis_74,BijIemandAndersThuis_75,OpHetWerk_76,BijEenOnderwijsinstelling_77,ErgensAnders_78,ZoekmachineGebruiken_79,EMailSturenMetBijvoegingDocumenten_80,BerichtenOpChatroomNieuwsgroepForum_81,TelefonerenViaInternet_82,MappenDelenIvmUitwisselenMuziekFilm_83,WebpaginaOntwerpen_84,GeenVanDezeVaardigheden_85,ZoekmachineGebruiken_86,EMailSturenMetBijvoegingDocumenten_87,BerichtenOpChatroomNieuwsgroepForum_88,TelefonerenViaInternet_89,MappenDelenIvmUitwisselenMuziekFilm_90,WebpaginaOntwerpen_91,GeenVanDezeVaardigheden_92,TotaalCommunicatie_93,VersturenOntvangenVanEMails_94,TelefonerenViaInternet_95,AndersBvChatten_96,TotaalInformatie_97,OpzoekenInfoOverGoederenEnDiensten_98,GebruikVanDienstenInReisbranche_99,ActualiteitEnNieuws_100,WerkVacatures_101,TotaalCommercieleProducten_102,BankierenViaInternet_103,FinancieleTransacties_104,KopenVerkopenVanGoederen_105,TotaalOverheid_106,ZoekenOpWebsitesOverheidsinstanties_107,OfficieleDocumentenDownloaden_108,IngevuldeDocumentenVersturen_109,Gezondheid_110,Onderwijs_111,TotaalVermaak_112,SpelletjesMuziek_113,SoftwareDownloaden_114,AankopenGoederenVanAllePersonen_115,k_3MndGeleden_116,k_312MndGeleden_117,MeerDan1JaarGeleden_118,NooitBesteldOfGekocht_119,AankopenGoederenPersInternetGebr_120,k_3MndGeleden_121,k_312MndGeleden_122,MeerDan1JaarGeleden_123,NooitBesteld_124,LevensmiddelenCosmeticaEnSchoonmaak_125,KledingEnSportArtikelen_126,FilmMuziek_127,BoekenTijdschriftenEnKranten_128,SoftHardwareEnElektrBenodigdheden_129,HuishoudelijkeGoederenEnApparaten_130,ReizenEnAccommodaties_131,FinancieleProductenOfDiensten_132,KaartjesVoorEvenementen_133,AndereAankopen_134
31,41500  ,2009JJ00,99,92,75,99,0,0,0,91,9,0,0,99,53,31,68,28,72,13,15,26,46,96,97,60,53,16,2,96,97,60,53,16,2,99,1,0,0,0,0,0,0,15,3.0,5.0,2.0,84,63.0,33.0,15,3.0,5.0,2.0,85,64.0,33.0,98,88,72,45,36,99,89,73,45,36,99,0,0,0,89,10,1,0,98,47,29,63,7,98,95,70,39.0,57.0,36,0,99,95,70,39.0,57.0,36,0,98,95,22.0,54,80,78,38,77,24,62,59,3,40,34,31,17,13,37,,89,86,41,70,42,20,8,30,70,42,20,8,30,9.0,47.0,28.0,30.0,36.0,8.0,29.0,5.0,40.0,3.0
32,41500  ,2010JJ00,99,89,86,99,0,0,0,87,12,1,0,99,48,24,69,30,70,15,13,23,48,94,95,56,51,14,3,94,96,57,51,14,3,99,1,0,0,0,0,0,0,2,1.0,2.0,3.0,96,67.0,31.0,2,1.0,2.0,4.0,98,68.0,31.0,98,88,85,54,43,99,89,86,55,44,99,0,0,0,87,12,1,0,99,44,22,65,8,98,93,74,42.0,52.0,36,1,98,94,75,42.0,52.0,36,1,99,94,25.0,55,82,80,38,78,22,66,63,6,45,38,37,20,16,37,,88,86,38,73,45,21,7,26,73,45,21,7,27,7.0,48.0,25.0,29.0,33.0,11.0,28.0,4.0,41.0,4.0
33,41500  ,2011JJ00,100,88,91,100,0,0,0,90,9,0,0,99,50,28,71,28,72,21,15,30,34,92,94,54,89,10,0,93,94,54,89,10,0,99,1,0,0,0,0,0,0,10,,,,88,,,10,,,,89,,,99,86,88,72,52,99,86,89,72,52,100,0,0,0,91,8,0,0,99,48,28,68,10,98,94,66,50.0,51.0,27,0,98,94,66,50.0,51.0,27,0,99,95,33.0,50,79,77,38,82,27,71,62,7,51,38,35,20,18,40,,89,87,38,74,47,22,6,26,74,47,22,6,26,12.0,53.0,26.0,31.0,38.0,9.0,34.0,7.0,39.0,7.0
34,41500  ,2012JJ00,99,86,93,100,0,0,0,88,10,1,0,98,50,26,73,22,78,18,11,22,49,92,94,54,48,10,2,92,94,54,48,10,2,99,0,0,0,0,0,0,0,7,,,,90,,,9,,,,91,,,98,84,91,86,57,99,85,92,87,57,100,0,0,0,93,7,0,0,99,52,31,69,24,98,90,66,51.0,48.0,24,0,99,91,67,52.0,48.0,24,0,95,92,34.0,52,80,78,42,81,29,74,64,3,51,42,39,22,21,41,0.0,89,87,44,77,47,22,7,22,78,48,22,7,22,12.0,61.0,24.0,31.0,37.0,10.0,29.0,9.0,40.0,6.0
35,41500  ,2013JJ00,100,81,93,99,1,0,0,80,17,1,0,98,45,27,73,19,81,23,18,19,39,92,97,54,44,10,0,92,97,54,44,10,0,100,0,0,0,0,0,0,0,0,,,,91,,,9,,,,91,,,99,80,92,94,81,99,80,92,94,81,100,0,0,0,93,6,0,0,99,57,34,72,31,98,94,61,60.0,50.0,23,0,99,95,62,61.0,51.0,23,0,95,92,43.0,48,79,75,38,80,28,75,63,4,56,43,40,23,23,44,0.0,92,90,44,79,54,18,7,20,80,54,19,7,20,13.0,65.0,27.0,32.0,44.0,12.0,31.0,8.0,47.0,0.0
36,53310  ,2005JJ00,93,86,37,93,1,2,4,77,18,3,1,95,12,69,4,53,47,10,10,17,63,83,81,56,49,16,10,86,85,58,51,16,10,89,11,3,4,2,1,0,4,27,21.0,6.0,3.0,62,40.0,24.0,30,24.0,7.0,3.0,70,45.0,27.0,89,82,27,11,5,100,92,30,13,5,90,1,1,7,70,25,4,1,93,11,59,2,3,89,81,21,8.0,15.0,16,2,96,87,23,9.0,16.0,17,2,95,93,8.0,32,93,91,53,49,26,81,69,5,54,63,56,32,30,56,25.0,55,48,29,61,41,14,6,32,66,44,16,6,34,3.0,30.0,19.0,31.0,30.0,20.0,34.0,4.0,22.0,6.0
37,53310  ,2006JJ00,94,87,44,95,2,1,3,80,16,3,1,95,11,68,5,50,50,9,10,18,64,74,83,60,55,11,9,77,86,61,57,12,10,91,9,2,4,1,1,0,2,12,8.0,4.0,2.0,79,53.0,27.0,13,9.0,5.0,3.0,87,58.0,30.0,91,82,33,14,7,100,90,36,15,7,92,2,1,5,76,19,3,1,94,10,59,4,4,93,85,26,17.0,23.0,19,2,97,89,28,18.0,24.0,20,2,96,95,13.0,34,95,93,56,61,29,86,78,9,62,68,60,38,41,60,24.0,60,54,32,70,50,15,5,25,74,52,16,6,26,5.0,38.0,24.0,35.0,37.0,25.0,44.0,10.0,32.0,3.0
38,53310  ,2007JJ00,95,86,53,96,1,1,2,82,15,2,1,97,18,69,6,46,54,10,8,17,66,87,85,59,53,16,9,89,87,60,54,16,9,93,7,2,3,1,0,0,2,8,4.0,4.0,1.0,85,59.0,27.0,9,4.0,5.0,1.0,91,64.0,29.0,93,82,47,22,14,100,88,50,24,15,95,1,1,3,80,16,3,1,96,15,62,5,5,93,86,31,,28.0,19,2,96,89,32,,29.0,20,2,96,95,,32,94,92,58,65,28,89,83,8,64,69,60,37,41,56,,62,55,35,75,55,15,6,21,78,57,15,6,22,8.0,39.0,23.0,35.0,42.0,23.0,45.0,10.0,35.0,5.0
39,53310  ,2008JJ00,96,84,61,97,0,1,2,83,15,2,1,97,24,74,5,42,58,8,10,16,66,86,84,58,55,13,11,88,86,59,56,14,11,96,4,1,2,1,0,0,1,11,4.0,6.0,2.0,85,55.0,33.0,12,4.0,7.0,2.0,88,58.0,35.0,94,80,56,26,18,99,83,59,27,19,96,0,1,3,80,17,2,1,97,19,67,5,5,95,86,37,21.0,,16,2,98,89,38,22.0,,17,2,96,95,12.0,27,94,91,59,71,24,92,85,8,66,70,62,43,45,56,,65,58,38,79,59,15,5,18,82,61,16,5,18,9.0,46.0,23.0,37.0,39.0,27.0,49.0,9.0,38.0,3.0
40,53310  ,2009JJ00,98,85,73,98,1,0,1,88,11,1,1,99,24,76,8,48,52,10,8,15,67,92,90,69,64,20,5,93,91,69,65,20,5,98,2,0,1,0,0,0,1,12,3.0,5.0,1.0,87,60.0,33.0,12,3.0,6.0,1.0,88,61.0,34.0,98,82,70,34,28,99,83,71,34,29,98,0,0,2,86,12,1,0,99,20,71,6,5,97,95,49,36.0,35.0,25,0,99,96,49,37.0,35.0,25,0,97,97,16.0,32,94,93,54,80,24,91,89,7,68,69,63,43,43,61,,69,61,40,87,64,16,8,11,89,65,16,8,11,9.0,50.0,30.0,43.0,39.0,26.0,53.0,7.0,45.0,2.0
41,53310  ,2010JJ00,99,80,77,99,0,0,0,88,10,2,0,99,27,72,8,51,49,8,8,15,69,92,92,68,62,16,5,93,92,68,62,16,5,99,1,0,1,0,0,0,0,5,2.0,2.0,3.0,93,60.0,36.0,5,2.0,2.0,3.0,95,61.0,37.0,98,77,74,44,32,100,79,75,45,32,99,0,0,1,89,10,1,0,98,24,67,7,9,98,96,46,37.0,30.0,21,0,98,97,46,37.0,30.0,21,0,98,97,19.0,29,95,93,55,81,28,92,91,9,73,71,68,44,43,60,,68,60,34,89,69,14,6,11,89,69,14,6,11,11.0,56.0,29.0,41.0,36.0,29.0,53.0,9.0,44.0,2.0
42,53310  ,2011JJ00,98,78,81,98,0,0,1,90,9,1,1,98,31,73,8,39,61,11,12,16,61,91,90,66,66,11,0,92,91,67,67,11,0,99,1,0,1,0,0,0,0,7,,,,91,,,7,,,,92,,,98,74,79,61,34,99,75,80,62,35,98,0,0,1,90,9,0,0,99,28,69,7,11,97,96,49,47.0,33.0,21,0,98,97,50,47.0,34.0,21,0,98,97,27.0,31,94,93,56,82,26,96,93,9,74,71,63,48,52,60,,69,63,34,89,66,16,6,9,90,67,17,7,10,14.0,58.0,27.0,43.0,37.0,30.0,57.0,6.0,49.0,3.0
43,53310  ,2012JJ00,99,73,85,99,0,0,1,89,9,1,0,98,34,71,12,36,64,9,10,12,68,89,88,63,57,12,2,90,89,64,57,12,2,99,1,0,1,1,0,0,0,8,,,,88,,,11,,,,89,,,98,69,83,74,46,99,70,85,75,46,99,0,0,1,91,8,1,0,99,34,69,11,21,96,90,48,46.0,33.0,20,0,98,92,49,47.0,34.0,21,0,97,97,28.0,31,95,93,55,83,24,96,92,7,74,69,63,46,48,62,0.0,73,67,36,89,69,14,6,10,90,70,14,6,10,12.0,62.0,25.0,39.0,37.0,36.0,55.0,8.0,46.0,4.0
44,53310  ,2013JJ00,98,69,85,99,0,0,1,88,10,1,0,98,34,76,11,32,68,11,11,15,62,90,90,68,61,14,0,90,91,68,61,14,0,99,1,0,0,0,0,0,0,0,,,,90,,,9,,,,91,,,98,67,85,86,71,99,67,86,87,72,99,0,0,1,94,6,0,0,99,42,77,12,28,97,93,51,53.0,40.0,22,1,99,94,52,54.0,40.0,22,1,98,98,32.0,33,94,92,53,84,26,96,94,6,76,71,65,46,50,64,0.0,76,70,42,92,72,14,6,7,93,73,14,6,7,16.0,68.0,30.0,46.0,47.0,40.0,62.0,14.0,54.0,0.0
45,53715  ,2005JJ00,86,82,31,77,2,4,16,70,23,5,2,94,7,55,3,50,50,7,11,22,60,64,61,38,33,8,15,77,73,45,40,10,18,81,19,2,11,3,2,1,4,24,19.0,7.0,1.0,57,34.0,24.0,30,23.0,8.0,1.0,70,43.0,30.0,81,77,21,6,2,100,96,26,8,3,72,3,2,23,62,29,7,3,94,6,45,3,4,71,61,8,4.0,8.0,7,4,93,79,10,5.0,10.0,9,5,90,90,5.0,20,90,86,54,38,11,68,59,7,41,59,51,29,28,49,15.0,43,32,24,38,25,10,3,38,50,33,12,5,50,3.0,21.0,17.0,29.0,32.0,17.0,44.0,5.0,23.0,6.0
46,53715  ,2006JJ00,86,81,33,77,3,5,16,78,16,5,2,96,6,57,2,49,51,7,8,16,69,57,62,39,37,6,17,68,73,47,44,7,21,83,17,2,12,2,3,0,2,16,10.0,5.0,1.0,66,42.0,25.0,20,12.0,7.0,2.0,80,51.0,31.0,82,78,25,7,5,100,94,30,8,6,73,2,2,23,73,20,5,2,96,4,51,1,2,73,64,9,10.0,7.0,9,3,94,83,12,13.0,9.0,11,4,92,92,10.0,17,91,89,54,50,13,77,70,11,45,66,58,35,39,57,16.0,47,36,27,42,29,8,5,36,54,37,10,6,46,5.0,27.0,18.0,35.0,39.0,19.0,49.0,12.0,32.0,5.0
47,53715  ,2007JJ00,89,83,42,83,2,3,12,79,17,3,1,96,9,59,5,52,48,8,10,17,65,70,66,42,37,9,15,79,75,48,42,11,18,86,14,1,9,2,2,1,2,10,5.0,4.0,1.0,76,51.0,27.0,12,6.0,5.0,1.0,88,60.0,32.0,86,80,35,11,9,100,93,40,13,10,80,2,2,16,75,21,3,1,97,7,53,4,5,79,69,13,,12.0,9,3,94,82,16,,14.0,11,4,94,93,,16,93,90,61,57,13,81,75,10,51,68,61,38,44,57,,52,39,30,51,37,9,5,32,61,45,11,6,39,9.0,28.0,21.0,39.0,41.0,18.0,53.0,12.0,33.0,5.0
48,53715  ,2008JJ00,91,83,54,86,1,3,10,78,17,3,2,96,10,56,7,47,53,7,6,16,70,69,66,42,38,8,19,76,73,47,42,8,21,91,9,1,6,1,2,0,1,14,5.0,8.0,0.0,77,47.0,33.0,15,6.0,9.0,0.0,85,52.0,36.0,89,80,48,15,11,99,89,53,16,12,83,1,2,14,73,22,4,1,97,9,49,5,7,80,71,17,14.0,,8,4,93,82,20,16.0,,9,5,94,93,10.0,11,90,87,59,61,14,82,76,11,47,63,57,36,38,55,,52,43,31,52,35,11,6,34,61,41,13,7,39,5.0,29.0,20.0,41.0,39.0,20.0,49.0,11.0,34.0,6.0
49,53715  ,2009JJ00,93,84,59,88,1,2,9,80,16,3,1,98,12,57,7,52,48,6,6,15,73,72,71,47,43,10,16,79,77,52,47,11,17,92,8,0,5,1,1,0,1,15,4.0,7.0,1.0,77,54.0,31.0,17,5.0,7.0,1.0,83,59.0,34.0,92,81,53,19,17,99,88,58,20,18,87,1,1,11,77,19,3,1,98,10,52,6,5,84,81,23,19.0,15.0,9,3,95,92,26,22.0,17.0,10,4,95,94,11.0,14,91,88,58,64,13,81,79,7,50,62,57,40,38,56,,47,37,27,60,43,11,6,29,67,48,13,7,32,8.0,29.0,26.0,44.0,37.0,22.0,54.0,7.0,42.0,5.0
50,53715  ,2010JJ00,94,82,66,90,1,2,8,84,14,1,1,98,13,59,6,57,43,6,8,14,73,77,75,50,45,11,13,83,82,54,49,12,14,94,6,1,5,1,1,0,1,10,2.0,4.0,1.0,84,56.0,32.0,10,3.0,4.0,1.0,90,60.0,34.0,93,79,63,27,20,99,85,67,29,21,89,1,2,9,81,17,2,0,98,10,53,5,6,88,85,24,24.0,15.0,11,2,97,93,27,27.0,16.0,12,2,96,96,15.0,16,93,91,58,66,14,85,83,9,54,66,61,40,41,58,,53,44,26,66,46,15,5,25,72,50,16,6,28,8.0,34.0,23.0,43.0,38.0,26.0,60.0,7.0,43.0,3.0
51,53715  ,2011JJ00,97,82,74,92,1,1,5,84,13,2,1,98,14,57,6,44,56,8,9,13,69,77,75,48,43,7,0,81,79,51,46,7,0,96,4,1,2,0,1,0,0,11,,,,84,,,12,,,,87,,,96,80,71,41,28,99,82,74,43,29,91,1,1,6,82,14,2,1,98,12,53,5,8,89,86,25,29.0,17.0,10,0,95,92,27,31.0,18.0,11,0,95,94,19.0,16,92,89,57,71,13,90,85,10,60,64,57,41,43,59,,51,43,25,70,50,13,7,24,75,53,14,7,25,10.0,38.0,21.0,43.0,34.0,28.0,54.0,6.0,43.0,5.0
52,53715  ,2012JJ00,96,82,76,92,1,2,5,85,13,1,1,100,17,60,7,43,52,6,7,14,72,75,74,49,39,8,2,79,77,52,41,8,2,95,5,1,3,1,1,0,1,5,,,,84,,,13,,,,88,,,95,78,75,50,31,99,82,78,52,33,91,1,1,6,83,14,2,1,99,17,57,7,15,89,78,28,32.0,16.0,12,0,96,84,30,34.0,17.0,13,0,95,94,22.0,19,90,88,56,71,16,88,84,8,61,67,60,47,48,60,0.0,55,46,27,71,52,12,7,22,76,56,13,7,24,13.0,41.0,24.0,40.0,32.0,27.0,57.0,6.0,44.0,6.0
53,53715  ,2013JJ00,96,74,77,94,1,1,4,84,13,2,1,99,20,59,6,41,55,7,7,12,74,76,74,49,40,10,0,79,77,51,42,10,0,96,4,0,2,1,1,0,0,0,,,,87,,,9,,,,91,,,95,72,76,63,58,99,75,79,66,61,93,1,1,5,84,13,2,0,98,21,56,6,19,90,81,29,41.0,20.0,13,3,96,86,31,43.0,22.0,13,3,96,95,27.0,21,91,89,56,73,17,88,85,6,62,66,61,41,45,62,0.0,60,52,30,76,53,15,7,18,81,57,16,8,19,15.0,49.0,26.0,44.0,42.0,27.0,59.0,8.0,49.0,1.0
54,53925  ,2005JJ00,50,49,7,42,1,7,50,52,36,5,6,96,4,5,2,29,71,9,11,25,56,28,25,12,9,2,17,56,50,24,17,4,34,41,59,1,42,5,9,1,11,22,18.0,2.0,0.0,19,11.0,9.0,53,46.0,5.0,0.0,47,28.0,22.0,41,40,3,1,1,99,97,8,2,3,34,1,1,64,43,41,15,1,96,2,3,2,4,30,24,1,1.0,1.0,1,4,84,66,4,3.0,2.0,4,12,87,86,3.0,6,83,77,48,31,0,53,47,4,25,46,39,20,27,48,5.0,33,23,15,10,7,1,1,26,28,20,3,4,72,,,,,,,,,,
55,53925  ,2006JJ00,57,52,13,46,2,6,46,59,29,9,3,97,6,5,2,31,69,6,4,18,71,29,29,13,15,2,19,54,52,24,27,4,36,50,50,2,38,7,9,1,3,17,14.0,2.0,0.0,32,22.0,11.0,35,29.0,5.0,1.0,65,44.0,22.0,50,45,8,3,0,100,92,17,7,1,40,1,2,58,56,30,10,4,98,4,3,2,7,37,31,4,5.0,1.0,2,4,88,73,9,11.0,2.0,5,9,90,90,10.0,15,82,74,50,41,1,60,55,7,21,57,52,35,35,48,8.0,38,28,21,13,8,2,3,29,32,20,5,6,68,4.0,16.0,11.0,39.0,37.0,14.0,46.0,6.0,25.0,6.0
56,53925  ,2007JJ00,59,53,15,48,2,7,43,62,29,5,3,98,5,4,1,32,68,5,12,23,60,33,30,13,12,1,21,58,52,22,20,2,37,54,46,1,36,2,9,2,4,10,7.0,2.0,0.0,43,31.0,14.0,19,14.0,3.0,0.0,81,59.0,27.0,53,47,12,2,3,99,87,23,4,5,43,1,3,52,61,29,7,3,97,6,4,0,4,39,32,3,,2.0,1,8,81,65,6,,4.0,2,16,92,91,,6,85,79,49,43,1,62,53,7,30,56,50,29,33,53,,45,31,24,17,11,3,3,31,35,23,6,6,65,8.0,24.0,9.0,27.0,34.0,13.0,49.0,13.0,21.0,8.0
57,53925  ,2008JJ00,61,53,19,52,2,7,39,62,28,8,3,98,6,4,4,28,72,8,5,15,72,33,27,14,14,3,27,54,45,23,22,4,43,57,43,2,28,4,10,1,5,13,6.0,2.0,0.0,45,26.0,21.0,22,11.0,4.0,1.0,78,47.0,38.0,55,47,17,3,5,95,83,30,5,8,46,2,3,49,57,33,9,2,98,6,4,1,5,43,35,5,6.0,,1,4,85,69,9,13.0,,2,8,90,90,9.0,9,85,75,55,54,1,67,63,9,24,50,44,25,31,53,,43,32,22,17,11,3,3,34,33,21,6,6,67,7.0,16.0,14.0,24.0,40.0,24.0,46.0,11.0,27.0,8.0
58,53925  ,2009JJ00,66,57,30,56,1,8,36,69,25,6,1,99,6,4,3,35,65,5,7,19,68,42,36,21,22,5,22,65,57,34,34,7,35,64,36,0,30,4,7,1,3,12,3.0,2.0,0.0,52,41.0,16.0,19,4.0,3.0,1.0,81,67.0,26.0,63,53,26,6,7,98,83,40,9,11,53,1,3,43,62,31,6,2,99,4,4,2,4,51,48,9,9.0,4.0,4,4,89,85,15,16.0,8.0,7,7,92,91,10.0,10,87,83,48,53,1,66,64,10,27,52,48,31,29,58,,45,36,18,24,13,7,5,33,43,23,12,8,57,3.0,13.0,13.0,43.0,39.0,19.0,54.0,2.0,30.0,2.0
59,53925  ,2010JJ00,70,56,39,60,2,6,32,71,22,4,3,99,9,7,2,41,59,5,6,12,77,46,41,22,20,3,22,68,61,32,29,4,32,68,32,1,27,2,6,1,1,14,3.0,2.0,0.0,54,39.0,20.0,20,4.0,3.0,0.0,80,60.0,31.0,68,53,36,7,5,100,78,53,10,7,57,1,3,40,69,25,5,2,99,6,7,2,5,55,52,10,15.0,5.0,2,3,92,87,17,25.0,9.0,4,5,94,93,19.0,14,88,83,52,54,1,75,73,10,35,56,51,33,33,56,,45,31,25,30,19,6,5,30,50,31,11,8,50,7.0,24.0,17.0,41.0,36.0,26.0,50.0,6.0,29.0,2.0
60,53925  ,2011JJ00,77,60,41,65,1,4,30,71,23,5,1,99,9,5,1,35,65,4,6,12,78,44,39,20,14,2,0,62,55,29,20,3,0,75,25,1,20,2,5,2,2,13,,,,61,,,17,,,,81,,,74,55,38,9,7,99,74,51,12,9,61,2,2,35,70,23,5,2,99,8,4,0,6,58,57,10,15.0,6.0,2,0,90,88,15,23.0,9.0,4,0,94,94,16.0,10,86,83,50,60,1,73,68,10,39,51,44,32,34,58,,40,34,16,35,21,8,6,30,54,32,13,9,46,8.0,27.0,17.0,39.0,23.0,30.0,44.0,6.0,24.0,9.0
61,53925  ,2012JJ00,82,62,51,74,1,4,21,77,20,4,2,102,9,7,2,33,46,5,4,11,79,45,42,23,17,4,4,57,54,29,22,5,5,81,19,0,15,2,3,1,2,7,,,,64,,,17,,,,80,,,80,60,47,16,14,99,74,58,19,17,71,1,1,26,73,21,5,1,100,7,5,1,9,67,53,10,21.0,6.0,3,0,91,72,14,29.0,8.0,4,0,96,95,20.0,10,84,80,50,62,1,79,75,7,39,53,46,33,35,54,0.0,47,37,21,41,24,10,6,33,55,33,14,8,45,10.0,25.0,22.0,45.0,28.0,26.0,55.0,4.0,34.0,5.0
62,53925  ,2013JJ00,85,66,54,79,1,3,16,78,20,4,1,102,16,7,1,41,43,4,2,11,82,52,48,28,20,6,0,62,58,34,24,7,0,85,15,1,11,3,3,1,1,0,,,,76,,,10,,,,90,,,83,64,51,24,37,98,75,60,28,44,76,2,2,20,73,23,3,1,98,14,6,1,14,72,58,14,25.0,9.0,5,6,90,72,17,32.0,11.0,6,7,93,93,20.0,11,86,82,51,61,0,80,74,7,44,57,52,35,37,57,0.0,52,41,25,47,32,9,6,33,58,40,11,8,42,10.0,28.0,22.0,48.0,39.0,30.0,53.0,5.0,34.0,1.0
63,41100  ,2005JJ00,99,98,37,100,0,0,0,82,17,1,0,99,41,0,77,25,75,36,30,29,5,87,92,25,20,6,4,87,92,25,20,6,4,98,2,0,0,1,0,1,1,19,8.0,9.0,1.0,79,48.0,35.0,20,8.0,9.0,1.0,80,49.0,36.0,98,97,22,10,7,100,99,22,10,7,99,0,0,1,71,25,3,0,97,33,1,60,2,95,65,38,5.0,35.0,28,2,95,66,39,5.0,35.0,28,2,92,83,6.0,83,70,68,8,36,1,18,2,0,17,14,14,0,0,27,59.0,90,90,18,20,10,7,4,79,21,10,7,4,79,,,,,,,,,,
64,41100  ,2006JJ00,99,99,38,100,0,0,0,72,26,1,0,99,40,1,74,28,72,25,19,50,6,72,92,26,18,5,5,72,92,26,18,5,5,98,2,1,1,0,0,0,0,13,4.0,8.0,1.0,85,57.0,31.0,13,4.0,8.0,2.0,87,59.0,32.0,98,97,26,15,6,100,100,26,15,7,100,0,0,0,65,30,4,0,95,35,0,57,2,95,66,31,10.0,32.0,27,1,96,67,31,10.0,32.0,27,1,94,83,7.0,82,65,64,8,46,3,17,3,0,15,5,5,1,1,28,69.0,92,92,19,25,15,5,5,74,26,16,5,5,74,,,,,,,,,,
65,41100  ,2007JJ00,99,96,49,100,0,0,0,85,15,0,0,99,49,1,82,30,70,33,13,49,5,90,92,33,28,9,4,90,92,33,28,9,4,98,2,0,2,1,0,0,0,8,3.0,2.0,0.0,90,64.0,31.0,8,3.0,2.0,0.0,92,65.0,31.0,98,95,41,21,12,100,97,42,21,13,100,0,0,0,84,15,1,0,97,44,1,73,1,96,78,40,,44.0,36,2,96,78,40,,44.0,36,2,95,89,,64,64,62,9,53,4,22,9,1,17,13,12,2,1,23,,89,88,29,33,13,16,4,67,33,13,16,4,67,6.0,36.0,15.0,7.0,43.0,7.0,4.0,0.0,9.0,7.0
66,41100  ,2008JJ00,99,92,71,100,0,0,0,77,21,2,0,100,44,1,79,18,82,15,20,55,11,87,94,27,17,8,4,87,94,27,17,8,4,100,0,0,0,0,0,0,0,12,3.0,6.0,1.0,88,51.0,39.0,12,3.0,6.0,1.0,88,51.0,39.0,99,92,63,22,19,99,92,63,22,19,100,0,0,0,75,23,2,0,99,39,1,72,1,95,77,62,20.0,,34,2,95,77,62,20.0,,34,2,96,92,15.0,52,57,54,9,63,5,25,8,0,21,8,8,2,1,17,,92,92,31,31,16,12,3,69,31,16,12,3,69,0.0,46.0,22.0,14.0,42.0,8.0,5.0,0.0,17.0,1.0
67,41100  ,2009JJ00,100,96,69,100,0,0,0,85,13,1,0,100,45,0,79,19,81,22,15,54,9,89,95,33,26,6,5,89,95,33,26,6,5,100,0,0,0,0,0,0,0,14,4.0,5.0,2.0,86,65.0,31.0,14,4.0,5.0,2.0,86,65.0,31.0,100,93,64,31,33,100,93,64,31,33,100,0,0,0,81,15,3,1,99,41,0,72,2,98,88,62,30.0,42.0,31,1,98,89,63,30.0,42.0,31,1,96,89,20.0,48,58,56,12,61,8,12,8,0,8,8,7,1,0,24,,89,88,24,36,15,14,7,64,36,15,14,7,64,3.0,52.0,12.0,5.0,24.0,6.0,2.0,0.0,17.0,2.0
