ID,Bedrijfstakken,Perioden,Wegingscoefficient_1,Prijsindexcijfer_2,Wegingscoefficient_3,Prijsindexcijfer_4,Wegingscoefficient_5,Prijsindexcijfer_6,Wegingscoefficient_7,Prijsindexcijfer_8,Wegingscoefficient_9,Prijsindexcijfer_10,Wegingscoefficient_11,Prijsindexcijfer_12,Wegingscoefficient_13,Prijsindexcijfer_14,Wegingscoefficient_15,Prijsindexcijfer_16,Wegingscoefficient_17,Prijsindexcijfer_18,Wegingscoefficient_19,Prijsindexcijfer_20,Wegingscoefficient_21,Prijsindexcijfer_22,Wegingscoefficient_23,Prijsindexcijfer_24,Wegingscoefficient_25,Prijsindexcijfer_26
65,C  0,1995JJ00,100000.0,96.0,60854.0,96,,,,,,,39146.0,95.0,100000.0,96.0,27460.0,103.0,,,,,21513.0,102.0,5947.0,109.0,72540.0,93.0
66,C  0,1995MM01,100000.0,91.0,60854.0,96,,,,,,,39146.0,83.0,100000.0,96.0,27460.0,102.0,,,,,21513.0,101.0,5947.0,109.0,72540.0,94.0
67,C  0,1995MM02,100000.0,93.0,60854.0,96,,,,,,,39146.0,87.0,100000.0,95.0,27460.0,102.0,,,,,21513.0,101.0,5947.0,109.0,72540.0,91.0
68,C  0,1995MM03,100000.0,92.0,60854.0,96,,,,,,,39146.0,85.0,100000.0,94.0,27460.0,102.0,,,,,21513.0,101.0,5947.0,109.0,72540.0,91.0
69,C  0,1995MM04,100000.0,96.0,60854.0,98,,,,,,,39146.0,93.0,100000.0,95.0,27460.0,103.0,,,,,21513.0,102.0,5947.0,110.0,72540.0,92.0
70,C  0,1995MM05,100000.0,97.0,60854.0,98,,,,,,,39146.0,97.0,100000.0,97.0,27460.0,103.0,,,,,21513.0,102.0,5947.0,110.0,72540.0,94.0
71,C  0,1995MM06,100000.0,99.0,60854.0,98,,,,,,,39146.0,101.0,100000.0,96.0,27460.0,103.0,,,,,21513.0,102.0,5947.0,110.0,72540.0,93.0
72,C  0,1995MM07,100000.0,104.0,60854.0,97,,,,,,,39146.0,116.0,100000.0,96.0,27460.0,103.0,,,,,21513.0,102.0,5947.0,109.0,72540.0,93.0
73,C  0,1995MM08,100000.0,104.0,60854.0,97,,,,,,,39146.0,117.0,100000.0,97.0,27460.0,103.0,,,,,21513.0,102.0,5947.0,109.0,72540.0,95.0
74,C  0,1995MM09,100000.0,97.0,60854.0,97,,,,,,,39146.0,98.0,100000.0,97.0,27460.0,103.0,,,,,21513.0,102.0,5947.0,109.0,72540.0,95.0
75,C  0,1995MM10,100000.0,93.0,60854.0,94,,,,,,,39146.0,91.0,100000.0,95.0,27460.0,103.0,,,,,21513.0,102.0,5947.0,109.0,72540.0,93.0
76,C  0,1995MM11,100000.0,90.0,60854.0,94,,,,,,,39146.0,84.0,100000.0,96.0,27460.0,104.0,,,,,21513.0,103.0,5947.0,109.0,72540.0,92.0
77,C  0,1995MM12,100000.0,90.0,60854.0,94,,,,,,,39146.0,83.0,100000.0,96.0,27460.0,104.0,,,,,21513.0,103.0,5947.0,110.0,72540.0,93.0
78,C  0,1996JJ00,100000.0,100.0,60854.0,100,,,,,,,39146.0,101.0,100000.0,105.0,27460.0,105.0,,,,,21513.0,105.0,5947.0,111.0,72540.0,104.0
79,C  0,1996MM01,100000.0,91.0,60854.0,95,,,,,,,39146.0,84.0,100000.0,98.0,27460.0,105.0,,,,,21513.0,105.0,5947.0,112.0,72540.0,95.0
80,C  0,1996MM02,100000.0,91.0,60854.0,95,,,,,,,39146.0,84.0,100000.0,100.0,27460.0,105.0,,,,,21513.0,104.0,5947.0,112.0,72540.0,98.0
81,C  0,1996MM03,100000.0,92.0,60854.0,96,,,,,,,39146.0,86.0,100000.0,101.0,27460.0,105.0,,,,,21513.0,104.0,5947.0,112.0,72540.0,100.0
82,C  0,1996MM04,100000.0,98.0,60854.0,100,,,,,,,39146.0,94.0,100000.0,104.0,27460.0,105.0,,,,,21513.0,104.0,5947.0,111.0,72540.0,103.0
83,C  0,1996MM05,100000.0,99.0,60854.0,99,,,,,,,39146.0,100.0,100000.0,105.0,27460.0,105.0,,,,,21513.0,104.0,5947.0,110.0,72540.0,105.0
84,C  0,1996MM06,100000.0,102.0,60854.0,99,,,,,,,39146.0,107.0,100000.0,105.0,27460.0,105.0,,,,,21513.0,104.0,5947.0,110.0,72540.0,106.0
85,C  0,1996MM07,100000.0,105.0,60854.0,101,,,,,,,39146.0,112.0,100000.0,107.0,27460.0,105.0,,,,,21513.0,105.0,5947.0,110.0,72540.0,107.0
86,C  0,1996MM08,100000.0,107.0,60854.0,101,,,,,,,39146.0,116.0,100000.0,106.0,27460.0,105.0,,,,,21513.0,104.0,5947.0,110.0,72540.0,107.0
87,C  0,1996MM09,100000.0,105.0,60854.0,102,,,,,,,39146.0,110.0,100000.0,106.0,27460.0,106.0,,,,,21513.0,105.0,5947.0,111.0,72540.0,106.0
88,C  0,1996MM10,100000.0,104.0,60854.0,102,,,,,,,39146.0,106.0,100000.0,107.0,27460.0,106.0,,,,,21513.0,105.0,5947.0,111.0,72540.0,108.0
89,C  0,1996MM11,100000.0,103.0,60854.0,102,,,,,,,39146.0,106.0,100000.0,107.0,27460.0,106.0,,,,,21513.0,105.0,5947.0,111.0,72540.0,107.0
90,C  0,1996MM12,100000.0,103.0,60854.0,102,,,,,,,39146.0,103.0,100000.0,107.0,27460.0,106.0,,,,,21513.0,105.0,5947.0,111.0,72540.0,108.0
91,C  0,1997JJ00,100000.0,109.0,60854.0,105,,,,,,,39146.0,115.0,100000.0,109.0,27460.0,107.0,,,,,21513.0,105.0,5947.0,114.0,72540.0,110.0
92,C  0,1997MM01,100000.0,106.0,60854.0,106,,,,,,,39146.0,106.0,100000.0,110.0,27460.0,107.0,,,,,21513.0,106.0,5947.0,113.0,72540.0,111.0
93,C  0,1997MM02,100000.0,107.0,60854.0,105,,,,,,,39146.0,109.0,100000.0,110.0,27460.0,107.0,,,,,21513.0,106.0,5947.0,113.0,72540.0,112.0
94,C  0,1997MM03,100000.0,108.0,60854.0,105,,,,,,,39146.0,113.0,100000.0,110.0,27460.0,107.0,,,,,21513.0,105.0,5947.0,113.0,72540.0,112.0
95,C  0,1997MM04,100000.0,109.0,60854.0,106,,,,,,,39146.0,115.0,100000.0,110.0,27460.0,107.0,,,,,21513.0,105.0,5947.0,115.0,72540.0,112.0
96,C  0,1997MM05,100000.0,112.0,60854.0,106,,,,,,,39146.0,122.0,100000.0,108.0,27460.0,107.0,,,,,21513.0,105.0,5947.0,115.0,72540.0,108.0
97,C  0,1997MM06,100000.0,113.0,60854.0,106,,,,,,,39146.0,125.0,100000.0,109.0,27460.0,107.0,,,,,21513.0,105.0,5947.0,115.0,72540.0,109.0
98,C  0,1997MM07,100000.0,112.0,60854.0,104,,,,,,,39146.0,125.0,100000.0,107.0,27460.0,107.0,,,,,21513.0,105.0,5947.0,113.0,72540.0,107.0
99,C  0,1997MM08,100000.0,112.0,60854.0,104,,,,,,,39146.0,126.0,100000.0,109.0,27460.0,107.0,,,,,21513.0,105.0,5947.0,113.0,72540.0,109.0
100,C  0,1997MM09,100000.0,110.0,60854.0,104,,,,,,,39146.0,120.0,100000.0,109.0,27460.0,107.0,,,,,21513.0,105.0,5947.0,114.0,72540.0,110.0
101,C  0,1997MM10,100000.0,107.0,60854.0,104,,,,,,,39146.0,111.0,100000.0,108.0,27460.0,107.0,,,,,21513.0,106.0,5947.0,114.0,72540.0,108.0
102,C  0,1997MM11,100000.0,103.0,60854.0,104,,,,,,,39146.0,102.0,100000.0,108.0,27460.0,107.0,,,,,21513.0,106.0,5947.0,114.0,72540.0,109.0
103,C  0,1997MM12,100000.0,103.0,60854.0,103,,,,,,,39146.0,104.0,100000.0,109.0,27460.0,107.0,,,,,21513.0,105.0,5947.0,114.0,72540.0,110.0
104,C  0,1998JJ00,100000.0,101.0,60854.0,100,,,,,,,39146.0,104.0,100000.0,106.0,27460.0,107.0,,,,,21513.0,105.0,5947.0,116.0,72540.0,106.0
105,C  0,1998MM01,100000.0,105.0,60854.0,105,,,,,,,39146.0,106.0,100000.0,111.0,27460.0,107.0,,,,,21513.0,106.0,5947.0,115.0,72540.0,112.0
106,C  0,1998MM02,100000.0,106.0,60854.0,105,,,,,,,39146.0,108.0,100000.0,110.0,27460.0,107.0,,,,,21513.0,105.0,5947.0,115.0,72540.0,111.0
107,C  0,1998MM03,100000.0,106.0,60854.0,105,,,,,,,39146.0,108.0,100000.0,109.0,27460.0,107.0,,,,,21513.0,105.0,5947.0,115.0,72540.0,110.0
