ID,Perioden,NatuurlijkePersonenMetInkomen_1,Totaalinkomen_2,TotaalinkomenPerNatPersMetInkomen_3,Inkomenstrekkers_4,Nominaal_5,NaarKoopkracht1996_6,Vermogenstrekkers_7,Vermogen_8,Nominaal_9,NaarKoopkracht1996_10,Ontvangers_11,Bedrag_12,BedragPerOntvangerNominaal_13,BedragPerOntvangerKoopkracht1980_14,TotaalVerbruik_15,Voeding_16,WoninghuurWaarde_17,WoningOverigeUitgave_18,KledingEnSchoeisel_19,HygieneEnGeneeskundigeVerzorging_20,OntwikkelingEnOntspanning_21,VerkeerEnVervoer_22,OverigVerbruik_23,Koelkast_24,Diepvriezer_25,Magnetronoven_26,Vaatwasmachine_27,Wasmachine_28,Wasdroger_29,ElektrischeNaaimachine_30,Kleurentelevisie_31,Videorecorder_32,Videocamera_33,DiaprojektorFilmprojektor_34,HomeEnOfPersonalComputer_35,TVSpelcomputer_36,BandOfCassetterecorderOfDeck_37,Platenspeler_38,CompactDiscpeler_39,DigitaleAudioTapeDATRecorder_40,DigitaleCompactCassette_41,MiniDiscSpeler_42,Muziekinstrument115_43,Bromfiets_44,MotorScooter_45,Auto_46,TourcaravanVouwwagen_47,Stacaravan_48,TweedeWoningVakantiehuisjeOfBung_49,Surfplank_50,ZeilbootOfMotorboot_51,SolariumZonnebank_52
53,1969JJ00,6110.0,30711.0,5.0,,,,,,,,168.0,1047.0,6.3,14.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,1970JJ00,6206.0,34961.0,5.6,5241.0,5.3,15.5,251.0,33247.0,132.4,404.8,172.0,1116.0,6.5,14.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,1971JJ00,,,,,,,264.0,34422.0,130.5,382.7,176.0,1193.0,6.8,13.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,1972JJ00,6380.0,44011.0,6.9,,,,,,,,182.0,1209.0,6.6,12.3,,,,,,,,,,88.0,17.0,,6.0,86.0,,,14.0,,,,,,,,,,,,,,,,,,,,,
57,1973JJ00,7366.0,49700.0,6.8,5573.0,7.1,16.7,309.0,42213.0,136.5,342.2,195.0,1401.0,7.2,12.2,,,,,,,,,,91.0,19.0,,5.0,86.0,,,20.0,,,,,,,,,,,,,,,,,,,,,
58,1974JJ00,,,,,,,324.0,43908.0,135.3,312.5,194.0,1521.0,7.9,11.8,,,,,,,,,,92.0,25.0,,6.0,86.0,,,30.0,,,,,,,,,,,,,,,,,,,,,
59,1975JJ00,7579.0,63719.0,8.4,5699.0,9.0,17.4,,,,,218.0,1824.0,8.4,11.5,,,,,,,,,,93.0,30.0,,8.0,86.0,,,35.0,,,,,,,,,,,,,,,,,,,,,
60,1976JJ00,,,,,,,378.0,54765.0,144.8,277.3,205.0,1824.0,8.9,11.3,,,,,,,,,,96.0,36.0,,9.0,88.0,,,45.0,,,,,,,,,,,,,,,,,,,,,
61,1977JJ00,7798.0,77540.0,9.9,5771.0,10.6,17.7,,,,,201.0,2034.0,10.2,12.0,,,,,,,,,,97.0,42.0,,9.0,88.0,8.0,63.0,52.0,1.0,,27.0,,,,,,,,,,21.0,2.0,65.0,6.0,3.0,3.0,,,
62,1978JJ00,,,,,,,493.0,78381.0,159.0,263.6,194.0,2442.0,12.6,14.1,13.9,21.3,13.4,15.8,8.8,12.3,14.4,12.6,1.4,97.0,43.0,,9.0,88.0,8.0,65.0,61.0,1.0,,28.0,,,57.0,75.0,,,,,,18.0,2.0,68.0,7.0,2.0,2.0,,,
63,1979JJ00,8066.0,89704.0,11.1,5877.0,12.0,18.5,,,,,191.0,2644.0,13.8,14.7,14.1,21.1,14.0,16.2,8.4,12.6,14.8,11.6,1.3,97.0,44.0,,11.0,87.0,11.0,66.0,68.0,1.0,,31.0,,,62.0,78.0,,,,,,16.0,2.0,69.0,7.0,2.0,2.0,,,
64,1980JJ00,,,,,,,531.0,86921.0,163.8,249.4,196.0,2677.0,13.7,13.7,15.3,21.0,14.0,15.8,8.6,12.7,14.6,11.8,1.4,98.0,46.0,,11.0,89.0,10.0,66.0,73.0,2.0,,31.0,,,64.0,80.0,,,,,,14.0,2.0,71.0,8.0,3.0,2.0,,,
65,1981JJ00,8133.0,96296.0,11.8,6015.0,12.9,17.4,,,,,321.0,2649.0,8.2,7.8,15.4,20.4,14.8,16.6,8.3,12.9,14.0,11.9,1.1,97.0,45.0,,11.0,87.0,13.0,64.0,76.0,3.0,,31.0,,,63.0,78.0,,,,,,12.0,2.0,70.0,8.0,2.0,2.0,,,
66,1982JJ00,,,,,,,544.0,92549.0,170.2,227.5,324.0,2662.0,8.2,7.4,16.2,20.3,16.6,15.9,7.7,13.3,13.9,10.8,1.4,98.0,48.0,,11.0,90.0,12.0,67.0,80.0,7.0,,30.0,,,67.0,80.0,,,,,,11.0,2.0,71.0,9.0,2.0,2.0,,,
67,1983JJ00,8242.0,101943.0,12.4,6399.0,13.1,16.3,,,,,349.0,3068.0,8.8,7.8,16.6,19.6,17.0,15.4,7.3,14.0,13.7,11.8,1.2,98.0,46.0,,11.0,89.0,12.0,66.0,81.0,10.0,,31.0,,,65.0,80.0,,,,,,11.0,2.0,68.0,9.0,2.0,2.0,,,
68,1984JJ00,,,,,,,317.0,80185.0,252.9,312.7,333.0,3049.0,9.2,8.0,16.9,19.5,17.6,15.5,7.1,13.6,13.7,11.6,1.4,98.0,47.0,,9.0,88.0,12.0,64.0,83.0,13.0,,29.0,,,67.0,79.0,,,,,,9.0,3.0,64.0,7.0,3.0,2.0,,,
69,1985JJ00,9388.0,105699.0,11.3,6571.0,13.3,15.7,,,,,322.0,3050.0,9.5,8.1,17.1,18.7,17.2,15.2,7.3,14.0,13.7,12.4,1.5,98.0,48.0,,8.0,88.0,14.0,65.0,87.0,20.0,,29.0,,,70.0,81.0,,,,,,7.0,2.0,65.0,8.0,2.0,2.0,,,
70,1986JJ00,,,,,,,334.0,94709.0,283.5,335.5,,,,,17.4,18.3,17.9,14.6,7.2,13.9,14.1,12.5,1.4,98.0,47.0,,8.0,88.0,14.0,64.0,88.0,24.0,,29.0,,,72.0,81.0,,,,,,8.0,2.0,64.0,8.0,2.0,2.0,,,
71,1987JJ00,9888.0,116783.0,11.8,6997.0,13.5,16.2,350.0,100933.0,288.6,340.7,,,,,17.5,18.2,18.4,13.7,7.4,14.5,13.9,12.3,1.6,98.0,47.0,2.0,8.0,89.0,16.0,66.0,89.0,30.0,,30.0,11.0,,74.0,81.0,6.0,,,,,7.0,2.0,63.0,8.0,2.0,2.0,6.0,,
72,1988JJ00,10024.0,119886.0,12.0,7065.0,13.7,16.2,360.0,103877.0,288.6,339.9,,,,,17.5,18.7,18.4,13.6,7.0,14.6,14.2,11.8,1.7,97.0,47.0,5.0,9.0,88.0,18.0,65.0,92.0,36.0,3.0,28.0,14.0,,75.0,81.0,15.0,,,,,7.0,3.0,63.0,8.0,2.0,2.0,6.0,,
73,1989JJ00,10160.0,126725.0,12.5,7181.0,14.2,16.7,359.0,112288.0,312.9,366.8,,,,,17.9,18.7,18.4,13.5,7.3,14.0,14.2,12.2,1.7,97.0,49.0,9.0,9.0,89.0,21.0,65.0,93.0,41.0,3.0,27.0,18.0,,78.0,82.0,25.0,,,,,7.0,3.0,65.0,8.0,2.0,2.0,6.0,,4.0
74,1990JJ00,10389.0,142634.0,13.7,7266.0,15.3,17.6,381.0,122276.0,321.2,372.2,,,,,18.2,18.5,18.8,13.2,7.0,13.9,14.7,12.3,1.6,95.0,52.0,15.0,10.0,86.0,24.0,63.0,92.0,45.0,5.0,25.0,21.0,,78.0,80.0,37.0,1.0,,,,7.0,2.0,64.0,8.0,2.0,2.0,6.0,,3.0
75,1991JJ00,10577.0,149732.0,14.2,7412.0,15.8,17.6,388.0,124144.0,319.6,362.4,,,,,19.1,18.0,19.1,13.9,6.7,13.8,14.9,12.0,1.7,97.0,55.0,23.0,12.0,90.0,28.0,63.0,95.0,51.0,7.0,25.0,25.0,,82.0,80.0,49.0,1.0,,,,7.0,4.0,66.0,9.0,2.0,2.0,6.0,,4.0
76,1992JJ00,10742.0,156136.0,14.5,7511.0,16.1,17.3,417.0,144987.0,347.9,381.5,,,,,19.1,18.4,19.9,13.8,6.7,13.3,14.5,12.2,1.3,97.0,56.0,30.0,13.0,91.0,31.0,64.0,96.0,56.0,9.0,25.0,29.0,,84.0,80.0,59.0,1.0,,,,7.0,4.0,67.0,9.0,2.0,2.0,6.0,,6.0
77,1993JJ00,10829.0,159164.0,14.7,7552.0,16.5,17.2,408.0,145206.0,355.7,378.4,,,,,,,,,,,,,,97.0,58.0,38.0,14.0,91.0,34.0,65.0,97.0,60.0,12.0,25.0,31.0,9.0,85.0,77.0,66.0,1.0,0.0,,,7.0,4.0,66.0,9.0,2.0,3.0,5.0,3.0,7.0
78,1994JJ00,10919.0,154430.0,14.2,7592.0,16.7,17.1,403.0,150132.0,372.5,388.4,,,,,,,,,,,,,,,60.0,44.0,16.0,93.0,37.0,64.0,97.0,65.0,13.0,25.0,34.0,12.0,87.0,77.0,71.0,1.0,1.0,3.0,23.0,8.0,4.0,66.0,10.0,2.0,2.0,5.0,3.0,9.0
79,1995JJ00,11092.0,158876.0,14.3,7707.0,17.1,17.1,421.0,162615.0,386.6,392.1,,,,,,,,,,,,,,,61.0,51.0,20.0,92.0,40.0,63.0,97.0,68.0,15.0,25.0,39.0,13.0,86.0,74.0,75.0,1.0,1.0,5.0,22.0,7.0,5.0,68.0,10.0,2.0,3.0,6.0,3.0,12.0
80,1996JJ00,11238.0,163471.0,14.6,7820.0,17.5,17.1,431.0,178315.0,413.5,413.5,,,,,,,,,,,,,,,62.0,56.0,22.0,92.0,43.0,62.0,98.0,70.0,16.0,24.0,43.0,13.0,86.0,71.0,78.0,1.0,1.0,5.0,23.0,7.0,6.0,67.0,10.0,2.0,2.0,6.0,3.0,12.0
81,1997JJ00,11406.0,167770.0,14.7,7946.0,17.9,17.2,,,,,,,,,,,,,,,,,,,65.0,62.0,26.0,93.0,46.0,63.0,98.0,72.0,18.0,24.0,48.0,14.0,87.0,68.0,83.0,1.0,2.0,5.0,22.0,7.0,6.0,69.0,10.0,2.0,2.0,5.0,3.0,13.0
82,1998JJ00,11558.0,172638.0,14.9,8000.0,18.2,17.1,,,,,,,,,,,,,,,,,,,67.0,67.0,31.0,94.0,49.0,59.0,98.0,74.0,20.0,23.0,55.0,13.0,87.0,65.0,85.0,1.0,2.0,6.0,23.0,6.0,7.0,70.0,11.0,2.0,2.0,6.0,4.0,14.0
