ID,Aardoliegrondstoffen,Perioden,Beginvoorraad_1,Winning_2,RechtstreekseInvoer_3,EntrepotuitslagNaarHetBinnenland_4,RechstreekseUitvoer_5,EntrepotopslagHerkomstNederland_6,Verwerking_7,StatistischVerschil_8,Eindvoorraad_9,Beginvoorraad_10,EntrepotopslagHerkomstBuitenland_11,EntrepotopslagHerkomstNederland_12,Entrepotuitvoer_13,EntrepotuitslagNaarHetBinnenland_14,VerbruikVoorBlending_15,StatistischVerschil_16,Eindvoorraad_17
433,b,2007MM09,3183793.0,147976.0,3640238.0,807491.0,74321.0,0.0,4364708.0,0.0,3340469.0,3923818.0,4497597.0,0.0,3664205.0,807491.0,0.0,0.0,3949719.0
434,b,2007KW03,3330513.0,466787.0,10822341.0,2094205.0,233018.0,0.0,13140359.0,0.0,3340469.0,3855941.0,13403414.0,0.0,11215431.0,2094205.0,0.0,0.0,3949719.0
435,b,2007MM10,3340469.0,167759.0,3158786.0,373114.0,73989.0,0.0,4297116.0,0.0,2669023.0,3949719.0,4330216.0,0.0,3957178.0,373114.0,0.0,0.0,3949643.0
436,b,2007MM11,2669023.0,165657.0,3973842.0,507919.0,127472.0,0.0,3823210.0,0.0,3365759.0,3949643.0,4625024.0,0.0,3874445.0,507919.0,0.0,0.0,4192303.0
437,b,2007MM12,3365759.0,177261.0,3886328.0,576791.0,134546.0,0.0,4548735.0,0.0,3322858.0,4192303.0,4283265.0,0.0,3820220.0,576791.0,0.0,0.0,4078557.0
438,b,2007KW04,3340469.0,510677.0,11018956.0,1457824.0,336007.0,0.0,12669061.0,0.0,3322858.0,3949719.0,13238505.0,0.0,11651843.0,1457824.0,0.0,0.0,4078557.0
439,b,2007HJ02,3330513.0,977464.0,21841297.0,3552029.0,569025.0,0.0,25809420.0,0.0,3322858.0,3855941.0,26641919.0,0.0,22867274.0,3552029.0,0.0,0.0,4078557.0
440,b,2007JJ00,3128777.0,2068298.0,40980024.0,7915260.0,885629.0,0.0,49883872.0,0.0,3322858.0,3956906.0,51500538.0,0.0,43463627.0,7915260.0,0.0,0.0,4078557.0
441,b,2008MM01,3322858.0,171432.0,3406949.0,755009.0,106156.0,0.0,4525059.0,0.0,3025033.0,4078557.0,4332401.0,0.0,3847282.0,755009.0,0.0,0.0,3808667.0
442,b,2008MM02,3025033.0,165000.0,3578607.0,517535.0,145890.0,0.0,4003320.0,0.0,3136965.0,3808667.0,4097007.0,0.0,3554660.0,517535.0,0.0,0.0,3833479.0
443,b,2008MM03,3136965.0,170636.0,3892493.0,808152.0,103121.0,0.0,4333388.0,0.0,3571737.0,3833479.0,5011984.0,0.0,3769507.0,808152.0,0.0,0.0,4267804.0
444,b,2008KW01,3322858.0,507068.0,10878049.0,2080696.0,355167.0,0.0,12861767.0,0.0,3571737.0,4078557.0,13441392.0,0.0,11171449.0,2080696.0,0.0,0.0,4267804.0
445,b,2008MM04,3571737.0,143622.0,3021147.0,730729.0,95351.0,0.0,4277001.0,0.0,3094883.0,4267804.0,3925682.0,0.0,3849024.0,730729.0,0.0,0.0,3613733.0
446,b,2008MM05,3094883.0,177449.0,3409972.0,938473.0,69890.0,0.0,4628026.0,0.0,2922861.0,3613733.0,5164769.0,0.0,3976705.0,938473.0,0.0,0.0,3863324.0
447,b,2008MM06,2922861.0,88322.0,3710255.0,963046.0,42237.0,0.0,4369878.0,0.0,3272369.0,3863324.0,4383098.0,0.0,3579854.0,963046.0,0.0,0.0,3703522.0
448,b,2008KW02,3571737.0,409393.0,10141374.0,2632248.0,207478.0,0.0,13274905.0,0.0,3272369.0,4267804.0,13473549.0,0.0,11405583.0,2632248.0,0.0,0.0,3703522.0
449,b,2008HJ01,3322858.0,916461.0,21019423.0,4712944.0,562645.0,0.0,26136672.0,0.0,3272369.0,4078557.0,26914941.0,0.0,22577032.0,4712944.0,0.0,0.0,3703522.0
450,b,2008MM07,3272369.0,148031.0,3505815.0,503783.0,40015.0,0.0,4408185.0,0.0,2981798.0,3703522.0,4527733.0,0.0,3815550.0,503783.0,0.0,0.0,3911922.0
451,b,2008MM08,2981798.0,140597.0,3774178.0,656583.0,106694.0,0.0,4359840.0,0.0,3086622.0,3911922.0,4511874.0,0.0,4065298.0,656583.0,0.0,0.0,3701915.0
452,b,2008MM09,3086622.0,146200.0,3650072.0,1035933.0,55442.0,0.0,4278621.0,0.0,3584764.0,3701915.0,4201921.0,0.0,3679018.0,1035933.0,0.0,0.0,3188885.0
453,b,2008KW03,3272369.0,434828.0,10930065.0,2196299.0,202151.0,0.0,13046646.0,0.0,3584764.0,3703522.0,13241528.0,0.0,11559866.0,2196299.0,0.0,0.0,3188885.0
454,b,2008MM10,3584764.0,124238.0,2471580.0,768939.0,106086.0,0.0,3418716.0,0.0,3424719.0,3188885.0,4415994.0,0.0,3870193.0,768939.0,0.0,0.0,2965747.0
455,b,2008MM11,3424719.0,122177.0,2845045.0,729487.0,23270.0,0.0,3508067.0,0.0,3590091.0,2965747.0,4904851.0,0.0,3676333.0,729487.0,0.0,0.0,3464778.0
456,b,2008MM12,3590091.0,133042.0,2260202.0,1340173.0,41655.0,0.0,4177811.0,0.0,3104042.0,3464778.0,5369970.0,0.0,3812208.0,1340173.0,0.0,0.0,3682367.0
457,b,2008KW04,3584764.0,379457.0,7576827.0,2838599.0,171011.0,0.0,11104594.0,0.0,3104042.0,3188885.0,14690815.0,0.0,11358734.0,2838599.0,0.0,0.0,3682367.0
458,b,2008HJ02,3272369.0,814285.0,18506892.0,5034898.0,373162.0,0.0,24151240.0,0.0,3104042.0,3703522.0,27932343.0,0.0,22918600.0,5034898.0,0.0,0.0,3682367.0
459,b,2008JJ00,3322858.0,1730746.0,39526315.0,9747842.0,935807.0,0.0,50287912.0,0.0,3104042.0,4078557.0,54847284.0,0.0,45495632.0,9747842.0,0.0,0.0,3682367.0
460,b,2009MM01,3104042.0,127061.0,3881592.0,976992.0,39804.0,0.0,4231681.0,0.0,3818202.0,3682367.0,3685719.0,0.0,3537283.0,976992.0,0.0,0.0,2853811.0
461,b,2009MM02,3818202.0,114133.0,4023608.0,180741.0,87745.0,0.0,3924088.0,0.0,4124851.0,2853811.0,3453153.0,0.0,3417504.0,180741.0,0.0,0.0,2708719.0
462,b,2009MM03,4124851.0,120011.0,3747571.0,353535.0,4695.0,0.0,3970598.0,0.0,4370675.0,2708719.0,4401046.0,0.0,3635382.0,353535.0,0.0,0.0,3120848.0
463,b,2009KW01,3104042.0,361205.0,11652771.0,1511268.0,132244.0,0.0,12126367.0,0.0,4370675.0,3682367.0,11539918.0,0.0,10590169.0,1511268.0,0.0,0.0,3120848.0
464,b,2009MM04,4370675.0,118452.0,3912936.0,311602.0,103995.0,0.0,4161128.0,0.0,4448542.0,3120848.0,3868741.0,0.0,3467769.0,311602.0,0.0,0.0,3210218.0
465,b,2009MM05,4448542.0,113996.0,3596966.0,44235.0,55607.0,0.0,4186852.0,0.0,3961280.0,3210218.0,3750556.0,0.0,3787432.0,44235.0,0.0,0.0,3129107.0
466,c,1944JJ00,,,,,,,,,,,,,,,,,
467,c,1945JJ00,,,,,,,,,,,,,,,,,
468,c,1946JJ00,,,,,,,,,,,,,,,,,
469,c,1947JJ00,,,,,,,,,,,,,,,,,
470,c,1948JJ00,,,,,,,,,,,,,,,,,
471,c,1949JJ00,,,,,,,,,,,,,,,,,
472,c,1950JJ00,,,,,,,,,,,,,,,,,
473,c,1951JJ00,,,,,,,,,,,,,,,,,
474,c,1952JJ00,,,,,,,,,,,,,,,,,
475,c,1953JJ00,,,,,,,,,,,,,,,,,
476,c,1954JJ00,,,,,,,,,,,,,,,,,
477,c,1955JJ00,,,,,,,,,,,,,,,,,
478,c,1956JJ00,,,,,,,,,,,,,,,,,
479,c,1957JJ00,,,,,,,,,,,,,,,,,
480,c,1958JJ00,,,,,,,,,,,,,,,,,
481,c,1959JJ00,,,,,,,,,,,,,,,,,
482,c,1960JJ00,,,,,,,,,,,,,,,,,
483,c,1961JJ00,,,,,,,,,,,,,,,,,
484,c,1962JJ00,,,,,,,,,,,,,,,,,
485,c,1963JJ00,,,,,,,,,,,,,,,,,
486,c,1964JJ00,,,,,,,,,,,,,,,,,
487,c,1965JJ00,,,,,,,,,,,,,,,,,
488,c,1966JJ00,,,,,,,,,,,,,,,,,
489,c,1967JJ00,,,,,,,,,,,,,,,,,
490,c,1968JJ00,,,,,,,,,,,,,,,,,
491,c,1969JJ00,,,,,,,,,,,,,,,,,
492,c,1970JJ00,,,,,,,,,,,,,,,,,
493,c,1971JJ00,,,,,,,,,,,,,,,,,
494,c,1972JJ00,,40000.0,0.0,,0.0,,40000.0,,,,,,,,,,
495,c,1973JJ00,,64000.0,0.0,,0.0,,64000.0,,,,,,,,,,
496,c,1974JJ00,,114000.0,0.0,,8000.0,,106000.0,,,,,,,,,,
497,c,1975JJ00,,154000.0,0.0,,0.0,,154000.0,,,,,,,,,,
498,c,1976JJ00,,175000.0,0.0,,0.0,,178000.0,,,,,,,,,,
499,c,1977JJ00,,216000.0,0.0,,0.0,,210000.0,,,,,,,,,,
500,c,1978JJ00,,118000.0,18000.0,0.0,0.0,0.0,130000.0,,,,,,,,,,
501,c,1979JJ00,,265000.0,266000.0,0.0,23000.0,0.0,468000.0,,,,,,,,,,
502,c,1980JJ00,64843.0,288125.0,103968.0,0.0,23195.0,0.0,363891.0,-260.0,70110.0,0.0,26586.0,0.0,2962.0,0.0,23624.0,0.0,0.0
503,c,1981JJ00,61836.0,258107.0,113708.0,0.0,45868.0,0.0,352770.0,167.0,34846.0,0.0,73850.0,0.0,63067.0,0.0,10782.0,-1196.0,1197.0
504,c,1982JJ00,34846.0,257419.0,1025487.0,0.0,41310.0,0.0,1171319.0,4557.0,100566.0,0.0,115882.0,0.0,88033.0,0.0,27555.0,0.0,294.0
505,c,1983JJ00,100566.0,310663.0,1842083.0,63699.0,120001.0,10854.0,2043727.0,223.0,142206.0,294.0,216650.0,10854.0,162899.0,63699.0,1086.0,0.0,114.0
506,c,1984JJ00,142206.0,330562.0,1893099.0,232253.0,59147.0,0.0,2346582.0,-10866.0,203257.0,114.0,463718.0,0.0,107385.0,232253.0,130764.0,-1423.0,-5147.0
507,c,1985JJ00,203257.0,340555.0,2411568.0,0.0,9710.0,0.0,2758756.0,5585.0,181329.0,-5147.0,294266.0,0.0,257601.0,0.0,1092.0,70.0,30356.0
508,c,1986JJ00,181329.0,366798.0,2784983.0,1795.0,13818.0,0.0,2904672.0,306.0,416109.0,30356.0,96728.0,0.0,97825.0,1795.0,3202.0,27.0,24235.0
509,c,1987JJ00,416109.0,372200.0,3381104.0,0.0,12883.0,0.0,3928731.0,5040.0,222759.0,24235.0,202228.0,0.0,200605.0,0.0,6543.0,583.0,18732.0
510,c,1988JJ00,149259.0,362262.0,3275714.0,0.0,4102.0,0.0,3505355.0,4236.0,273542.0,18732.0,748116.0,0.0,705697.0,0.0,-3218.0,-26.0,64395.0
511,c,1989JJ00,273542.0,423059.0,3257834.0,117028.0,0.0,0.0,3709019.0,12472.0,349972.0,64395.0,905428.0,0.0,869531.0,117028.0,-63688.0,-1804.0,48756.0
512,c,1990JJ00,349972.0,443372.0,3545184.0,66932.0,55427.0,0.0,3970477.0,0.0,379556.0,48756.0,576625.0,0.0,514692.0,66932.0,8890.0,0.0,34867.0
513,c,1991JJ00,379556.0,460824.0,3362176.0,21882.0,10153.0,0.0,3869928.0,90046.0,254311.0,34867.0,542863.0,0.0,596446.0,21882.0,-18633.0,-47610.0,25645.0
514,c,1992JJ00,254311.0,478920.0,3163484.0,91682.0,2807.0,0.0,3694367.0,4845.0,286378.0,25645.0,443559.0,0.0,340842.0,91682.0,-173.0,-11142.0,47995.0
515,c,1993JJ00,286378.0,576369.0,3785784.0,31314.0,34701.0,0.0,4394782.0,1660.0,248702.0,47995.0,248700.0,0.0,160871.0,31314.0,-86.0,4182.0,100414.0
516,c,1994JJ00,248702.0,885630.0,3926872.0,398688.0,31134.0,0.0,5067514.0,2656.0,358588.0,100414.0,688155.0,0.0,262632.0,398688.0,3390.0,-445.0,124304.0
517,c,1995JJ00,358588.0,757817.0,3792789.0,1603349.0,13040.0,0.0,6262367.0,0.0,237136.0,124304.0,1760197.0,0.0,213432.0,1603349.0,-640.0,0.0,68360.0
518,c,1996JJ00,237136.0,882359.0,3598928.0,1799163.0,3446.0,0.0,6330052.0,0.0,184088.0,68360.0,2008278.0,0.0,139816.0,1799163.0,0.0,0.0,137659.0
519,c,1997JJ00,184088.0,861213.0,3568625.0,1703697.0,892.0,0.0,6110162.0,0.0,206569.0,137659.0,1610766.0,0.0,44728.0,1703697.0,0.0,0.0,0.0
520,c,1998JJ00,206569.0,947407.0,3448477.0,1769589.0,0.0,0.0,6174442.0,0.0,197600.0,0.0,1833844.0,0.0,68207.0,1769589.0,0.0,0.0,-3952.0
521,c,1999JJ00,197600.0,940649.0,3713261.0,1587116.0,0.0,0.0,6264908.0,0.0,173718.0,-3952.0,1644065.0,0.0,52997.0,1587116.0,0.0,0.0,0.0
522,c,2000MM01,173718.0,102982.0,403301.0,93838.0,0.0,0.0,518941.0,0.0,254898.0,0.0,93838.0,0.0,0.0,93838.0,0.0,0.0,0.0
523,c,2000MM02,254898.0,90027.0,324446.0,204032.0,0.0,0.0,615689.0,0.0,257714.0,0.0,204032.0,0.0,0.0,204032.0,0.0,0.0,0.0
524,c,2000MM03,257714.0,97002.0,428925.0,134198.0,0.0,0.0,714815.0,0.0,203024.0,0.0,134198.0,0.0,0.0,134198.0,0.0,0.0,0.0
525,c,2000KW01,173718.0,290011.0,1156672.0,432068.0,0.0,0.0,1849445.0,0.0,203024.0,0.0,432868.0,0.0,0.0,432868.0,0.0,0.0,0.0
526,c,2000MM04,203024.0,71666.0,246540.0,173493.0,0.0,0.0,456535.0,0.0,238188.0,0.0,173493.0,0.0,0.0,173493.0,0.0,0.0,0.0
527,c,2000MM05,238188.0,67462.0,338584.0,57772.0,0.0,0.0,501292.0,0.0,200714.0,0.0,57772.0,0.0,0.0,57772.0,0.0,0.0,0.0
528,c,2000MM06,200714.0,48649.0,340031.0,61933.0,0.0,0.0,438484.0,0.0,212843.0,0.0,89364.0,0.0,27431.0,61933.0,0.0,0.0,0.0
