ID,Energiedragers,Perioden,EnergieverbruikInDeSectorNijverheid_1
863,11,1978JJ00,82.0
864,11,1979JJ00,86.0
865,11,1980JJ00,82.0
866,11,1981JJ00,81.0
867,11,1982JJ00,79.0
868,11,1983JJ00,83.0
869,11,1984JJ00,84.0
870,11,1985JJ00,85.0
871,11,1986JJ00,86.0
872,11,1987JJ00,85.0
873,11,1988JJ00,88.0
874,11,1989JJ00,92.0
875,11,1990JJ00,93.0
876,11,1991JJ00,94.0
877,11,1992JJ00,93.0
878,11,1993JJ00,97.0
879,11,1994JJ00,101.0
880,11,1995JJ00,108.0
881,11,1996JJ00,110.0
882,11,1997JJ00,114.0
883,11,1998JJ00,117.0
884,11,1999KW01,30.0
885,11,1999KW02,31.0
886,11,1999KW03,30.0
887,11,1999KW04,31.0
888,11,1999JJ00,122.0
889,11,2000KW01,31.0
890,11,2000KW02,31.0
891,11,2000KW03,31.0
892,11,2000KW04,31.0
893,11,2000JJ00,124.0
894,11,2001KW01,31.0
895,11,2001KW02,31.0
896,11,2001KW03,31.0
897,11,2001KW04,32.0
898,11,2001JJ00,126.0
899,11,2002KW01,31.0
900,11,2002KW02,32.0
901,11,2002KW03,32.0
902,11,2002KW04,32.0
903,11,2002JJ00,127.0
904,11,2003KW01,31.0
905,11,2003KW02,32.0
906,11,2003KW03,31.0
907,11,2003KW04,32.0
908,11,2003JJ00,126.0
909,11,2004KW01,32.0
910,11,2004KW02,32.0
911,11,2004KW03,33.0
912,11,2004KW04,32.0
913,11,2004JJ00,129.0
914,11,2005KW01,32.0
915,11,2005KW02,32.0
916,11,2005KW03,32.0
917,11,2005KW04,33.0
918,11,2005JJ00,129.0
919,11,2006KW01,33.0
920,11,2006KW02,33.0
921,11,2006KW03,33.0
922,11,2006KW04,33.0
923,11,2006JJ00,130.0
924,11,2007KW01,33.0
925,11,2007KW02,34.0
926,11,2007KW03,34.0
927,11,2007KW04,34.0
928,11,2007JJ00,134.0
929,11,2008KW01,34.0
930,11,2008KW02,34.0
931,11,2008KW03,34.0
932,11,2008KW04,32.0
933,11,2008JJ00,133.0
934,11,2009KW01,28.0
935,11,2009KW02,27.0
936,11,2009KW03,30.0
937,11,2009KW04,30.0
938,11,2009JJ00,115.0
939,11,2010KW01,30.0
940,11,2010KW02,30.0
941,11,2010KW03,32.0
942,11,2010KW04,32.0
943,11,2010JJ00,124.0
944,11,2011JJ00,123.0
945,11,2012JJ00,109.0
946,12,1975JJ00,31.0
947,12,1976JJ00,29.0
948,12,1977JJ00,29.0
949,12,1978JJ00,31.0
950,12,1979JJ00,24.0
951,12,1980JJ00,14.0
952,12,1981JJ00,14.0
953,12,1982JJ00,23.0
954,12,1983JJ00,23.0
955,12,1984JJ00,23.0
956,12,1985JJ00,25.0
957,12,1986JJ00,18.0
958,12,1987JJ00,18.0
959,12,1988JJ00,20.0
960,12,1989JJ00,13.0
961,12,1990JJ00,15.0
962,12,1991JJ00,18.0
963,12,1992JJ00,20.0
964,12,1993JJ00,49.0
965,12,1994JJ00,65.0
966,12,1995JJ00,75.0
967,12,1996JJ00,80.0
968,12,1997JJ00,82.0
969,12,1998JJ00,87.0
970,12,1999KW01,25.0
971,12,1999KW02,25.0
972,12,1999KW03,24.0
973,12,1999KW04,26.0
974,12,1999JJ00,100.0
975,12,2000KW01,25.0
976,12,2000KW02,22.0
977,12,2000KW03,23.0
978,12,2000KW04,25.0
979,12,2000JJ00,95.0
980,12,2001KW01,26.0
981,12,2001KW02,24.0
982,12,2001KW03,24.0
983,12,2001KW04,24.0
984,12,2001JJ00,98.0
985,12,2002KW01,26.0
986,12,2002KW02,24.0
987,12,2002KW03,24.0
988,12,2002KW04,27.0
989,12,2002JJ00,101.0
990,12,2003KW01,28.0
991,12,2003KW02,27.0
992,12,2003KW03,25.0
993,12,2003KW04,27.0
994,12,2003JJ00,107.0
995,12,2004KW01,28.0
996,12,2004KW02,29.0
997,12,2004KW03,29.0
998,12,2004KW04,29.0
999,12,2004JJ00,114.0
1000,12,2005KW01,29.0
1001,12,2005KW02,26.0
1002,12,2005KW03,27.0
1003,12,2005KW04,29.0
1004,12,2005JJ00,111.0
1005,12,2006KW01,23.0
1006,12,2006KW02,20.0
1007,12,2006KW03,21.0
1008,12,2006KW04,22.0
1009,12,2006JJ00,86.0
1010,12,2007KW01,22.0
1011,12,2007KW02,20.0
1012,12,2007KW03,21.0
1013,12,2007KW04,22.0
1014,12,2007JJ00,85.0
1015,12,2008KW01,20.0
1016,12,2008KW02,19.0
1017,12,2008KW03,19.0
1018,12,2008KW04,26.0
1019,12,2008JJ00,85.0
1020,12,2009KW01,18.0
1021,12,2009KW02,16.0
1022,12,2009KW03,17.0
1023,12,2009KW04,18.0
1024,12,2009JJ00,69.0
1025,12,2010KW01,20.0
1026,12,2010KW02,17.0
1027,12,2010KW03,18.0
1028,12,2010KW04,18.0
1029,12,2010JJ00,72.0
1030,12,2011JJ00,71.0
1031,12,2012JJ00,68.0
