ID,Zorgaanbieders,FinancieringsvormenZorg,Perioden,UitgavenAanGezondheidszorgIngezetenen_1
242,A052789,A019149,2023JJ00,1546.0
243,A052789,A019149,2024JJ00,1667.0
244,A052789,A019150,2021JJ00,1326.0
245,A052789,A019150,2022JJ00,1361.0
246,A052789,A019150,2023JJ00,1449.0
247,A052789,A019150,2024JJ00,1567.0
248,A052789,A019151,2021JJ00,108.0
249,A052789,A019151,2022JJ00,116.0
250,A052789,A019151,2023JJ00,117.0
251,A052789,A019151,2024JJ00,126.0
252,A052789,A019152,2021JJ00,1218.0
253,A052789,A019152,2022JJ00,1245.0
254,A052789,A019152,2023JJ00,1332.0
255,A052789,A019152,2024JJ00,1441.0
256,A052789,A019154,2021JJ00,0.0
257,A052789,A019154,2022JJ00,0.0
258,A052789,A019154,2023JJ00,1.0
259,A052789,A019154,2024JJ00,1.0
260,A052789,A019155,2021JJ00,
261,A052789,A019155,2022JJ00,
262,A052789,A019155,2023JJ00,
263,A052789,A019155,2024JJ00,
264,A052789,A019156,2021JJ00,1218.0
265,A052789,A019156,2022JJ00,1244.0
266,A052789,A019156,2023JJ00,1331.0
267,A052789,A019156,2024JJ00,1440.0
268,A052789,A041720,2021JJ00,91.0
269,A052789,A041720,2022JJ00,93.0
270,A052789,A041720,2023JJ00,97.0
271,A052789,A041720,2024JJ00,100.0
272,A052789,A019157,2021JJ00,0.0
273,A052789,A019157,2022JJ00,0.0
274,A052789,A019157,2023JJ00,0.0
275,A052789,A019157,2024JJ00,0.0
276,A052789,A019158,2021JJ00,0.0
277,A052789,A019158,2022JJ00,0.0
278,A052789,A019158,2023JJ00,0.0
279,A052789,A019158,2024JJ00,0.0
280,A052789,A019161,2021JJ00,0.0
281,A052789,A019161,2022JJ00,0.0
282,A052789,A019161,2023JJ00,0.0
283,A052789,A019161,2024JJ00,0.0
284,A052789,A019162,2021JJ00,0.0
285,A052789,A019162,2022JJ00,0.0
286,A052789,A019162,2023JJ00,0.0
287,A052789,A019162,2024JJ00,0.0
288,A052789,A019163,2021JJ00,91.0
289,A052789,A019163,2022JJ00,93.0
290,A052789,A019163,2023JJ00,97.0
291,A052789,A019163,2024JJ00,100.0
292,A052789,A019164,2021JJ00,0.0
293,A052789,A019164,2022JJ00,0.0
294,A052789,A019164,2023JJ00,0.0
295,A052789,A019164,2024JJ00,0.0
296,A052789,A019165,2021JJ00,91.0
297,A052789,A019165,2022JJ00,93.0
298,A052789,A019165,2023JJ00,97.0
299,A052789,A019165,2024JJ00,100.0
300,A052790,A019149,2021JJ00,26704.0
301,A052790,A019149,2022JJ00,27279.0
302,A052790,A019149,2023JJ00,29315.0
303,A052790,A019149,2024JJ00,32086.0
304,A052790,A019150,2021JJ00,24933.0
305,A052790,A019150,2022JJ00,25408.0
306,A052790,A019150,2023JJ00,27373.0
307,A052790,A019150,2024JJ00,30043.0
308,A052790,A019151,2021JJ00,855.0
309,A052790,A019151,2022JJ00,565.0
310,A052790,A019151,2023JJ00,540.0
311,A052790,A019151,2024JJ00,595.0
312,A052790,A019152,2021JJ00,24078.0
313,A052790,A019152,2022JJ00,24843.0
314,A052790,A019152,2023JJ00,26833.0
315,A052790,A019152,2024JJ00,29448.0
316,A052790,A019154,2021JJ00,19303.0
317,A052790,A019154,2022JJ00,20331.0
318,A052790,A019154,2023JJ00,22115.0
